600000 浦发银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.86	3.89	3.78	3.79	32428434	274365568.00
20111011	4.04	4.04	3.83	3.89	59130344	511050464.00
20111012	3.87	4.14	3.84	4.09	89412222	787072832.00
20111013	4.07	4.15	4.03	4.10	51298778	453963296.00
20111014	4.08	4.11	4.01	4.08	40504198	356399904.00
20111017	4.08	4.23	4.07	4.14	46009758	410848352.00
20111018	4.09	4.12	4.02	4.04	41115344	362177728.00
20111019	4.04	4.14	4.02	4.08	36188377	319545728.00
20111020	4.03	4.10	3.94	4.01	50658455	443175232.00
20111021	4.02	4.17	3.98	4.12	59306969	526976704.00
20111024	4.13	4.34	4.10	4.31	94932084	864185472.00
20111025	4.32	4.37	4.25	4.31	66314936	608223040.00
20111026	4.29	4.40	4.23	4.32	68454846	631301568.00
20111027	4.38	4.44	4.34	4.38	45585827	422360448.00
20111028	4.47	4.58	4.38	4.46	82502754	775731712.00
20111031	4.44	4.44	4.31	4.34	50778832	468747744.00
20111101	4.30	4.43	4.27	4.32	57198902	527513056.00
20111102	4.25	4.45	4.22	4.45	59397848	546059776.00
20111103	4.46	4.47	4.35	4.36	84349601	785658944.00
20111104	4.44	4.45	4.36	4.41	42565042	395922336.00
20111107	4.37	4.39	4.31	4.32	32870037	302777632.00
20111108	4.36	4.40	4.29	4.34	31693301	291603584.00
20111109	4.36	4.40	4.32	4.38	27951632	257975136.00
20111110	4.33	4.37	4.22	4.23	46636157	426657152.00
20111111	4.24	4.31	4.23	4.25	25261827	230005504.00
20111114	4.32	4.38	4.29	4.34	42296963	389371104.00
20111115	4.33	4.35	4.29	4.32	30013432	275179264.00
20111116	4.32	4.32	4.10	4.14	64028631	576115136.00
20111117	4.15	4.17	4.08	4.10	32007465	284590464.00
20111118	4.05	4.12	4.03	4.05	36819930	324198784.00
20111121	4.08	4.09	3.96	4.01	32355327	281903840.00
20111122	3.98	4.06	3.97	4.02	30669913	268099632.00
20111123	4.03	4.03	3.93	3.98	26370231	228822400.00
20111124	3.93	4.03	3.91	3.98	24460075	212634672.00
20111125	3.98	4.00	3.91	3.93	21366538	184856608.00
20111128	3.94	3.97	3.89	3.91	23967739	206431568.00
20111129	3.96	4.01	3.93	4.01	25960610	225388352.00
20111130	3.98	4.01	3.82	3.84	44971839	384658400.00
20111201	4.01	4.16	4.01	4.06	89049077	787219136.00
20111202	4.04	4.09	3.99	4.05	38638133	339557376.00
20111205	4.08	4.13	3.94	4.05	40188321	354439392.00
20111206	4.03	4.08	3.98	4.01	26440305	232129312.00
20111207	4.01	4.08	3.98	4.04	23350899	204935328.00
20111208	4.04	4.08	3.97	4.04	21909676	191759968.00
20111209	4.01	4.04	3.94	3.98	29514000	257109792.00
20111212	3.97	4.01	3.94	3.96	23035328	200109776.00
20111213	3.94	4.00	3.89	3.90	47600711	412160768.00
20111214	3.89	3.95	3.87	3.91	27334982	235202160.00
20111215	3.89	3.93	3.83	3.84	41518789	354799712.00
20111216	3.85	3.95	3.84	3.93	37730295	322463296.00
20111219	3.89	3.94	3.75	3.92	45264959	384672672.00
20111220	3.90	4.02	3.89	3.91	38376971	331731072.00
20111221	3.96	4.00	3.84	3.87	41637650	359681312.00
20111222	3.84	3.91	3.81	3.87	42682705	363453856.00
20111223	3.87	3.92	3.84	3.87	23263186	198890336.00
20111226	3.86	3.89	3.79	3.82	31788769	269877056.00
20111227	3.82	3.87	3.77	3.80	31075676	262876944.00
20111228	3.80	3.82	3.67	3.76	42011046	351109632.00
20111229	3.74	3.76	3.70	3.74	40055045	333839360.00
20111230	3.77	3.85	3.76	3.84	52982530	448339744.00
20120104	3.87	3.89	3.77	3.78	34201379	290229536.00
20120105	3.82	4.07	3.82	3.95	132116203	1144753024.00
20120106	3.94	4.04	3.93	3.99	61778687	537043776.00
20120109	4.00	4.19	3.97	4.16	80136249	711429632.00
20120110	4.16	4.26	4.11	4.24	72004632	647206656.00
20120111	4.23	4.26	4.18	4.19	49261157	444366560.00
20120112	4.19	4.34	4.19	4.26	60486981	551261440.00
20120113	4.27	4.32	4.17	4.22	56725332	514638080.00
20120116	4.19	4.28	4.17	4.17	33100160	299225056.00
20120117	4.19	4.38	4.05	4.33	97357263	876457408.00
20120118	4.31	4.36	4.19	4.22	58089289	529288096.00
20120119	4.23	4.35	4.21	4.33	68645571	628781824.00
20120120	4.37	4.50	4.31	4.49	95052703	883450368.00
20120130	4.47	4.48	4.33	4.35	71883155	668276672.00
20120131	4.36	4.39	4.31	4.35	35464104	326763264.00
20120201	4.33	4.38	4.23	4.25	39647888	362716576.00
20120202	4.28	4.49	4.25	4.47	87973331	816297536.00
20120203	4.44	4.54	4.42	4.50	97135312	914988416.00
20120206	4.52	4.55	4.40	4.47	63691281	599080960.00
20120207	4.42	4.45	4.32	4.36	51391402	475945760.00
20120208	4.36	4.53	4.36	4.51	64270717	602796544.00
20120209	4.51	4.53	4.45	4.47	50273854	473358240.00
20120210	4.45	4.53	4.42	4.45	51836488	487049472.00
20120213	4.37	4.45	4.32	4.38	49204966	456411680.00
20120214	4.36	4.39	4.29	4.33	53024869	487049248.00
20120215	4.31	4.40	4.29	4.36	55064760	507511360.00
20120216	4.37	4.39	4.29	4.33	47501799	437494048.00
20120217	4.37	4.41	4.33	4.38	41743292	386595872.00
20120220	4.48	4.48	4.37	4.38	57740009	539245888.00
20120221	4.38	4.41	4.33	4.39	42757386	395923936.00
20120222	4.39	4.45	4.33	4.42	81447790	755732416.00
20120223	4.42	4.47	4.39	4.43	87754888	818404864.00
20120224	4.44	4.57	4.41	4.55	128341832	1207795584.00
20120227	4.59	4.63	4.51	4.53	126664015	1206459776.00
20120228	4.53	4.68	4.52	4.66	136121116	1308533888.00
20120229	4.66	4.66	4.55	4.57	77757837	745267136.00
20120301	4.54	4.61	4.54	4.58	46237868	441399328.00
20120302	4.58	4.68	4.57	4.68	74013187	711842944.00
20120305	4.71	4.72	4.60	4.60	66098035	638459392.00
20120306	4.57	4.62	4.48	4.50	68450355	650629568.00
20120307	4.47	4.50	4.43	4.43	51077237	479615296.00
20120308	4.47	4.54	4.45	4.52	54828552	517039328.00
20120309	4.52	4.55	4.49	4.52	47510501	449318752.00
20120312	4.50	4.51	4.43	4.46	52784386	494779968.00
20120313	4.47	4.57	4.44	4.52	61430150	582028864.00
20120314	4.57	4.62	4.42	4.45	99280321	940852480.00
20120315	4.45	4.51	4.31	4.33	70673894	661561280.00
20120316	4.37	4.43	4.33	4.37	72584563	672304000.00
20120319	4.38	4.42	4.36	4.39	50228036	466395776.00
20120320	4.37	4.38	4.28	4.28	62725576	575220544.00
20120321	4.32	4.33	4.21	4.25	51867060	471579968.00
20120322	4.26	4.34	4.22	4.28	38651197	352251200.00
20120323	4.26	4.28	4.21	4.24	35268448	319927040.00
20120326	4.23	4.31	4.23	4.29	33692849	306941856.00
20120327	4.30	4.31	4.25	4.28	27294640	249025232.00
20120328	4.28	4.29	4.15	4.17	43565307	394701408.00
20120329	4.15	4.19	4.09	4.10	48391415	432068896.00
20120330	4.14	4.17	4.11	4.15	50587012	451335936.00
20120405	4.12	4.16	4.06	4.15	76352001	677374528.00
20120406	4.15	4.17	4.08	4.15	56682481	504458944.00
20120409	4.12	4.15	4.08	4.08	34889828	309720480.00
20120410	4.10	4.15	4.04	4.14	45147000	399088192.00
20120411	4.10	4.16	4.09	4.12	39397074	350489728.00
20120412	4.12	4.29	4.10	4.28	64571634	581979200.00
20120413	4.27	4.30	4.21	4.29	61175666	556243008.00
20120416	4.25	4.28	4.22	4.24	38614798	350463008.00
20120417	4.24	4.26	4.15	4.15	49466011	444391616.00
20120418	4.15	4.29	4.14	4.28	67117990	607091648.00
20120419	4.26	4.31	4.24	4.28	48488000	441712576.00
20120420	4.26	4.42	4.26	4.41	77240835	714085568.00
20120423	4.38	4.43	4.34	4.36	41839068	387763904.00
20120424	4.36	4.58	4.35	4.46	113165453	1065629952.00
20120425	4.43	4.50	4.43	4.44	66489024	623235392.00
20120426	4.49	4.52	4.40	4.45	53826936	503917248.00
20120427	4.47	4.51	4.44	4.48	47114993	443152192.00
20120502	4.53	4.61	4.48	4.59	107696972	1023491904.00
20120503	4.55	4.58	4.49	4.52	60560075	574341312.00
20120504	4.52	4.54	4.47	4.54	71659892	677231232.00
20120507	4.50	4.53	4.43	4.49	82225733	773477056.00
20120508	4.48	4.49	4.39	4.45	86721348	810233984.00
20120509	4.40	4.41	4.32	4.33	65066893	600930048.00
20120510	4.34	4.36	4.27	4.31	67576254	619397952.00
20120511	4.31	4.36	4.28	4.31	35532729	325856896.00
20120514	4.34	4.36	4.24	4.25	70896633	648414464.00
20120515	4.19	4.23	4.18	4.22	60429994	544604544.00
20120516	4.22	4.22	4.12	4.13	75535741	676147520.00
20120517	4.15	4.21	4.12	4.17	43092663	386025728.00
20120518	4.14	4.14	4.07	4.10	61950167	549225600.00
20120521	4.10	4.13	4.08	4.10	46679612	413635872.00
20120522	4.12	4.17	4.11	4.17	67549651	602839680.00
20120523	4.16	4.17	4.09	4.12	61979794	552097472.00
20120524	4.11	4.15	4.06	4.09	49757216	441704160.00
20120525	4.09	4.10	4.03	4.05	45887776	404197696.00
20120528	4.05	4.11	4.03	4.10	52347656	461949312.00
20120529	4.10	4.18	4.07	4.16	93478648	831085312.00
20120530	4.14	4.15	4.05	4.07	88036486	779244032.00
20120531	4.05	4.05	4.02	4.03	67011196	587833152.00
20120601	4.04	4.08	4.02	4.04	42401677	372673952.00
20120604	3.99	3.99	3.90	3.91	69367973	599453504.00
20120605	3.93	3.94	3.88	3.89	69666907	598110592.00
20120606	3.91	3.97	3.88	3.93	49918846	429065888.00
20120607	3.97	3.98	3.87	3.89	48026408	413324672.00
20120608	3.85	3.87	3.71	3.73	140389731	1176530432.00
20120611	3.75	3.76	3.71	3.73	71644862	597652544.00
20120612	3.71	3.74	3.63	3.70	82431224	680814848.00
20120614	3.70	3.73	3.67	3.68	80017463	664166656.00
20120615	3.71	3.87	3.70	3.82	134216053	1129580288.00
20120618	3.82	3.83	3.79	3.82	50212960	424346816.00
20120619	3.82	3.87	3.80	3.84	47008304	398791968.00
20120620	3.87	3.92	3.83	3.84	50000107	427039904.00
20120621	3.85	3.85	3.77	3.80	39423884	332932096.00
20120625	3.79	3.83	3.73	3.74	52706596	443526592.00
20120626	3.75	3.79	3.73	3.75	39982538	323089664.00
20120627	3.75	3.77	3.73	3.74	26966055	217422016.00
20120628	3.74	3.75	3.71	3.71	28876449	232014032.00
20120629	3.73	3.82	3.72	3.80	50974236	412653792.00
20120702	3.81	3.81	3.74	3.77	43691987	353033248.00
20120703	3.77	3.81	3.75	3.77	40080965	324895968.00
20120704	3.77	3.83	3.76	3.79	39552477	321375936.00
20120705	3.78	3.79	3.74	3.75	33635896	271555072.00
20120706	3.65	3.68	3.62	3.68	115797069	917011456.00
20120709	3.66	3.66	3.46	3.47	106535413	829804096.00
20120710	3.47	3.54	3.47	3.50	45089773	347540672.00
20120711	3.49	3.52	3.47	3.50	32425638	249889712.00
20120712	3.50	3.51	3.41	3.47	100909326	770420608.00
20120713	3.47	3.56	3.45	3.52	45202381	349346432.00
20120716	3.53	3.53	3.44	3.45	46584899	358037216.00
20120717	3.46	3.52	3.44	3.49	30224255	232272368.00
20120718	3.49	3.49	3.43	3.47	47630983	363638272.00
20120719	3.46	3.52	3.43	3.49	77344589	594527744.00
20120720	3.47	3.48	3.43	3.43	55545514	423521024.00
