600004 白云机场 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	5.45	5.52	5.41	5.42	1241641	8849229.00
20111011	5.53	5.58	5.42	5.47	2091182	14997696.00
20111012	5.44	5.66	5.44	5.62	4262015	30922436.00
20111013	5.58	5.72	5.58	5.71	5715922	41860248.00
20111014	5.70	5.71	5.60	5.68	2714218	19849196.00
20111017	5.70	5.72	5.63	5.66	2257725	16568570.00
20111018	5.64	5.64	5.48	5.52	2437782	17652392.00
20111019	5.54	5.57	5.45	5.45	2146052	15384604.00
20111020	5.45	5.46	5.31	5.32	3236315	22751208.00
20111021	5.38	5.39	5.29	5.30	1741941	12176680.00
20111024	5.36	5.45	5.30	5.44	2149939	15155863.00
20111025	5.42	5.54	5.40	5.51	2364640	16883324.00
20111026	5.49	5.64	5.48	5.58	3767220	27241454.00
20111027	5.61	5.70	5.59	5.62	3700628	27039718.00
20111028	5.66	5.71	5.60	5.65	3767694	27545398.00
20111031	5.65	5.66	5.58	5.63	1987036	14462081.00
20111101	5.59	5.68	5.55	5.63	2545683	18575036.00
20111102	5.58	5.72	5.54	5.71	2997327	21840504.00
20111103	5.71	5.84	5.68	5.75	8179653	60860304.00
20111104	5.77	5.81	5.70	5.74	4728331	34991244.00
20111107	5.75	5.76	5.65	5.65	2850419	20983420.00
20111108	5.65	5.69	5.59	5.62	2689278	19636416.00
20111109	5.64	5.70	5.59	5.70	2563702	18727740.00
20111110	5.66	5.66	5.59	5.60	2843390	20692896.00
20111111	5.61	5.65	5.56	5.60	2285928	16600793.00
20111114	5.63	5.71	5.63	5.68	3690427	27098336.00
20111115	5.68	5.74	5.66	5.72	3042395	22405448.00
20111116	5.72	5.73	5.51	5.54	3855482	27967998.00
20111117	5.53	5.57	5.47	5.47	3490944	25012114.00
20111118	5.47	5.48	5.37	5.43	2877225	20365718.00
20111121	5.43	5.45	5.37	5.45	1742558	12313647.00
20111122	5.42	5.44	5.38	5.43	1432858	10129266.00
20111123	5.43	5.46	5.36	5.38	1808645	12758138.00
20111124	5.35	5.41	5.34	5.39	1523082	10701111.00
20111125	5.36	5.41	5.34	5.36	1311611	9208010.00
20111128	5.36	5.41	5.35	5.40	2031567	14314471.00
20111129	5.42	5.46	5.40	5.45	1849686	13111936.00
20111130	5.45	5.45	5.19	5.23	3859671	26890440.00
20111201	5.37	5.41	5.31	5.34	3974893	27884752.00
20111202	5.30	5.34	5.24	5.26	1699831	11782756.00
20111205	5.30	5.30	5.17	5.19	1406137	9656790.00
20111206	5.19	5.22	5.14	5.20	1305317	8911392.00
20111207	5.20	5.22	5.13	5.18	983276	6726792.00
20111208	5.18	5.21	5.09	5.16	1183004	8064409.00
20111209	5.16	5.19	5.12	5.15	1313158	8938482.00
20111212	5.18	5.19	5.06	5.09	2340030	15810715.00
20111213	5.07	5.09	4.92	4.94	3096173	20618496.00
20111214	4.94	4.94	4.79	4.84	4658595	30347326.00
20111215	4.81	4.86	4.73	4.74	3182737	20528948.00
20111216	4.75	4.88	4.69	4.82	3057851	19643088.00
20111219	4.80	4.80	4.63	4.73	5063457	32133908.00
20111220	4.70	4.79	4.68	4.70	2692798	17205060.00
20111221	4.75	4.77	4.63	4.64	5001168	31671002.00
20111222	4.61	4.65	4.50	4.56	3162886	19658036.00
20111223	4.58	4.64	4.50	4.55	4030143	25070656.00
20111226	4.57	4.58	4.53	4.56	1999894	12430077.00
20111227	4.56	4.56	4.47	4.48	2641780	16329865.00
20111228	4.47	4.49	4.41	4.47	3044177	18598128.00
20111229	4.46	4.49	4.44	4.46	2352175	14401059.00
20111230	4.47	4.56	4.45	4.53	4017619	24801094.00
20120104	4.56	4.64	4.53	4.56	5663667	35403652.00
20120105	4.52	4.60	4.44	4.48	5630493	34765976.00
20120106	4.50	4.60	4.48	4.55	4900470	30349776.00
20120109	4.57	4.71	4.55	4.67	4477348	28212714.00
20120110	4.69	4.82	4.65	4.80	7500910	47996944.00
20120111	4.77	4.81	4.71	4.72	4426601	28390842.00
20120112	4.69	4.78	4.69	4.72	2181552	13956227.00
20120113	4.73	4.74	4.59	4.64	3540274	22320372.00
20120116	4.60	4.70	4.57	4.65	3099966	19574012.00
20120117	4.66	4.86	4.60	4.85	5754976	36878608.00
20120118	4.84	4.88	4.77	4.80	4295035	27798322.00
20120119	4.80	4.91	4.75	4.88	4943611	32289088.00
20120120	4.88	4.98	4.85	4.91	4746483	31213088.00
20120130	4.92	4.93	4.83	4.85	3705388	24227816.00
20120131	4.85	4.86	4.76	4.80	2294267	14804617.00
20120201	4.79	4.83	4.72	4.74	1378162	8876614.00
20120202	4.74	4.86	4.72	4.84	2999687	19326450.00
20120203	4.82	4.94	4.78	4.89	4822854	31502952.00
20120206	4.88	4.91	4.86	4.90	2228839	14587207.00
20120207	4.87	4.88	4.76	4.77	1678122	10840368.00
20120208	4.77	4.91	4.76	4.90	2747245	17915680.00
20120209	4.90	4.92	4.87	4.89	2271706	14896119.00
20120210	4.89	4.93	4.85	4.90	2902881	19047152.00
20120213	4.87	4.95	4.85	4.87	3267724	21430768.00
20120214	4.88	4.91	4.84	4.87	2215491	14453307.00
20120215	4.87	5.00	4.85	4.98	4554832	30109872.00
20120216	4.97	5.00	4.91	4.96	2392831	15827020.00
20120217	4.99	4.99	4.91	4.92	2691550	17747208.00
20120220	4.97	4.98	4.91	4.93	3543406	23386558.00
20120221	4.92	4.96	4.88	4.96	2166359	14249595.00
20120222	4.98	5.05	4.93	5.04	4662795	31055890.00
20120223	5.03	5.08	5.00	5.04	3078138	20601844.00
20120224	5.04	5.16	5.02	5.14	7499501	50643248.00
20120227	5.16	5.29	5.13	5.18	10977553	75493104.00
20120228	5.15	5.20	5.10	5.15	4399769	29991244.00
20120229	5.16	5.21	5.11	5.11	3570380	24338568.00
20120301	5.09	5.15	5.08	5.12	2513011	17014532.00
20120302	5.11	5.22	5.11	5.20	4068575	27861124.00
20120305	5.21	5.24	5.15	5.17	3508008	24045784.00
20120306	5.17	5.18	5.07	5.09	3095701	20942060.00
20120307	5.04	5.09	5.01	5.06	2275677	15285730.00
20120308	5.07	5.16	5.05	5.11	3438411	23262644.00
20120309	5.12	5.20	5.10	5.18	3443016	23488520.00
20120312	5.20	5.22	5.12	5.17	3338648	22801180.00
20120313	5.17	5.25	5.14	5.24	3981015	27361148.00
20120314	5.26	5.28	4.98	5.05	6300500	43027984.00
20120315	5.14	5.18	5.07	5.08	7473147	50653720.00
20120316	5.11	5.39	5.09	5.34	10263148	70824304.00
20120319	5.33	5.39	5.30	5.36	6196986	43397220.00
20120320	5.35	5.35	5.22	5.24	5197630	35958076.00
20120321	5.24	5.39	5.24	5.36	8125061	56796320.00
20120322	5.35	5.44	5.31	5.34	4592623	32301020.00
20120323	5.32	5.34	5.26	5.30	4884130	33911752.00
20120326	5.32	5.35	5.26	5.30	2268662	15793299.00
20120327	5.30	5.39	5.29	5.29	3051945	21363310.00
20120328	5.28	5.29	5.12	5.13	5902927	40478536.00
20120329	5.11	5.18	4.99	5.01	4289832	28776546.00
20120330	5.02	5.09	5.02	5.08	2340289	15714189.00
20120405	5.09	5.25	5.05	5.24	3271515	22406182.00
20120406	5.24	5.27	5.19	5.22	2086930	14381185.00
20120409	5.22	5.30	5.19	5.22	2723680	18863144.00
20120410	5.19	5.31	5.12	5.30	2561617	17621092.00
20120411	5.25	5.42	5.23	5.36	4425484	31086504.00
20120412	5.37	5.42	5.34	5.42	4197084	29574764.00
20120413	5.41	5.46	5.38	5.41	3088667	21884160.00
20120416	5.38	5.42	5.35	5.35	2099710	14782233.00
20120417	5.35	5.38	5.25	5.30	2434135	16984664.00
20120418	5.30	5.45	5.29	5.44	5257986	37066672.00
20120419	5.44	5.48	5.38	5.46	4334490	30723192.00
20120420	5.45	5.48	5.39	5.43	4386872	31123028.00
20120423	5.43	5.47	5.39	5.40	3258371	23070916.00
20120424	5.37	5.47	5.30	5.42	4064340	28613104.00
20120425	5.41	5.47	5.38	5.46	3737199	26529792.00
20120426	5.46	5.48	5.40	5.42	1869269	13256241.00
20120427	5.44	5.46	5.34	5.40	1669263	11790356.00
20120502	5.46	5.60	5.46	5.54	7432476	53538940.00
20120503	5.52	5.57	5.51	5.56	3053561	21988486.00
20120504	5.52	5.71	5.52	5.67	6940581	50682696.00
20120507	5.62	5.89	5.62	5.78	6928521	51509256.00
20120508	5.78	5.81	5.71	5.73	4018940	29810060.00
20120509	5.70	5.72	5.56	5.59	4322261	31489866.00
20120510	5.59	5.68	5.59	5.64	1812468	13232815.00
20120511	5.62	5.67	5.60	5.63	1326338	9671851.00
20120514	5.68	5.69	5.61	5.66	2069114	15137526.00
20120515	5.61	5.69	5.52	5.65	3282884	23748086.00
20120516	5.61	5.66	5.54	5.57	1930471	14019717.00
20120517	5.59	5.73	5.55	5.72	3216999	23568432.00
20120518	5.67	5.77	5.59	5.62	4012159	29419534.00
20120521	5.60	5.63	5.48	5.49	3361176	24180800.00
20120522	5.53	5.61	5.52	5.57	2048400	14794366.00
20120523	5.58	5.60	5.48	5.50	2043294	14678858.00
20120524	5.49	5.53	5.40	5.44	3578695	25460668.00
20120525	5.44	5.45	5.33	5.38	3194712	22513348.00
20120528	5.37	5.46	5.31	5.45	1875798	13227625.00
20120529	5.47	5.52	5.43	5.52	2755845	19679710.00
20120530	5.52	5.52	5.45	5.46	1821974	13003119.00
20120531	5.44	5.46	5.36	5.43	2407915	17020464.00
20120601	5.43	5.49	5.38	5.42	2090432	14828141.00
20120604	5.38	5.38	5.21	5.21	3271912	22729100.00
20120605	5.25	5.37	5.19	5.25	2907454	20163460.00
20120606	5.25	5.30	5.24	5.26	1071615	7424761.00
20120607	5.31	5.35	5.13	5.20	2936086	20223162.00
20120608	5.24	5.27	5.20	5.24	1930157	13312965.00
20120611	5.24	5.30	5.22	5.29	1214886	8412201.00
20120612	5.28	5.28	5.14	5.24	2320373	15892339.00
20120613	5.24	5.32	5.21	5.31	2238683	15540954.00
20120614	5.31	5.32	5.27	5.28	1222078	8506356.00
20120615	5.28	5.33	5.24	5.29	957777	6655683.00
20120618	5.32	5.36	5.30	5.34	1314336	9200702.00
20120619	5.32	5.34	5.21	5.25	1513148	10479502.00
20120620	5.25	5.27	5.23	5.23	1485272	10257206.00
