600005 武钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.17	3.19	3.14	3.16	10522429	34670804.00
20111011	3.23	3.23	3.17	3.19	18162311	60256404.00
20111012	3.19	3.29	3.16	3.28	29958208	101050704.00
20111013	3.27	3.43	3.25	3.33	33423210	115386256.00
20111014	3.32	3.32	3.28	3.31	13276934	45522196.00
20111017	3.32	3.34	3.28	3.29	13484981	46410364.00
20111018	3.27	3.28	3.19	3.20	19281818	64957584.00
20111019	3.19	3.27	3.19	3.21	13885633	46540040.00
20111020	3.19	3.22	3.14	3.15	14483158	47776552.00
20111021	3.15	3.19	3.15	3.16	9580413	31601508.00
20111024	3.17	3.23	3.16	3.23	12407559	41294288.00
20111025	3.22	3.29	3.20	3.28	24559435	83126424.00
20111026	3.26	3.33	3.24	3.30	30418156	104187120.00
20111027	3.30	3.34	3.27	3.29	26542641	91161584.00
20111028	3.33	3.36	3.31	3.34	34203548	118745448.00
20111031	3.34	3.35	3.31	3.33	22628808	78186904.00
20111101	3.30	3.36	3.29	3.31	18871314	65175800.00
20111102	3.27	3.35	3.26	3.35	23080499	79175376.00
20111103	3.35	3.41	3.34	3.36	40930628	143627664.00
20111104	3.39	3.44	3.37	3.39	31429492	110862520.00
20111107	3.39	3.45	3.38	3.40	29892889	106011872.00
20111108	3.43	3.44	3.37	3.38	24425139	85947496.00
20111109	3.39	3.40	3.32	3.37	21058517	73324248.00
20111110	3.34	3.42	3.32	3.33	40164595	140134784.00
20111111	3.34	3.36	3.28	3.30	20181049	69440336.00
20111114	3.32	3.34	3.30	3.34	19619665	67797528.00
20111115	3.34	3.34	3.31	3.32	15536631	53588696.00
20111116	3.32	3.33	3.23	3.24	23022701	78175616.00
20111117	3.23	3.25	3.22	3.23	12258094	41242072.00
20111118	3.21	3.22	3.15	3.17	20248659	67048812.00
20111121	3.18	3.22	3.16	3.20	10419238	34521708.00
20111122	3.18	3.20	3.16	3.18	14283308	47171628.00
20111123	3.19	3.19	3.12	3.13	14878272	48700932.00
20111124	3.12	3.17	3.10	3.14	14642959	47687112.00
20111125	3.14	3.14	3.10	3.11	9722114	31591496.00
20111128	3.12	3.14	3.10	3.11	9572761	31072790.00
20111129	3.12	3.15	3.11	3.14	7647218	24906992.00
20111130	3.12	3.14	2.99	3.00	22505836	71425120.00
20111201	3.07	3.11	3.02	3.06	21878888	69979216.00
20111202	3.04	3.05	3.01	3.03	10167537	32096884.00
20111205	3.02	3.04	2.99	3.00	12213546	38274976.00
20111206	2.99	3.03	2.99	3.02	9908976	31139216.00
20111207	3.02	3.03	2.99	3.02	7508154	23600720.00
20111208	3.02	3.05	3.00	3.04	14574267	46069940.00
20111209	3.02	3.06	2.97	3.01	10327234	32476384.00
20111212	3.01	3.01	2.97	2.98	8457515	26372324.00
20111213	2.98	2.98	2.91	2.91	15276868	46893308.00
20111214	2.91	2.91	2.87	2.88	10847025	32744188.00
20111215	2.87	2.88	2.78	2.81	17104795	50563600.00
20111216	2.80	2.86	2.80	2.86	14680113	43324492.00
20111219	2.84	2.85	2.74	2.82	16983482	49583164.00
20111220	2.82	2.84	2.78	2.79	11152352	32728876.00
20111221	2.82	2.83	2.75	2.75	10511126	30669456.00
20111222	2.75	2.76	2.69	2.74	16617275	47400344.00
20111223	2.74	2.80	2.68	2.75	13024174	37591136.00
20111226	2.75	2.83	2.72	2.80	20170544	58995832.00
20111227	2.80	2.80	2.74	2.76	10666757	30934278.00
20111228	2.75	2.77	2.72	2.76	9106422	26184158.00
20111229	2.75	2.78	2.74	2.75	8946409	25868616.00
20111230	2.76	2.78	2.74	2.76	11017521	31876706.00
20120104	2.77	2.79	2.72	2.72	10957752	31670008.00
20120105	2.72	2.75	2.70	2.70	15046543	42941320.00
20120106	2.70	2.75	2.70	2.75	14088009	40205548.00
20120109	2.75	2.81	2.72	2.81	20533440	59571092.00
20120110	2.81	2.93	2.79	2.92	36149549	108256248.00
20120111	2.92	2.96	2.89	2.92	26130903	79854288.00
20120112	2.91	2.94	2.88	2.90	15295513	46393744.00
20120113	2.90	2.91	2.82	2.85	14792712	44223992.00
20120116	2.82	2.85	2.81	2.83	9646915	28590172.00
20120117	2.83	2.98	2.82	2.97	27160779	82746544.00
20120118	3.00	3.01	2.92	2.92	21786066	67442448.00
20120119	2.94	3.00	2.92	2.95	17556321	54318280.00
20120120	2.97	2.99	2.95	2.98	14512542	44969904.00
