600006 东风汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.50	3.53	3.45	3.52	4385327	15903469.00
20111011	3.58	3.61	3.50	3.53	4760277	17599444.00
20111012	3.49	3.64	3.47	3.63	6336319	23569212.00
20111013	3.60	3.68	3.60	3.65	6526670	24674634.00
20111014	3.66	3.72	3.62	3.69	7195931	27440896.00
20111017	3.69	3.73	3.65	3.69	4412148	16871720.00
20111018	3.67	3.67	3.60	3.61	3345251	12601111.00
20111019	3.61	3.64	3.59	3.59	2318017	8675798.00
20111020	3.58	3.61	3.47	3.50	2694969	9834708.00
20111021	3.50	3.53	3.47	3.50	1771511	6441556.00
20111024	3.50	3.57	3.47	3.56	2174056	7963763.00
20111025	3.58	3.65	3.52	3.62	3359790	12548910.00
20111026	3.60	3.70	3.59	3.67	5274982	20003930.00
20111027	3.67	3.70	3.64	3.68	3593713	13640236.00
20111028	3.70	3.74	3.68	3.71	5257391	20175096.00
20111031	3.68	3.70	3.63	3.69	4232452	16064047.00
20111101	3.66	3.72	3.63	3.67	5283730	20140344.00
20111103	3.72	3.76	3.70	3.70	8638440	33378036.00
20111104	3.71	3.75	3.67	3.72	4180353	16028956.00
20111107	3.72	3.76	3.69	3.69	4179183	16112195.00
20111108	3.69	3.72	3.65	3.66	3077252	11736438.00
20111109	3.67	3.69	3.62	3.68	2474727	9366163.00
20111110	3.65	3.65	3.57	3.60	3652262	13698754.00
20111111	3.59	3.64	3.57	3.60	2034281	7597063.00
20111114	3.62	3.67	3.60	3.66	6631310	25020694.00
20111115	3.66	3.67	3.62	3.65	3438826	12972024.00
20111116	3.65	3.66	3.53	3.56	3598560	13413982.00
20111117	3.56	3.59	3.55	3.57	2760788	10210713.00
20111118	3.55	3.55	3.47	3.50	2559609	9299590.00
20111121	3.50	3.55	3.47	3.52	1788766	6527204.00
20111122	3.49	3.51	3.46	3.50	2415145	8720684.00
20111123	3.50	3.51	3.45	3.46	1970458	7095593.00
20111124	3.44	3.47	3.41	3.46	2083387	7436304.00
20111125	3.46	3.47	3.42	3.42	1124916	4016821.00
20111128	3.42	3.47	3.40	3.42	1782702	6346818.00
20111129	3.45	3.47	3.42	3.47	1788807	6401482.00
20111130	3.48	3.48	3.29	3.32	2914255	10199718.00
20111201	3.42	3.44	3.35	3.38	2617946	9241935.00
20111202	3.37	3.37	3.30	3.33	1559966	5392631.00
20111205	3.33	3.33	3.22	3.22	1752664	5941600.00
20111206	3.22	3.24	3.20	3.23	1670974	5589857.00
20111207	3.23	3.26	3.21	3.25	984921	3319390.00
20111208	3.25	3.26	3.19	3.24	1414491	4757868.00
20111209	3.22	3.23	3.20	3.22	915154	3058302.00
20111212	3.22	3.25	3.20	3.22	1455088	4876282.00
20111213	3.21	3.21	3.10	3.11	2360681	7732405.00
20111214	3.12	3.12	3.05	3.06	1066622	3425897.00
20111215	3.04	3.06	2.96	2.96	2119876	6618180.00
20111216	2.95	3.05	2.95	3.04	1961188	6127494.00
20111219	3.02	3.07	2.98	3.06	2022029	6384970.00
20111220	3.03	3.09	3.02	3.04	1505600	4805439.00
20111221	3.08	3.09	2.99	3.00	1266855	4026579.00
20111222	2.97	2.98	2.92	2.96	1920533	5918292.00
20111223	2.94	3.02	2.94	2.99	1378198	4300817.00
20111226	3.02	3.04	2.97	3.01	1312016	4118440.00
20111227	3.00	3.02	2.96	2.96	989190	3088123.00
20111228	2.96	2.97	2.91	2.96	1445034	4421865.00
20111229	2.96	3.00	2.93	2.97	2995457	9271096.00
20111230	2.97	3.02	2.96	3.01	3776552	11790744.00
20120104	3.02	3.04	2.95	2.96	2051310	6424732.00
20120105	2.94	2.97	2.91	2.93	2426135	7437452.00
20120106	2.93	2.94	2.88	2.93	2229517	6785674.00
20120109	2.94	3.03	2.91	3.03	3292310	10260935.00
20120110	3.04	3.15	3.02	3.14	5998715	19310584.00
20120111	3.16	3.16	3.09	3.11	3688736	11948160.00
20120112	3.10	3.13	3.07	3.09	2389079	7724553.00
20120113	3.09	3.11	3.00	3.03	2866721	9096331.00
20120116	3.03	3.03	2.97	2.99	1633779	5118969.00
20120117	3.00	3.14	2.97	3.12	4397039	14108027.00
20120118	3.13	3.16	3.07	3.07	4524652	14664388.00
20120119	3.07	3.13	3.04	3.12	3546978	11451110.00
20120120	3.12	3.15	3.10	3.14	3378952	11022664.00
20120130	3.14	3.15	3.09	3.10	2426328	7879031.00
20120131	3.09	3.11	3.05	3.07	1732907	5552186.00
20120201	3.10	3.10	3.06	3.07	1657182	5313027.00
20120202	3.06	3.11	3.05	3.11	2745908	8814950.00
20120203	3.10	3.14	3.08	3.12	3514623	11398627.00
20120206	3.12	3.14	3.11	3.12	3002703	9771812.00
20120207	3.12	3.12	3.05	3.06	2943827	9425372.00
20120208	3.07	3.12	3.05	3.12	3338209	10762285.00
20120209	3.12	3.17	3.11	3.14	6389715	20857744.00
20120210	3.14	3.18	3.11	3.17	6056908	19940556.00
20120213	3.16	3.19	3.13	3.19	4081522	13471672.00
20120214	3.18	3.19	3.12	3.12	9364195	30601306.00
20120215	3.13	3.31	3.12	3.25	13802216	46020420.00
20120216	3.22	3.25	3.18	3.22	6453390	21615860.00
20120217	3.23	3.29	3.21	3.26	5060748	17106022.00
20120220	3.29	3.31	3.25	3.25	4257035	14497716.00
