600007 中国国贸 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	7.83	7.94	7.69	7.85	3503042	31513286.00
20111011	7.89	8.00	7.81	7.90	2442660	22044700.00
20111012	7.85	8.11	7.82	8.09	2552076	23432452.00
20111013	8.08	8.09	7.92	8.08	2181512	20001022.00
20111014	7.99	8.17	7.91	8.11	1487662	13716770.00
20111017	8.10	8.17	8.06	8.13	1310372	12163767.00
20111018	8.08	8.09	7.82	7.83	2267971	20621100.00
20111019	7.83	8.12	7.83	8.11	1288089	11796839.00
20111020	8.14	8.16	7.84	8.01	1003311	9136301.00
20111021	8.02	8.12	7.89	8.00	1087938	9980202.00
20111024	8.01	8.69	7.90	8.51	4046900	38464880.00
20111025	8.45	8.84	8.30	8.68	4086992	39966052.00
20111026	8.54	9.04	8.48	8.64	4841488	48098032.00
20111027	8.66	8.76	8.54	8.65	1942452	19021886.00
20111028	8.69	8.88	8.66	8.74	2213944	21982808.00
20111031	8.74	9.05	8.54	8.95	4151366	41499904.00
20111101	8.75	8.94	8.74	8.85	1336056	13381914.00
20111102	8.83	8.96	8.57	8.85	2388393	23792056.00
20111103	8.85	8.94	8.67	8.68	2759586	27562614.00
20111104	8.71	8.81	8.65	8.78	2109476	20887992.00
20111107	8.86	9.08	8.72	8.91	3395534	34228124.00
20111108	8.92	8.92	8.62	8.64	1689336	16739291.00
20111109	8.62	8.71	8.42	8.64	2750970	26717106.00
20111110	8.54	8.70	8.42	8.58	1280199	12431485.00
20111111	8.57	8.68	8.48	8.59	643244	6270253.00
20111114	8.59	8.84	8.59	8.75	927620	9197287.00
20111115	8.66	8.79	8.63	8.72	1009110	9967908.00
20111116	8.72	9.02	8.55	9.01	2891597	28811116.00
20111117	8.85	9.00	8.79	8.83	2109143	21187682.00
20111118	8.74	8.89	8.52	8.83	1901930	18678712.00
20111121	8.66	8.82	8.64	8.80	865054	8574661.00
20111122	8.68	8.79	8.57	8.75	727400	7165808.00
20111123	8.74	8.81	8.57	8.60	928407	9123069.00
20111124	8.56	8.70	8.46	8.58	634914	6177671.00
20111125	8.64	8.74	8.44	8.50	562367	5455567.00
20111128	8.50	8.59	8.47	8.55	890515	8630639.00
20111129	8.64	8.68	8.44	8.59	807521	7847398.00
20111130	8.59	8.76	8.20	8.70	2530422	24544530.00
20111201	8.77	8.99	8.64	8.81	2403334	24129676.00
20111202	8.70	8.90	8.69	8.82	1216940	12127150.00
20111205	8.75	8.88	8.55	8.56	1276039	12577404.00
20111206	8.54	8.59	8.36	8.54	1599849	15418731.00
20111207	8.42	8.61	8.42	8.54	624494	6059742.00
20111208	8.49	8.70	8.39	8.61	759618	7425053.00
20111209	8.54	8.69	8.47	8.54	430553	4188630.00
20111212	8.52	8.63	8.45	8.54	529782	5130208.00
20111213	8.54	8.54	8.20	8.26	664870	6317694.00
20111214	8.15	8.24	8.03	8.05	607341	5631600.00
20111215	8.02	8.08	7.76	7.99	867559	7879982.00
20111216	7.99	8.14	7.84	8.09	535475	4910824.00
20111219	7.95	8.09	7.85	8.05	298440	2725670.00
20111220	8.05	8.08	7.94	8.04	493451	4519410.00
20111221	8.04	8.08	7.92	7.94	514834	4724070.00
20111222	7.94	8.05	7.61	8.02	1335241	11949112.00
20111223	7.89	8.05	7.89	7.96	356786	3257781.00
20111226	7.95	7.96	7.83	7.93	619631	5610349.00
20111227	7.93	7.94	7.65	7.93	823447	7382183.00
20111228	7.92	7.92	7.64	7.70	706992	6270639.00
20111229	7.65	7.84	7.65	7.81	740252	6609844.00
20111230	7.79	7.97	7.72	7.96	714051	6427520.00
20120104	7.99	7.99	7.78	7.79	544980	4901425.00
20120105	7.88	7.88	7.59	7.59	973800	8637084.00
20120106	7.53	7.68	7.53	7.65	364403	3194139.00
20120109	7.60	7.91	7.60	7.91	260347	2338118.00
20120110	7.90	8.13	7.82	8.04	675643	6194726.00
20120111	8.09	8.15	7.99	8.11	455771	4203367.00
20120112	8.05	8.16	8.00	8.02	350765	3235040.00
20120113	8.03	8.07	7.75	8.02	570726	5194349.00
20120116	7.94	8.07	7.85	7.89	139192	1274268.00
20120117	8.02	8.33	7.88	8.23	805952	7483613.00
20120118	8.23	8.23	8.02	8.09	366960	3405646.00
20120119	8.02	8.18	8.01	8.07	326225	3027113.00
20120120	8.04	8.17	8.00	8.10	189904	1762496.00
20120130	8.14	8.14	8.02	8.04	280794	2586253.00
20120131	8.02	8.11	7.94	7.99	241382	2207843.00
20120201	7.99	8.12	7.93	8.00	360105	3293794.00
20120202	7.96	8.06	7.93	8.05	353231	3234625.00
20120203	8.05	8.23	7.98	8.21	820928	7629804.00
20120206	8.26	8.26	8.08	8.16	473340	4408378.00
20120207	8.16	8.16	8.04	8.11	224119	2071585.00
20120208	8.11	8.30	8.07	8.30	808303	7565579.00
20120209	8.29	8.34	8.20	8.23	395772	3734315.00
20120210	8.23	8.59	8.20	8.48	2411302	23346276.00
20120213	8.42	8.55	8.29	8.54	1169366	11204944.00
20120214	8.53	8.55	8.34	8.49	550996	5305567.00
20120215	8.44	8.60	8.43	8.59	398867	3868495.00
20120216	8.56	8.62	8.49	8.59	466422	4529018.00
20120217	8.54	8.59	8.44	8.55	287453	2779335.00
20120220	8.59	8.69	8.51	8.67	1004808	9814490.00
20120221	8.64	8.72	8.54	8.71	606171	5933920.00
20120222	8.69	8.77	8.59	8.72	578402	5716750.00
