600010 包钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	1.98	2.00	1.91	1.92	21409663	118122160.00
20111011	1.98	2.00	1.86	1.92	35591502	194942992.00
20111012	1.90	2.00	1.86	1.98	53706477	297799008.00
20111013	1.97	2.05	1.96	2.01	66491835	377522304.00
20111014	1.98	2.00	1.96	1.97	34263231	191809664.00
20111017	1.98	2.00	1.93	1.95	30975838	171845776.00
20111018	1.92	1.94	1.83	1.83	42698094	226875296.00
20111019	1.83	1.86	1.79	1.81	30095178	155180640.00
20111020	1.81	1.83	1.75	1.78	38399615	194933712.00
20111021	1.78	1.78	1.69	1.71	38883214	190149456.00
20111024	1.71	1.73	1.63	1.72	43636439	209162112.00
20111025	1.71	1.82	1.67	1.77	72931495	362623904.00
20111026	1.76	1.85	1.75	1.80	80330603	411322144.00
20111027	1.81	1.83	1.78	1.80	51142426	261314256.00
20111028	1.82	1.87	1.81	1.84	73997485	385601600.00
20111031	1.83	1.84	1.80	1.81	47114465	241986928.00
20111101	1.79	1.82	1.78	1.79	36620790	186689408.00
20111102	1.76	1.79	1.72	1.79	50123424	248747456.00
20111103	1.79	1.88	1.79	1.82	100363128	522947520.00
20111104	1.83	1.87	1.82	1.84	63409868	330506944.00
20111107	1.85	1.93	1.85	1.90	94083260	503289760.00
20111108	1.91	1.92	1.84	1.85	57279478	303040960.00
20111109	1.85	1.87	1.81	1.85	48396160	251636016.00
20111110	1.83	1.92	1.81	1.84	81387472	432098656.00
20111111	1.86	1.87	1.81	1.83	42472237	220476768.00
20111114	1.85	1.87	1.82	1.85	45812827	239959600.00
20111115	1.85	1.92	1.83	1.90	92409714	494302464.00
20111116	1.88	1.89	1.81	1.82	61176973	320135648.00
20111117	1.82	1.84	1.80	1.81	28146087	144972560.00
20111118	1.80	1.80	1.72	1.73	49903160	247555904.00
20111121	1.73	1.74	1.70	1.72	25131628	122352592.00
20111122	1.70	1.72	1.68	1.71	22804331	110286464.00
20111123	1.72	1.73	1.69	1.69	16556262	80062832.00
20111124	1.68	1.70	1.65	1.70	22569295	107608432.00
20111125	1.69	1.72	1.67	1.68	15991826	76543248.00
20111128	1.68	1.70	1.65	1.66	19308666	91263712.00
20111129	1.67	1.68	1.66	1.68	23906304	113246872.00
20111130	1.67	1.67	1.52	1.56	44358741	200777728.00
20111202	1.58	1.60	1.55	1.55	32612338	145499088.00
20111205	1.55	1.55	1.50	1.50	21611447	93056992.00
20111206	1.50	1.52	1.48	1.51	21671574	91979816.00
20111207	1.51	1.52	1.50	1.50	18238912	78135520.00
20111208	1.51	1.64	1.51	1.57	78790830	351619168.00
20111209	1.53	1.55	1.51	1.52	34622888	150197616.00
20111212	1.52	1.52	1.48	1.51	19704932	83845784.00
20111213	1.49	1.50	1.41	1.43	33429309	137792576.00
20111214	1.41	1.44	1.39	1.40	25591749	102761960.00
20111215	1.38	1.38	1.32	1.33	32539897	124537872.00
20111216	1.34	1.37	1.32	1.36	26916383	102726360.00
20111219	1.36	1.36	1.30	1.36	28138936	106562280.00
20111220	1.35	1.38	1.34	1.36	33554539	130440976.00
