600011 华能国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	2.43	2.47	2.39	2.41	1547680	6519722.00
20111011	2.52	2.53	2.40	2.41	2701097	11398514.00
20111012	2.42	2.52	2.38	2.51	3450931	14655000.00
20111013	2.50	2.58	2.48	2.55	7241381	31241136.00
20111014	2.52	2.55	2.50	2.53	2590884	11150479.00
20111017	2.55	2.56	2.51	2.51	1439154	6201194.00
20111018	2.50	2.50	2.40	2.41	1781263	7532201.00
20111019	2.41	2.45	2.38	2.39	1939971	8129723.00
20111020	2.39	2.39	2.25	2.28	3519544	14363201.00
20111021	2.28	2.32	2.28	2.30	2314650	9442729.00
20111024	2.23	2.39	2.23	2.36	3234563	13268514.00
20111025	2.35	2.48	2.34	2.44	6754127	28537830.00
20111026	2.43	2.60	2.40	2.53	7168883	30902772.00
20111027	2.54	2.92	2.54	2.72	14261956	64369768.00
20111028	2.72	2.81	2.72	2.74	7713344	34929168.00
20111031	2.74	3.04	2.67	2.99	18146808	85098920.00
20111101	2.92	3.13	2.89	2.98	14004664	67522040.00
20111102	2.92	3.08	2.90	3.04	8601001	41160288.00
20111103	3.03	3.06	2.96	2.97	8713005	41775160.00
20111104	2.95	3.08	2.92	3.03	6666631	32046846.00
20111107	2.96	3.10	2.96	3.04	4766820	23028032.00
20111108	3.03	3.27	3.02	3.22	13869145	68969976.00
20111109	3.24	3.27	3.08	3.19	5028862	24848632.00
20111110	3.17	3.17	3.05	3.16	6384997	31191030.00
20111111	3.09	3.26	3.08	3.21	7796268	38697564.00
20111114	3.23	3.38	3.23	3.30	10707645	54582472.00
20111115	3.31	3.43	3.29	3.37	8087548	41780928.00
20111116	3.37	3.37	3.07	3.11	10035362	49411376.00
20111117	3.07	3.23	3.07	3.14	7027240	34698944.00
20111118	3.14	3.14	2.94	3.01	5769070	27714222.00
20111121	3.01	3.11	2.80	2.82	12268810	57240632.00
20111122	2.82	3.12	2.82	3.05	11542572	55033656.00
20111123	3.01	3.25	3.01	3.19	10140352	50459732.00
20111124	3.18	3.25	3.04	3.21	8376058	41538140.00
20111125	3.21	3.26	2.98	3.06	8357866	40900104.00
20111128	3.08	3.14	2.95	3.08	4081178	19833704.00
20111129	3.08	3.24	3.05	3.19	5733488	28459712.00
20111130	3.22	3.22	2.94	3.06	5665621	27456556.00
20111201	3.22	3.25	2.81	2.98	27545321	131231480.00
20111202	2.91	2.91	2.65	2.70	10700765	48480012.00
20111205	2.67	2.70	2.46	2.50	12194692	52484888.00
20111206	2.47	2.56	2.38	2.52	9431786	40199848.00
20111207	2.53	2.53	2.47	2.52	5324543	22873032.00
20111208	2.51	2.54	2.45	2.52	5931060	25488520.00
20111209	2.50	2.69	2.44	2.63	8603394	37902936.00
20111212	2.64	2.84	2.59	2.80	10454779	47344880.00
20111213	2.80	2.81	2.69	2.78	3771954	17021668.00
20111214	2.73	3.22	2.70	3.02	13384383	64600228.00
20111215	2.95	3.32	2.94	3.25	30120933	150762992.00
20111216	3.22	3.25	3.11	3.22	13134222	65270088.00
20111219	3.17	3.33	3.13	3.26	14438874	73086064.00
20111220	3.25	3.33	3.17	3.28	14001816	70818600.00
20111221	3.24	3.34	3.24	3.32	10697893	54418880.00
20111222	3.30	3.39	3.03	3.26	10621056	53140796.00
20111223	3.20	3.57	3.20	3.52	42565132	224052896.00
20111226	3.51	3.91	3.45	3.49	27090533	146585552.00
20111227	3.50	3.52	3.34	3.38	9046732	47168040.00
20111228	3.35	3.41	3.20	3.39	9582536	48812044.00
20111229	3.39	3.64	3.34	3.50	22514121	118814024.00
20111230	3.47	3.64	3.47	3.57	23341252	125108176.00
20120104	3.62	3.67	3.55	3.58	8211932	44118668.00
20120105	3.57	3.63	3.45	3.47	10441719	55854572.00
20120106	3.42	3.64	3.41	3.54	17073106	90739960.00
20120109	3.55	3.75	3.50	3.66	26043496	142607888.00
20120110	3.66	3.73	3.59	3.71	16498604	89799760.00
20120111	3.69	3.74	3.54	3.61	15066380	81922288.00
20120112	3.59	3.71	3.59	3.59	10374107	56059312.00
20120113	3.60	3.64	3.39	3.56	6727936	35476640.00
20120116	3.52	3.58	3.43	3.44	5473539	28777516.00
20120117	3.41	3.95	3.41	3.71	6637085	36495752.00
20120118	3.70	3.76	3.50	3.53	4846416	26256884.00
20120119	3.53	3.72	3.50	3.58	3910993	21162770.00
20120120	3.56	3.70	3.56	3.65	3986664	21552762.00
20120130	3.64	3.75	3.55	3.59	12101070	66232028.00
20120131	3.53	3.84	3.51	3.72	19936068	109831400.00
20120201	3.71	3.82	3.67	3.72	18931409	104627800.00
