600012 皖通高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.23	3.23	3.18	3.20	1017115	4370387.00
20111011	3.26	3.29	3.17	3.20	1456058	6282769.00
20111012	3.18	3.33	3.16	3.32	3130370	13661458.00
20111013	3.31	3.37	3.28	3.36	2167921	9596826.00
20111014	3.36	3.36	3.30	3.32	1856726	8183845.00
20111017	3.32	3.37	3.31	3.33	1241711	5493380.00
20111018	3.31	3.32	3.23	3.24	1065105	4637305.00
20111019	3.24	3.27	3.22	3.26	1295395	5612120.00
20111020	3.25	3.25	3.15	3.20	1999133	8575103.00
20111021	3.22	3.22	3.16	3.20	770888	3294349.00
20111024	3.20	3.27	3.17	3.27	1680648	7260389.00
20111025	3.27	3.37	3.24	3.36	3224938	14207809.00
20111026	3.33	3.41	3.32	3.36	2904240	12957865.00
20111027	3.36	3.44	3.36	3.37	2414709	10833666.00
20111028	3.41	3.46	3.39	3.46	3656369	16510222.00
20111031	3.46	3.47	3.40	3.42	1980826	8959071.00
20111101	3.40	3.45	3.37	3.42	2297040	10337715.00
20111102	3.35	3.47	3.34	3.46	2772026	12471505.00
20111103	3.47	3.52	3.45	3.48	3676853	16842012.00
20111104	3.49	3.53	3.45	3.48	2427701	11088677.00
20111107	3.47	3.51	3.44	3.47	2200406	10052416.00
20111108	3.46	3.52	3.46	3.49	2689170	12313972.00
20111109	3.49	3.50	3.42	3.48	2655981	12094607.00
20111110	3.45	3.46	3.31	3.43	4181133	18858326.00
20111111	3.41	3.43	3.36	3.37	2249693	10100428.00
20111114	3.40	3.46	3.39	3.46	2479608	11196827.00
20111115	3.44	3.48	3.42	3.45	1840685	8344153.00
20111116	3.46	3.49	3.36	3.43	3731193	16828288.00
20111117	3.41	3.46	3.39	3.45	2585599	11673901.00
20111118	3.42	3.43	3.35	3.37	1825354	8153625.00
20111121	3.36	3.40	3.34	3.40	1858991	8302176.00
20111122	3.36	3.54	3.36	3.49	6789803	31031008.00
20111123	3.51	3.51	3.39	3.41	3597960	16263354.00
20111124	3.38	3.43	3.37	3.40	2094451	9387582.00
20111125	3.39	3.44	3.36	3.38	1363954	6110883.00
20111128	3.36	3.39	3.32	3.33	1560373	6906709.00
20111129	3.36	3.37	3.33	3.36	1798234	7979036.00
20111130	3.34	3.36	3.20	3.22	2212455	9648728.00
20111201	3.31	3.36	3.28	3.30	1927922	8500557.00
20111202	3.29	3.29	3.23	3.27	938222	4076369.00
20111205	3.26	3.28	3.22	3.24	991548	4298598.00
20111206	3.23	3.25	3.19	3.23	1214604	5245077.00
20111207	3.23	3.36	3.21	3.29	1494255	6511790.00
20111208	3.27	3.28	3.22	3.27	1012012	4404952.00
20111209	3.23	3.28	3.23	3.25	660749	2868455.00
20111212	3.24	3.37	3.23	3.32	3917731	17324086.00
20111213	3.29	3.36	3.29	3.32	2879464	12695898.00
20111214	3.32	3.43	3.30	3.37	4912332	21994650.00
20111215	3.35	3.43	3.27	3.28	3726227	16620537.00
20111216	3.26	3.34	3.19	3.33	2511530	10870049.00
20111219	3.30	3.34	3.21	3.34	1922166	8382076.00
