600015 华夏银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.94	3.96	3.85	3.91	15375282	153393648.00
20111011	4.12	4.15	3.90	4.00	36942994	378831168.00
20111012	3.95	4.36	3.92	4.31	54964100	584015296.00
20111013	4.27	4.33	4.21	4.32	29772817	318628992.00
20111014	4.30	4.39	4.25	4.35	33165559	358813184.00
20111017	4.35	4.50	4.33	4.47	43135506	475318368.00
20111018	4.41	4.45	4.26	4.30	30273122	329187328.00
20111019	4.31	4.44	4.25	4.40	38058039	413496160.00
20111020	4.36	4.41	4.25	4.36	21784450	235664864.00
20111021	4.33	4.55	4.32	4.48	35451737	393309568.00
20111024	4.52	4.70	4.46	4.59	42513029	479895744.00
20111025	4.60	4.67	4.52	4.58	38449502	434120288.00
20111026	4.56	4.70	4.54	4.59	34489219	391170752.00
20111027	4.59	4.69	4.48	4.67	25589814	288466400.00
20111028	4.74	4.81	4.59	4.68	31007598	357555680.00
20111031	4.63	4.65	4.47	4.49	36898353	411929312.00
20111101	4.45	4.62	4.43	4.56	31681891	354900480.00
20111102	4.48	4.75	4.46	4.72	26670769	302344768.00
20111103	4.73	4.75	4.55	4.58	45164657	513979744.00
20111104	4.63	4.65	4.52	4.59	26024545	292937696.00
20111107	4.53	4.57	4.43	4.44	26949743	298999072.00
20111108	4.48	4.52	4.44	4.49	16166697	179425696.00
20111109	4.52	4.56	4.44	4.51	14900219	165938752.00
20111110	4.47	4.52	4.41	4.42	29736264	329260416.00
20111111	4.43	4.50	4.32	4.36	27161876	296874592.00
20111114	4.40	4.47	4.36	4.45	27700656	304245312.00
20111115	4.44	4.45	4.34	4.38	18865072	205654528.00
20111116	4.38	4.38	4.16	4.24	30986793	330354624.00
20111117	4.24	4.25	4.18	4.19	15082224	159763648.00
20111118	4.15	4.25	4.14	4.16	14402609	151698592.00
20111121	4.17	4.19	4.07	4.16	11717839	122121112.00
20111122	4.13	4.26	4.11	4.24	19093438	201587568.00
20111123	4.24	4.24	4.08	4.14	17681974	184901600.00
20111124	4.11	4.23	4.10	4.19	16010105	168347776.00
20111125	4.17	4.23	4.11	4.22	11160087	117419704.00
20111128	4.22	4.26	4.17	4.17	11590704	122781872.00
20111129	4.24	4.26	4.14	4.24	15922371	168233808.00
20111130	4.21	4.21	4.02	4.11	20172256	209961888.00
20111201	4.30	4.49	4.27	4.31	54698368	594474688.00
20111202	4.28	4.42	4.27	4.38	20714566	224818080.00
20111205	4.39	4.49	4.33	4.42	23629403	260115824.00
20111206	4.39	4.49	4.37	4.40	20537650	226310976.00
20111207	4.40	4.56	4.36	4.51	25030243	277534144.00
20111208	4.49	4.55	4.47	4.50	20308999	226389776.00
20111209	4.44	4.48	4.37	4.40	12477166	136673552.00
20111212	4.38	4.47	4.30	4.37	15260670	166632704.00
20111213	4.35	4.44	4.30	4.31	19247301	209422208.00
20111214	4.30	4.38	4.29	4.34	14804258	160159952.00
20111215	4.32	4.36	4.27	4.30	16082891	173518752.00
20111216	4.34	4.60	4.26	4.57	52307379	577467648.00
20111219	4.52	4.59	4.40	4.55	21128488	235305056.00
20111220	4.51	4.80	4.50	4.62	27269891	312465120.00
20111221	4.67	4.72	4.51	4.59	17709181	201234016.00
20111222	4.49	4.69	4.49	4.59	18230758	206192144.00
20111223	4.58	4.67	4.49	4.55	15825140	178436432.00
20111226	4.50	4.57	4.49	4.53	12466082	139263984.00
20111227	4.56	4.57	4.46	4.49	8480646	94490784.00
20111228	4.46	4.54	4.35	4.49	13201859	145339072.00
20111229	4.46	4.48	4.36	4.40	13538832	148327424.00
20111230	4.41	4.58	4.41	4.56	22447162	249300336.00
20120104	4.57	4.66	4.49	4.50	18122685	204549216.00
20120105	4.54	4.72	4.51	4.62	26723053	304018336.00
20120106	4.59	4.69	4.56	4.64	19617137	222349840.00
20120109	4.64	4.81	4.60	4.80	41732586	483532928.00
20120110	4.81	4.88	4.74	4.86	23773681	278288160.00
20120111	4.87	4.87	4.77	4.78	13406018	156954752.00
20120112	4.76	4.90	4.75	4.83	25422253	299982304.00
20120113	4.85	4.88	4.73	4.74	19017874	222176160.00
20120116	4.70	4.81	4.65	4.70	17057328	198167376.00
20120117	4.73	4.89	4.62	4.89	25793048	301439712.00
20120118	4.86	4.88	4.75	4.80	16074203	188245936.00
20120119	4.79	4.92	4.74	4.85	21836441	256529040.00
20120120	4.89	5.04	4.83	5.03	45304354	541252352.00
20120130	5.02	5.03	4.91	4.94	22604375	271512608.00
20120131	4.97	5.00	4.86	4.92	9723875	115678368.00
20120201	4.86	4.93	4.73	4.76	22569957	264108320.00
20120202	4.78	4.97	4.75	4.94	24185663	285388896.00
20120203	4.91	5.03	4.90	4.97	37145863	445058368.00
20120206	4.99	4.99	4.80	4.86	31523295	372926912.00
20120207	4.83	4.83	4.70	4.73	21793480	252330528.00
20120208	4.74	4.90	4.72	4.87	33865792	396307136.00
20120209	4.85	4.87	4.78	4.85	30837484	361574464.00
20120210	4.81	4.88	4.75	4.79	30577375	357875648.00
20120213	4.67	4.80	4.65	4.70	39393031	452591616.00
20120214	4.70	4.70	4.59	4.68	28462331	323699360.00
20120215	4.67	4.73	4.63	4.68	35155804	402258176.00
20120216	4.68	4.70	4.62	4.65	26058391	297196800.00
20120217	4.69	4.71	4.59	4.63	31759159	361491360.00
20120220	4.74	4.74	4.60	4.64	48636850	556099520.00
20120221	4.65	4.66	4.60	4.65	31530628	358557056.00
20120222	4.66	4.71	4.62	4.71	51117585	583661952.00
20120223	4.70	4.72	4.66	4.69	40856230	469165312.00
20120224	4.69	4.83	4.65	4.81	69530274	804111488.00
20120227	4.81	4.86	4.76	4.77	68123872	796574208.00
20120228	4.77	4.87	4.77	4.82	59402161	696563840.00
20120229	4.81	4.81	4.73	4.74	27048027	314519360.00
20120301	4.71	4.77	4.69	4.72	19210467	221937200.00
20120302	4.72	4.80	4.71	4.80	30462974	354220256.00
20120305	4.83	4.83	4.71	4.72	35321858	409736384.00
20120306	4.70	4.73	4.54	4.56	33103407	374433312.00
20120307	4.51	4.55	4.46	4.47	32854146	366220064.00
20120308	4.50	4.57	4.48	4.51	36350099	405026112.00
20120309	4.52	4.57	4.48	4.55	31966703	357222144.00
20120312	4.54	4.55	4.44	4.48	35665467	395084512.00
20120313	4.48	4.59	4.47	4.57	40496298	454858048.00
20120314	4.60	4.63	4.43	4.46	45467217	509545696.00
20120315	4.46	4.50	4.40	4.41	26163137	288925280.00
20120316	4.45	4.47	4.37	4.44	21434735	235268288.00
20120319	4.43	4.44	4.38	4.42	21599873	236556320.00
