600016 民生银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.17	3.19	3.04	3.09	126196311	681606912.00
20111011	3.24	3.27	3.13	3.16	123875437	685305728.00
20111012	3.13	3.44	3.11	3.39	231081193	1319636480.00
20111013	3.34	3.42	3.33	3.39	121875211	701587776.00
20111014	3.40	3.43	3.34	3.42	97231542	560027648.00
20111017	3.42	3.56	3.39	3.46	126807368	746975168.00
20111018	3.42	3.48	3.36	3.37	94437348	546977216.00
20111019	3.38	3.46	3.38	3.41	81615847	473174400.00
20111020	3.39	3.44	3.29	3.36	116971154	670298240.00
20111021	3.38	3.51	3.34	3.45	134538005	786185280.00
20111024	3.47	3.59	3.45	3.57	200847309	1192958208.00
20111025	3.54	3.59	3.52	3.59	158053629	944907520.00
20111026	3.58	3.64	3.54	3.56	216276186	1301775232.00
20111027	3.59	3.66	3.55	3.64	145375575	877419072.00
20111028	3.74	3.81	3.68	3.73	255505645	1580658560.00
20111031	3.70	3.74	3.65	3.68	93523741	572760448.00
20111101	3.65	3.75	3.64	3.68	134501854	825499584.00
20111102	3.60	3.82	3.59	3.81	188610903	1162265088.00
20111103	3.83	3.86	3.73	3.74	208026328	1298799872.00
20111104	3.79	3.81	3.70	3.77	109687077	679950464.00
20111107	3.73	3.76	3.66	3.66	95548371	586442048.00
20111108	3.69	3.73	3.64	3.68	99081197	605028800.00
20111109	3.70	3.72	3.64	3.72	73262581	448391456.00
20111110	3.65	3.70	3.62	3.63	98693813	600347008.00
20111111	3.65	3.66	3.59	3.63	67537535	408400928.00
20111114	3.65	3.72	3.64	3.68	121251176	740686336.00
20111115	3.67	3.67	3.59	3.61	90091787	543416576.00
20111116	3.60	3.62	3.48	3.49	138317619	820652544.00
20111117	3.50	3.54	3.49	3.50	64313971	380600864.00
20111118	3.47	3.53	3.45	3.48	71602418	420849472.00
20111121	3.49	3.50	3.40	3.46	59228943	344958176.00
20111122	3.44	3.54	3.43	3.51	63403506	372641344.00
20111123	3.51	3.54	3.42	3.44	60789072	355275200.00
20111124	3.41	3.52	3.40	3.47	51537235	301631264.00
20111125	3.45	3.47	3.42	3.44	34786734	202615136.00
20111128	3.46	3.48	3.43	3.45	45728765	266869504.00
