600017 日照港 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.06	3.10	3.02	3.04	2523700	8090867.00
20111011	3.09	3.11	3.03	3.06	3224263	10432100.00
20111012	3.03	3.13	3.02	3.13	4718977	15328898.00
20111013	3.13	3.17	3.11	3.15	4999241	16451215.00
20111014	3.14	3.15	3.09	3.12	3525415	11503416.00
20111017	3.15	3.16	3.11	3.13	2866470	9424871.00
20111018	3.12	3.12	3.04	3.05	3281197	10584174.00
20111019	3.05	3.07	3.01	3.03	3073461	9793308.00
20111020	3.02	3.02	2.94	2.95	5382110	16749194.00
20111021	2.94	2.97	2.93	2.93	2230550	6906098.00
20111024	2.94	3.00	2.93	3.00	3011240	9381229.00
20111025	3.00	3.05	2.96	3.03	5695969	18011618.00
20111026	3.02	3.09	3.00	3.05	8828748	28371506.00
20111027	3.06	3.10	3.05	3.08	7026980	22674164.00
20111028	3.11	3.16	3.08	3.15	9009034	29341502.00
20111031	3.15	3.15	3.09	3.11	5342645	17442092.00
20111101	3.10	3.12	3.07	3.09	4609230	14951074.00
20111102	3.06	3.11	3.03	3.11	7496487	24080588.00
20111103	3.13	3.18	3.11	3.13	12799859	42118820.00
20111104	3.14	3.17	3.10	3.15	8977449	29514376.00
20111107	3.15	3.25	3.14	3.18	14547802	48814644.00
20111108	3.18	3.20	3.13	3.14	5096807	16889432.00
20111109	3.13	3.18	3.12	3.15	4109487	13536417.00
20111110	3.13	3.13	3.09	3.09	6365731	20758744.00
20111111	3.09	3.12	3.08	3.09	2933854	9527564.00
20111114	3.11	3.15	3.11	3.15	4450773	14616604.00
20111115	3.15	3.23	3.13	3.20	10776523	35945696.00
20111116	3.21	3.21	3.10	3.12	5505301	18148208.00
20111117	3.10	3.15	3.09	3.10	3309749	10803203.00
20111118	3.10	3.10	3.00	3.01	4722254	15058800.00
20111121	3.01	3.03	2.99	3.02	2566550	8095816.00
20111122	3.01	3.02	2.98	3.01	2731632	8590120.00
20111124	2.97	3.00	2.95	2.99	2696174	8418892.00
20111125	3.01	3.01	2.95	2.95	2424473	7560753.00
20111128	2.96	2.98	2.95	2.96	1904747	5928600.00
20111129	3.00	3.00	2.96	2.99	2355448	7372711.00
20111130	2.99	3.00	2.85	2.87	5020832	15355472.00
20111201	2.92	2.96	2.91	2.93	4802461	14833201.00
20111202	2.93	2.93	2.87	2.91	2413901	7346083.00
20111205	2.88	2.90	2.83	2.83	3796291	11393171.00
20111206	2.84	2.86	2.81	2.83	2596443	7746004.00
20111207	2.84	2.86	2.82	2.85	1820172	5449989.00
20111208	2.85	2.86	2.80	2.84	2865660	8547273.00
20111209	2.84	2.88	2.81	2.87	3294251	9858241.00
20111212	2.87	2.87	2.83	2.83	1569399	4702330.00
20111213	2.82	2.82	2.73	2.74	4109351	11945224.00
20111214	2.74	2.74	2.67	2.68	2273758	6501894.00
20111215	2.67	2.67	2.55	2.56	4859519	13365461.00
20111216	2.58	2.64	2.56	2.64	3138013	8614544.00
20111219	2.64	2.64	2.56	2.62	2103998	5777808.00
20111220	2.62	2.64	2.60	2.62	1978042	5489896.00
20111221	2.63	2.70	2.60	2.61	4902393	13783196.00
20111222	2.62	2.89	2.55	2.73	13739734	39168292.00
20111223	2.72	2.78	2.65	2.72	13703815	39192648.00
20111226	2.70	2.71	2.65	2.67	4589400	12972880.00
20111227	2.66	2.66	2.58	2.59	3251345	9020671.00
