600018 上港集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	2.33	2.33	2.25	2.27	9376873	27988744.00
20111011	2.32	2.35	2.28	2.30	6664904	20039466.00
20111012	2.30	2.39	2.27	2.37	9881208	30011698.00
20111013	2.37	2.43	2.35	2.43	14472822	44685532.00
20111014	2.42	2.42	2.38	2.41	4793093	14807861.00
20111017	2.41	2.45	2.39	2.39	4776668	14855472.00
20111018	2.39	2.39	2.33	2.34	4123100	12571767.00
20111019	2.36	2.38	2.33	2.34	3344024	10184445.00
20111020	2.34	2.36	2.29	2.30	4311050	12938038.00
20111021	2.31	2.34	2.29	2.30	3188509	9563888.00
20111024	2.30	2.38	2.29	2.37	4786900	14490408.00
20111025	2.37	2.42	2.34	2.41	7625057	23484524.00
20111026	2.39	2.44	2.38	2.43	11123134	34560564.00
20111027	2.48	2.59	2.47	2.49	15645033	50276792.00
20111028	2.49	2.54	2.46	2.51	10588543	33780540.00
20111031	2.49	2.50	2.45	2.47	6627526	20951584.00
20111101	2.46	2.50	2.43	2.46	6048204	19112238.00
20111102	2.44	2.52	2.42	2.51	8274336	26158852.00
20111103	2.53	2.58	2.50	2.54	15798215	51130404.00
20111104	2.57	2.58	2.51	2.54	11750680	37891324.00
20111107	2.53	2.55	2.51	2.53	6145969	19764056.00
20111108	2.52	2.53	2.47	2.48	10309138	32776888.00
20111109	2.49	2.50	2.46	2.49	4256548	13504011.00
20111110	2.47	2.47	2.42	2.42	7881623	24689164.00
20111111	2.44	2.46	2.43	2.44	3909435	12269764.00
20111114	2.46	2.49	2.45	2.48	4295703	13605645.00
20111115	2.49	2.49	2.46	2.49	4077168	12903112.00
20111116	2.49	2.49	2.40	2.42	6414915	20046684.00
20111117	2.43	2.43	2.39	2.39	5544458	17170112.00
20111118	2.39	2.39	2.33	2.35	5463438	16646610.00
20111121	2.36	2.36	2.32	2.36	3374297	10221502.00
20111122	2.35	2.36	2.32	2.35	3654638	11058337.00
20111123	2.35	2.36	2.31	2.31	5183672	15607082.00
20111124	2.31	2.32	2.29	2.31	4488093	13451784.00
20111125	2.31	2.32	2.29	2.32	3359769	10081328.00
20111128	2.31	2.32	2.27	2.31	4167941	12415765.00
20111129	2.31	2.36	2.31	2.34	4861801	14708008.00
20111130	2.35	2.35	2.25	2.26	6935993	20583012.00
20111201	2.31	2.36	2.28	2.32	8765273	26400490.00
20111202	2.31	2.31	2.26	2.27	3394272	10064225.00
20111205	2.29	2.29	2.26	2.27	3428163	10151120.00
20111206	2.27	2.28	2.25	2.27	2796522	8254237.00
20111207	2.27	2.30	2.26	2.28	3036063	9010321.00
20111208	2.29	2.30	2.25	2.28	2758469	8182216.00
20111209	2.26	2.29	2.25	2.27	2338066	6919012.00
20111212	2.27	2.28	2.20	2.22	4601804	13443809.00
20111213	2.21	2.21	2.15	2.17	7642021	21911472.00
20111214	2.16	2.17	2.11	2.12	4031701	11381369.00
20111215	2.12	2.12	2.03	2.04	5535297	15223851.00
20111216	2.06	2.08	2.03	2.08	9466707	25947680.00
20111219	2.07	2.07	1.96	2.04	6637076	17943096.00
20111220	2.03	2.05	1.99	2.00	6070720	16438621.00
20111221	2.03	2.03	1.96	1.97	8575162	23006340.00
20111222	1.96	1.96	1.89	1.93	7847046	20479536.00
20111223	1.93	1.98	1.90	1.93	8863676	23224188.00
20111226	1.93	1.96	1.91	1.95	4970006	13070762.00
20111227	1.95	1.95	1.90	1.91	4831104	12614105.00
20111228	1.91	1.92	1.86	1.89	6240626	16043954.00
20111229	1.89	1.93	1.87	1.92	6547901	16983780.00
20111230	1.92	1.93	1.86	1.90	14720531	38114048.00
20120104	1.92	1.92	1.88	1.89	7880113	20391336.00
20120105	1.87	1.91	1.85	1.90	11241019	28954276.00
20120106	1.89	1.92	1.88	1.92	10573056	27407932.00
20120109	1.93	1.97	1.91	1.97	9211025	24276814.00
20120110	1.97	2.06	1.95	2.05	12158183	32921468.00
20120111	2.05	2.07	2.01	2.06	8268638	22591966.00
20120112	2.05	2.08	2.03	2.07	7710973	21227392.00
20120113	2.06	2.11	2.03	2.05	9562323	26412984.00
20120116	2.03	2.11	2.02	2.10	9821231	27185868.00
20120117	2.08	2.22	2.08	2.21	14922453	42440424.00
20120118	2.20	2.22	2.15	2.19	10362225	29686082.00
20120119	2.18	2.22	2.17	2.19	6164178	17772660.00
20120120	2.20	2.24	2.17	2.21	5753691	16672630.00
20120130	2.23	2.23	2.10	2.12	7988165	22813856.00
20120131	2.12	2.15	2.11	2.14	2994591	8426276.00
20120201	2.14	2.15	2.11	2.12	2631698	7410002.00
