600019 宝钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	4.21	4.26	4.19	4.21	17382083	88990608.00
20111011	4.30	4.33	4.20	4.25	33802701	174095776.00
20111012	4.22	4.38	4.20	4.37	52395993	273208160.00
20111013	4.34	4.51	4.31	4.43	56204942	297590496.00
20111014	4.38	4.42	4.33	4.38	23665904	124391872.00
20111017	4.39	4.45	4.34	4.36	19250756	101525168.00
20111018	4.33	4.34	4.16	4.21	36210754	186164128.00
20111019	4.22	4.27	4.22	4.24	14991605	76895528.00
20111020	4.21	4.24	4.13	4.17	22960372	116406928.00
20111021	4.18	4.21	4.17	4.18	15711103	79770904.00
20111024	4.19	4.32	4.17	4.31	29669291	152828320.00
20111025	4.31	4.37	4.25	4.35	30704803	160105648.00
20111026	4.32	4.47	4.31	4.40	54288010	287148512.00
20111027	4.40	4.48	4.39	4.40	30159462	160574320.00
20111028	4.46	4.49	4.41	4.47	46508661	248564320.00
20111031	4.42	4.43	4.37	4.38	42875062	226427216.00
20111101	4.35	4.42	4.33	4.36	33390246	175815200.00
20111102	4.31	4.41	4.28	4.40	42976591	224527424.00
20111103	4.41	4.49	4.38	4.47	82260025	439261440.00
20111104	4.48	4.53	4.43	4.49	40265010	216187360.00
20111107	4.49	4.55	4.46	4.47	40055208	216390624.00
20111108	4.50	4.52	4.38	4.42	45818215	244135792.00
20111109	4.41	4.45	4.38	4.43	28789784	152610352.00
20111110	4.39	4.48	4.33	4.36	53200113	281164224.00
20111111	4.37	4.38	4.32	4.34	19447300	101861600.00
20111114	4.37	4.42	4.35	4.39	35942079	189577376.00
20111115	4.39	4.39	4.34	4.36	35093520	184004848.00
20111116	4.35	4.36	4.22	4.24	35465294	183457312.00
20111117	4.26	4.26	4.20	4.23	20697553	105957072.00
20111118	4.20	4.22	4.15	4.17	33460175	169460816.00
20111121	4.17	4.21	4.15	4.21	14689980	74398544.00
20111122	4.18	4.22	4.14	4.18	20189032	102230448.00
20111123	4.17	4.19	4.13	4.14	16984502	85587872.00
20111124	4.11	4.15	4.10	4.13	15489148	77654120.00
20111125	4.13	4.17	4.11	4.12	15331757	76974040.00
20111128	4.15	4.15	4.05	4.09	30019312	149598416.00
20111129	4.11	4.13	4.08	4.12	21791719	108814232.00
20111130	4.11	4.11	3.92	3.95	38990778	190554192.00
20111201	4.03	4.09	3.99	4.02	42904976	211513792.00
20111202	4.00	4.01	3.96	3.96	16589435	80887536.00
20111205	3.97	3.99	3.92	3.99	18986558	91801904.00
20111212	3.99	4.04	3.94	3.96	20483435	100034664.00
20111213	3.94	3.97	3.86	3.88	24025650	115550408.00
20111214	3.88	3.92	3.84	3.86	13504572	64418040.00
20111215	3.84	3.88	3.76	3.77	19925317	93516480.00
20111216	3.77	3.85	3.75	3.83	20748569	97188136.00
20111219	3.81	3.83	3.67	3.82	25523815	118634776.00
20111220	3.81	3.90	3.78	3.87	47451790	225138064.00
20111221	3.89	3.95	3.87	3.92	57496035	276053664.00
