600020 中原高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	2.16	2.27	2.16	2.23	18072070	52527088.00
20111011	2.27	2.29	2.20	2.21	7105377	20601692.00
20111012	2.20	2.27	2.16	2.27	7368349	21436768.00
20111013	2.28	2.28	2.23	2.27	7510297	22002728.00
20111014	2.26	2.27	2.21	2.25	3439680	10009906.00
20111017	2.24	2.26	2.21	2.24	2924031	8487962.00
20111018	2.23	2.23	2.20	2.21	3077083	8857196.00
20111019	2.21	2.21	2.17	2.20	2917667	8333356.00
20111020	2.19	2.19	2.12	2.15	2807483	7906253.00
20111021	2.13	2.16	2.12	2.14	1759760	4936488.00
20111024	2.15	2.17	2.11	2.17	2546848	7151334.00
20111025	2.17	2.24	2.13	2.21	4142942	11862874.00
20111026	2.20	2.24	2.18	2.22	4244438	12271081.00
20111027	2.20	2.25	2.20	2.22	3543510	10291897.00
20111028	2.25	2.26	2.23	2.25	4832975	14074570.00
20111031	2.25	2.25	2.22	2.23	2913350	8453144.00
20111101	2.22	2.25	2.21	2.24	2199897	6391619.00
20111102	2.21	2.27	2.19	2.27	4708355	13687418.00
20111103	2.27	2.30	2.26	2.27	6954560	20539300.00
20111104	2.27	2.29	2.26	2.28	4131292	12178688.00
20111107	2.28	2.31	2.26	2.27	4650125	13755146.00
20111108	2.26	2.39	2.24	2.35	17724588	53226720.00
20111109	2.33	2.36	2.31	2.36	12099935	36415980.00
20111110	2.32	2.44	2.32	2.38	19518029	59922608.00
20111111	2.36	2.38	2.25	2.27	15502132	46144032.00
20111114	2.30	2.32	2.27	2.32	6110328	18174768.00
20111115	2.32	2.32	2.28	2.31	3668279	10886182.00
20111116	2.32	2.34	2.26	2.28	4891246	14554466.00
20111117	2.27	2.29	2.26	2.26	2332963	6864009.00
20111118	2.26	2.26	2.19	2.19	4463805	12879557.00
20111121	2.17	2.22	2.17	2.21	1988216	5684940.00
20111122	2.20	2.23	2.19	2.23	2170097	6251262.00
20111123	2.23	2.24	2.21	2.21	2120073	6131556.00
20111124	2.20	2.21	2.16	2.19	2116533	6046374.00
20111125	2.21	2.21	2.10	2.16	3787412	10708322.00
20111128	2.15	2.17	2.14	2.16	1210400	3416047.00
20111129	2.17	2.19	2.15	2.19	1598032	4538036.00
20111130	2.19	2.19	2.10	2.12	3701903	10317761.00
20111202	2.16	2.16	2.09	2.11	1746177	4858202.00
20111205	2.12	2.12	2.07	2.08	1679380	4609319.00
20111206	2.08	2.10	2.04	2.07	1498684	4088120.00
20111207	2.08	2.10	2.06	2.09	939412	2578472.00
20111208	2.09	2.10	2.05	2.10	1316828	3613279.00
20111209	2.09	2.10	2.06	2.08	881929	2416891.00
20111212	2.09	2.10	2.06	2.09	1453667	3992208.00
20111213	2.07	2.08	2.01	2.04	3129110	8477926.00
20111214	2.02	2.06	2.01	2.03	1462235	3942595.00
20111215	2.03	2.04	1.94	1.95	3017984	7949674.00
20111216	1.95	2.01	1.91	2.00	2478290	6468220.00
