600021 上海电力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.09	3.12	3.03	3.07	3053531	12702476.00
20111011	3.13	3.21	3.11	3.14	3057278	12937961.00
20111012	3.13	3.33	3.10	3.32	4654298	20222976.00
20111013	3.32	3.47	3.28	3.44	8091385	36123072.00
20111014	3.40	3.44	3.34	3.39	3616949	16155288.00
20111017	3.40	3.43	3.37	3.40	3307294	14822286.00
20111018	3.37	3.38	3.25	3.25	3542001	15530260.00
20111019	3.25	3.31	3.19	3.24	2140832	9258273.00
20111020	3.23	3.23	3.08	3.13	2895608	12197317.00
20111021	3.15	3.17	3.11	3.15	1522985	6430707.00
20111024	3.16	3.22	3.14	3.21	2709376	11549085.00
20111025	3.22	3.30	3.20	3.29	2899415	12583965.00
20111026	3.33	3.41	3.30	3.31	4963989	21975924.00
20111027	3.38	3.75	3.38	3.75	29738975	141946896.00
20111028	3.76	3.87	3.64	3.86	26420323	128132112.00
20111031	3.78	3.95	3.74	3.93	17936243	88481920.00
20111101	3.90	4.19	3.84	4.01	22469136	114963776.00
20111102	3.90	4.02	3.89	4.02	14376054	72413688.00
20111103	4.02	4.06	3.87	3.89	20751519	104799472.00
20111104	3.91	3.97	3.83	3.92	8331032	41446176.00
20111107	3.93	3.95	3.85	3.93	5625787	28037384.00
20111108	3.92	4.38	3.89	4.15	27298234	142788976.00
20111109	4.15	4.24	4.06	4.17	11906880	62021984.00
20111110	4.10	4.20	4.07	4.16	8552092	44640060.00
20111111	4.14	4.21	4.10	4.16	8294589	43451376.00
20111114	4.22	4.37	4.20	4.25	15148107	81223088.00
20111115	4.25	4.42	4.25	4.37	14803901	80563104.00
20111116	4.38	4.40	4.12	4.13	13609307	71924792.00
20111117	4.12	4.20	4.07	4.15	6829945	35584636.00
20111118	4.11	4.15	3.95	3.98	8023717	41060852.00
20111121	4.02	4.04	3.86	3.98	5760200	28932992.00
20111122	3.93	4.09	3.90	4.02	6562471	33459146.00
