600022 山东钢铁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	2.76	2.76	2.72	2.72	4564874	16196817.00
20111011	2.76	2.78	2.68	2.72	6336663	22536168.00
20111012	2.71	2.85	2.69	2.82	15931332	57828704.00
20111013	2.82	3.00	2.80	2.87	29250470	109977032.00
20111014	2.83	2.85	2.79	2.83	10920264	40035124.00
20111017	2.81	2.85	2.81	2.83	6346072	23305254.00
20111018	2.82	2.82	2.76	2.78	9516077	34409712.00
20111019	2.78	2.80	2.75	2.76	4502189	16208763.00
20111020	2.77	2.77	2.69	2.73	10412410	36744396.00
20111021	2.73	2.74	2.71	2.72	3475861	12288925.00
20111024	2.73	2.77	2.70	2.76	6199965	22099060.00
20111025	2.76	2.85	2.74	2.82	13042427	47461104.00
20111026	2.80	2.88	2.78	2.80	16264872	59749416.00
20111027	2.81	2.88	2.79	2.85	19145284	70940240.00
20111028	2.87	2.91	2.84	2.91	27765718	103895920.00
20111031	2.94	2.98	2.87	2.89	28422693	107764640.00
20111101	2.86	2.93	2.84	2.88	14849435	55676280.00
20111102	2.85	2.91	2.82	2.90	15689859	58187116.00
20111103	2.92	2.96	2.90	2.91	25328692	96573008.00
20111110	3.06	3.20	2.97	3.20	51950015	212836400.00
20111111	3.45	3.45	3.12	3.14	134334775	579485952.00
20111114	3.09	3.11	2.98	3.10	59074892	234177184.00
20111115	3.06	3.06	3.01	3.05	34591887	136495488.00
20111116	3.05	3.05	2.91	2.94	30975356	119423944.00
20111117	2.93	2.95	2.89	2.90	17442748	66080300.00
20111118	2.89	2.92	2.82	2.82	21798462	81258736.00
20111121	2.81	2.82	2.78	2.82	12376733	44971604.00
20111122	2.78	2.80	2.75	2.78	14202812	51196936.00
20111123	2.77	2.81	2.75	2.76	9106147	32846740.00
20111124	2.75	2.81	2.73	2.79	11276445	40633016.00
20111125	2.78	2.79	2.74	2.75	8187544	29388828.00
20111128	2.75	2.77	2.70	2.72	10782930	38199576.00
20111129	2.75	2.75	2.72	2.74	9192936	32638536.00
20111130	2.74	2.74	2.66	2.67	20763274	72426832.00
20111201	2.71	2.74	2.68	2.70	13259739	46748556.00
20111202	2.69	2.69	2.66	2.67	8282436	28766872.00
20111205	2.67	2.68	2.64	2.66	8635542	29836436.00
20111206	2.66	2.68	2.65	2.68	4955840	17178618.00
20111207	2.67	2.68	2.66	2.66	4202545	14587678.00
20111208	2.68	2.76	2.66	2.70	13289791	46977636.00
20111209	2.68	2.68	2.66	2.67	7831467	27159216.00
20111212	2.67	2.68	2.65	2.65	5981107	20696944.00
20111213	2.65	2.66	2.64	2.65	10251569	35276488.00
20111214	2.64	2.66	2.64	2.65	5267747	18164796.00
20111215	2.65	2.65	2.53	2.54	16105194	54792504.00
20111216	2.55	2.61	2.55	2.60	10405351	34839508.00
20111219	2.60	2.62	2.57	2.59	7468933	25093756.00
20111220	2.59	2.62	2.58	2.58	6145126	20731020.00
20111221	2.61	2.61	2.58	2.58	8329739	28093908.00
20111222	2.58	2.61	2.50	2.57	7292383	24234820.00
20111223	2.57	2.63	2.57	2.59	5906314	19911884.00
20111226	2.58	2.71	2.57	2.63	13952213	47955568.00
20111227	2.59	2.62	2.58	2.58	6263011	21123600.00
20111228	2.61	2.64	2.58	2.62	8124564	27515278.00
20111229	2.62	2.65	2.60	2.61	5681953	19403210.00
20111230	2.62	2.65	2.61	2.65	8064053	27632468.00
20120104	2.66	2.67	2.62	2.62	9067673	31258288.00
20120105	2.66	2.71	2.62	2.65	11961501	41278596.00
20120106	2.63	2.65	2.59	2.65	8494394	28901652.00
20120109	2.64	2.69	2.60	2.69	15505497	53537540.00
20120110	2.67	2.78	2.65	2.75	29782711	105201208.00
20120111	2.74	2.82	2.71	2.76	29108370	104902736.00
20120112	2.75	2.75	2.67	2.69	19823106	69749344.00
20120113	2.68	2.69	2.64	2.65	12747470	44057172.00
20120116	2.64	2.65	2.60	2.61	9708505	33125470.00
20120117	2.61	2.74	2.60	2.72	18376466	63668224.00
20120118	2.71	2.72	2.65	2.65	14969653	52168840.00
20120119	2.65	2.69	2.63	2.66	9619633	33259100.00
20120120	2.66	2.68	2.64	2.66	7872151	27210324.00
20120130	2.68	2.68	2.63	2.63	6125907	21130488.00
20120131	2.64	2.65	2.62	2.63	7489832	25571736.00
20120201	2.64	2.65	2.62	2.62	6713243	22903112.00
20120202	2.62	2.65	2.62	2.65	8394259	28727548.00
20120203	2.65	2.67	2.63	2.66	8909503	30738728.00
20120206	2.66	2.67	2.64	2.67	7345881	25378858.00
20120207	2.67	2.67	2.63	2.64	21857337	75166160.00
20120208	2.64	2.66	2.63	2.65	52480916	180518848.00
20120215	2.71	2.92	2.68	2.83	73174580	268491968.00
20120216	2.79	2.82	2.73	2.76	37034011	133058368.00
20120217	2.76	2.78	2.69	2.73	22597769	79878928.00
20120220	2.75	2.77	2.71	2.72	17728192	62990816.00
20120221	2.71	2.73	2.70	2.73	14186610	50112516.00
20120222	2.72	2.75	2.70	2.75	22179252	78544936.00
20120223	2.75	2.82	2.74	2.80	34321225	124235000.00
20120224	2.82	2.82	2.75	2.81	30056759	108962088.00
20120227	2.81	2.87	2.81	2.83	33637615	124021632.00
20120228	2.85	2.92	2.81	2.88	37293383	138868992.00
20120229	2.88	2.88	2.78	2.79	21272409	78092120.00
20120301	2.79	2.81	2.77	2.78	10349798	37473660.00
20120302	2.78	2.82	2.78	2.82	14824962	53938960.00
20120305	2.82	2.83	2.76	2.77	20529043	74354472.00
20120306	2.75	2.75	2.70	2.71	15485749	54725992.00
20120307	2.69	2.77	2.68	2.72	15223227	53745600.00
20120308	2.57	2.66	2.57	2.65	123105643	419529696.00
20120309	2.64	2.64	2.58	2.62	57227694	194142480.00
20120312	2.62	2.62	2.58	2.60	44443644	150108704.00
20120313	2.60	2.63	2.60	2.62	35536650	120546648.00
20120314	2.63	2.76	2.60	2.62	114659756	397452224.00
20120315	2.61	2.62	2.52	2.55	53727722	178928528.00
20120316	2.55	2.58	2.54	2.58	31142509	103437488.00
20120319	2.56	2.58	2.53	2.58	31461638	104518184.00
20120320	2.56	2.64	2.54	2.62	60798363	205166240.00
20120321	2.62	2.62	2.56	2.59	29258176	98430120.00
20120322	2.59	2.61	2.56	2.58	20757401	69530752.00
20120323	2.57	2.57	2.51	2.51	27250925	89943712.00
20120326	2.51	2.52	2.47	2.48	18196822	59035360.00
20120327	2.49	2.51	2.47	2.48	16433915	52995648.00
20120328	2.48	2.48	2.33	2.36	30333946	94190952.00
20120329	2.35	2.35	2.27	2.27	22584990	67312488.00
20120330	2.28	2.29	2.23	2.26	16974734	49901024.00
20120405	2.25	2.30	2.22	2.29	19050056	56240880.00
20120406	2.29	2.32	2.28	2.30	14225833	42474472.00
20120410	2.29	2.29	2.22	2.28	23021587	67409728.00
20120411	2.25	2.28	2.24	2.27	13536889	39785448.00
20120412	2.27	2.32	2.25	2.32	24688764	73269376.00
20120413	2.32	2.35	2.29	2.33	20945224	63291712.00
20120416	2.32	2.37	2.30	2.35	19277131	58507680.00
20120417	2.35	2.35	2.31	2.32	15790976	47750232.00
20120418	2.31	2.35	2.30	2.34	23946142	72343736.00
20120419	2.32	2.38	2.32	2.34	24711649	75505368.00
20120420	2.35	2.36	2.32	2.35	17348850	52809424.00
20120423	2.35	2.35	2.30	2.30	22283370	67031568.00
20120424	2.28	2.30	2.23	2.25	22637525	66482264.00
20120425	2.25	2.28	2.23	2.28	19444901	57049460.00
20120426	2.28	2.28	2.25	2.25	19069460	56046900.00
20120427	2.25	2.30	2.24	2.26	24050757	70965928.00
20120502	2.28	2.29	2.25	2.27	20154833	59586744.00
20120503	2.27	2.28	2.25	2.27	14031766	41301400.00
20120504	2.28	2.28	2.26	2.28	15887648	46956496.00
20120507	2.26	2.26	2.24	2.26	20583817	60208792.00
20120508	2.26	2.26	2.24	2.26	16957798	49530312.00
20120509	2.25	2.25	2.19	2.20	31234404	89891752.00
20120510	2.19	2.23	2.19	2.21	19247219	55262380.00
20120511	2.21	2.21	2.18	2.18	12720110	36202488.00
20120514	2.19	2.21	2.15	2.16	21085125	59780068.00
20120515	2.14	2.15	2.08	2.12	18819260	51624184.00
20120516	2.12	2.12	2.08	2.08	13457750	36691796.00
20120517	2.08	2.13	2.07	2.11	16386716	44776576.00
20120518	2.09	2.18	2.09	2.14	26950024	75033312.00
20120521	2.14	2.16	2.10	2.11	15723677	43360488.00
20120522	2.11	2.12	2.09	2.11	11593882	31732308.00
20120523	2.11	2.12	2.08	2.09	13362474	36308672.00
20120524	2.08	2.09	2.05	2.05	14742438	39697176.00
20120525	2.06	2.15	2.02	2.12	36880694	100333400.00
20120528	2.09	2.15	2.08	2.15	34171839	94276672.00
20120529	2.15	2.15	2.12	2.15	24902274	69288528.00
20120530	2.14	2.16	2.13	2.14	14693455	40908688.00
20120531	2.13	2.13	2.10	2.12	13850206	37994584.00
20120601	2.12	2.13	2.09	2.10	10546488	28928804.00
20120604	2.08	2.08	2.03	2.04	15446141	41202200.00
20120605	2.04	2.05	2.02	2.05	9240061	24437696.00
20120606	2.05	2.05	2.02	2.03	9171195	24194960.00
20120607	2.03	2.05	2.01	2.02	7896425	20806308.00
20120608	2.02	2.04	2.00	2.01	8207802	21485236.00
20120611	2.01	2.04	2.00	2.03	10651721	27967164.00
20120612	2.02	2.03	2.01	2.01	7391132	19404396.00
20120613	2.02	2.05	2.02	2.05	12684572	33627020.00
20120614	2.05	2.08	2.04	2.06	9918710	26565056.00
20120615	2.06	2.08	2.05	2.06	9281647	24889956.00
20120618	2.06	2.08	2.05	2.06	7053755	18957254.00
20120619	2.07	2.07	2.04	2.05	8618204	22976370.00
20120620	2.05	2.06	2.04	2.05	4907301	13057522.00
20120621	2.05	2.05	2.01	2.01	7870948	20682456.00
20120625	2.02	2.02	1.99	2.00	10185356	26536418.00
20120626	2.00	2.00	1.97	1.98	7086607	18220944.00
20120627	1.99	2.00	1.98	1.98	8383719	21688380.00
20120628	1.98	2.04	1.97	2.01	17706650	46259204.00
20120629	2.00	2.03	1.92	1.98	29581534	76573640.00
20120702	1.98	1.99	1.94	1.95	13317751	33914952.00
20120703	1.95	1.97	1.93	1.95	10413279	26408840.00
20120704	1.95	1.95	1.92	1.94	8859872	22248494.00
20120705	1.92	1.93	1.86	1.87	11412811	27999480.00
20120709	1.88	1.89	1.83	1.84	10850177	26331188.00
20120710	1.84	1.85	1.80	1.81	9044175	21372660.00
20120711	1.81	1.84	1.79	1.83	8228078	19407686.00
20120712	1.82	1.84	1.79	1.84	10537605	24859826.00
20120713	1.83	1.85	1.82	1.84	6441796	15329633.00
20120716	1.84	1.84	1.75	1.76	11097347	25817276.00
20120717	1.75	1.78	1.75	1.77	5782232	13284886.00
20120718	1.77	1.81	1.75	1.79	10227503	23653984.00
20120719	1.78	1.80	1.75	1.78	15127409	35036412.00
20120720	1.78	1.81	1.77	1.78	10284164	23879614.00
20120723	1.77	1.78	1.74	1.75	8075796	18401664.00
20120724	1.75	1.79	1.74	1.76	13990045	32180484.00
20120725	1.75	1.77	1.74	1.75	9866534	22441902.00
20120726	1.75	1.78	1.74	1.76	15419875	35414760.00
20120727	1.76	1.77	1.73	1.75	10009784	22700096.00
20120730	1.75	1.76	1.71	1.72	11204288	25188276.00
20120731	1.72	1.72	1.67	1.68	11743004	25718806.00
20120801	1.68	1.70	1.67	1.68	7389388	16240109.00
20120802	1.69	1.75	1.68	1.70	13238406	29499348.00
20120803	1.71	1.71	1.67	1.71	10262576	22586532.00
20120806	1.69	1.73	1.69	1.72	16857107	37636392.00
20120807	1.72	1.75	1.71	1.75	18708294	42081212.00
20120808	1.74	1.75	1.72	1.72	10406654	23388360.00
20120809	1.72	1.74	1.71	1.74	8999518	20203752.00
20120810	1.73	1.75	1.72	1.74	11613592	26237648.00
20120813	1.73	1.73	1.70	1.70	10643327	23718966.00
20120814	1.70	1.71	1.68	1.70	7521479	16553430.00
20120815	1.69	1.70	1.68	1.68	5985073	13137782.00
20120816	1.69	1.69	1.68	1.68	4088960	8965643.00
20120817	1.68	1.69	1.68	1.68	5111613	11175998.00
20120820	1.68	1.68	1.66	1.68	5632964	12232325.00
