600026 中远海能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	6.40	6.46	6.37	6.43	1810138	12377775.00
20111011	6.65	6.65	6.42	6.56	3105832	21640190.00
20111012	6.53	6.87	6.48	6.80	8556842	61512848.00
20111013	6.76	7.00	6.75	6.99	10227102	74895424.00
20111014	6.94	6.94	6.77	6.84	6451926	46809368.00
20111017	6.83	6.90	6.73	6.79	5011128	36191884.00
20111018	6.73	6.75	6.57	6.58	4740326	33542308.00
20111019	6.59	6.69	6.53	6.58	2999063	21093204.00
20111020	6.55	6.60	6.36	6.42	3868778	26537656.00
20111021	6.41	6.52	6.38	6.45	2645988	18162250.00
20111024	6.47	6.72	6.42	6.70	4936012	34559288.00
20111025	6.70	6.85	6.58	6.78	6734234	48287912.00
20111026	6.76	6.88	6.70	6.78	6816059	49195564.00
20111027	6.80	6.91	6.76	6.78	5199532	37693300.00
20111028	6.85	7.03	6.85	6.94	11430925	84231328.00
20111031	6.94	6.98	6.79	6.91	6115275	44644016.00
20111101	6.83	6.98	6.75	6.87	8801800	63710204.00
20111102	6.75	6.93	6.66	6.91	6509134	46810996.00
20111103	6.92	7.10	6.86	7.00	13762435	101835648.00
20111104	7.00	7.04	6.92	6.98	8953309	66294024.00
20111107	6.93	7.00	6.87	6.89	4385720	32187328.00
20111108	6.89	6.94	6.81	6.83	3378089	24652362.00
20111109	6.83	6.97	6.81	6.97	5596606	41005020.00
20111110	6.88	6.90	6.75	6.76	6040143	43762332.00
20111111	6.76	6.81	6.72	6.75	2472979	17780184.00
20111114	6.80	6.89	6.77	6.86	3730501	27101384.00
20111115	6.84	6.87	6.80	6.86	3863197	28060644.00
20111116	6.86	6.86	6.59	6.65	4347856	31058932.00
20111117	6.65	6.68	6.55	6.56	3546396	24941218.00
20111118	6.55	6.65	6.44	6.52	4254259	29588092.00
20111121	6.56	6.57	6.49	6.56	1471717	10228061.00
20111122	6.51	6.62	6.49	6.58	2053617	14329540.00
20111123	6.60	6.62	6.40	6.43	2396288	16570799.00
20111124	6.38	6.51	6.36	6.49	1686235	11521480.00
20111125	6.45	6.49	6.39	6.45	1424957	9763608.00
20111128	6.45	6.45	6.34	6.42	2817317	19173254.00
20111129	6.44	6.52	6.40	6.49	2399009	16522676.00
20111130	6.46	6.50	6.09	6.11	4897878	32650052.00
20111201	6.26	6.33	6.17	6.25	4218523	28197560.00
20111202	6.25	6.26	6.13	6.14	2357328	15545251.00
20111205	6.14	6.14	6.02	6.07	3174550	20602820.00
20111206	6.08	6.11	6.03	6.09	2164389	14057286.00
20111207	6.11	6.15	6.05	6.14	1721877	11255181.00
20111208	6.13	6.25	6.07	6.17	1823378	11974666.00
20111209	6.12	6.17	6.07	6.12	1314674	8571772.00
20111212	6.09	6.16	6.05	6.13	1236612	8067069.00
20111213	6.12	6.17	5.98	6.10	2749672	17860132.00
20111214	6.09	6.09	5.95	5.98	1574919	10152800.00
20111215	5.92	5.97	5.68	5.70	2669011	16685380.00
20111216	5.71	5.79	5.58	5.77	3035401	18516768.00
20111219	5.69	5.74	5.58	5.71	1968885	11936215.00
20111220	5.68	5.76	5.67	5.69	1758775	10788647.00
20111221	5.76	5.78	5.60	5.61	1899400	11660412.00
20111222	5.63	5.65	5.41	5.53	2390906	14195316.00
20111223	5.49	5.64	5.49	5.55	1301213	7796926.00
20111226	5.56	5.62	5.47	5.49	1497797	8927160.00
20111227	5.52	5.54	5.38	5.39	1945000	11410448.00
20111228	5.41	5.44	5.31	5.43	2058408	11940390.00
20111229	5.42	5.47	5.39	5.44	1425211	8349552.00
20111230	5.44	5.50	5.43	5.50	1336934	7879224.00
20120104	5.53	5.54	5.38	5.39	1636998	9645263.00
20120105	5.37	5.43	5.28	5.31	2244145	12921186.00
20120106	5.30	5.37	5.24	5.36	1623060	9289920.00
20120109	5.37	5.51	5.31	5.49	5919731	34690040.00
20120110	5.47	5.71	5.47	5.69	7759736	46704076.00
20120111	5.69	5.70	5.63	5.64	3731851	22687776.00
20120112	5.63	5.68	5.58	5.64	3897565	23593516.00
20120113	5.64	5.66	5.41	5.42	3718534	22007586.00
20120117	5.35	6.00	5.33	6.00	13301741	82903408.00
20120118	6.08	6.18	5.75	5.80	12340292	79318664.00
20120119	5.75	5.87	5.72	5.79	8152036	50454592.00
20120120	5.79	6.03	5.72	5.89	6657933	41910128.00
20120130	5.89	5.93	5.75	5.78	3498238	21827784.00
20120131	5.75	5.97	5.75	5.81	3092024	19279236.00
20120201	5.80	5.91	5.76	5.79	2968333	18556384.00
20120202	5.81	5.88	5.75	5.88	3452437	21609298.00
20120203	5.86	5.98	5.82	5.93	4640291	29328084.00
20120206	5.95	5.98	5.86	5.89	3849505	24402826.00
20120207	5.87	5.90	5.76	5.78	2450872	15294389.00
20120208	5.77	5.92	5.76	5.90	4940466	30902120.00
20120209	5.89	5.98	5.87	5.92	6534771	41484096.00
20120210	5.91	6.03	5.90	5.95	5666766	36201152.00
20120213	5.88	5.98	5.87	5.92	3261242	20676196.00
20120214	5.93	5.97	5.85	5.87	3977345	25103580.00
20120215	5.85	6.38	5.83	6.11	14035374	91856384.00
20120216	6.05	6.11	5.96	6.01	6485516	41809312.00
20120217	6.06	6.10	5.96	6.03	3042046	19634468.00
20120220	6.10	6.13	6.03	6.04	4206392	27277112.00
20120221	6.07	6.08	5.95	6.04	2697873	17348680.00
20120222	6.04	6.13	6.02	6.11	5448317	35461400.00
20120223	6.12	6.26	6.09	6.13	6691051	44091672.00
20120224	6.10	6.22	6.09	6.21	7875390	51823816.00
20120227	6.23	6.37	6.19	6.25	14085798	94653160.00
20120228	6.28	6.44	6.26	6.34	14882311	100744416.00
20120229	6.28	6.30	6.18	6.19	6325359	42127944.00
20120301	6.16	6.35	6.14	6.25	6032022	40192512.00
20120302	6.25	6.32	6.24	6.29	5932266	39771516.00
20120305	6.31	6.36	6.21	6.23	6623658	44380480.00
20120306	6.23	6.24	6.06	6.10	5380323	35150308.00
20120307	6.05	6.10	6.01	6.03	4761347	30807560.00
20120308	6.06	6.16	6.05	6.11	4564835	29813076.00
20120309	6.13	6.22	6.08	6.17	5001451	32877336.00
20120312	6.13	6.22	6.10	6.13	3500755	22992124.00
20120313	6.16	6.21	6.13	6.20	3822790	25241564.00
20120314	6.24	6.29	5.87	5.94	9586113	62895040.00
20120315	5.92	5.98	5.82	5.86	5389077	33977032.00
20120316	5.85	5.95	5.83	5.92	3604825	22734714.00
20120319	5.91	5.99	5.86	5.98	5315243	33741432.00
20120320	5.94	5.95	5.84	5.87	4407598	27826096.00
20120321	5.90	6.03	5.87	5.95	4027136	25657596.00
20120322	5.91	5.95	5.87	5.90	2649609	16747400.00
20120323	5.88	5.90	5.75	5.82	2766947	17255716.00
20120326	5.81	5.84	5.75	5.79	1468750	9109920.00
20120327	5.82	5.83	5.75	5.76	2465826	15311388.00
20120328	5.74	5.79	5.56	5.58	4360841	26712792.00
20120329	5.56	5.59	5.43	5.48	3891827	23065818.00
20120330	5.48	5.52	5.45	5.50	1529056	9029349.00
20120405	5.50	5.78	5.50	5.68	4816006	29124164.00
20120406	5.65	5.71	5.58	5.65	2999032	18178772.00
20120409	5.63	5.64	5.56	5.57	1703035	10238623.00
20120410	5.58	5.68	5.49	5.66	2471302	14806626.00
20120411	5.56	5.68	5.52	5.59	4467639	26846830.00
20120412	5.54	5.66	5.53	5.66	5901440	35482000.00
20120413	5.64	5.75	5.63	5.74	6458957	39508708.00
20120416	5.71	5.75	5.64	5.71	3927151	23961120.00
20120417	5.72	5.73	5.62	5.63	2378612	14454274.00
20120418	5.67	5.77	5.63	5.75	4205806	25803194.00
20120419	5.71	5.79	5.71	5.77	6720042	41413752.00
20120420	5.78	5.85	5.72	5.85	8323128	51677628.00
20120423	5.83	5.84	5.72	5.76	4748290	29398650.00
20120424	5.74	5.87	5.56	5.71	8337751	51026300.00
20120425	5.68	5.79	5.62	5.77	6673137	40877760.00
20120426	5.75	5.78	5.67	5.68	6131369	37535688.00
20120427	5.68	5.69	5.61	5.65	3559464	21593280.00
20120502	5.72	5.75	5.63	5.72	8432399	51472336.00
20120503	5.69	5.78	5.65	5.77	6981742	42838512.00
20120504	5.74	5.93	5.74	5.90	11441074	71613088.00
20120507	5.85	5.92	5.76	5.79	8426463	52624496.00
20120508	5.81	5.85	5.76	5.80	5812292	36128388.00
20120509	5.75	5.77	5.64	5.65	5075163	31006308.00
20120510	5.67	5.71	5.63	5.64	3255000	19781478.00
20120511	5.63	5.67	5.60	5.64	2436720	14723912.00
