600027 华电国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	1.87	1.90	1.84	1.85	4350910	11849474.00
20111011	1.90	1.92	1.85	1.87	4052699	11124595.00
20111012	1.87	1.97	1.85	1.95	7420141	20619266.00
20111013	1.95	2.06	1.93	2.02	10779394	30871464.00
20111014	2.01	2.01	1.95	1.99	4863670	13788927.00
20111017	2.00	2.03	1.97	1.99	3391256	9668940.00
20111018	1.97	1.98	1.89	1.91	6002015	16738824.00
20111019	1.91	1.99	1.89	1.92	5054594	14101201.00
20111020	1.92	1.92	1.85	1.86	3895599	10643967.00
20111021	1.86	1.89	1.83	1.85	3340871	9068039.00
20111024	1.86	1.91	1.84	1.91	4109448	11267834.00
20111025	1.91	1.97	1.89	1.96	6483417	18171870.00
20111026	1.96	2.00	1.94	1.99	8257228	23381714.00
20111027	1.98	2.24	1.96	2.13	48208987	143570864.00
20111028	2.15	2.20	2.09	2.14	12841538	38550312.00
20111031	2.14	2.30	2.09	2.28	24969728	76673712.00
20111101	2.24	2.36	2.22	2.27	23929670	75608464.00
20111102	2.22	2.30	2.21	2.29	12364915	38510536.00
20111103	2.29	2.31	2.19	2.21	28704956	89043360.00
20111104	2.21	2.25	2.19	2.23	7843467	24152372.00
20111107	2.24	2.25	2.20	2.24	7478105	23130836.00
20111108	2.24	2.40	2.22	2.32	17959456	56956424.00
20111109	2.30	2.37	2.25	2.30	12305757	38819972.00
20111110	2.25	2.31	2.23	2.27	8699951	27118922.00
20111111	2.26	2.35	2.23	2.32	16184725	50930348.00
20111114	2.36	2.46	2.34	2.42	26727257	87651552.00
20111115	2.43	2.49	2.39	2.47	15094444	50189544.00
20111116	2.47	2.48	2.30	2.32	20959862	67277400.00
20111117	2.31	2.43	2.31	2.42	14638848	47375024.00
20111118	2.39	2.40	2.31	2.33	12984612	41781232.00
20111121	2.31	2.34	2.22	2.24	9204971	28673396.00
20111122	2.22	2.44	2.21	2.39	33553178	108680256.00
20111123	2.33	2.45	2.33	2.37	11460757	37503228.00
20111124	2.34	2.37	2.31	2.34	6494523	20736042.00
20111125	2.36	2.44	2.33	2.34	13397650	43514284.00
20111128	2.34	2.38	2.17	2.25	15199344	47020936.00
20111129	2.25	2.36	2.23	2.30	15117730	47723768.00
20111130	2.32	2.33	2.11	2.22	18863838	57795800.00
20111201	2.29	2.33	2.11	2.18	29586743	90332808.00
20111202	2.17	2.17	1.99	2.04	15674362	45384972.00
20111205	2.00	2.04	1.90	1.95	13380434	37390320.00
20111206	1.93	1.95	1.83	1.89	17910242	48831204.00
20111207	1.87	1.92	1.83	1.90	9131742	24951020.00
20111208	1.91	1.92	1.85	1.91	5702781	15702983.00
20111209	1.90	1.97	1.88	1.96	9242384	25985960.00
20111212	1.96	2.02	1.92	1.98	10513501	29879004.00
20111213	1.96	1.99	1.90	1.94	11311192	31701512.00
20111214	1.94	2.09	1.92	2.08	21262549	61734924.00
20111215	2.04	2.24	2.03	2.24	37538502	114660232.00
20111216	2.26	2.35	2.17	2.31	20890135	64880416.00
20111219	2.27	2.40	2.24	2.31	23451808	74764904.00
20111220	2.27	2.36	2.25	2.29	20295830	64438584.00
20111221	2.27	2.30	2.19	2.20	9179464	28405930.00
20111222	2.20	2.21	2.11	2.17	12230176	36843868.00
20111223	2.15	2.36	2.12	2.32	32222069	102513440.00
20111226	2.32	2.45	2.28	2.41	21326548	69505296.00
20111227	2.40	2.44	2.33	2.34	11105870	35897360.00
20111229	2.32	2.41	2.31	2.40	8036968	26093344.00
20111230	2.40	2.44	2.35	2.40	7178415	23420128.00
20120104	2.40	2.43	2.28	2.29	6019393	19347298.00
20120105	2.29	2.36	2.25	2.29	5378040	17101268.00
20120106	2.29	2.35	2.27	2.31	5996667	19122352.00
20120109	2.31	2.48	2.31	2.48	15440668	50867848.00
20120110	2.48	2.50	2.43	2.49	19682399	65310432.00
20120111	2.48	2.48	2.39	2.45	10707725	35173608.00
20120112	2.44	2.47	2.32	2.36	13438495	43456580.00
20120113	2.34	2.36	2.19	2.24	24709409	76828040.00
20120116	2.24	2.34	2.19	2.21	10945113	34061096.00
20120117	2.21	2.36	2.21	2.34	9886761	31250076.00
20120118	2.34	2.43	2.29	2.34	16226506	52385984.00
20120119	2.35	2.44	2.33	2.42	18978947	61142624.00
20120120	2.42	2.43	2.37	2.41	3906227	12733145.00
20120130	2.42	2.45	2.37	2.39	3712695	12176125.00
20120131	2.40	2.47	2.35	2.46	9871312	32549024.00
20120201	2.44	2.50	2.42	2.48	9848178	32868008.00
20120202	2.48	2.56	2.45	2.53	16630585	55911928.00
20120203	2.54	2.56	2.48	2.51	6048831	20403432.00
20120206	2.53	2.56	2.45	2.50	9644399	32534736.00
20120207	2.49	2.49	2.40	2.44	7818948	25770256.00
