600028 中国石化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	4.28	4.29	4.24	4.25	12585035	87013840.00
20111011	4.32	4.34	4.18	4.22	36540490	252767088.00
20111013	4.32	4.38	4.28	4.36	40043032	280361408.00
20111014	4.35	4.38	4.32	4.37	20673648	145059872.00
20111017	4.36	4.41	4.35	4.40	20431182	144338432.00
20111018	4.37	4.38	4.29	4.29	23575701	164708448.00
20111019	4.31	4.35	4.28	4.31	12130419	84624520.00
20111020	4.27	4.32	4.25	4.29	28376389	197264064.00
20111021	4.30	4.32	4.23	4.25	17901122	124199216.00
20111024	4.26	4.38	4.25	4.38	31591325	220158048.00
20111025	4.37	4.44	4.33	4.42	25141827	178053072.00
20111026	4.40	4.45	4.38	4.42	28314834	201584064.00
20111027	4.43	4.46	4.42	4.43	19119054	136341648.00
20111028	4.47	4.50	4.41	4.49	42400212	304271424.00
20111031	4.48	4.48	4.42	4.44	28671204	204773984.00
20111101	4.41	4.48	4.40	4.45	31917925	228538688.00
20111102	4.41	4.52	4.38	4.52	35100264	251216512.00
20111103	4.52	4.55	4.49	4.50	35251426	255311280.00
20111104	4.54	4.70	4.53	4.65	86874502	641878208.00
20111107	4.63	4.76	4.61	4.66	44537554	332212800.00
20111108	4.66	4.84	4.64	4.78	90025636	681740288.00
20111109	4.78	4.84	4.71	4.75	42929303	324500768.00
20111110	4.70	4.72	4.64	4.65	30593418	227868768.00
20111111	4.64	4.75	4.64	4.72	21997850	164747296.00
20111114	4.75	4.82	4.75	4.78	18179452	137993504.00
20111115	4.78	4.80	4.72	4.79	17754643	134107400.00
20111116	4.75	4.77	4.59	4.61	32924592	244273536.00
20111117	4.63	4.65	4.59	4.60	14706056	108408944.00
20111118	4.58	4.58	4.50	4.51	17940177	130318568.00
20111121	4.52	4.56	4.51	4.55	9079051	65926264.00
20111122	4.52	4.58	4.49	4.55	15533265	113107176.00
20111123	4.56	4.56	4.51	4.53	12459266	90511456.00
20111124	4.49	4.57	4.48	4.56	11314256	82167792.00
20111125	4.55	4.56	4.51	4.53	17697104	128451552.00
20111128	4.53	4.57	4.52	4.52	12687941	92187480.00
20111129	4.55	4.61	4.52	4.58	13908645	101628432.00
20111130	4.57	4.58	4.40	4.41	20863540	150171264.00
20111201	4.52	4.65	4.46	4.56	31709425	232025760.00
20111202	4.55	4.58	4.43	4.48	14470085	104346304.00
20111205	4.49	4.56	4.44	4.54	20800093	150700448.00
20111206	4.52	4.65	4.52	4.65	27787049	204359168.00
20111207	4.66	4.71	4.64	4.69	26361116	196460496.00
20111208	4.69	4.72	4.62	4.65	8652895	64378680.00
20111209	4.64	4.67	4.58	4.64	10083448	74330392.00
20111212	4.62	4.62	4.51	4.51	11216897	81920760.00
20111213	4.52	4.54	4.39	4.44	24207316	173339312.00
20111214	4.44	4.44	4.32	4.39	25631200	180656432.00
20111216	4.35	4.55	4.32	4.48	41432749	293591680.00
20111219	4.45	4.45	4.32	4.40	33623133	237777888.00
20111220	4.38	4.53	4.37	4.43	31510309	226275728.00
20111221	4.47	4.50	4.38	4.42	17329088	123596336.00
20111222	4.38	4.44	4.32	4.35	31614010	223472032.00
20111223	4.36	4.43	4.35	4.41	9266873	65700152.00
20111226	4.37	4.45	4.35	4.44	15957279	113317232.00
20111227	4.43	4.45	4.35	4.38	11864533	84216384.00
20111228	4.36	4.45	4.36	4.42	27565971	195986048.00
20111229	4.41	4.46	4.38	4.43	17180430	122318728.00
20111230	4.47	4.49	4.42	4.47	27298170	195829664.00
20120104	4.55	4.67	4.54	4.61	52818138	389557568.00
20120105	4.58	4.72	4.56	4.65	47888457	356528608.00
20120106	4.72	4.75	4.60	4.70	39465447	293562912.00
20120109	4.72	4.95	4.65	4.91	74396015	567375168.00
20120110	4.83	4.97	4.79	4.94	73542406	570806656.00
20120111	4.94	5.00	4.84	4.87	39298475	305532640.00
20120112	4.86	4.90	4.80	4.84	30545148	234110192.00
20120113	4.85	4.86	4.75	4.81	31027759	236473968.00
20120116	4.80	4.81	4.73	4.75	22287819	168639424.00
20120117	4.74	5.02	4.70	4.90	57861998	443173952.00
20120118	4.89	4.91	4.76	4.78	43695592	334653696.00
20120119	4.79	4.90	4.78	4.84	40746187	312011776.00
20120120	4.84	4.91	4.82	4.90	42451662	326312992.00
20120130	4.92	4.98	4.83	4.87	47473301	367782752.00
20120131	4.88	4.92	4.86	4.92	21558522	166811312.00
20120201	4.91	5.05	4.88	4.94	42775193	335156800.00
20120202	4.95	5.01	4.91	4.99	37243446	290786400.00
20120203	4.98	4.98	4.88	4.95	48543937	377395712.00
20120206	4.95	4.97	4.89	4.93	28192837	219393376.00
20120207	4.89	4.92	4.78	4.83	30492164	233361504.00
20120208	4.88	4.95	4.78	4.93	71692608	550392768.00
20120209	4.89	4.92	4.83	4.86	43981062	339015168.00
20120210	4.84	4.88	4.82	4.85	28641272	219874976.00
20120213	4.79	4.85	4.78	4.83	29577368	225641888.00
20120214	4.83	4.88	4.81	4.84	26808206	205817712.00
20120215	4.83	4.91	4.81	4.88	29300854	225811408.00
20120216	4.89	4.90	4.79	4.82	26524851	203411328.00
20120217	4.83	4.88	4.80	4.80	25322830	193811984.00
20120220	4.85	4.87	4.78	4.79	40419523	308893536.00
20120221	4.78	4.78	4.69	4.75	65818392	494124608.00
20120222	4.73	4.78	4.71	4.78	44689541	336762752.00
20120223	4.77	4.82	4.75	4.78	57674799	437171776.00
20120224	4.79	4.82	4.72	4.82	79082131	598697600.00
20120227	4.83	4.94	4.82	4.86	105054560	808352640.00
20120228	4.85	4.88	4.83	4.87	51889212	398651104.00
20120229	4.86	4.87	4.80	4.81	40094017	306718112.00
20120301	4.79	4.82	4.76	4.77	32951812	250060160.00
20120302	4.78	4.85	4.77	4.83	43803021	333748480.00
20120305	4.85	4.85	4.76	4.77	30433385	231717568.00
20120306	4.78	4.80	4.67	4.68	52321959	392559328.00
20120307	4.65	4.72	4.64	4.66	34941770	260313504.00
20120308	4.68	4.73	4.65	4.71	26100103	195088752.00
20120309	4.72	4.76	4.71	4.75	31919500	240315664.00
20120312	4.74	4.74	4.67	4.70	27094454	202615280.00
20120313	4.69	4.77	4.68	4.75	32869203	247566880.00
20120314	4.77	4.85	4.71	4.72	89584050	680348672.00
20120315	4.74	4.85	4.72	4.76	75249158	572179712.00
20120316	4.78	4.85	4.75	4.84	43496558	331670464.00
20120319	4.84	4.84	4.74	4.82	33657436	256147792.00
20120320	4.87	4.88	4.75	4.79	48261842	368155744.00
20120321	4.78	4.80	4.71	4.73	26103245	196576256.00
20120322	4.72	4.72	4.66	4.68	17973996	134281792.00
20120323	4.68	4.71	4.64	4.66	19908149	148237152.00
