600029 南方航空 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	6.14	6.22	5.96	5.99	27074679	174902720.00
20111011	6.19	6.22	5.98	6.07	28291039	183528032.00
20111012	6.08	6.41	6.04	6.36	55303268	369559648.00
20111013	6.32	6.48	6.29	6.39	32303594	218874160.00
20111014	6.34	6.43	6.23	6.30	16948281	113748568.00
20111017	6.34	6.39	6.27	6.30	13706346	92318968.00
20111018	6.27	6.27	5.98	6.04	17232374	112747744.00
20111019	6.08	6.08	5.89	5.97	17876528	114123640.00
20111020	5.91	5.96	5.64	5.70	28156640	172677456.00
20111021	5.70	5.73	5.62	5.66	17688065	107492048.00
20111024	5.69	5.90	5.65	5.86	30095766	186976160.00
20111025	5.83	5.99	5.76	5.96	33232778	209902656.00
20111026	5.90	6.08	5.87	5.97	33857577	216386752.00
20111027	6.03	6.17	5.98	6.01	26847737	173715744.00
20111028	6.09	6.15	6.01	6.11	43300095	281465856.00
20111031	6.14	6.16	6.02	6.09	26025617	168351024.00
20111101	6.03	6.03	5.81	5.91	119807932	758488064.00
20111102	5.80	5.90	5.71	5.89	81409496	504675648.00
20111103	5.95	6.13	5.88	6.11	145206984	930705664.00
20111104	6.09	6.14	6.02	6.08	97020410	629696576.00
20111107	6.04	6.05	5.89	5.92	61679458	393119360.00
20111108	5.93	5.98	5.86	5.91	40065237	253578368.00
20111109	5.93	5.98	5.84	5.95	31401731	198356832.00
20111110	5.87	5.87	5.78	5.79	36554818	227932768.00
20111111	5.81	5.84	5.72	5.75	31271307	193105424.00
20111114	5.79	5.87	5.78	5.87	29139961	182125584.00
20111115	5.85	5.98	5.85	5.95	43696379	276945248.00
20111116	5.96	5.96	5.74	5.77	43469737	271115552.00
20111117	5.77	5.79	5.72	5.72	19143607	117861392.00
20111118	5.70	5.76	5.61	5.64	28789521	175017856.00
20111121	5.65	5.67	5.41	5.49	47125295	278333728.00
20111122	5.44	5.50	5.32	5.35	33722918	195566272.00
20111123	5.36	5.42	5.31	5.37	15676533	90392712.00
20111124	5.34	5.40	5.25	5.35	18466157	106001072.00
20111125	5.35	5.37	5.27	5.27	15473822	88518544.00
20111128	5.29	5.31	5.15	5.17	22103661	124078672.00
20111129	5.22	5.35	5.15	5.33	48452048	274815264.00
20111201	5.27	5.43	5.19	5.29	73530029	421166016.00
20111202	5.24	5.24	4.97	5.11	60049970	329989504.00
20111205	5.07	5.09	4.84	4.86	43033249	229231600.00
20111206	4.85	4.86	4.69	4.73	33256980	171932736.00
20111207	4.73	4.75	4.60	4.69	31991278	163267248.00
20111208	4.67	4.74	4.61	4.67	23360354	118625760.00
20111209	4.63	4.71	4.62	4.64	20025864	101486992.00
20111212	4.65	4.67	4.59	4.61	14345575	72310536.00
20111213	4.58	4.59	4.42	4.44	26108621	127803720.00
20111214	4.41	4.44	4.34	4.35	19638872	94350192.00
20111215	4.32	4.35	4.16	4.16	27954959	129974552.00
20111216	4.16	4.33	4.10	4.32	35770370	165363360.00
20111219	4.23	4.30	4.11	4.25	32185040	148600016.00
20111220	4.23	4.35	4.21	4.23	25977911	121799096.00
20111221	4.30	4.31	4.16	4.19	25041048	116543864.00
20111222	4.15	4.23	4.01	4.19	25735503	116471192.00
20111223	4.16	4.38	4.13	4.32	45260643	212980448.00
20111226	4.31	4.34	4.23	4.27	18900844	88751752.00
20111227	4.29	4.34	4.22	4.25	22194157	104276024.00
20111228	4.22	4.27	4.13	4.26	18246301	84113216.00
20111229	4.23	4.29	4.21	4.25	14718121	68740248.00
20111230	4.26	4.35	4.26	4.33	18442170	87240392.00
20120104	4.37	4.42	4.17	4.17	23853224	112322416.00
20120105	4.13	4.24	4.11	4.13	15811507	72439232.00
20120106	4.10	4.16	4.04	4.15	21353616	96213144.00
20120109	4.15	4.35	4.08	4.34	48570405	227414160.00
20120110	4.37	4.69	4.34	4.69	94428385	466199616.00
20120111	4.69	4.70	4.55	4.63	49748661	250609952.00
20120112	4.59	4.66	4.55	4.59	28783943	144213184.00
20120113	4.60	4.61	4.41	4.43	36031874	175813344.00
20120116	4.38	4.43	4.30	4.31	28114414	134237584.00
20120117	4.32	4.66	4.32	4.60	53892796	266164096.00
20120118	4.64	4.69	4.50	4.52	43249909	216814304.00
20120119	4.53	4.96	4.50	4.76	81481243	421282496.00
20120120	4.77	4.82	4.70	4.79	37577133	194683680.00
20120130	4.81	4.81	4.60	4.62	35491110	180211728.00
20120131	4.60	4.64	4.56	4.61	16151625	80900328.00
20120201	4.59	4.67	4.53	4.54	18019614	90260208.00
20120202	4.56	4.65	4.52	4.64	26587701	133064024.00
20120203	4.63	4.74	4.59	4.68	32714761	165955264.00
20120206	4.69	4.71	4.59	4.65	32300283	163440064.00
20120207	4.61	4.61	4.49	4.51	26554496	131247008.00
20120208	4.49	4.64	4.48	4.63	30721941	153483712.00
20120209	4.63	4.70	4.61	4.66	43624981	220871968.00
20120210	4.65	4.74	4.63	4.66	43254491	220088640.00
20120213	4.62	4.75	4.58	4.69	46820618	238700496.00
20120214	4.66	4.71	4.61	4.66	36104471	182479088.00
20120215	4.65	4.84	4.60	4.81	85593166	442197632.00
20120216	4.77	4.81	4.68	4.74	52593082	270834240.00
20120217	4.77	4.78	4.67	4.71	33358640	171120368.00
20120220	4.78	4.80	4.68	4.69	44615190	229496032.00
20120221	4.69	4.72	4.60	4.71	35005790	177600784.00
20120222	4.70	4.87	4.68	4.84	74393169	386188192.00
20120223	4.82	4.90	4.78	4.85	65011760	340947968.00
20120224	4.84	4.97	4.78	4.95	94230940	498848224.00
20120227	4.99	5.22	4.93	5.07	141025413	775932096.00
20120228	5.03	5.08	4.91	5.01	67738366	366601664.00
20120229	4.98	5.02	4.88	4.90	41127542	220237728.00
20120301	4.89	4.99	4.88	4.90	33317152	177679072.00
20120302	4.92	4.99	4.90	4.99	44758764	239959840.00
20120305	5.01	5.03	4.93	4.95	43722379	235528448.00
20120306	4.92	4.93	4.81	4.83	41171698	216628768.00
20120307	4.78	4.85	4.76	4.78	35794668	186404928.00
20120308	4.80	4.87	4.80	4.84	28631887	150172368.00
20120309	4.85	4.90	4.78	4.89	49615833	260451680.00
20120312	4.88	4.88	4.78	4.82	41753161	218262592.00
20120313	4.81	4.87	4.77	4.85	45782308	239641520.00
20120314	4.88	4.94	4.63	4.68	85159934	445155456.00
20120315	4.66	4.69	4.49	4.53	68626460	342341728.00
20120316	4.52	4.58	4.49	4.57	42801463	211497248.00
20120319	4.57	4.57	4.47	4.54	38515292	189621888.00
20120320	4.50	4.50	4.39	4.40	49506169	240027968.00
20120321	4.44	4.47	4.39	4.42	31554817	152617936.00
20120322	4.43	4.46	4.40	4.44	27649917	133712976.00
20120323	4.42	4.42	4.35	4.37	23578766	113018912.00
20120326	4.35	4.39	4.30	4.33	21059805	100237456.00
20120327	4.35	4.39	4.28	4.29	22751532	107975632.00
20120328	4.28	4.31	4.14	4.15	30664924	141575680.00
20120329	4.15	4.17	4.03	4.06	22995015	103608808.00
20120330	4.04	4.13	4.04	4.10	21241875	95652992.00
20120405	4.10	4.21	4.10	4.19	24941904	113998264.00
20120406	4.20	4.20	4.12	4.15	23461662	107172984.00
20120409	4.14	4.29	4.10	4.22	38975930	180210096.00
20120410	4.18	4.29	4.10	4.23	25533262	117336216.00
20120411	4.18	4.24	4.13	4.20	21544233	98956816.00
20120412	4.20	4.27	4.19	4.26	32279935	149899904.00
20120413	4.27	4.33	4.24	4.30	31783811	149202048.00
