600030 中信证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	9.66	9.69	9.31	9.39	48136729	533729504.00
20111011	9.88	9.99	9.42	9.56	77687654	882752000.00
20111012	9.49	10.44	9.36	10.25	139518143	1643683456.00
20111013	10.19	10.31	10.11	10.19	69399083	823998208.00
20111014	10.13	10.31	10.06	10.22	39450390	466756608.00
20111017	10.20	10.40	10.09	10.26	46034849	548974016.00
20111018	10.15	10.19	9.66	9.76	62956736	727403264.00
20111019	9.79	9.99	9.73	9.77	35252014	405034784.00
20111020	9.67	9.75	9.56	9.66	36914589	417831488.00
20111021	9.76	9.83	9.59	9.62	34357094	391717088.00
20111024	9.69	10.22	9.69	10.13	93022284	1085565184.00
20111025	10.13	10.34	10.04	10.20	70926503	841610432.00
20111026	10.15	10.49	10.12	10.32	103726448	1249644544.00
20111027	10.37	10.43	10.29	10.34	51948564	623831488.00
20111028	10.58	10.77	10.47	10.54	95514136	1170171776.00
20111031	10.58	10.59	10.27	10.34	63362512	763516480.00
20111101	10.24	10.56	10.18	10.49	66071723	798345664.00
20111102	10.26	10.83	10.22	10.78	96980188	1182479616.00
20111103	10.87	10.97	10.63	10.68	117749629	1470041728.00
20111104	10.84	10.95	10.70	10.78	71280991	889160896.00
20111107	10.69	10.70	10.49	10.54	57055969	698251328.00
20111108	10.52	10.68	10.44	10.47	42172450	514840768.00
20111109	10.55	10.63	10.36	10.60	39463377	480729824.00
20111110	10.44	10.48	10.31	10.32	54763583	659443904.00
20111111	10.34	10.41	10.23	10.28	28897246	346159072.00
20111114	10.39	10.55	10.36	10.51	40223065	488311584.00
20111115	10.46	10.51	10.33	10.40	31044071	374282656.00
20111116	10.40	10.42	10.02	10.04	52564590	621057408.00
20111117	10.04	10.11	9.99	10.05	32114909	375696640.00
20111118	9.96	10.16	9.69	9.77	67040232	774082624.00
20111121	9.79	9.84	9.69	9.82	24067547	274852768.00
20111122	9.74	9.89	9.68	9.87	27260200	312576096.00
20111123	9.89	9.91	9.39	9.53	67511433	758148608.00
20111124	9.45	9.59	9.41	9.49	31663968	353275520.00
20111125	9.50	9.54	9.39	9.43	24639806	273778752.00
20111128	9.48	9.59	9.41	9.48	34757864	387641248.00
20111129	9.58	9.63	9.48	9.61	32831150	368622912.00
20111130	9.58	9.59	9.01	9.08	67560264	736579264.00
20111201	9.64	9.74	9.42	9.47	95699725	1075487872.00
20111202	9.40	9.43	9.12	9.28	45599732	498470560.00
20111205	9.31	9.32	9.12	9.17	26873876	292080544.00
20111206	9.15	9.37	9.15	9.33	33127953	362928416.00
20111207	9.36	9.53	9.29	9.51	35606897	395588896.00
20111208	9.47	9.66	9.28	9.41	31616825	351143456.00
20111209	9.36	9.46	9.29	9.35	26957827	296725312.00
20111212	9.33	9.39	9.20	9.24	20782282	227084240.00
20111213	9.19	9.23	8.94	8.96	45223202	484982560.00
20111214	8.94	9.03	8.77	8.85	28372752	299948160.00
20111215	8.79	8.88	8.50	8.54	39360356	406842624.00
20111216	8.37	8.81	8.37	8.75	41615759	424566656.00
20111219	8.60	8.73	8.33	8.64	52152098	528939904.00
20111220	8.62	8.69	8.41	8.44	35728624	364672992.00
20111221	8.56	8.61	8.29	8.31	39985530	403119744.00
20111222	8.25	8.32	7.88	8.17	50628386	494886272.00
20111226	8.09	8.14	7.92	7.93	39248193	379486528.00
20111227	7.93	8.20	7.84	7.93	39326540	380673184.00
20111228	7.85	8.11	7.81	8.06	49038085	471098240.00
20111229	7.94	8.09	7.93	7.94	38159221	368876160.00
20111230	8.02	8.12	7.99	8.05	35892219	348835808.00
20120104	8.13	8.19	7.90	7.90	35400533	343726592.00
20120105	7.86	8.06	7.54	7.63	47835228	453575488.00
20120106	7.53	7.77	7.38	7.73	55502983	513423424.00
20120109	7.70	8.13	7.60	8.09	62306116	596959872.00
20120110	8.13	8.59	8.05	8.46	84456548	843167552.00
20120111	8.49	8.56	8.32	8.42	47836703	482098304.00
20120112	8.43	8.49	8.33	8.37	36378516	366106944.00
20120113	8.39	8.44	8.08	8.14	52158359	515381248.00
20120116	8.34	8.42	8.15	8.17	45849664	456755104.00
20120117	8.17	8.90	8.14	8.85	85184445	870783488.00
20120118	8.79	9.29	8.74	8.81	84357874	898240832.00
20120119	8.91	9.25	8.82	9.18	77769983	837570048.00
20120120	9.22	9.43	9.10	9.35	78760508	863555264.00
20120130	9.35	9.40	8.99	9.02	58904533	642156992.00
20120131	9.03	9.12	8.91	9.03	38825399	414370688.00
20120201	9.00	9.07	8.77	8.81	30791603	325458496.00
20120202	8.86	9.15	8.74	9.14	48027671	510173024.00
20120203	9.12	9.34	9.00	9.24	54872168	594107200.00
20120206	9.27	9.35	9.09	9.18	39323728	427710976.00
20120207	9.10	9.14	8.79	8.86	46110139	486913600.00
20120208	8.87	9.41	8.79	9.29	69555484	753610176.00
20120209	9.32	9.33	9.15	9.21	68223771	744013248.00
20120210	9.17	9.55	9.13	9.31	86545718	955758784.00
20120213	9.14	9.45	9.06	9.29	51170318	561008192.00
20120214	9.27	9.34	9.14	9.21	33126670	360781696.00
20120215	9.16	9.55	9.15	9.43	77158843	856189888.00
20120216	9.43	9.55	9.35	9.47	69013661	766979840.00
20120217	9.56	9.63	9.42	9.48	41584342	464366112.00
20120220	9.66	9.76	9.48	9.50	72501387	819491200.00
20120221	9.54	9.62	9.38	9.57	50985607	569439040.00
20120222	9.57	9.99	9.52	9.93	117338729	1345631232.00
20120223	9.93	9.97	9.75	9.85	72484044	836639936.00
20120224	9.85	10.20	9.82	10.13	113831525	1332453888.00
20120227	10.22	10.52	10.22	10.30	153774033	1854617728.00
20120228	10.26	10.42	10.19	10.35	68925827	824409472.00
20120229	10.32	10.32	10.02	10.14	69335326	819488512.00
20120301	10.06	10.31	10.03	10.19	46155686	547935040.00
20120302	10.20	10.63	10.20	10.58	108899126	1320279552.00
20120305	10.69	10.88	10.60	10.61	114624930	1422622720.00
20120306	10.60	10.60	10.44	10.52	65396165	796287936.00
20120307	10.35	10.63	10.19	10.43	98178035	1186644352.00
20120308	10.49	10.90	10.49	10.81	130612562	1623168128.00
20120309	10.84	10.88	10.71	10.81	77756799	968863744.00
20120312	10.79	10.97	10.53	10.70	81553952	1010419904.00
20120313	10.68	10.84	10.65	10.78	45103407	560200128.00
20120314	10.89	11.07	10.28	10.32	152257733	1882811264.00
20120315	10.32	10.43	10.11	10.24	91975696	1100780416.00
20120316	10.28	10.66	10.28	10.64	84972815	1035151744.00
20120319	10.59	10.69	10.39	10.59	65074435	795808064.00
20120320	10.54	10.58	10.04	10.09	103200934	1226743936.00
20120321	10.24	10.28	9.78	9.95	93932588	1095742208.00
20120322	9.97	10.19	9.89	10.08	46097304	539860544.00
20120323	10.01	10.20	9.88	9.99	56818713	665598848.00
20120326	9.98	10.07	9.90	9.99	33438997	389176384.00
20120327	10.10	10.16	9.99	10.03	30802732	361822240.00
20120328	10.01	10.03	9.76	9.80	56925406	657518912.00
20120329	9.70	9.84	9.50	9.63	68309163	773540928.00
20120330	9.72	10.00	9.72	9.93	73157155	844021568.00
20120405	9.98	11.09	9.88	10.60	159871895	1952532096.00
20120406	10.57	10.88	10.57	10.76	88687695	1099580544.00
20120409	10.76	10.84	10.58	10.62	45912600	567421760.00
20120410	10.57	10.84	10.35	10.83	68369702	839078592.00
20120411	10.65	10.99	10.57	10.82	69113722	862533760.00
20120412	10.87	11.36	10.82	11.33	184435845	2360354304.00
20120413	11.35	11.75	11.31	11.49	173574757	2294790144.00
20120416	11.34	11.66	11.26	11.52	97069733	1280219392.00
20120417	11.49	11.56	11.08	11.12	91359061	1180674048.00
20120418	11.14	11.75	11.01	11.73	186567951	2450245376.00
20120419	11.74	11.81	11.51	11.63	130055879	1736979584.00
20120420	11.64	12.04	11.46	11.84	181680099	2443375616.00
20120423	11.78	11.78	11.44	11.46	122580766	1629304960.00
20120424	11.39	11.84	11.12	11.59	178095321	2335152128.00
20120425	11.59	11.77	11.45	11.50	97215769	1287140096.00
20120426	11.54	11.65	11.30	11.47	105584972	1388974720.00
20120427	11.46	11.60	11.32	11.34	65116970	851740160.00
20120502	11.74	11.79	11.46	11.51	131881696	1750772224.00
20120503	11.49	11.96	11.44	11.88	145659519	1955591424.00
20120504	11.84	11.99	11.59	11.87	109837143	1473368320.00
20120507	11.77	11.88	11.59	11.70	104054568	1390480384.00
20120508	11.74	11.82	11.34	11.43	108660903	1425928832.00
20120509	11.26	11.45	11.21	11.22	88131609	1141525504.00
20120510	11.22	11.41	11.11	11.32	78480536	1013403264.00
20120511	11.26	11.36	11.06	11.11	59568239	765634752.00
20120514	11.27	11.47	11.05	11.21	101946191	1320660992.00
20120515	11.11	11.43	11.06	11.37	67807999	876052608.00
20120516	11.32	11.58	11.14	11.16	77064174	1002078336.00
20120517	11.19	11.72	11.19	11.65	137055799	1806457472.00
20120518	11.51	11.64	11.36	11.41	84234242	1106516224.00
20120521	11.35	11.51	11.21	11.28	59987514	780467584.00
20120522	11.34	11.69	11.34	11.64	94159173	1244270208.00
20120523	11.61	11.99	11.56	11.94	154785244	2082910208.00
20120524	11.94	12.04	11.69	11.78	84187920	1138625152.00
20120525	11.75	11.94	11.50	11.58	82939327	1110595712.00
20120528	11.52	11.83	11.32	11.83	82817935	1098672384.00
20120529	11.81	12.27	11.75	12.08	149090365	2048848000.00
20120530	12.08	12.22	12.02	12.16	88206734	1217479936.00
20120531	12.04	12.28	11.99	12.11	58930938	813185728.00
20120601	12.11	12.33	12.11	12.22	71799074	998649600.00
20120604	11.94	12.13	11.61	11.68	88782331	1200522240.00
20120605	11.69	11.76	11.42	11.47	62918082	830447744.00
20120606	11.52	11.66	11.34	11.44	49137279	644609152.00
