600033 福建高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	2.05	2.10	2.03	2.06	6396694	17434638.00
20111011	2.11	2.12	2.04	2.06	4979648	13582787.00
20111012	2.05	2.12	2.04	2.12	6101672	16782256.00
20111013	2.12	2.16	2.10	2.15	6824075	19030612.00
20111014	2.14	2.16	2.11	2.15	5438693	15128674.00
20111017	2.15	2.16	2.11	2.14	3437925	9576628.00
20111018	2.12	2.13	2.07	2.08	4680679	12822111.00
20111019	2.07	2.11	2.07	2.08	3065492	8383310.00
20111020	2.08	2.08	2.01	2.04	4764810	12791875.00
20111021	2.03	2.05	1.99	2.02	3465133	9247742.00
20111024	2.02	2.06	1.99	2.06	6648605	17799416.00
20111025	2.06	2.10	2.03	2.09	6610895	17989548.00
20111026	2.08	2.12	2.06	2.09	8147805	22338620.00
20111027	2.13	2.14	2.11	2.12	9831678	27297904.00
20111028	2.14	2.15	2.11	2.13	9971731	27765368.00
20111031	2.14	2.14	2.11	2.14	5441376	15097441.00
20111101	2.12	2.15	2.11	2.13	7297073	20299888.00
20111102	2.10	2.15	2.07	2.15	8731572	24098016.00
20111103	2.15	2.19	2.13	2.16	10994354	30939168.00
20111104	2.17	2.18	2.14	2.18	8795238	24719902.00
20111107	2.17	2.19	2.14	2.15	6849346	19284412.00
20111108	2.15	2.18	2.13	2.16	9696610	27179580.00
20111109	2.16	2.17	2.12	2.16	7106233	19863304.00
20111110	2.14	2.15	2.11	2.12	7388938	20560032.00
20111111	2.12	2.14	2.10	2.11	4808097	13325633.00
20111114	2.12	2.16	2.12	2.16	8364507	23351400.00
20111115	2.15	2.16	2.14	2.15	6018892	16837962.00
20111116	2.15	2.16	2.10	2.11	9076773	25245164.00
20111118	2.09	2.10	2.03	2.05	7958081	21568684.00
20111121	2.05	2.07	2.04	2.06	3275215	8852998.00
20111122	2.05	2.07	2.03	2.07	4215013	11398615.00
20111123	2.07	2.07	2.03	2.04	3708519	9995898.00
20111124	2.04	2.05	2.01	2.03	3924889	10515719.00
20111125	2.03	2.04	2.01	2.02	3242454	8659213.00
20111128	2.02	2.03	2.01	2.02	2030820	5418936.00
20111129	2.03	2.05	2.01	2.04	3535993	9475650.00
20111130	2.04	2.04	1.93	1.95	6013664	15774126.00
20111201	1.99	2.03	1.98	1.99	5544253	14712096.00
20111202	1.98	1.99	1.94	1.96	3170293	8267828.00
20111205	1.96	1.97	1.89	1.90	4342950	11145785.00
20111206	1.90	1.92	1.87	1.89	3498712	8905092.00
20111207	1.90	1.91	1.88	1.90	2137264	5453695.00
20111208	1.91	1.91	1.87	1.90	3585676	9126100.00
20111209	1.89	1.90	1.88	1.88	2198907	5575626.00
20111212	1.88	1.90	1.88	1.89	2356307	5992370.00
20111213	1.88	1.89	1.81	1.83	5816864	14527738.00
20111214	1.82	1.84	1.79	1.80	3381648	8336755.00
20111215	1.79	1.80	1.74	1.75	5086729	12282593.00
20111216	1.75	1.81	1.71	1.80	4730955	11403224.00
20111219	1.78	1.80	1.74	1.78	3605625	8692952.00
20111220	1.78	1.81	1.76	1.76	2334014	5686618.00
20111221	1.78	1.79	1.75	1.75	2975407	7209755.00
20111222	1.74	1.75	1.69	1.72	4656932	11042637.00
20111223	1.72	1.77	1.71	1.76	3145330	7545638.00
20111226	1.75	1.78	1.73	1.76	3306114	7965945.00
20111227	1.76	1.77	1.70	1.72	2438064	5825826.00
20111228	1.72	1.73	1.68	1.72	2856111	6726009.00
20111229	1.71	1.74	1.69	1.71	2542800	6019700.00
20111230	1.72	1.74	1.71	1.73	3845544	9121941.00
20120104	1.74	1.77	1.72	1.72	4074708	9759993.00
20120105	1.73	1.77	1.71	1.73	6432868	15392824.00
20120106	1.71	1.74	1.69	1.74	4212929	9973936.00
20120109	1.74	1.81	1.73	1.80	7491758	18201482.00
20120110	1.80	1.86	1.79	1.85	12058138	29937090.00
20120111	1.84	1.86	1.82	1.84	6314295	15710600.00
20120112	1.84	1.85	1.82	1.83	5155018	12818071.00
20120113	1.82	1.83	1.77	1.79	5225541	12766283.00
20120116	1.78	1.85	1.78	1.79	8252024	20385336.00
20120117	1.78	1.88	1.76	1.88	11134362	27665796.00
20120118	1.87	1.88	1.82	1.84	8100211	20265150.00
20120119	1.83	1.87	1.82	1.86	6585943	16469613.00
20120120	1.86	1.87	1.84	1.86	4204308	10550302.00
20120130	1.87	1.88	1.84	1.84	4626380	11603134.00
20120131	1.84	1.85	1.81	1.82	3587330	8876519.00
20120201	1.82	1.84	1.80	1.80	3723782	9188532.00
20120202	1.80	1.84	1.80	1.83	3623758	8944357.00
20120203	1.83	1.86	1.82	1.85	5804505	14510275.00
20120206	1.85	1.87	1.84	1.86	5032716	12616769.00
20120207	1.86	1.86	1.81	1.82	3754636	9296009.00
20120208	1.82	1.87	1.81	1.86	5239181	13083046.00
20120209	1.86	1.87	1.84	1.87	7442986	18682358.00
20120210	1.86	1.90	1.86	1.88	9885325	25037340.00
20120213	1.87	1.90	1.85	1.88	5634412	14246410.00
20120214	1.88	1.89	1.84	1.87	11888043	29829184.00
20120215	1.86	1.92	1.85	1.91	15011817	38156752.00
20120216	1.90	1.92	1.89	1.90	9758089	24933688.00
20120217	1.91	1.91	1.87	1.88	7825531	19852520.00
20120220	1.90	1.92	1.88	1.90	10623330	27123376.00
20120221	1.90	1.91	1.87	1.90	6217028	15794154.00
20120222	1.90	1.94	1.89	1.93	12129151	31158306.00
20120223	1.93	1.97	1.92	1.94	13246800	34323536.00
20120224	1.94	2.00	1.93	2.00	19573976	51334564.00
20120227	2.01	2.08	2.00	2.02	25668995	68866264.00
20120228	2.02	2.05	1.97	2.02	16514978	43879756.00
20120229	2.01	2.01	1.96	1.97	9445375	24846698.00
20120301	1.94	1.99	1.94	1.97	5915176	15459321.00
20120302	1.97	2.01	1.96	2.01	12122235	32013308.00
20120305	2.01	2.03	1.97	1.99	10657288	28249656.00
20120306	1.98	1.99	1.93	1.94	9665657	25112760.00
20120307	1.92	1.95	1.91	1.92	6814533	17595818.00
20120308	1.93	1.96	1.93	1.95	5469722	14195650.00
20120309	1.96	1.97	1.93	1.97	8741482	22733484.00
20120312	1.97	1.97	1.93	1.96	5417427	14084221.00
20120313	1.95	1.98	1.93	1.98	8898485	23211262.00
20120314	1.98	2.00	1.89	1.90	15668744	40855920.00
20120315	1.89	1.91	1.85	1.86	9920020	25047686.00
20120316	1.86	1.90	1.85	1.90	6936689	17536600.00
20120319	1.89	1.90	1.87	1.89	4543594	11503752.00
20120320	1.89	1.89	1.85	1.86	5302434	13322836.00
20120321	1.87	1.89	1.84	1.88	7085346	17815544.00
20120322	1.87	1.88	1.86	1.87	4350881	10962380.00
20120323	1.87	1.87	1.83	1.84	5134312	12822272.00
20120326	1.84	1.86	1.83	1.85	4100341	10229466.00
20120327	1.86	1.87	1.83	1.83	4599278	11477790.00
20120328	1.83	1.84	1.75	1.76	6625409	16157114.00
20120329	1.76	1.76	1.72	1.73	5567114	13289560.00
20120330	1.73	1.74	1.72	1.74	4246967	10111420.00
20120405	1.75	1.78	1.73	1.78	5609254	13502032.00
20120406	1.77	1.78	1.75	1.77	4212286	10189245.00
20120409	1.77	1.86	1.76	1.81	13802648	34213148.00
20120410	1.79	1.81	1.75	1.81	6568101	15949581.00
20120411	1.77	1.81	1.77	1.81	4589724	11205655.00
20120412	1.80	1.84	1.79	1.83	7960909	19683068.00
20120413	1.83	1.86	1.82	1.84	5882090	14644121.00
20120416	1.85	1.92	1.83	1.88	12124262	30649004.00
20120417	1.87	1.93	1.86	1.87	11563088	29447002.00
20120418	1.87	1.93	1.85	1.92	9263369	23581624.00
20120419	1.90	1.92	1.86	1.88	7677178	19481266.00
20120420	1.87	1.91	1.86	1.90	6296991	16010230.00
20120423	1.91	1.91	1.87	1.87	5366790	13636322.00
20120424	1.87	1.93	1.86	1.93	19481813	49759544.00
20120425	1.91	1.95	1.90	1.95	14748770	38060648.00
20120426	1.94	1.95	1.91	1.93	8182154	21093776.00
20120427	1.93	1.94	1.90	1.91	5030222	12876810.00
20120502	1.93	1.96	1.92	1.94	9765263	25300332.00
20120503	1.94	1.96	1.92	1.93	7451965	19277562.00
20120504	1.93	1.95	1.91	1.94	6140157	15837718.00
20120507	1.93	1.93	1.90	1.92	7694208	19741956.00
20120508	1.92	1.92	1.89	1.91	5486872	14002661.00
20120509	1.89	1.90	1.85	1.86	8382444	21143396.00
20120510	1.85	1.87	1.85	1.86	3382146	8484374.00
20120511	1.86	1.86	1.84	1.84	4352496	10884083.00
20120514	1.86	1.87	1.84	1.85	3597343	8993646.00
20120515	1.84	1.84	1.81	1.83	4355831	10784861.00
20120516	1.82	1.86	1.81	1.83	4896342	12179217.00
20120517	1.83	1.94	1.82	1.92	15893457	40491948.00
20120518	1.89	2.02	1.88	1.96	37422233	97712656.00
20120521	1.94	1.97	1.90	1.92	12167412	31273496.00
20120523	1.92	1.92	1.88	1.90	7483836	19077110.00
20120524	1.89	1.92	1.88	1.89	5293122	13492434.00
20120525	1.89	1.90	1.84	1.85	8110750	20384224.00
20120528	1.85	1.89	1.82	1.88	5877740	14750225.00
20120529	1.88	1.92	1.87	1.92	9821084	24985888.00
20120530	1.91	1.92	1.89	1.90	6036810	15423625.00
20120531	1.90	1.90	1.86	1.87	4566370	11548933.00
20120601	1.88	1.90	1.87	1.88	3848994	9756833.00
20120604	1.87	1.87	1.81	1.81	7955984	19773504.00
20120605	1.81	1.87	1.81	1.85	8082358	20190816.00
20120606	1.85	1.88	1.85	1.86	5086579	12780318.00
20120607	1.87	1.89	1.86	1.88	4984595	12585927.00
20120608	1.90	1.90	1.86	1.88	6960699	17592878.00
20120611	1.88	1.90	1.86	1.89	4323137	10488076.00
20120612	1.89	1.89	1.85	1.86	2673950	6460583.00
20120613	1.87	1.88	1.86	1.88	3359842	8128210.00
20120614	1.88	1.89	1.86	1.87	3448565	8370329.00
20120615	1.88	1.89	1.86	1.87	3698067	8971842.00
20120618	1.88	1.89	1.87	1.88	3480183	8462828.00
20120619	1.88	1.88	1.86	1.86	2389360	5786388.00
20120620	1.86	1.88	1.85	1.86	4142316	9988590.00
20120621	1.86	1.86	1.84	1.84	3220559	7716273.00
20120625	1.85	1.85	1.81	1.81	3456450	8217910.00
20120626	1.81	1.82	1.79	1.81	4453822	10487400.00
20120627	1.81	1.83	1.79	1.81	3696998	8734578.00
20120628	1.81	1.83	1.78	1.79	3173885	7491951.00
20120629	1.79	1.81	1.76	1.81	3422200	7989668.00
20120702	1.81	1.82	1.79	1.81	2309662	5441462.00
20120703	1.81	1.82	1.79	1.81	3084507	7269214.00
20120704	1.81	1.82	1.79	1.80	1705306	4007321.00
20120705	1.80	1.80	1.76	1.77	2921194	6781749.00
20120706	1.79	1.80	1.76	1.80	2739656	6369821.00
20120709	1.79	1.79	1.76	1.76	3082417	7161248.00
20120710	1.75	1.77	1.74	1.75	2605463	5994616.00
20120711	1.75	1.76	1.74	1.76	2066094	4756432.00
20120712	1.76	1.77	1.73	1.77	3207328	7378704.00
20120713	1.76	1.77	1.74	1.75	2895569	6666871.00
20120716	1.75	1.75	1.69	1.70	4013500	9098060.00
20120717	1.70	1.74	1.69	1.73	3762498	8534100.00
20120718	1.73	1.74	1.71	1.73	2608450	5931770.00
20120719	1.72	1.76	1.72	1.74	4767742	10951045.00
20120720	1.75	1.75	1.73	1.74	1789174	4100220.00
