600035 楚天高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	2.09	2.09	2.06	2.07	1800350	6968192.00
20111011	2.14	2.14	2.05	2.08	2464917	9601374.00
20111012	2.07	2.15	2.05	2.14	3690857	14547247.00
20111013	2.14	2.17	2.12	2.15	3199361	12736606.00
20111014	2.15	2.16	2.11	2.14	1852756	7323103.00
20111017	2.14	2.16	2.12	2.14	1431877	5672517.00
20111018	2.12	2.12	2.07	2.07	1804434	7035698.00
20111019	2.09	2.10	2.06	2.08	2178011	8434380.00
20111020	2.07	2.09	1.97	2.01	2482000	9387465.00
20111021	2.01	2.01	1.98	1.99	1133919	4243693.00
20111024	2.00	2.05	1.98	2.05	2159296	8139755.00
20111025	2.05	2.10	2.02	2.09	3541237	13626682.00
20111026	2.06	2.12	2.06	2.10	2241650	8756412.00
20111027	2.10	2.12	2.10	2.11	2499377	9791378.00
20111028	2.13	2.17	2.12	2.15	3480303	13809114.00
20111031	2.13	2.14	2.08	2.10	4088604	16021877.00
20111101	2.09	2.13	2.07	2.11	2578327	10098978.00
20111102	2.09	2.14	2.06	2.14	2680170	10459017.00
20111103	2.14	2.17	2.13	2.14	5459015	21756856.00
20111104	2.15	2.17	2.14	2.16	2677923	10650655.00
20111107	2.16	2.16	2.12	2.14	2515661	9996374.00
20111108	2.14	2.17	2.12	2.17	6133353	24430254.00
20111109	2.16	2.17	2.12	2.16	4136829	16438703.00
20111110	2.14	2.15	2.11	2.12	3323758	13104452.00
20111111	2.12	2.13	2.10	2.12	2253034	8856834.00
20111114	2.12	2.16	2.12	2.16	4583428	18201256.00
20111115	2.16	2.16	2.14	2.16	1679697	6684032.00
20111116	2.16	2.17	2.10	2.11	3578408	14155512.00
20111117	2.17	2.17	2.10	2.10	2704382	10660657.00
20111118	2.11	2.12	2.04	2.05	2677409	10341638.00
20111121	2.05	2.07	2.03	2.07	1138220	4358221.00
20111122	2.06	2.07	2.03	2.06	2119216	8112332.00
20111123	2.06	2.07	2.02	2.03	1607716	6130215.00
20111124	2.03	2.04	2.00	2.04	1575863	5949899.00
20111125	2.03	2.04	2.01	2.01	1088100	4117794.00
20111128	2.01	2.03	2.00	2.01	805728	3031429.00
20111129	2.02	2.03	2.01	2.03	1228992	4652726.00
20111130	2.03	2.03	1.91	1.94	2422163	8937178.00
20111201	1.98	2.02	1.96	1.97	2543588	9495493.00
20111202	1.97	1.97	1.91	1.92	1442431	5258801.00
20111205	1.93	1.93	1.87	1.88	1397905	5009173.00
20111206	1.87	1.91	1.87	1.89	2567292	9173998.00
20111207	1.89	1.94	1.89	1.92	3039348	11058488.00
20111208	1.92	1.93	1.87	1.91	1213600	4369301.00
20111209	1.91	1.91	1.87	1.89	737911	2637413.00
20111212	1.90	1.92	1.88	1.90	1514561	5446133.00
20111213	1.89	1.90	1.85	1.85	1702899	6016284.00
20111214	1.84	1.87	1.82	1.84	1485362	5220269.00
20111215	1.84	1.84	1.78	1.79	1521680	5242266.00
20111216	1.78	1.83	1.77	1.83	1304964	4475510.00
20111219	1.83	1.83	1.78	1.82	1239976	4260231.00
20111220	1.82	1.84	1.79	1.81	1157230	4007776.00
20111221	1.82	1.87	1.78	1.80	1642000	5734895.00
20111222	1.78	1.79	1.73	1.76	1547330	5208525.00
20111223	1.75	1.80	1.75	1.78	1499594	5096171.00
20111226	1.78	1.80	1.76	1.78	1051020	3586453.00
20111227	1.78	1.78	1.75	1.75	1127582	3796862.00
20111228	1.74	1.76	1.71	1.73	1347233	4473820.00
20111229	1.73	1.75	1.71	1.73	808916	2689975.00
20111230	1.73	1.76	1.73	1.75	1841009	6150055.00
20120104	1.76	1.76	1.69	1.70	3034626	10068706.00
20120105	1.69	1.75	1.67	1.68	2831871	9312428.00
20120106	1.67	1.68	1.62	1.67	2276943	7289748.00
20120109	1.67	1.75	1.64	1.74	2975764	9800171.00
20120110	1.74	1.82	1.72	1.80	5251729	17906700.00
20120111	1.81	1.81	1.76	1.79	3521180	12033434.00
20120112	1.78	1.81	1.77	1.78	2051291	7034085.00
20120113	1.78	1.78	1.71	1.74	2151708	7199785.00
20120116	1.73	1.78	1.71	1.72	2116895	7103287.00
20120117	1.71	1.82	1.71	1.81	4808493	16352664.00
20120118	1.80	1.82	1.76	1.78	3259075	11139966.00
20120119	1.77	1.82	1.76	1.81	2817565	9665082.00
20120120	1.82	1.83	1.80	1.82	3890445	13437925.00
20120130	1.82	1.82	1.78	1.79	2800166	9638041.00
20120131	1.79	1.79	1.75	1.78	2319482	7847393.00
20120201	1.77	1.78	1.73	1.75	2056698	6921580.00
20120202	1.75	1.78	1.74	1.78	1893607	6386117.00
20120203	1.78	1.81	1.76	1.80	3678099	12580129.00
20120206	1.80	1.82	1.78	1.80	2353751	8078073.00
20120207	1.80	1.80	1.75	1.76	2267610	7680520.00
20120208	1.76	1.81	1.75	1.81	3219178	10980963.00
20120209	1.81	1.83	1.79	1.82	6377669	22011032.00
20120210	1.82	1.86	1.81	1.84	7868587	27487140.00
20120213	1.83	1.85	1.80	1.84	4572592	15912191.00
20120214	1.85	1.85	1.80	1.82	4016225	13891226.00
20120215	1.82	1.87	1.81	1.86	6667483	23350272.00
20120216	1.86	1.88	1.84	1.87	5746150	20291440.00
20120217	1.87	1.88	1.83	1.85	3543786	12469219.00
20120220	1.87	1.89	1.85	1.86	3221663	11421374.00
20120221	1.85	1.87	1.83	1.86	2818071	9897817.00
20120222	1.86	1.89	1.85	1.89	5204804	18492320.00
20120223	1.89	1.91	1.88	1.91	5597670	20062068.00
20120224	1.90	1.95	1.89	1.94	7097916	25728364.00
20120227	1.96	2.01	1.94	1.96	9976873	37017736.00
20120228	1.97	1.97	1.91	1.94	5473581	20007522.00
20120229	1.94	1.94	1.89	1.91	5044976	18273116.00
20120301	1.90	1.93	1.90	1.91	3884165	14024100.00
20120302	1.91	1.95	1.91	1.94	4364289	15879391.00
20120305	1.95	1.96	1.91	1.92	5008160	18233020.00
20120306	1.91	1.93	1.89	1.90	3652250	13125447.00
20120307	1.89	1.93	1.87	1.89	3653898	13087767.00
20120308	1.89	1.92	1.89	1.91	3222750	11617445.00
20120309	1.91	1.94	1.90	1.93	3174132	11491258.00
20120312	1.94	1.94	1.91	1.92	2448257	8880240.00
20120313	1.92	1.96	1.92	1.96	3604173	13149905.00
20120314	1.96	1.98	1.87	1.87	8177293	29724594.00
20120315	1.87	1.88	1.82	1.83	4438179	15554576.00
20120316	1.83	1.87	1.82	1.87	3901020	13666187.00
20120319	1.87	1.87	1.84	1.87	2524268	8874740.00
20120320	1.86	1.86	1.82	1.83	3787441	13209555.00
20120321	1.83	1.89	1.82	1.89	7093209	25043388.00
20120322	1.87	1.88	1.85	1.86	2913574	10313146.00
20120323	1.86	1.86	1.82	1.83	2386214	8353882.00
20120326	1.81	1.84	1.80	1.83	1249147	4327721.00
20120327	1.83	1.84	1.81	1.82	1076058	3739140.00
20120328	1.80	1.81	1.73	1.75	3527096	11924534.00
20120329	1.75	1.75	1.69	1.70	2103993	6953876.00
20120330	1.69	1.72	1.68	1.71	1654884	5435916.00
20120405	1.71	1.75	1.70	1.75	2092838	6965856.00
20120406	1.74	1.76	1.73	1.76	1364828	4585018.00
20120409	1.77	1.83	1.74	1.78	4845243	16630763.00
20120410	1.77	1.80	1.73	1.80	3029968	10245551.00
20120411	1.77	1.80	1.76	1.80	2208661	7542253.00
20120412	1.78	1.82	1.77	1.82	4238301	14586637.00
20120413	1.82	1.83	1.80	1.82	3602419	12455069.00
20120416	1.80	1.86	1.78	1.84	5873773	20452464.00
20120417	1.85	1.91	1.82	1.82	8847499	31390994.00
20120418	1.82	1.86	1.79	1.85	5891761	20500868.00
20120419	1.84	1.86	1.82	1.83	3131108	10942638.00
20120420	1.83	1.85	1.80	1.85	7107862	24692632.00
20120423	1.84	1.85	1.82	1.82	4138447	14447950.00
20120424	1.82	1.87	1.78	1.84	6185320	21537932.00
20120425	1.83	1.89	1.82	1.89	7816615	27600488.00
20120426	1.89	1.90	1.85	1.87	4877958	17264352.00
