600036 招商银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	7.18	7.25	7.06	7.12	26532950	292021376.00
20111011	7.45	7.52	7.17	7.29	72460591	818837120.00
20111012	7.23	7.71	7.21	7.62	82798745	952485504.00
20111013	7.61	7.69	7.49	7.66	53681928	621393856.00
20111014	7.63	7.77	7.51	7.71	47011524	545351872.00
20111017	7.72	7.97	7.70	7.88	63249728	750162944.00
20111018	7.79	7.86	7.57	7.62	40850481	476284160.00
20111019	7.65	7.76	7.61	7.68	27212250	316792192.00
20111020	7.60	7.69	7.48	7.57	43347713	499537952.00
20111021	7.60	7.77	7.52	7.69	42296760	492704000.00
20111024	7.74	8.03	7.68	8.03	80177363	955623040.00
20111025	8.01	8.15	7.87	8.09	86241769	1038634752.00
20111026	8.05	8.14	7.98	8.01	74119112	896344576.00
20111027	8.08	8.19	7.98	8.10	44089854	535015392.00
20111028	8.24	8.45	8.20	8.27	91980726	1140038016.00
20111031	8.25	8.28	8.03	8.07	50913577	618593536.00
20111101	8.01	8.34	7.99	8.11	53255989	651811584.00
20111102	7.98	8.32	7.95	8.31	47261457	576343232.00
20111103	8.37	8.37	8.14	8.15	59635946	731536448.00
20111104	8.28	8.32	8.13	8.21	37279003	457164448.00
20111107	8.20	8.20	8.02	8.05	26839159	325681248.00
20111108	8.03	8.14	7.99	8.08	30281583	366721312.00
20111109	8.11	8.20	8.01	8.15	27911337	338819584.00
20111110	8.05	8.12	7.92	7.95	40678420	488989728.00
20111111	7.94	8.03	7.81	7.88	30271359	360964864.00
20111114	7.97	8.11	7.92	8.04	31694809	381405952.00
20111115	8.03	8.03	7.92	7.95	23329648	279112576.00
20111116	7.92	7.94	7.60	7.68	56229305	659454208.00
20111117	7.68	7.70	7.59	7.61	33839571	392361664.00
20111118	7.57	7.68	7.44	7.50	35568970	408315712.00
20111121	7.51	7.54	7.39	7.49	20878720	237493152.00
20111122	7.46	7.62	7.44	7.60	28585633	328534176.00
20111123	7.62	7.63	7.44	7.55	27610351	316909600.00
20111124	7.47	7.68	7.47	7.63	32639601	377008704.00
20111125	7.64	7.64	7.51	7.54	20753822	238738592.00
20111128	7.58	7.64	7.48	7.52	25095237	288372192.00
20111129	7.58	7.63	7.52	7.61	25737215	296483392.00
20111130	7.56	7.60	7.29	7.31	36208630	410497600.00
20111201	7.64	7.92	7.60	7.69	99629479	1166590336.00
20111202	7.63	7.81	7.59	7.76	38206199	446493088.00
20111205	7.78	7.94	7.66	7.87	51948409	615599552.00
20111206	7.86	7.94	7.77	7.78	34166000	404861216.00
20111207	7.80	7.97	7.77	7.89	44383860	527973504.00
20111208	7.92	7.99	7.84	7.90	40248343	480143968.00
20111209	7.81	7.97	7.81	7.90	35782723	426101024.00
20111212	7.90	8.00	7.83	7.97	32076098	383094912.00
20111213	7.95	7.98	7.64	7.69	51058775	602149248.00
20111214	7.69	7.84	7.60	7.71	30408111	356305056.00
20111215	7.69	7.78	7.47	7.48	43356655	502325984.00
20111216	7.47	7.72	7.43	7.66	45706808	525062400.00
20111219	7.54	7.72	7.36	7.69	38458276	440755776.00
20111220	7.66	7.89	7.63	7.67	41819193	491358976.00
20111221	7.77	7.95	7.62	7.63	39698385	468446048.00
20111222	7.64	7.77	7.52	7.73	41291440	479151488.00
20111223	7.71	7.86	7.63	7.72	35267900	413821888.00
20111226	7.64	7.81	7.60	7.70	26645492	311157312.00
20111227	7.70	7.78	7.66	7.72	32255697	377531968.00
20111228	7.70	7.78	7.50	7.60	47014189	544702208.00
20111229	7.58	7.72	7.53	7.69	31900991	369450304.00
20111230	7.74	7.95	7.74	7.87	42877370	509489824.00
20120104	7.94	8.07	7.67	7.70	52260617	620703168.00
20120105	7.73	8.06	7.70	7.91	84084702	1006814656.00
20120106	7.92	8.06	7.86	7.98	54038134	646295104.00
20120109	7.97	8.41	7.90	8.31	96002009	1181631360.00
20120110	8.31	8.50	8.18	8.46	89204562	1114071680.00
20120111	8.46	8.54	8.33	8.40	38787032	484750528.00
20120112	8.38	8.62	8.34	8.51	41419321	522004928.00
20120113	8.49	8.59	8.28	8.40	48155120	603520192.00
20120116	8.38	8.48	8.30	8.32	33593205	418936960.00
20120117	8.37	8.67	8.11	8.65	80951394	1012433216.00
20120118	8.58	8.64	8.35	8.43	61443583	772296704.00
20120119	8.43	8.69	8.41	8.58	65060332	826982912.00
20120120	8.66	8.84	8.59	8.84	74054727	954640960.00
20120130	8.83	8.84	8.57	8.58	52378368	671158272.00
20120131	8.58	8.66	8.44	8.54	30535747	386591232.00
20120201	8.53	8.57	8.35	8.38	40128600	502870464.00
20120202	8.42	8.73	8.36	8.73	58651509	744135872.00
20120203	8.69	8.92	8.63	8.82	65138894	845123328.00
20120206	8.83	8.89	8.61	8.72	56054581	721459200.00
20120207	8.64	8.71	8.53	8.61	33547056	427096288.00
20120208	8.58	8.88	8.56	8.83	43796313	565073280.00
20120209	8.82	8.89	8.71	8.83	43379991	562029568.00
20120210	8.77	8.85	8.67	8.74	50538733	652053632.00
20120213	8.58	8.73	8.46	8.57	57035047	726979008.00
20120214	8.56	8.57	8.47	8.55	44728209	564126720.00
20120215	8.50	8.67	8.46	8.56	48476492	615152832.00
20120216	8.58	8.67	8.50	8.53	48574036	615539008.00
20120217	8.64	8.65	8.55	8.59	27399853	348684576.00
