600037 歌华有线 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	8.04	8.04	7.90	7.91	2292381	20153852.00
20111011	8.11	8.16	7.87	7.94	3621125	32043060.00
20111012	7.91	8.34	7.83	8.32	6288047	56695712.00
20111013	8.26	8.58	8.25	8.48	9063529	84393304.00
20111014	8.42	8.57	8.35	8.38	7427617	68956248.00
20111017	8.52	8.68	8.46	8.56	8345792	78563688.00
20111018	8.51	8.51	8.16	8.19	4875410	44578824.00
20111019	8.28	8.63	8.28	8.38	8809351	82063528.00
20111020	8.32	8.39	7.99	8.17	5677948	51141072.00
20111021	8.26	8.26	7.93	8.01	3342205	29685768.00
20111024	8.08	8.56	7.96	8.53	10031202	92007256.00
20111025	8.53	9.10	8.46	8.87	24673715	238415616.00
20111026	8.83	9.84	8.72	9.50	49609065	504503648.00
20111027	9.36	9.47	9.07	9.20	21799075	220074592.00
20111028	9.31	9.66	9.19	9.42	22838242	234753520.00
20111031	9.42	9.82	9.38	9.65	24833703	260779040.00
20111101	9.52	9.95	9.46	9.46	19899595	208943696.00
20111102	9.25	10.05	9.16	10.00	29534174	311065472.00
20111103	10.03	10.04	9.63	9.65	28627172	305763840.00
20111104	9.73	9.86	9.46	9.64	15346077	160889216.00
20111107	9.61	9.77	9.50	9.68	10183369	106963456.00
20111108	9.68	9.72	9.37	9.46	10331932	107713392.00
20111109	9.51	10.01	9.26	9.95	25883413	273799936.00
20111110	9.77	10.56	9.72	9.84	41705416	459085280.00
20111111	9.79	10.44	9.61	10.03	28270684	306819936.00
20111114	10.14	10.31	9.96	10.19	15645106	171709840.00
20111115	10.09	10.28	9.89	10.17	13958204	152898944.00
20111116	10.17	10.18	9.46	9.64	17386123	184514112.00
20111117	9.68	9.78	9.54	9.58	9460172	99319752.00
20111118	9.55	9.61	9.14	9.21	13951664	141436192.00
20111121	9.18	9.32	9.16	9.31	6368788	64195300.00
20111122	9.26	9.54	9.20	9.37	11897963	121355168.00
20111123	9.37	9.45	9.11	9.18	7944005	80207096.00
20111124	9.08	9.36	9.01	9.26	8029980	80719288.00
20111125	9.25	9.41	9.17	9.28	6742245	68429288.00
20111128	9.34	9.40	9.04	9.16	9707348	97652456.00
20111129	9.22	9.28	9.13	9.27	6125241	61476304.00
20111130	9.23	9.24	8.44	8.62	11106268	106940016.00
20111201	8.90	9.01	8.70	8.72	9591874	93017528.00
20111202	8.65	8.85	8.47	8.62	6206315	58878416.00
20111205	8.62	8.69	8.32	8.35	4629809	43308360.00
20111206	8.36	8.58	8.21	8.47	5154543	47693488.00
20111207	8.46	8.53	8.40	8.44	3871823	36046628.00
20111208	8.43	8.78	8.27	8.64	9350777	88357216.00
20111209	8.51	8.63	8.44	8.50	4810580	44997272.00
20111212	8.52	8.55	8.36	8.39	3647271	33921104.00
20111213	8.35	8.36	7.93	8.17	8041211	72148976.00
20111214	8.06	8.24	7.87	7.92	4374690	38902280.00
20111215	7.88	7.93	7.66	7.68	5781954	49812700.00
20111216	7.71	7.86	7.34	7.83	11283439	94687768.00
20111219	7.71	8.11	7.44	8.08	11694800	101222808.00
