600038 中直股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	21.85	22.77	21.57	22.10	4698966	108583344.00
20111011	22.41	22.65	21.59	21.98	3141224	72663704.00
20111012	21.55	22.45	21.54	22.00	3032429	70201704.00
20111013	22.14	22.84	22.06	22.29	2430561	56947608.00
20111014	22.19	22.38	21.09	21.52	3023708	68211272.00
20111017	21.76	22.49	21.53	22.44	2182030	50140864.00
20111018	22.23	22.29	21.59	21.96	4639412	106930704.00
20111019	22.00	22.11	20.59	20.62	3128355	69217984.00
20111020	20.58	20.58	18.46	18.83	7344145	144668336.00
20111021	18.63	19.79	18.39	18.48	1832101	35971540.00
20111024	18.69	18.89	18.01	18.71	3608329	70635960.00
20111025	18.73	20.48	18.57	20.05	4315296	88727216.00
20111026	19.89	20.58	19.58	19.68	7670652	159777728.00
20111027	19.74	19.97	19.26	19.50	3268108	67339408.00
20111028	19.70	19.95	19.50	19.88	2524445	52395640.00
20111031	19.98	20.54	19.88	20.08	3615448	76478536.00
20111101	20.27	20.27	19.70	19.89	2203581	46225176.00
20111102	19.49	20.09	19.36	20.09	1997855	41465288.00
20111103	20.21	20.48	20.05	20.08	3797849	80798632.00
20111104	20.19	20.37	20.10	20.29	2719610	57826212.00
20111107	20.26	20.69	20.21	20.51	2635189	56664712.00
20111108	20.51	20.64	19.79	19.83	2179440	46029136.00
20111109	19.88	21.10	19.88	20.33	5109530	110179088.00
20111110	20.01	20.73	20.01	20.23	3074054	65840264.00
20111111	20.23	20.38	19.89	20.25	1766501	37364760.00
20111114	20.38	21.13	20.25	20.70	3093701	67290768.00
20111115	20.91	21.49	20.78	20.82	2968399	65381232.00
20111116	20.85	20.90	20.37	20.70	3057764	66070504.00
20111117	20.71	21.29	20.62	21.13	3652747	80254184.00
20111118	20.95	21.09	20.39	20.55	2015170	43677544.00
20111121	20.57	20.57	19.79	20.35	1221263	25763464.00
20111122	20.14	20.22	19.60	20.09	1556925	32698828.00
20111123	20.04	20.39	19.77	19.79	955817	19982908.00
20111124	19.54	20.03	19.30	19.95	948800	19759490.00
20111125	19.92	20.04	19.48	19.55	532890	11038311.00
20111128	19.55	19.77	19.50	19.61	730409	15049749.00
20111129	19.81	21.07	19.64	20.96	2913855	62873000.00
20111130	20.79	21.40	20.09	20.54	2605183	56889680.00
20111201	21.04	21.49	20.59	20.85	2520959	55630252.00
20111202	20.53	20.88	19.90	20.32	1241195	26649350.00
20111205	20.02	20.48	19.68	20.08	1609697	34124588.00
20111206	19.81	20.20	19.39	20.10	1230453	25498732.00
20111207	20.10	20.74	19.81	20.68	1730527	37302956.00
20111208	20.49	20.79	20.10	20.56	1166355	25047546.00
20111209	20.37	20.78	19.82	19.86	2031817	43165040.00
20111212	19.91	19.91	19.02	19.30	1761517	35812620.00
20111213	19.28	19.28	18.29	18.59	1943255	38236504.00
20111214	18.31	18.79	18.31	18.39	438674	8561001.00
20111215	18.39	18.49	16.60	17.59	2880403	53098860.00
20111216	17.23	17.85	17.23	17.82	2882519	53604360.00
20111219	17.93	18.97	17.32	18.35	3806422	73532640.00
20111220	18.39	18.56	17.79	17.92	1394116	26946620.00
20111221	18.11	18.11	17.00	17.28	1372613	25430208.00
20111222	17.01	17.11	16.49	16.58	2232271	39608472.00
20111223	16.32	16.87	16.28	16.53	1269958	22456600.00
20111226	16.99	16.99	16.29	16.33	914881	15975156.00
20111227	16.11	16.63	15.89	16.09	1232109	21309510.00
20111228	16.09	16.38	15.47	16.09	1159047	19634668.00
20111229	16.07	16.29	15.69	15.92	899150	15312592.00
20111230	16.14	16.44	15.94	16.41	1608871	27689192.00
20120104	16.50	16.98	16.01	16.05	1343614	23636234.00
20120105	15.81	15.94	14.99	15.39	1437411	23747236.00
20120106	15.38	15.39	14.49	15.16	994444	15844797.00
20120109	15.27	15.84	14.98	15.82	1377649	22750992.00
20120110	15.84	16.60	15.82	16.57	1491710	25903230.00
20120111	16.68	16.87	16.37	16.66	1639726	28913378.00
20120112	16.55	16.99	16.55	16.70	1319466	23475354.00
20120113	16.86	16.86	15.74	16.05	1342367	23026152.00
20120116	15.79	15.93	15.20	15.24	678648	11210550.00
20120117	15.21	16.20	15.19	16.19	1125241	18871292.00
20120118	16.18	16.54	15.90	15.94	1806011	31052028.00
20120119	15.89	16.22	15.65	16.07	1064595	18122592.00
20120120	16.16	16.46	16.02	16.41	1097806	18975090.00
20120130	16.56	16.77	16.08	16.16	1005921	17382866.00
20120131	16.14	16.26	15.79	15.99	895869	15175655.00
20120201	15.81	16.12	15.61	15.68	725790	12228777.00
20120202	15.69	16.02	15.64	16.01	798964	13516852.00
20120203	15.99	16.61	15.87	16.56	1847824	32089386.00
20120206	16.57	16.66	16.38	16.52	1323608	23173488.00
20120528	18.27	18.27	18.27	18.27	1585908	30576306.00
20120529	20.20	20.20	19.23	19.53	33260205	693816512.00
20120530	19.32	19.32	18.67	18.72	11169697	221689072.00
20120531	18.43	19.15	18.35	18.53	7483037	147538128.00
20120601	18.40	18.63	18.07	18.30	6000362	115604640.00
20120604	17.89	17.97	17.14	17.18	6615349	122738416.00
20120605	17.21	17.54	17.00	17.30	4187485	76593312.00
20120606	17.37	17.50	17.03	17.19	2924783	53352412.00
20120607	17.38	17.42	16.74	16.78	3674058	66403236.00
20120608	16.95	17.58	16.50	17.25	6853756	123797568.00
20120611	17.19	17.78	17.10	17.63	5506933	102067720.00
20120612	17.50	17.76	17.19	17.60	3504723	64889376.00
20120613	17.97	18.06	17.49	17.76	4518147	84579256.00
20120614	17.79	17.79	17.36	17.40	3850072	71419528.00
20120615	17.40	17.51	16.74	16.89	3959449	71716528.00
20120619	16.96	17.47	16.80	16.89	4628311	83868472.00
20120620	16.89	17.14	16.45	16.54	3689683	65252152.00
20120621	16.59	16.66	16.07	16.28	2697742	46701604.00
20120625	16.43	16.56	16.03	16.23	2332533	40255548.00
20120626	16.39	16.84	16.27	16.64	4884210	85911784.00
20120627	16.59	16.75	16.12	16.14	3646807	63612920.00
20120628	16.53	16.53	15.37	15.45	4974627	83659904.00
20120629	15.51	15.83	15.29	15.68	3331823	55254628.00
20120702	15.79	15.94	15.51	15.62	3009370	50355176.00
20120703	15.62	15.93	15.54	15.79	2685384	44894864.00
20120704	15.89	16.58	15.67	16.34	5807523	99612640.00
20120705	16.16	16.37	15.85	16.10	3534361	60280160.00
20120706	16.29	16.49	15.64	16.42	4108708	70546232.00
20120709	16.39	16.68	15.96	16.00	3722468	64428712.00
20120710	15.99	16.20	15.80	16.01	2689323	45684432.00
20120711	16.17	16.22	15.85	16.13	2616878	44620868.00
20120712	16.49	16.64	16.17	16.46	4768195	83011536.00
20120713	16.59	16.73	16.13	16.19	3195988	55612212.00
20120716	16.19	16.19	15.13	15.40	4612520	76063768.00
20120717	15.19	15.77	15.09	15.51	3700068	60605268.00
20120718	15.59	15.70	15.27	15.62	2987843	49275320.00
20120719	15.50	15.97	15.43	15.70	3858715	64593096.00
20120720	15.58	15.68	15.29	15.40	1878811	30998428.00
20120723	15.18	15.46	14.86	15.30	2659125	43128760.00
20120724	15.37	15.48	15.02	15.33	3327694	54102248.00
20120725	15.28	15.43	14.95	15.12	2750614	44476108.00
20120726	15.05	15.34	14.85	14.95	2719060	43662176.00
20120727	15.08	15.14	14.49	14.67	3321701	52089036.00
20120730	14.61	14.95	14.11	14.27	3202451	49468168.00
20120731	14.25	14.25	13.20	13.46	4260695	61450816.00
20120801	13.25	13.63	13.25	13.42	2702777	39023452.00
20120802	13.29	13.47	12.83	13.01	3910029	54924832.00
20120803	13.17	13.36	12.93	13.26	3707927	52319000.00
