600039 四川路桥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	1.89	1.92	1.86	1.89	1801675	14081040.00
20111011	1.93	1.96	1.88	1.91	2000451	15762784.00
20111012	1.89	1.97	1.88	1.97	3126159	25001434.00
20111013	1.97	2.01	1.95	1.99	2381695	19437960.00
20111014	2.03	2.03	1.98	2.00	2834270	23220756.00
20111017	2.01	2.08	2.01	2.06	4910467	41282036.00
20111020	2.11	2.13	1.96	1.99	6192826	52204860.00
20111021	1.97	1.98	1.83	1.88	2943269	22999748.00
20111024	1.86	1.93	1.86	1.92	2174095	17019886.00
20111025	1.91	1.96	1.87	1.96	3686912	29218738.00
20111026	1.95	1.98	1.92	1.96	2813000	22658914.00
20111027	1.95	2.04	1.95	2.02	5135629	42128460.00
20111028	2.04	2.04	2.00	2.03	3448413	28571430.00
20111031	2.06	2.08	2.02	2.04	3074064	25665844.00
20111101	2.04	2.05	1.99	1.99	3923447	32338476.00
20111102	1.96	2.03	1.93	2.03	3466301	28059980.00
20111103	2.04	2.07	2.02	2.03	3685197	30752152.00
20111104	2.02	2.08	2.01	2.04	3146121	26376700.00
20111107	2.06	2.06	2.00	2.02	2197621	18273124.00
20111108	2.01	2.03	1.98	1.98	1913287	15699128.00
20111109	2.00	2.02	1.96	2.01	1546999	12646399.00
20111110	1.97	1.99	1.95	1.95	2559385	20652758.00
20111111	1.95	1.99	1.94	1.98	1473064	11891166.00
20111114	1.99	2.02	1.98	2.01	1929190	15835598.00
20111115	2.01	2.04	2.00	2.04	2451306	20309670.00
20111116	2.04	2.04	1.96	1.99	2616531	21347642.00
20111117	1.99	2.01	1.98	1.99	1853017	15159173.00
20111118	1.98	1.99	1.94	1.95	1907235	15341738.00
20111121	1.95	1.98	1.94	1.98	930163	7473822.00
20111122	1.97	1.97	1.93	1.95	944977	7579385.00
20111123	1.96	2.04	1.95	2.00	4989795	41224904.00
20111124	1.97	2.00	1.96	1.97	1608525	13039640.00
20111125	1.97	1.99	1.94	1.96	1396000	11286438.00
20111128	1.96	1.99	1.95	1.96	988281	7971077.00
20111129	1.97	2.00	1.96	1.99	1995989	16221455.00
20111130	2.00	2.00	1.81	1.83	3758246	29257036.00
20111201	1.92	1.95	1.86	1.89	4495613	35211904.00
20111202	1.88	1.90	1.79	1.83	2758429	20899552.00
20111205	1.83	1.83	1.75	1.75	1485899	10961459.00
20111206	1.75	1.78	1.73	1.74	829499	6053171.00
20111207	1.77	1.77	1.74	1.75	1050001	7679646.00
20111208	1.75	1.77	1.70	1.73	963621	6983752.00
20111209	1.71	1.74	1.70	1.72	811987	5827478.00
20111212	1.72	1.76	1.70	1.75	1131131	8165011.00
20111213	1.74	1.74	1.63	1.64	1356300	9479328.00
20111214	1.64	1.66	1.60	1.60	792942	5452949.00
20111215	1.60	1.60	1.54	1.56	1360403	9024145.00
20111216	1.57	1.61	1.55	1.61	748013	5004673.00
20111219	1.61	1.61	1.56	1.61	733118	4903998.00
20111220	1.61	1.63	1.58	1.60	614669	4175883.00
20111221	1.61	1.63	1.56	1.56	513680	3474715.00
20111222	1.56	1.56	1.38	1.48	1584301	9939837.00
20111223	1.44	1.52	1.44	1.46	1789531	11285945.00
20111226	1.46	1.50	1.44	1.45	1074367	6782406.00
20111227	1.43	1.46	1.41	1.41	714649	4407266.00
20111228	1.40	1.41	1.38	1.41	1125889	6762837.00
20111229	1.42	1.42	1.38	1.41	867573	5265882.00
20111230	1.41	1.44	1.41	1.43	1100148	6752287.00
20120104	1.44	1.47	1.43	1.44	1642639	10228235.00
20120105	1.40	1.50	1.40	1.47	3337210	21051792.00
20120106	1.44	1.46	1.39	1.46	1723227	10533634.00
20120109	1.46	1.52	1.43	1.51	2185289	13907326.00
20120110	1.51	1.60	1.49	1.60	3828079	25424636.00
20120111	1.58	1.66	1.57	1.62	3251067	22121750.00
20120112	1.61	1.66	1.59	1.62	1256231	8571564.00
20120113	1.62	1.62	1.54	1.55	1368700	9085359.00
20120116	1.54	1.59	1.51	1.54	1258211	8341096.00
20120117	1.54	1.64	1.54	1.63	1617702	10960308.00
20120118	1.63	1.65	1.59	1.61	1380360	9435147.00
20120119	1.60	1.64	1.58	1.61	1349820	9170440.00
20120120	1.61	1.66	1.61	1.65	1890100	13104005.00
20120130	1.64	1.66	1.61	1.61	1044214	7183252.00
20120131	1.66	1.67	1.63	1.64	1344704	9308761.00
20120201	1.63	1.64	1.58	1.59	1158707	7907118.00
20120202	1.61	1.64	1.59	1.63	733668	5002008.00
20120203	1.63	1.65	1.61	1.64	1379813	9490249.00
20120206	1.64	1.66	1.63	1.65	1852050	12846827.00
20120207	1.65	1.65	1.59	1.60	1349209	9165561.00
20120208	1.60	1.66	1.60	1.66	1569569	10820051.00
20120209	1.65	1.69	1.64	1.66	2632098	18402328.00
20120210	1.71	1.79	1.70	1.74	8238553	60049752.00
20120213	1.70	1.76	1.70	1.74	4841088	35146200.00
20120214	1.73	1.79	1.73	1.78	4122746	30381064.00
20120215	1.78	1.82	1.77	1.81	4287730	32066056.00
20120216	1.81	1.91	1.81	1.86	6209121	47920740.00
20120217	1.85	1.91	1.81	1.81	4424616	33909788.00
20120220	1.85	1.88	1.81	1.81	3077000	23349478.00
20120221	1.83	1.94	1.83	1.89	5781047	45271220.00
20120222	1.89	1.92	1.87	1.91	5913035	46316136.00
20120223	1.91	1.93	1.89	1.91	5169665	40656216.00
20120224	1.93	1.93	1.90	1.92	4301312	33924012.00
20120227	1.93	1.94	1.90	1.90	6304184	49844560.00
20120228	1.88	1.90	1.83	1.84	4961848	37990968.00
20120229	1.86	1.86	1.83	1.84	2604925	19875568.00
20120301	1.84	1.87	1.82	1.86	2822511	21620334.00
