600048 保利地产 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.82	3.84	3.58	3.62	27123646	244504992.00
20111011	3.73	3.74	3.43	3.54	27681510	244426880.00
20111012	3.49	3.80	3.42	3.77	44574489	404621024.00
20111013	3.74	3.91	3.74	3.83	30950646	289739328.00
20111014	3.82	3.87	3.74	3.82	11949840	110634592.00
20111017	3.84	3.89	3.75	3.82	19126263	178492480.00
20111018	3.75	3.83	3.59	3.62	22761793	206624656.00
20111019	3.65	3.69	3.47	3.49	24330727	214671472.00
20111020	3.44	3.52	3.38	3.40	19123824	164285808.00
20111021	3.42	3.48	3.33	3.39	26303330	225705136.00
20111024	3.39	3.62	3.33	3.58	19171142	167191840.00
20111025	3.52	3.90	3.50	3.81	35383745	324219456.00
20111026	3.81	4.14	3.79	4.09	61442669	595564736.00
20111027	4.13	4.13	4.02	4.07	17327119	168578432.00
20111028	4.12	4.60	4.12	4.30	70141454	723871488.00
20111031	4.26	4.42	4.11	4.38	43712989	442553728.00
20111101	4.30	4.46	4.09	4.18	55552680	557807360.00
20111102	4.05	4.30	4.05	4.29	36441132	364201312.00
20111103	4.35	4.40	4.17	4.19	37053999	371907520.00
20111107	4.26	4.30	4.10	4.24	37023294	369132384.00
20111108	4.21	4.21	3.99	4.13	30539942	298643296.00
20111109	4.10	4.15	3.99	4.12	23400618	227684912.00
20111110	4.04	4.11	3.97	3.98	22968225	222137568.00
20111111	3.99	4.04	3.97	4.02	15832545	152522384.00
20111114	4.03	4.22	4.03	4.18	32789352	323335840.00
20111115	4.17	4.20	4.08	4.14	15324165	151349312.00
20111116	4.13	4.14	3.83	3.88	35183252	334159264.00
20111117	3.90	3.92	3.79	3.85	15982447	149681120.00
20111118	3.82	3.83	3.62	3.70	37945825	342554112.00
20111121	3.69	3.75	3.63	3.73	17457991	157763424.00
20111122	3.68	3.74	3.64	3.69	25846363	233790336.00
20111123	3.71	3.71	3.58	3.60	12669051	113534608.00
20111124	3.57	3.84	3.52	3.75	34290580	311521312.00
20111125	3.71	3.77	3.60	3.67	16218987	147062576.00
20111128	3.69	3.77	3.63	3.69	22225961	200635504.00
20111129	3.75	3.90	3.67	3.83	38036096	352495296.00
20111130	3.81	3.85	3.68	3.77	24932015	229165152.00
20111201	4.13	4.28	3.97	4.06	121101527	1193946752.00
20111202	3.99	4.10	3.97	4.04	22534907	218243968.00
20111205	4.02	4.12	3.88	4.08	28146665	272710816.00
20111206	4.07	4.24	4.05	4.14	31187366	309861632.00
20111207	4.15	4.21	4.08	4.17	18129142	179764384.00
20111208	4.15	4.25	4.10	4.18	21335651	212334784.00
20111209	4.14	4.43	4.14	4.28	33453615	341452000.00
20111212	4.23	4.23	4.03	4.08	37352622	365588928.00
20111213	4.04	4.13	3.96	3.98	18062593	175876848.00
20111214	3.97	3.98	3.82	3.87	16550168	156110816.00
20111215	3.85	4.02	3.82	3.92	32072545	306805152.00
20111216	3.90	4.27	3.89	4.20	29828535	291667264.00
20111219	4.15	4.27	4.12	4.25	36633528	365833664.00
20111220	4.23	4.43	4.21	4.25	41100651	422132896.00
20111221	4.30	4.32	4.15	4.16	19531694	195586304.00
20111222	4.15	4.36	4.10	4.25	23382636	234343904.00
20111223	4.25	4.43	4.24	4.32	31709253	324368224.00
20111226	4.28	4.42	4.24	4.25	18851556	192017680.00
