600050 中国联通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	4.89	4.93	4.82	4.87	50081037	256637984.00
20111011	4.98	5.07	4.78	4.84	83948708	433855840.00
20111012	4.83	5.14	4.81	5.11	98673660	520405024.00
20111013	5.05	5.23	5.00	5.08	118199316	636034048.00
20111014	5.07	5.07	4.99	5.05	38331614	202273984.00
20111017	5.05	5.12	5.01	5.08	54527737	289963360.00
20111018	5.05	5.07	4.90	4.95	47072453	246168672.00
20111019	4.96	4.98	4.91	4.95	46945018	243623952.00
20111020	4.96	5.01	4.90	4.91	58139949	302207072.00
20111021	4.92	4.93	4.84	4.86	36765508	188598544.00
20111024	4.86	5.20	4.85	5.17	113737872	601668032.00
20111025	5.15	5.22	5.07	5.17	86648629	469233984.00
20111026	5.14	5.29	5.11	5.23	98453524	537492480.00
20111027	5.21	5.25	5.05	5.10	95326797	512427520.00
20111028	5.14	5.21	5.03	5.19	154804109	830659328.00
20111031	5.15	5.20	5.10	5.19	73285678	395963936.00
20111101	5.14	5.35	5.10	5.25	102327465	565305600.00
20111102	5.20	5.44	5.17	5.43	109596531	612399552.00
20111103	5.47	5.51	5.34	5.39	105119658	594988288.00
20111104	5.45	5.52	5.39	5.44	111055558	633470080.00
20111107	5.40	5.44	5.36	5.38	35628465	201050768.00
20111108	5.41	5.50	5.37	5.38	44331771	251066528.00
20111109	5.40	5.44	4.95	5.22	317291400	1720236288.00
20111110	5.08	5.19	5.06	5.09	167957174	902099008.00
20111111	5.09	5.17	5.01	5.07	69732701	371149888.00
20111114	5.14	5.27	5.12	5.25	75723258	412883136.00
20111115	5.24	5.27	5.19	5.21	40327281	220638528.00
20111116	5.20	5.21	4.97	5.06	78299610	416740960.00
20111117	5.06	5.15	5.00	5.05	53987103	287232864.00
20111118	5.03	5.15	4.98	5.11	54725192	292659008.00
20111121	5.21	5.24	5.13	5.17	75977016	412628576.00
20111122	5.16	5.21	5.13	5.20	44229562	239815408.00
20111123	5.20	5.23	5.12	5.16	42014677	228258368.00
20111124	5.13	5.17	5.06	5.10	28133530	151146720.00
20111125	5.11	5.17	5.07	5.11	26549224	142644112.00
20111128	5.11	5.17	5.04	5.08	29944364	160285184.00
20111129	5.12	5.18	5.10	5.15	33819878	182441648.00
20111130	5.12	5.16	4.96	5.00	48126244	253868416.00
20111201	5.14	5.16	5.04	5.05	63450224	340109568.00
20111202	5.04	5.10	4.95	5.03	38678030	203535424.00
20111205	5.05	5.06	4.79	4.88	62071063	318845472.00
20111206	4.86	4.87	4.74	4.80	34479869	173881536.00
