600051 宁波联合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	11.59	11.84	11.50	11.56	2044067	24906180.00
20111011	11.86	11.97	11.36	11.55	2968695	36410264.00
20111012	11.57	12.13	11.43	12.05	4620340	57404936.00
20111013	11.98	12.22	11.94	12.11	4128912	52121908.00
20111014	12.08	12.11	11.81	11.92	3802742	47280592.00
20111017	11.95	12.07	11.71	11.90	3152218	39093828.00
20111018	11.73	11.94	11.38	11.40	4068659	49237176.00
20111019	11.40	11.53	11.24	11.25	2443237	29056664.00
20111020	11.14	11.33	10.64	10.76	3271116	37326404.00
20111021	10.83	10.93	10.66	10.68	2330643	26328816.00
20111024	10.73	11.00	10.55	10.94	2858337	32412452.00
20111025	11.09	11.79	11.09	11.52	7251945	87019624.00
20111026	11.39	11.65	11.30	11.46	5970497	71653624.00
20111027	11.52	11.72	11.42	11.62	4975979	60054912.00
20111028	11.76	11.97	11.73	11.75	6460038	79746040.00
20111031	11.74	11.80	11.58	11.79	3932144	47907776.00
20111101	11.69	11.84	11.53	11.63	4210791	51355852.00
20111102	11.48	11.76	11.19	11.73	5153093	61582340.00
20111103	11.80	12.14	11.73	11.88	8123427	101414416.00
20111104	11.95	12.70	11.95	12.42	14148732	182850592.00
20111107	12.29	12.49	12.16	12.46	5870587	75226912.00
20111108	12.70	12.86	12.16	12.22	7515477	97936056.00
20111109	12.28	12.34	11.94	12.33	5461477	69239320.00
20111110	12.13	12.21	11.78	11.85	5489397	68860528.00
20111111	11.88	12.10	11.83	11.87	3600662	44983744.00
20111114	12.01	12.23	12.01	12.21	4409459	55817960.00
20111115	12.27	12.27	12.12	12.22	3581198	45501496.00
20111116	12.18	12.20	11.67	11.72	5010964	62184660.00
20111117	11.74	11.80	11.50	11.53	3527755	42932436.00
20111118	11.49	11.49	11.17	11.19	3540507	41796088.00
20111121	11.17	11.36	11.12	11.33	2125949	24998316.00
20111122	11.18	11.26	10.92	11.18	2198628	25554106.00
20111123	11.27	11.29	11.10	11.15	1573839	18436432.00
20111124	11.01	11.11	10.79	11.05	2978060	34207512.00
20111125	11.00	11.26	10.95	11.14	2898367	33663252.00
20111128	11.22	11.24	11.01	11.18	1688453	19661446.00
20111129	11.31	11.40	11.20	11.37	2921032	34530568.00
20111130	11.24	11.35	10.60	10.77	4160423	47614648.00
20111201	11.18	11.23	10.97	10.99	3637990	42335376.00
20111202	10.93	10.96	10.58	10.68	2364771	26560688.00
20111205	10.72	10.72	10.25	10.27	2241808	24547812.00
20111206	10.32	10.38	10.19	10.29	1490282	16112811.00
20111207	10.28	10.38	10.16	10.28	1336773	14431956.00
20111208	10.28	10.29	9.90	10.15	2549007	27141256.00
20111209	10.02	10.15	9.88	9.89	2094565	22031948.00
20111212	9.93	9.99	9.83	9.85	1231528	12854975.00
20111213	9.78	9.86	9.38	9.42	2607984	26138824.00
20111214	9.42	9.49	9.13	9.17	1665712	16425211.00
20111215	9.15	9.15	8.78	8.82	2865908	27002584.00
20111216	8.79	9.09	8.74	9.06	1989160	18739152.00
20111219	8.91	9.06	8.74	9.02	2436781	22955556.00
20111220	8.97	9.46	8.92	9.12	3453764	33767352.00
20111221	9.24	9.28	8.73	8.76	2440068	23289620.00
20111222	8.60	8.75	8.34	8.66	2766267	25135902.00
20111223	8.53	9.08	8.48	8.92	4640141	43870968.00
20111226	8.85	9.02	8.84	8.87	2099530	19796528.00
20111227	8.85	8.90	8.54	8.56	1595569	14734054.00
20111228	8.56	8.76	8.44	8.70	2146778	19559852.00
20111229	8.65	9.03	8.59	8.88	2393770	22364762.00
20111230	8.48	8.49	8.00	8.26	12408784	108756040.00
20120104	8.23	8.29	8.03	8.14	5454546	47382072.00
20120105	8.06	8.07	7.71	7.73	4105361	34559832.00
20120106	7.66	7.67	7.42	7.65	3529492	28394324.00
20120109	7.67	8.00	7.54	7.99	4127474	34504440.00
20120110	8.00	8.43	7.96	8.42	7196381	63201400.00
20120111	8.39	8.46	8.27	8.40	5127183	45550896.00
20120112	8.30	8.80	8.29	8.67	7567378	68983016.00
20120113	8.61	8.66	8.22	8.27	5393131	47980912.00
20120116	8.11	8.18	7.83	7.84	2361137	20187400.00
20120117	7.91	8.46	7.79	8.42	4536450	39626168.00
20120118	8.36	8.62	8.23	8.29	4355564	39024888.00
20120119	8.29	8.51	8.21	8.36	2949853	26247386.00
20120120	8.42	8.55	8.39	8.52	3677216	33109576.00
20120130	8.57	8.57	8.26	8.28	3490752	31156722.00
20120131	8.26	8.38	8.08	8.23	2317722	20212136.00
20120201	8.22	8.28	8.06	8.13	2323250	20191132.00
20120202	8.13	8.33	8.09	8.33	2083050	18213982.00
20120203	8.32	8.61	8.27	8.54	5124691	46128160.00
20120206	8.54	8.75	8.49	8.68	5687600	52092084.00
20120207	8.61	8.61	8.38	8.43	4085744	36731396.00
20120208	8.53	9.33	8.53	9.33	9145543	88798056.00
20120209	10.03	10.32	9.92	10.07	32613425	348402560.00
20120210	9.90	10.08	9.83	9.95	17789871	186106672.00
20120213	9.76	10.28	9.72	10.14	19154786	203442208.00
20120214	10.04	10.67	9.93	10.32	19964513	216930448.00
20120215	10.27	10.35	10.06	10.33	13776388	148013840.00
20120216	10.28	10.33	9.96	10.21	11122304	118463240.00
20120217	10.15	10.31	9.99	10.22	8532299	91162560.00
20120220	10.31	10.56	10.10	10.54	16437636	178421232.00
20120221	10.42	10.53	10.19	10.47	10926432	119137760.00
20120222	10.53	10.79	10.34	10.77	17502835	193929536.00
20120223	10.76	10.76	10.45	10.58	10501212	116793912.00
20120224	10.59	10.73	10.38	10.62	11093579	122978240.00
20120227	10.72	10.86	10.49	10.52	13650612	152683136.00
20120228	10.46	10.67	10.36	10.43	8967696	98720672.00
20120229	10.36	10.36	10.12	10.15	7745195	83193376.00
20120301	10.15	10.30	10.09	10.19	5855773	62776416.00
20120302	10.21	10.56	10.17	10.53	9493488	103529928.00
20120305	10.61	10.62	10.38	10.43	8188513	90060552.00
20120306	10.41	10.41	10.04	10.21	6458033	69102520.00
20120307	9.98	10.25	9.92	10.07	5882692	62356852.00
20120308	10.08	10.70	10.08	10.59	13842796	152449376.00
20120309	10.61	10.71	10.38	10.64	10690931	118213424.00
20120312	10.70	10.73	10.44	10.65	7121904	79150512.00
20120313	10.63	11.07	10.58	11.05	15000974	170632224.00
20120314	11.11	11.18	10.22	10.32	15627577	176297632.00
20120315	10.23	10.37	9.88	10.02	7888508	83615968.00
20120316	10.02	10.25	9.89	10.23	5281600	56119092.00
20120319	10.18	10.53	10.01	10.46	6202096	66950728.00
20120320	10.46	10.46	10.00	10.02	6849570	73239712.00
20120321	10.05	10.28	9.96	10.17	4081760	43345660.00
20120322	10.18	10.29	10.03	10.13	3179291	33949788.00
20120323	10.02	10.09	9.73	9.78	4076074	42526612.00
20120326	9.80	9.97	9.74	9.88	2208915	22917976.00
20120327	9.83	9.90	9.45	9.52	7327120	74139024.00
20120328	9.47	9.47	8.85	8.86	5827162	56118008.00
20120329	8.76	8.85	8.36	8.51	5689212	51899976.00
20120330	8.50	8.65	8.43	8.50	2698462	24425724.00
20120405	8.49	8.97	8.48	8.90	4909734	45505836.00
20120406	8.87	9.84	8.87	9.61	11694437	116102816.00
20120409	9.59	9.98	9.20	9.36	11793970	118210472.00
20120410	9.23	9.46	8.88	9.36	6528484	63070480.00
20120411	9.10	9.81	9.04	9.59	8275660	83083944.00
20120412	9.54	10.13	9.37	9.90	14480405	150694128.00
20120413	9.81	10.00	9.68	9.75	9061575	93655648.00
20120416	9.63	10.08	9.63	9.91	8300708	86740656.00
20120417	9.88	9.95	9.49	9.50	7006684	71259360.00
20120419	9.68	9.86	9.00	9.16	18002541	177227360.00
20120420	9.01	9.10	8.88	9.02	9307954	88559504.00
20120423	8.99	9.16	8.95	9.03	6726594	64385792.00
20120424	8.93	9.02	8.55	8.83	7010748	64972560.00
20120425	8.79	9.77	8.68	9.77	19448656	195302944.00
20120426	9.96	10.06	9.46	9.48	19887906	204268608.00
20120427	9.38	9.82	9.29	9.49	10289207	103832896.00
20120502	9.69	9.69	9.36	9.47	8162023	81781848.00
20120503	9.50	9.65	9.42	9.57	6158498	61918560.00
20120504	9.55	9.55	9.25	9.38	7325690	72387488.00
20120507	9.26	9.31	9.06	9.23	6107311	59150284.00
20120508	9.14	9.32	9.11	9.25	4582151	44635596.00
20120509	9.13	9.19	9.04	9.07	4095725	39371020.00
20120510	9.05	9.13	8.99	9.05	3802118	36435084.00
20120511	9.07	9.24	9.02	9.03	4888062	47107952.00
20120514	9.16	9.18	8.92	8.96	4109061	39301224.00
20120515	8.78	8.81	8.59	8.75	4946928	45502496.00
20120516	8.75	8.79	8.63	8.67	2660559	24569736.00
20120517	8.67	8.85	8.67	8.85	3325806	30974700.00
20120518	8.78	9.73	8.73	9.05	10401854	101664288.00
20120521	8.93	9.06	8.73	8.84	5441983	51156584.00
20120522	8.93	8.98	8.82	8.88	3558267	33473336.00
20120523	8.89	9.12	8.85	9.02	4734841	45042920.00
20120524	8.99	9.05	8.78	8.80	3327752	31330560.00
20120525	8.83	8.86	8.55	8.57	3674233	33774776.00
20120528	8.46	8.90	8.45	8.85	3596935	33290246.00
20120529	8.87	9.36	8.82	9.05	6202678	59607460.00
20120530	9.00	9.05	8.90	8.92	3152521	29586356.00
20120531	8.85	8.91	8.76	8.84	3322776	30743712.00
20120601	8.85	8.93	8.78	8.87	2040884	18958876.00
