600052 浙江广厦 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.55	3.56	3.49	3.51	1455181	5322198.00
20111011	3.57	3.61	3.50	3.51	1885596	6949328.00
20111012	3.51	3.66	3.49	3.64	3620497	13564571.00
20111013	3.64	3.70	3.61	3.68	3259432	12410044.00
20111017	3.68	3.70	3.63	3.66	2270524	8619160.00
20111018	3.63	3.64	3.52	3.53	2114952	7853229.00
20111019	3.55	3.58	3.49	3.53	2111921	7765581.00
20111020	3.51	3.51	3.36	3.38	3598613	12745363.00
20111021	3.38	3.44	3.35	3.38	2859978	10102276.00
20111024	3.39	3.47	3.33	3.46	2700039	9582168.00
20111025	3.46	3.55	3.41	3.54	3342348	12145885.00
20111026	3.48	3.64	3.48	3.58	4813165	17929924.00
20111027	3.56	3.63	3.55	3.58	3609551	13463284.00
20111028	3.62	3.81	3.60	3.70	8490095	32660392.00
20111031	3.66	3.70	3.65	3.67	3388666	12911699.00
20111101	3.64	3.68	3.61	3.62	3162522	11969365.00
20111102	3.58	3.68	3.53	3.65	3905187	14561288.00
20111103	3.65	3.73	3.64	3.68	4633589	17791664.00
20111104	3.69	3.73	3.68	3.72	3674384	14126913.00
20111107	3.71	3.74	3.68	3.70	3348807	12875465.00
20111108	3.68	3.70	3.60	3.61	2855954	10793154.00
20111109	3.62	3.71	3.62	3.70	3666050	13930441.00
20111110	3.66	3.69	3.59	3.60	2725294	10306657.00
20111111	3.61	3.64	3.55	3.56	1928202	7208423.00
20111114	3.60	3.68	3.58	3.66	3657567	13833388.00
20111115	3.66	3.72	3.66	3.71	3486063	13337095.00
20111116	3.71	3.71	3.60	3.60	3450556	13005888.00
20111117	3.60	3.62	3.53	3.55	2980875	11069359.00
20111118	3.56	3.66	3.53	3.60	7048923	26232096.00
20111121	3.61	3.68	3.54	3.66	5231359	19566484.00
20111122	3.64	3.80	3.63	3.74	11583293	44970472.00
20111123	3.71	4.13	3.67	3.88	21918753	89107792.00
20111124	3.84	3.93	3.75	3.80	12204940	48431876.00
20111125	3.78	3.78	3.70	3.73	6103356	23663100.00
20111128	3.73	3.75	3.60	3.66	5300999	20142412.00
20111129	3.68	3.70	3.63	3.69	4310400	16409995.00
20111130	3.67	3.67	3.45	3.47	5485740	20227490.00
20111201	3.61	3.67	3.55	3.56	6524627	24471112.00
20111202	3.54	3.55	3.45	3.47	3019325	10967868.00
20111205	3.46	3.49	3.41	3.43	1852258	6643012.00
20111206	3.42	3.52	3.42	3.46	2200896	7957379.00
20111207	3.46	3.52	3.44	3.49	1587625	5761260.00
20111208	3.49	3.50	3.37	3.46	3873240	13917763.00
20111209	3.46	3.56	3.46	3.53	4230000	15494338.00
20111212	3.53	3.54	3.49	3.50	2026911	7382461.00
20111213	3.46	3.51	3.39	3.41	2232946	7967949.00
20111214	3.41	3.44	3.38	3.41	1889993	6722408.00
20111215	3.40	3.48	3.38	3.43	4644314	16614262.00
20111216	3.46	3.55	3.42	3.55	3914576	14260620.00
20111219	3.60	3.60	3.48	3.58	5343674	19724006.00
20111220	3.57	3.66	3.55	3.61	4796459	18033902.00
20111221	3.61	3.64	3.40	3.41	3501420	12869514.00
20111222	3.40	3.43	3.27	3.36	2731835	9560820.00
20111223	3.36	3.48	3.32	3.39	2050130	7268641.00
20111227	3.38	3.42	3.28	3.29	1830447	6371212.00
20111228	3.29	3.31	3.21	3.28	1735389	5879345.00
20111230	3.31	3.32	3.24	3.28	3883604	13250988.00
20120104	3.29	3.32	3.12	3.12	3819071	12757217.00
20120105	3.11	3.11	3.00	3.01	3377684	10816833.00
20120106	3.01	3.04	2.89	3.03	2811690	8765492.00
20120109	3.01	3.15	2.99	3.15	4148633	13375834.00
20120110	3.14	3.28	3.11	3.26	5997962	20075084.00
20120111	3.26	3.27	3.20	3.23	2996279	10105289.00
20120112	3.22	3.32	3.19	3.23	3924167	13330528.00
20120113	3.21	3.24	3.08	3.08	2630609	8631125.00
20120116	3.06	3.09	3.02	3.02	1825100	5833789.00
20120117	3.03	3.18	3.01	3.17	2784319	9069126.00
20120118	3.18	3.22	3.12	3.16	3630669	12050641.00
20120119	3.16	3.22	3.14	3.20	2424881	8070722.00
20120120	3.20	3.25	3.17	3.25	2503018	8421010.00
20120130	3.24	3.27	3.19	3.20	1702000	5740932.00
20120131	3.19	3.21	3.10	3.17	2324590	7616707.00
20120201	3.14	3.19	3.10	3.11	1547430	5087676.00
20120202	3.12	3.17	3.10	3.16	1953189	6386730.00
20120203	3.16	3.25	3.14	3.22	2889825	9674765.00
20120206	3.22	3.25	3.20	3.24	2188665	7371988.00
20120207	3.24	3.24	3.15	3.17	2142806	7118209.00
20120208	3.17	3.25	3.17	3.25	2706125	9084517.00
20120209	3.24	3.38	3.22	3.32	6567447	22683824.00
20120210	3.31	3.44	3.29	3.37	7798812	27507536.00
20120213	3.31	3.34	3.22	3.32	4826001	16544297.00
20120214	3.31	3.39	3.27	3.37	4493209	15617706.00
20120215	3.36	3.43	3.33	3.42	4235510	14916388.00
20120216	3.42	3.46	3.37	3.41	4087057	14529141.00
20120217	3.43	3.44	3.36	3.39	3019682	10672471.00
20120220	3.43	3.54	3.42	3.52	11328649	41205248.00
20120221	3.51	3.56	3.45	3.54	6181567	22519034.00
20120222	3.52	3.67	3.49	3.62	9318308	35056260.00
20120223	3.61	3.65	3.56	3.60	4077980	15291377.00
20120224	3.61	3.97	3.57	3.97	32225216	129880840.00
20120227	3.98	4.13	3.93	4.10	39639017	165733696.00
20120228	4.05	4.09	3.92	4.02	11522183	47656532.00
20120229	3.94	3.96	3.79	3.82	10471234	42061344.00
20120301	3.78	4.21	3.78	4.06	23811384	99544656.00
20120302	4.04	4.48	4.00	4.48	25076354	111689912.00
20120305	4.62	4.90	4.61	4.75	44229022	216842192.00
20120306	4.69	4.81	4.58	4.78	24844965	120796104.00
20120307	4.65	4.83	4.58	4.71	25151200	122555248.00
20120308	4.75	4.76	4.61	4.72	17992992	86899400.00
20120309	4.71	4.82	4.64	4.72	17613077	85751416.00
20120312	4.72	4.73	4.50	4.70	18456028	88251312.00
20120313	4.66	4.77	4.58	4.72	11591124	56066724.00
20120314	4.72	4.90	4.23	4.32	31080507	148498864.00
20120315	4.25	4.29	3.87	4.01	23513290	99101568.00
20120316	4.01	4.11	3.91	4.07	17950021	74519784.00
20120319	4.04	4.22	3.95	4.18	16732336	70707120.00
20120320	4.14	4.22	4.02	4.08	15050173	64115588.00
20120322	4.07	4.50	4.02	4.38	32015200	142804752.00
20120323	4.34	4.34	4.15	4.19	15625429	68383968.00
20120326	4.17	4.19	4.03	4.12	8220826	34723236.00
20120327	4.11	4.15	4.04	4.05	6188785	26163230.00
20120328	4.02	4.36	3.96	4.00	15991415	68077632.00
20120329	3.94	4.14	3.84	4.00	10399804	43035476.00
20120330	3.97	4.07	3.84	3.89	9213975	37503304.00
20120405	3.88	4.16	3.86	4.05	9829441	40752480.00
20120406	4.04	4.23	4.03	4.14	9941473	42459124.00
20120409	4.12	4.13	4.01	4.02	4769258	20004936.00
20120410	3.96	4.11	3.85	4.10	8106244	33340464.00
20120411	4.03	4.52	3.99	4.52	27639011	126343776.00
20120412	4.69	4.99	4.56	4.99	78085701	386806848.00
20120413	4.99	5.08	4.79	4.85	59173229	298600256.00
20120416	4.77	5.14	4.68	4.93	56150832	283069248.00
20120417	4.85	4.86	4.42	4.51	41102149	195761472.00
20120418	4.51	4.75	4.44	4.67	29213288	139671888.00
20120419	4.61	4.67	4.46	4.59	20964788	98581984.00
20120420	4.57	4.94	4.50	4.75	36538712	179444224.00
20120423	4.68	4.89	4.56	4.76	22045080	106920936.00
20120424	4.67	5.25	4.60	5.25	75155013	398561280.00
20120425	5.41	5.79	5.32	5.79	59116772	340429248.00
20120426	6.36	6.38	5.46	5.52	107945967	661472384.00
20120427	5.27	5.65	5.11	5.21	57194345	312219840.00
20120502	5.25	5.34	4.99	5.15	42480268	224093952.00
20120503	5.12	5.24	5.00	5.14	28461118	149233472.00
20120504	5.08	5.16	4.98	5.07	23606284	122820288.00
20120507	5.02	5.08	4.96	5.04	19271271	99332584.00
20120508	5.01	5.14	4.92	4.99	27946470	143751616.00
20120509	4.95	5.14	4.89	5.11	35837673	185708608.00
20120510	5.06	5.12	4.91	4.92	24914718	127642384.00
20120511	4.90	5.00	4.77	4.78	20381454	102046072.00
20120514	4.88	5.27	4.83	5.07	53999898	284240448.00
20120516	4.96	5.07	4.84	4.99	29253344	148998400.00
20120517	4.96	5.23	4.93	5.11	34289830	179783088.00
20120518	5.03	5.11	4.84	4.89	25540102	129642240.00
20120521	4.86	4.89	4.71	4.73	15055172	74061680.00
20120522	4.77	4.86	4.73	4.82	10254012	50645980.00
