600053 九鼎投资 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	6.87	7.11	6.52	7.09	1567635	11932320.00
20111011	7.19	7.47	7.15	7.30	2497558	20153980.00
20111012	7.30	7.50	7.18	7.49	1366121	11189090.00
20111013	7.49	7.57	7.34	7.56	1900633	15666668.00
20111014	7.53	7.58	7.36	7.40	1188648	9762113.00
20111017	7.41	7.53	7.25	7.32	1134092	9227906.00
20111018	7.21	7.32	7.03	7.09	1035427	8280064.00
20111019	7.02	7.40	6.95	7.39	1116007	8907473.00
20111020	7.36	7.36	7.02	7.08	854948	6781567.00
20111021	7.03	7.16	6.72	6.83	1516312	11690944.00
20111024	6.83	6.92	6.60	6.86	1607584	12129605.00
20111025	6.82	7.04	6.72	6.93	1615395	12399215.00
20111026	6.92	7.10	6.84	6.94	2201878	17056438.00
20111027	6.87	7.13	6.86	7.02	2534702	19603224.00
20111028	7.03	7.36	7.03	7.17	3062818	24511292.00
20111031	7.13	7.22	7.05	7.13	1727247	13629678.00
20111101	7.08	7.21	7.05	7.09	2042439	16134361.00
20111102	7.00	7.14	6.81	7.10	2404675	18599378.00
20111103	7.07	7.30	7.02	7.24	3079910	24523752.00
20111104	7.27	7.32	7.16	7.28	2057581	16495574.00
20111107	7.25	7.46	7.23	7.30	1985254	16136815.00
20111108	7.23	7.28	7.02	7.08	2088368	16489453.00
20111109	7.02	7.13	6.94	7.12	1480129	11585326.00
20111110	7.03	7.07	6.95	6.95	1034490	8034945.00
20111111	6.96	6.99	6.82	6.84	1282000	9821091.00
20111114	6.87	7.26	6.87	7.14	2927300	23211632.00
20111115	7.08	7.37	6.92	7.23	3449998	27249428.00
20111116	7.18	7.22	7.02	7.11	1946968	15334101.00
20111117	7.17	7.32	6.99	7.26	2850764	22731036.00
20111118	7.20	7.22	7.01	7.05	1701549	13392023.00
20111121	7.02	7.15	6.77	6.87	1977278	15248232.00
20111122	6.84	6.90	6.72	6.83	1263706	9578644.00
20111123	6.88	6.88	6.74	6.80	813554	6169412.00
20111124	6.80	6.87	6.69	6.83	862715	6522743.00
20111125	6.77	6.85	6.70	6.80	790168	5977127.00
20111128	6.79	6.81	6.43	6.62	1796137	13261832.00
20111129	6.68	6.70	6.49	6.57	1500810	11007945.00
20111130	6.52	6.56	6.33	6.34	1883844	13463480.00
20111201	6.56	6.88	6.44	6.65	2344904	17495146.00
20111202	6.57	6.59	6.22	6.24	2237666	16004170.00
20111205	6.19	6.28	5.93	5.97	2610544	17904422.00
20111206	6.02	6.08	5.89	5.99	718880	4872009.00
20111207	5.97	6.04	5.88	5.98	969491	6504439.00
20111208	5.98	6.02	5.78	5.90	739205	4931627.00
20111209	5.75	6.01	5.75	6.00	795811	5328726.00
20111212	5.91	5.99	5.82	5.84	441860	2942376.00
20111213	5.74	5.85	5.47	5.56	1191575	7636312.00
20111214	5.49	5.70	5.43	5.46	625809	3975427.00
20111215	5.47	5.58	5.42	5.48	967377	6054497.00
20111216	5.56	5.63	5.45	5.62	500393	3166465.00
20111219	5.60	5.60	5.36	5.55	649701	4057906.00
20111220	5.49	5.62	5.47	5.51	1021633	6448762.00
20111221	5.52	5.58	5.38	5.40	490469	3067295.00
20111222	5.37	5.37	4.80	5.09	1136914	6695172.00
20111223	5.02	5.19	4.95	5.04	491744	2879633.00
20111226	5.01	5.11	4.99	4.99	289271	1682214.00
20111227	5.03	5.07	4.85	4.90	794154	4508105.00
20111228	4.89	4.93	4.71	4.88	525706	2937951.00
20111229	4.94	4.97	4.86	4.89	328180	1873031.00
20111230	4.89	5.16	4.89	5.12	864567	5070388.00
20120104	5.19	5.19	4.97	4.97	450663	2634900.00
20120105	4.93	4.96	4.71	4.81	562118	3156521.00
20120106	4.72	4.82	4.62	4.80	395666	2174653.00
20120109	4.81	5.00	4.73	4.98	348318	1986065.00
20120110	4.99	5.38	4.98	5.22	884161	5244208.00
20120111	5.22	5.22	5.10	5.13	632871	3754651.00
20120112	5.08	5.33	5.08	5.20	732440	4407358.00
20120113	5.31	5.31	5.05	5.12	682623	4038989.00
20120116	5.07	5.08	4.94	4.98	327848	1896069.00
20120117	4.98	5.35	4.93	5.32	641403	3853222.00
20120118	5.35	5.40	5.25	5.26	619830	3757506.00
20120119	5.26	5.58	5.23	5.54	1269128	7933032.00
20120120	5.54	5.57	5.43	5.53	481110	3018845.00
20120130	5.53	5.53	5.42	5.50	334301	2093430.00
20120131	5.56	5.60	5.46	5.57	505038	3176117.00
20120201	5.53	5.56	5.40	5.43	691730	4309540.00
20120202	5.43	5.53	5.40	5.51	356038	2219403.00
20120203	5.48	5.69	5.47	5.68	807664	5113227.00
20120206	5.62	5.67	5.57	5.62	610575	3899942.00
20120207	5.56	5.63	5.45	5.51	448860	2817849.00
20120208	5.45	5.67	5.43	5.65	655621	4143685.00
20120209	5.65	6.05	5.57	5.88	1921040	12752007.00
20120210	5.87	6.03	5.78	5.97	2003173	13495485.00
20120213	5.82	5.97	5.82	5.91	835780	5581132.00
20120214	5.82	6.13	5.81	5.95	838124	5671762.00
20120215	5.90	6.02	5.88	5.96	833504	5620755.00
20120216	5.96	6.02	5.90	6.00	573354	3868691.00
20120217	6.01	6.06	5.63	5.83	1733685	11443493.00
20120220	5.91	5.96	5.76	5.87	1209763	8052910.00
20120221	5.82	6.00	5.74	5.99	985589	6573557.00
20120222	6.02	6.17	5.98	6.08	1323067	9096248.00
20120223	6.09	6.20	6.00	6.19	1264083	8739074.00
20120224	6.18	6.57	6.15	6.43	2417451	17344944.00
20120227	6.43	6.67	6.30	6.32	2555316	18498062.00
20120228	6.29	6.39	6.23	6.31	916986	6481487.00
20120229	6.30	6.30	6.11	6.12	968500	6760957.00
20120301	6.09	6.74	6.09	6.49	2331620	16964066.00
20120302	6.47	6.72	6.35	6.61	3118672	22895258.00
20120305	6.58	6.70	6.42	6.43	2185166	16024879.00
20120306	6.42	6.42	6.22	6.22	1520602	10753195.00
20120307	6.13	6.30	6.10	6.23	1563168	10905192.00
20120308	6.22	6.36	6.21	6.25	836163	5908349.00
20120309	6.29	6.34	6.18	6.28	1209209	8515517.00
20120312	6.31	6.31	6.15	6.20	1146293	8011081.00
20120313	6.27	6.65	6.23	6.62	3056025	22382020.00
20120314	6.57	6.58	5.89	6.02	2486428	17653854.00
20120315	6.02	6.06	5.60	5.61	2032368	13305666.00
20120316	5.74	5.86	5.63	5.77	1047411	6856340.00
20120319	5.82	5.88	5.68	5.88	930498	6100424.00
20120320	5.89	5.89	5.72	5.77	736751	4835458.00
20120321	5.77	5.81	5.64	5.76	761328	4962680.00
20120322	5.78	6.08	5.69	5.91	1161448	7764620.00
20120323	5.91	5.91	5.69	5.70	779945	5086944.00
20120326	5.78	5.81	5.64	5.75	496642	3236176.00
20120327	5.80	5.81	5.73	5.76	389056	2547846.00
20120328	5.78	5.78	5.32	5.45	816828	5205439.00
20120329	5.45	5.59	5.25	5.36	607257	3767617.00
20120330	5.40	5.52	5.27	5.47	523570	3244648.00
20120405	5.57	5.65	5.36	5.57	797744	5053635.00
20120406	5.51	5.70	5.50	5.63	622486	3969917.00
20120409	5.55	5.65	5.52	5.55	531991	3382796.00
20120410	5.50	5.67	5.33	5.63	479628	3015767.00
20120411	5.61	5.87	5.53	5.76	967330	6333180.00
20120412	5.76	5.88	5.73	5.84	1104291	7297398.00
20120413	5.86	6.09	5.84	5.89	1805598	12151287.00
20120416	5.83	6.13	5.73	6.12	3022748	20509172.00
20120417	6.06	6.06	5.72	5.77	2211984	14717737.00
20120418	5.79	5.94	5.67	5.88	1576440	10434765.00
20120419	5.87	5.97	5.75	5.82	1309393	8651255.00
20120420	5.80	6.09	5.70	6.07	3413809	23013176.00
20120423	6.01	6.07	5.86	5.91	1655692	11177025.00
20120424	5.88	6.18	5.87	6.05	3723724	25380762.00
20120425	6.06	6.41	6.05	6.31	6848951	48360288.00
20120426	6.33	6.61	6.10	6.18	4123713	29307280.00
20120427	6.14	6.16	5.96	6.01	1769727	12068414.00
20120502	6.15	6.19	5.84	6.08	2300777	15611778.00
20120503	6.03	6.50	5.96	6.31	2952880	20654986.00
20120504	6.32	6.34	6.17	6.26	1638194	11535494.00
20120507	6.18	6.33	6.12	6.28	1254657	8740137.00
20120508	6.28	6.28	6.09	6.18	1382231	9582843.00
20120509	6.17	6.17	5.87	5.89	1177679	7983783.00
20120510	5.89	5.96	5.82	5.86	932821	6198191.00
20120511	5.86	6.00	5.81	5.89	735000	4914928.00
20120514	5.93	6.56	5.93	6.18	5583481	39927024.00
20120515	6.10	6.15	5.82	6.12	2363896	15993220.00
20120516	6.10	6.32	6.00	6.21	2258719	15785415.00
20120517	6.22	6.43	6.14	6.34	2221262	15797142.00
20120518	6.28	6.34	6.06	6.08	1612931	11228787.00
20120521	6.02	6.17	5.96	6.09	693640	4753546.00
20120522	6.07	6.32	6.07	6.31	1364028	9565192.00
20120523	6.24	6.39	6.21	6.32	1437422	10200279.00
20120524	6.27	6.32	6.17	6.25	1170180	8219908.00
20120525	6.24	6.47	6.13	6.27	2061384	14648096.00
20120528	6.22	6.70	6.15	6.62	5557475	40539200.00
20120529	6.55	6.63	6.45	6.54	3447349	25228834.00
20120530	6.54	6.70	6.49	6.57	2470742	18256078.00
20120531	6.50	6.55	6.40	6.48	1563262	11313470.00
20120601	6.48	6.62	6.47	6.48	897394	6547228.00
20120604	6.44	6.47	6.16	6.17	1660635	11767837.00
20120605	6.22	6.25	6.03	6.12	1136783	7859701.00
20120606	6.20	6.22	6.03	6.19	821171	5672186.00
20120607	6.34	6.34	6.11	6.15	938709	6570202.00
20120608	6.27	6.33	6.17	6.17	1128582	7908631.00
20120611	6.22	6.41	6.12	6.35	1207134	8515687.00
20120612	6.33	6.47	6.23	6.41	1657123	11830475.00
20120613	6.46	6.47	6.32	6.43	1358864	9775543.00
20120614	6.40	6.42	6.22	6.23	1173287	8336326.00
20120615	6.23	6.30	5.96	6.12	1496516	10360608.00
20120618	6.16	6.19	6.07	6.14	652782	4507725.00
20120619	6.11	6.14	6.05	6.10	572821	3932006.00
20120620	6.12	6.14	5.90	5.93	1216367	8248634.00
20120621	5.93	6.03	5.88	6.01	1195043	8026085.00
20120625	5.94	6.41	5.94	6.30	3530358	24932916.00
20120626	6.30	6.39	6.18	6.27	1854197	13132115.00
20120627	6.23	6.55	6.23	6.40	2627706	18948332.00
20120629	6.24	6.51	6.11	6.39	1505668	10718884.00
20120702	6.37	6.49	6.33	6.39	1394974	10014773.00
20120703	6.41	6.46	6.15	6.22	2076532	14726091.00
20120704	6.21	6.26	6.12	6.15	1159848	8051524.00
20120705	6.16	6.17	6.04	6.05	1047421	7194479.00
20120706	6.12	6.25	6.06	6.24	1202191	8360160.00
20120709	6.18	6.40	6.14	6.15	1437459	10131042.00
20120710	6.11	6.12	5.93	5.96	841007	5694776.00
20120711	5.94	6.05	5.91	6.01	447491	3024281.00
20120712	6.02	6.13	6.00	6.12	452994	3106834.00
20120713	6.12	6.17	6.02	6.03	506890	3491140.00
20120716	6.02	6.07	5.69	5.77	1074602	7095636.00
20120717	5.86	5.86	5.72	5.80	498209	3269585.00
20120718	5.83	5.83	5.57	5.71	655980	4228751.00
20120719	5.71	5.81	5.62	5.76	428219	2799224.00
20120720	5.72	5.81	5.70	5.74	292945	1911398.00
20120723	5.70	5.75	5.64	5.68	278674	1804993.00
20120724	5.72	5.82	5.68	5.77	423866	2766407.00
20120725	5.72	5.80	5.72	5.78	311348	2037323.00
20120726	5.73	5.78	5.65	5.67	288097	1865358.00
20120727	5.66	5.71	5.50	5.53	561170	3570321.00
20120730	5.55	5.61	5.32	5.35	520931	3222033.00
20120731	5.35	5.35	5.22	5.31	326264	1978900.00
20120801	5.26	5.60	5.26	5.44	255334	1605770.00
20120802	5.46	5.47	5.25	5.31	232200	1416469.00
20120803	5.33	5.50	5.29	5.48	259453	1605062.00
20120806	5.40	5.62	5.40	5.56	334242	2108488.00
20120807	5.52	5.59	5.45	5.46	635067	3999419.00
20120808	5.49	5.59	5.45	5.53	548421	3446095.00
20120809	5.58	5.60	5.42	5.56	553247	3491455.00
20120810	5.52	5.59	5.42	5.55	730355	4572785.00
20120813	5.45	5.66	5.45	5.61	748339	4754143.00
20120814	5.66	5.93	5.57	5.74	1014465	6589157.00
20120815	5.73	5.73	5.50	5.52	531776	3371841.00
20120816	5.51	5.56	5.47	5.47	246908	1549428.00
20120817	5.43	5.51	5.42	5.50	235560	1470043.00
20120820	5.50	5.50	5.33	5.43	151822	938660.00
20120821	5.35	5.62	5.35	5.55	341044	2159581.00
20120822	5.37	5.52	5.37	5.45	315401	1966479.00
20120823	5.45	5.56	5.39	5.42	617165	3849785.00
20120824	5.39	5.43	5.33	5.37	347401	2137495.00
20120827	5.32	5.41	5.24	5.28	513842	3112278.00
20120828	5.25	5.32	5.24	5.27	499278	3026198.00
20120829	5.27	5.28	5.06	5.07	388600	2331854.00
20120830	5.05	5.09	4.87	5.02	438493	2526912.00
20120831	4.93	5.05	4.92	5.00	367998	2109966.00
20120903	4.91	5.21	4.88	5.03	623776	3659199.00
20120904	5.01	5.08	4.88	4.92	471518	2703822.00
20120905	4.85	4.91	4.81	4.87	604965	3416693.00
20120906	4.89	5.12	4.83	5.07	969949	5641276.00
20120907	5.03	5.29	4.95	5.22	860878	5121601.00
20120910	5.16	5.25	5.10	5.16	689527	4094250.00
20120911	5.16	5.17	5.02	5.05	611671	3573394.00
20120912	5.09	5.12	5.06	5.11	445592	2614637.00
20120913	5.06	5.11	4.98	5.00	466143	2720242.00
20120914	5.00	5.08	4.93	5.02	378850	2194020.00
20120917	5.08	5.10	4.73	4.75	933181	5322614.00
20120918	4.79	4.85	4.73	4.82	486700	2712339.00
20120919	4.84	4.92	4.78	4.85	222829	1254993.00
20120920	4.79	4.84	4.57	4.58	514708	2818135.00
20120921	4.59	4.65	4.55	4.61	260200	1401475.00
20120924	4.53	4.77	4.22	4.64	504702	2707817.00
20120925	4.68	4.72	4.53	4.61	407862	2194278.00
20120926	4.56	4.61	4.42	4.43	250480	1330957.00
20120927	4.47	4.59	4.40	4.52	376798	1988607.00
20120928	4.47	4.73	4.47	4.72	493933	2677114.00
20121008	4.72	4.76	4.54	4.68	197200	1073799.00
20121009	4.68	4.80	4.65	4.77	344950	1906499.00
20121010	4.73	4.83	4.65	4.78	428385	2373738.00
20121011	4.79	4.80	4.65	4.66	387282	2128392.00
20121012	4.71	4.76	4.62	4.72	327427	1788500.00
20121015	4.67	4.75	4.47	4.63	322153	1742485.00
20121016	4.62	4.70	4.59	4.65	310196	1684044.00
20121017	4.62	4.67	4.59	4.65	387355	2092184.00
20121018	4.64	4.88	4.62	4.82	898224	4995377.00
20121019	4.91	5.38	4.91	5.38	3096200	18970096.00
20121022	5.25	6.00	5.15	6.00	4493494	28842836.00
20121023	6.68	6.68	6.00	6.27	9641231	67812640.00
20121024	6.10	6.22	5.87	6.03	5695945	38949852.00
20121025	6.02	6.10	5.44	5.56	4611117	30010676.00
20121026	5.55	5.97	5.37	5.62	4943769	32106656.00
20121029	5.53	5.66	5.41	5.53	3157945	19843480.00
20121030	5.50	5.90	5.32	5.44	3940940	25292912.00
20121031	5.32	5.58	5.29	5.48	2594043	16069002.00
20121101	5.45	6.11	5.34	5.82	8651898	57203780.00
20121102	5.73	6.16	5.61	6.01	10401981	69708296.00
20121105	5.88	6.02	5.76	5.82	4809526	32035760.00
20121106	5.81	5.87	5.37	5.57	4388297	27818988.00
20121107	5.46	5.60	5.42	5.55	1632464	10250782.00
20121108	5.50	5.72	5.25	5.28	2192810	13812892.00
20121109	5.19	5.34	5.08	5.13	2455498	14649388.00
20121112	5.14	5.27	5.12	5.24	1050402	6293617.00
20121113	5.24	5.24	4.80	4.89	2138277	12423065.00
20121114	4.90	4.92	4.73	4.80	1281110	7191506.00
20121115	4.83	5.28	4.79	5.12	3016335	17720572.00
20121116	4.98	5.12	4.83	5.01	1643606	9463848.00
20121119	4.92	5.01	4.75	4.92	1445442	8185763.00
20121120	4.90	5.00	4.86	4.88	1422273	8110476.00
20121121	4.89	5.01	4.66	5.00	1774562	10038699.00
20121122	4.96	4.96	4.83	4.87	938713	5308510.00
20121123	4.87	4.97	4.82	4.89	816307	4644001.00
20121126	4.92	5.46	4.90	5.43	6046837	37089048.00
20121127	5.37	5.37	5.00	5.09	3909006	23195112.00
20121128	5.12	5.68	5.12	5.68	7551029	47628720.00
20121129	5.82	6.33	5.81	6.33	12892660	90437032.00
