600054 黄山旅游 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	10.24	10.24	9.58	9.90	2169939	33880080.00
20111011	10.14	10.14	9.68	9.92	1740406	27165104.00
20111012	9.92	10.38	9.78	10.20	1619850	25859448.00
20111013	10.30	10.47	10.12	10.34	1501058	24459618.00
20111014	10.34	10.36	10.10	10.28	616833	9900858.00
20111017	10.32	10.35	10.20	10.26	615490	9953182.00
20111018	10.22	10.22	10.03	10.03	594847	9466939.00
20111019	10.05	10.25	10.04	10.10	714702	11403202.00
20111020	10.04	10.10	9.75	10.00	428321	6646004.00
20111021	9.97	10.16	9.78	9.90	494865	7771836.00
20111024	9.94	10.12	9.89	10.06	508288	8009885.00
20111025	10.11	10.44	10.04	10.40	1047799	16887756.00
20111026	10.31	10.62	10.26	10.56	1408639	23100064.00
20111027	10.53	10.71	10.51	10.66	1131697	18878756.00
20111028	10.78	10.91	10.38	10.73	3451721	57672616.00
20111031	10.73	10.73	10.50	10.57	1558712	25892002.00
20111101	10.48	10.78	10.40	10.60	1703372	28330904.00
20111102	10.44	10.98	10.44	10.90	2345592	39652580.00
20111103	10.90	11.04	10.80	10.82	1708345	29215264.00
20111104	10.90	11.08	10.74	10.95	2008573	34394144.00
20111107	10.98	10.98	10.78	10.78	427805	7261810.00
20111108	10.81	10.83	10.51	10.59	963107	16074855.00
20111109	10.65	11.03	10.54	10.98	1612423	27189496.00
20111110	10.84	11.18	10.78	11.04	2146522	37049708.00
20111111	11.03	11.42	10.91	11.11	2218445	38899432.00
20111114	11.09	11.21	11.05	11.20	1420941	24796132.00
20111115	11.16	11.38	11.05	11.24	1135919	19943624.00
20111116	11.24	11.37	10.76	10.83	1002817	17320264.00
20111117	10.81	11.02	10.81	10.84	493736	8424335.00
20111118	10.80	10.82	10.52	10.64	525070	8761441.00
20111121	10.60	10.76	10.60	10.72	272136	4561600.00
20111122	10.61	11.06	10.61	11.06	1537765	26266852.00
20111123	11.14	11.36	11.12	11.26	2459578	43357380.00
20111124	11.21	11.36	11.06	11.29	942159	16559599.00
20111125	11.28	11.29	10.98	11.01	613157	10669653.00
20111128	11.10	11.10	10.84	10.94	471869	8096221.00
20111129	11.04	11.10	10.94	11.03	1389298	23961298.00
20111130	10.96	11.06	10.29	10.40	1125668	18786286.00
20111201	10.65	10.81	10.38	10.43	2310571	38319820.00
20111202	10.44	10.50	9.96	10.00	1715878	27503888.00
20111205	9.95	10.08	9.84	9.85	2242785	35067144.00
20111206	9.91	9.94	9.57	9.81	2998400	45831932.00
20111207	9.77	9.91	9.74	9.84	1333164	20653368.00
20111208	9.78	9.88	9.58	9.84	1916140	29471556.00
20111209	9.74	9.88	9.63	9.69	990614	15175629.00
20111212	9.68	9.76	9.38	9.40	1941743	29243032.00
20111213	9.31	9.32	9.12	9.29	1194923	17464428.00
20111214	9.24	9.38	9.23	9.31	1237453	18187100.00
20111215	9.30	9.50	9.13	9.41	934902	13776521.00
20111216	9.33	9.62	9.32	9.60	1029478	15395739.00
20111219	9.58	9.70	9.42	9.62	1064173	16024266.00
20111220	9.58	9.69	9.39	9.41	1011100	15216512.00
20111221	9.45	9.52	9.22	9.22	784972	11657471.00
20111222	9.18	9.21	8.91	9.01	862710	12358460.00
20111223	9.02	9.28	8.96	9.10	1077202	15548088.00
20111226	9.14	9.38	9.10	9.18	1203959	17571882.00
20111227	9.18	9.23	8.99	9.00	526941	7582473.00
20111228	8.98	9.03	8.86	8.98	1015980	14369014.00
20111229	8.96	9.35	8.94	9.21	976110	14236343.00
20111230	9.18	9.50	9.18	9.41	796391	11774433.00
20120104	9.50	9.74	9.26	9.42	2224298	33349352.00
20120105	9.36	9.47	9.05	9.18	781475	11481056.00
20120106	9.18	9.31	9.01	9.22	656204	9471185.00
20120109	9.36	9.46	9.22	9.45	2109050	31104756.00
20120110	9.46	9.74	9.39	9.69	2668642	40356656.00
20120111	9.69	9.78	9.56	9.60	2220034	33785016.00
20120112	9.61	9.65	9.51	9.55	1281120	19383204.00
20120113	9.55	9.62	9.15	9.25	1408469	20691428.00
20120116	9.22	9.25	9.01	9.02	1086825	15649125.00
20120117	9.04	9.41	9.04	9.36	2001777	29307986.00
20120118	9.34	9.43	8.83	8.98	2765181	40109784.00
20120119	8.97	9.31	8.96	9.28	1518359	22004968.00
20120120	9.24	9.71	9.24	9.50	2767373	41619552.00
20120130	9.48	9.62	9.38	9.42	1492785	22403432.00
20120131	9.34	9.49	9.34	9.47	465032	6914118.00
20120201	9.47	9.58	9.31	9.37	801974	11976191.00
20120202	9.43	9.74	9.32	9.63	1402146	21251544.00
20120203	9.58	9.87	9.56	9.78	1734719	26629256.00
20120206	9.78	9.86	9.64	9.74	1092527	16838764.00
20120207	9.74	9.74	9.50	9.57	1290200	19486146.00
20120208	9.56	9.82	9.52	9.71	1058939	16213952.00
20120209	9.71	9.88	9.66	9.75	1319817	20340272.00
20120210	9.74	9.84	9.64	9.79	1849140	28453860.00
20120213	9.74	9.84	9.66	9.78	660676	10162087.00
20120214	9.71	9.91	9.71	9.80	1052315	16286005.00
20120215	9.81	9.98	9.79	9.92	835485	13010523.00
20120216	9.88	10.12	9.86	9.96	1260442	19831380.00
20120217	10.18	10.36	10.02	10.04	3871901	61949580.00
20120220	10.12	10.21	9.90	9.96	1526245	23989550.00
20120221	9.85	10.18	9.84	10.08	1301520	20506884.00
20120222	10.08	10.14	9.93	10.14	1923327	30410282.00
20120223	10.07	10.16	10.01	10.08	1354407	21485304.00
20120224	10.06	10.27	9.98	10.22	2421402	38483864.00
