600055 万东医疗 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	6.01	6.01	5.62	5.68	648789	8782793.00
20111011	5.81	5.90	5.67	5.77	754002	10112816.00
20111012	5.68	5.88	5.59	5.87	3494881	45977268.00
20111013	5.72	5.83	5.72	5.75	2642534	35231452.00
20111014	5.75	5.75	5.45	5.55	2217142	28657088.00
20111017	5.66	5.66	5.52	5.58	1014637	13103781.00
20111018	5.53	5.59	5.44	5.46	920833	11805634.00
20111019	5.51	5.53	5.42	5.52	655317	8330354.00
20111020	5.52	5.61	5.42	5.56	1012841	12950053.00
20111021	5.59	5.63	5.48	5.59	679271	8757055.00
20111024	5.59	5.59	5.17	5.43	1023746	12852573.00
20111025	5.43	5.52	5.35	5.48	1304117	16526313.00
20111026	5.48	5.58	5.46	5.54	2030637	25968572.00
20111027	5.54	5.68	5.52	5.57	1064951	13803494.00
20111028	5.64	5.83	5.59	5.83	2133210	28320118.00
20111031	5.81	6.14	5.77	5.93	2241695	30921248.00
20111101	5.88	6.22	5.85	6.14	2643061	36963316.00
20111102	6.06	6.23	5.97	6.19	2309412	32800434.00
20111103	6.24	6.26	6.06	6.07	2320683	32949592.00
20111104	6.11	6.14	6.00	6.07	1278968	17908276.00
20111107	6.04	6.21	6.04	6.06	860429	12135282.00
20111108	6.09	6.17	6.02	6.06	1379202	19437530.00
20111109	6.09	6.21	6.02	6.20	1013534	14342911.00
20111110	6.13	6.44	6.11	6.32	2720311	39674648.00
20111111	6.41	6.50	6.16	6.19	2242553	32738344.00
20111114	6.26	6.46	6.19	6.44	2433287	35728480.00
20111115	6.45	6.58	6.36	6.46	2340636	34968908.00
20111117	6.33	6.46	6.31	6.34	1878138	27579616.00
20111118	6.33	6.41	6.17	6.19	1820639	26502492.00
20111121	6.16	6.27	6.04	6.21	1121358	15920420.00
20111122	6.23	6.26	6.07	6.26	691309	9889415.00
20111123	6.26	6.32	6.20	6.24	860902	12446286.00
20111124	6.18	6.42	6.15	6.40	1683137	24588820.00
20111125	6.39	6.45	6.26	6.31	1077230	15826810.00
20111128	6.28	6.63	6.28	6.58	2710279	40431724.00
20111129	6.62	6.62	6.45	6.57	2207284	33338748.00
20111130	6.54	6.67	6.18	6.26	1934402	28614356.00
20111201	6.40	6.53	6.25	6.29	2722405	40224016.00
20111202	6.28	6.28	5.92	6.13	1805165	25413338.00
20111205	6.11	6.11	5.75	5.78	819572	11206476.00
20111206	5.79	5.88	5.71	5.86	688495	9240933.00
20111207	5.83	5.92	5.80	5.86	496932	6730116.00
20111208	5.81	5.84	5.63	5.81	782888	10432924.00
20111209	5.75	5.82	5.63	5.72	874041	11550862.00
20111212	5.62	5.71	5.57	5.63	743555	9690258.00
20111213	5.59	5.88	5.42	5.61	1310722	16723475.00
20111214	5.54	5.73	5.54	5.63	1159104	15186238.00
20111215	5.56	5.63	5.43	5.51	834202	10686619.00
20111216	5.48	5.69	5.34	5.66	1305175	16499030.00
20111219	5.61	5.70	5.43	5.67	681474	8788859.00
20111220	5.62	5.71	5.61	5.62	520795	6833386.00
20111221	5.72	5.72	5.22	5.32	1394786	17758800.00
20111222	5.32	5.32	4.95	5.24	1121744	13386457.00
20111223	5.25	5.38	5.21	5.27	561789	6892498.00
20111226	5.25	5.32	5.17	5.21	366675	4449724.00
20111227	5.19	5.20	4.72	4.73	2417532	27513944.00
20111228	4.67	4.67	4.38	4.54	1454664	15263190.00
20111229	4.50	4.51	4.43	4.46	1367120	14237812.00
20111230	4.46	4.51	4.44	4.48	1370610	14328063.00
20120104	4.61	4.61	4.32	4.32	962970	9983906.00
20120105	4.32	4.32	4.05	4.08	1223843	11972205.00
20120106	4.08	4.15	3.97	4.09	478719	4565797.00
20120109	4.07	4.28	4.07	4.28	1184987	11627121.00
20120110	4.27	4.49	4.24	4.48	1939901	19872424.00
20120111	4.47	4.58	4.32	4.44	2722388	28177788.00
20120112	4.38	4.47	4.29	4.34	3388556	34513196.00
20120113	4.34	4.36	4.06	4.06	1810137	17724592.00
20120116	4.00	4.05	3.83	3.83	921081	8540249.00
20120117	3.89	4.04	3.76	4.04	1597356	14714084.00
20120118	4.19	4.19	3.88	3.89	2035799	19129036.00
20120119	3.97	4.30	3.94	4.30	9263491	91451272.00
20120120	4.36	4.36	4.12	4.26	6476020	63852096.00
20120130	4.26	4.26	4.14	4.22	3370856	33297560.00
20120131	4.18	4.29	4.17	4.28	2249457	22297172.00
20120201	4.25	4.30	4.11	4.13	2831477	27885156.00
20120202	4.14	4.21	4.11	4.20	2243151	21836398.00
20120203	4.21	4.29	4.13	4.27	6654709	65799152.00
20120206	4.28	4.46	4.22	4.44	9214925	92958200.00
20120207	4.35	4.38	4.26	4.27	5035565	50705584.00
20120208	4.25	4.39	4.23	4.38	4399985	44593992.00
20120209	4.37	4.53	4.34	4.47	5692651	59264624.00
20120210	4.44	4.60	4.42	4.49	4272919	44913424.00
20120213	4.46	4.70	4.42	4.69	6229717	66838388.00
20120214	4.67	4.71	4.60	4.66	3702374	40180184.00
20120215	4.64	4.83	4.58	4.81	4393532	48155712.00
20120216	4.80	4.81	4.68	4.74	3226991	35706608.00
20120217	4.72	4.76	4.61	4.65	2580278	28105808.00
20120221	4.63	5.07	4.63	4.96	8383290	95847608.00
20120222	4.90	5.02	4.90	5.01	4139273	47771112.00
20120223	4.95	5.03	4.89	4.96	5477350	63022804.00
20120224	4.93	5.03	4.90	5.02	3771650	43529500.00
