600056 中国医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	9.38	9.47	9.10	9.16	293579	5998488.00
20111011	9.47	9.47	9.07	9.15	951357	19544996.00
20111012	9.08	9.56	9.03	9.52	863558	17984164.00
20111013	9.52	10.02	9.52	9.89	1111891	24122976.00
20111014	9.94	10.14	9.86	9.90	893775	19617232.00
20111017	9.94	10.02	9.80	9.92	335188	7282759.00
20111018	9.86	9.88	9.52	9.61	357814	7612657.00
20111019	9.55	9.71	9.28	9.41	582451	12230711.00
20111020	9.30	9.30	8.91	8.92	1023869	20425444.00
20111021	8.92	9.00	8.02	8.09	1390557	25955244.00
20111024	8.12	8.24	7.62	8.18	1863174	33255424.00
20111025	8.10	8.77	8.03	8.72	1325154	24988052.00
20111026	8.62	9.20	8.55	9.10	1370319	27484540.00
20111027	9.10	9.35	8.91	8.94	1120131	22622612.00
20111028	9.05	9.30	8.95	9.10	1380269	27872968.00
20111031	9.09	9.57	9.09	9.50	1177524	24528036.00
20111101	9.43	9.57	9.29	9.52	955843	19973280.00
20111102	9.30	10.47	9.24	10.40	2175454	47343244.00
20111103	10.36	10.82	9.81	10.02	14623938	322680160.00
20111104	9.89	10.01	9.53	9.75	6331513	135192048.00
20111107	9.63	9.74	9.41	9.49	4500063	94590040.00
20111108	9.49	9.55	9.17	9.17	4076355	84056648.00
20111109	9.27	9.40	9.15	9.39	2658058	54705596.00
20111110	9.29	9.35	8.99	8.99	3318943	67380288.00
20111111	9.08	9.17	8.76	8.82	6315511	125735488.00
20111114	8.93	9.05	8.80	9.05	4128717	81742256.00
20111115	9.02	9.15	8.93	9.14	3367324	67465472.00
20120507	10.01	10.01	9.28	9.71	28505449	603604544.00
20120508	9.57	9.70	9.41	9.49	10272868	216250112.00
20120509	9.43	9.69	9.40	9.49	6852386	143952160.00
20120510	9.57	9.87	9.52	9.76	10439055	223746304.00
20120511	9.76	10.83	9.56	10.46	18049692	405199936.00
20120514	10.52	11.48	10.51	11.07	25657829	612703104.00
20120515	10.92	10.92	10.30	10.62	14105881	324310656.00
20120516	10.52	10.82	10.45	10.46	9411778	218967728.00
20120517	10.32	10.44	10.12	10.29	7483836	168018976.00
20120518	10.25	10.47	10.17	10.17	4627839	104414520.00
20120521	10.20	10.27	9.83	10.11	4442921	97693712.00
20120522	10.15	10.57	10.15	10.44	6454288	147135408.00
20120523	10.41	10.51	10.10	10.41	5133858	116543384.00
20120524	10.37	10.39	10.08	10.09	4971040	111260448.00
20120525	10.09	10.28	10.05	10.09	3248168	72191312.00
20120528	9.88	10.02	9.58	9.93	4641340	99921776.00
20120529	9.92	10.15	9.78	10.10	4469443	98214928.00
20120530	10.11	10.19	9.92	9.96	2877684	63443768.00
20120531	9.92	10.10	9.80	10.00	2658790	58311688.00
20120601	10.02	10.09	9.89	9.95	2147551	46963276.00
20120604	9.82	9.89	9.53	9.54	3340534	71456624.00
20120605	9.57	10.05	9.57	9.94	5342622	116451256.00
20120606	10.00	10.02	9.76	9.80	2122125	45980544.00
20120607	9.95	10.42	9.95	10.01	5634778	125410768.00
20120608	10.17	10.19	9.97	10.02	2687697	59295636.00
20120611	10.07	10.14	9.85	10.05	3163138	69580408.00
20120612	10.08	10.31	10.08	10.13	4300258	95974192.00
20120613	10.17	10.58	10.14	10.53	6783032	153733840.00
20120614	10.46	10.62	10.41	10.48	5151085	118292000.00
20120615	10.48	10.72	10.48	10.62	4802278	111488744.00
20120618	10.61	10.76	10.42	10.45	4051552	93624048.00
20120619	10.47	10.71	10.38	10.48	3577899	82327984.00
20120620	10.54	10.55	10.13	10.18	3540088	79613928.00
20120621	10.17	10.24	9.97	10.22	1536222	33983936.00
20120625	10.17	10.26	9.82	9.83	2955542	64651496.00
