600057 象屿股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	5.30	5.60	5.24	5.53	16575065	89966376.00
20111011	5.59	5.87	5.42	5.53	19704304	110891128.00
20111012	5.43	5.78	5.33	5.68	15080364	84978888.00
20111013	5.63	6.20	5.53	6.08	26517120	154368016.00
20111014	5.98	6.06	5.83	5.85	16112437	95531112.00
20111017	5.86	5.92	5.66	5.70	10888928	62603672.00
20111018	5.60	5.64	5.32	5.35	12470062	68357112.00
20111019	5.37	5.49	5.34	5.38	7454650	40288124.00
20111020	5.34	5.36	5.12	5.16	8270426	43062440.00
20111021	5.14	5.24	5.00	5.07	5729051	29472456.00
20111024	5.06	5.18	4.80	5.16	8919974	44887520.00
20111025	5.12	5.44	5.04	5.30	11200629	59027484.00
20111026	5.25	5.47	5.10	5.34	15775799	83710088.00
20111027	5.32	5.52	5.21	5.24	16269247	87030384.00
20111028	5.30	5.39	5.25	5.36	11910236	63348300.00
20111031	5.44	5.63	5.43	5.54	15660040	86403888.00
20111101	5.49	5.53	5.36	5.42	10107477	54918392.00
20111102	5.30	5.44	5.21	5.41	13006763	69127952.00
20111103	5.40	5.95	5.39	5.95	28771878	166653680.00
20111104	6.11	6.51	5.99	6.39	48425558	302360736.00
20111107	6.30	6.34	6.11	6.17	22561757	139891984.00
20111108	6.20	6.20	6.01	6.01	14781273	89750584.00
20111109	6.01	6.61	6.01	6.61	40526533	258506400.00
20111110	6.60	7.22	6.42	6.85	54100242	371339392.00
20111111	6.85	7.54	6.77	7.47	61020036	446902240.00
20111114	7.70	7.76	7.35	7.54	51696982	390029184.00
20111115	7.42	7.64	7.36	7.44	33997432	253870368.00
20111116	7.45	7.60	6.97	7.16	39562685	289703712.00
20111117	7.19	7.27	7.00	7.10	27021886	192615680.00
20111118	7.03	7.35	6.96	7.05	30098561	215321744.00
20111121	7.08	7.72	7.01	7.62	44895235	335334016.00
20111122	7.50	7.98	7.43	7.68	39031251	301613440.00
20111123	7.51	7.67	6.97	7.07	37082672	270155712.00
20111124	6.90	7.33	6.73	7.23	26794735	189841216.00
20111125	7.11	7.30	6.85	7.00	23887352	167996448.00
20111128	6.92	7.18	6.82	7.11	21098080	148679360.00
20111129	7.20	7.25	7.03	7.08	19470638	138342192.00
20111130	7.06	7.12	6.38	6.47	26679730	178805856.00
20111201	6.71	6.71	6.40	6.42	19081685	125632776.00
20111202	6.30	6.36	6.01	6.05	17449492	107092752.00
20111205	5.99	6.25	5.96	6.05	13149439	80342024.00
20111206	5.96	6.10	5.81	6.00	10402352	61641728.00
20111208	6.00	6.57	5.84	6.47	24298881	152556368.00
20111209	6.37	6.46	6.22	6.37	14921677	94548296.00
20111212	6.32	6.60	6.27	6.34	13086034	84256048.00
20111213	6.34	6.41	5.89	6.02	13553555	82407352.00
20111214	5.96	6.10	5.68	5.71	10229469	60568268.00
20111215	5.55	5.81	5.50	5.61	10405219	58742592.00
20111216	5.67	5.92	5.55	5.90	10770421	61611948.00
20111219	5.81	5.91	5.64	5.87	10337221	59790712.00
20111220	5.83	5.99	5.69	5.72	9936194	58309492.00
20111221	5.76	5.82	5.31	5.32	12303050	68776184.00
20111222	5.26	5.33	5.02	5.24	10934093	56413972.00
20111223	5.19	5.42	5.13	5.33	8708759	46303540.00
20111226	5.33	5.45	5.19	5.24	5718032	30439668.00
20111227	5.20	5.26	4.96	5.01	8114788	41296612.00
20111228	4.99	5.01	4.73	4.98	8139472	39669796.00
20111229	4.91	5.06	4.90	4.97	6323491	31524176.00
20111230	5.01	5.08	4.97	5.06	5685969	28673836.00
20120104	5.11	5.15	4.80	4.81	6471535	32333132.00
20120105	4.75	4.85	4.63	4.65	6389134	30244152.00
20120106	4.65	4.70	4.44	4.61	6770800	30913280.00
20120109	4.61	5.07	4.52	5.07	17017029	84680984.00
20120110	5.07	5.45	5.02	5.40	22433582	118598944.00
20120111	5.34	5.42	5.28	5.39	13839370	73937016.00
20120112	5.30	5.65	5.28	5.48	16010748	88523992.00
20120113	5.43	5.50	5.10	5.18	13407193	70545720.00
20120116	5.14	5.36	5.07	5.21	10938440	57136660.00
20120117	5.20	5.68	5.15	5.57	16044036	87393856.00
20120118	5.55	5.68	5.27	5.29	14353879	78381680.00
20120120	5.44	5.74	5.43	5.48	16773263	93287432.00
20120130	5.48	5.57	5.41	5.46	7739877	42527728.00
20120131	5.45	5.61	5.42	5.60	8941127	49543952.00
20120201	5.58	5.58	5.37	5.44	8968620	49221856.00
20120202	5.46	5.60	5.39	5.59	9978750	54904960.00
20120203	5.56	5.85	5.53	5.71	15104963	86217872.00
20120206	5.70	5.76	5.62	5.71	11185419	63601924.00
20120207	5.66	5.68	5.44	5.52	8911675	49413676.00
20120208	5.48	5.72	5.46	5.69	9638252	54253972.00
20120209	5.69	5.82	5.65	5.69	13170181	75550408.00
20120210	5.69	6.26	5.64	6.26	36085824	217748336.00
20120213	6.21	6.57	6.12	6.50	38873957	247191856.00
