600058 五矿发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	23.36	23.41	22.45	22.52	3310556	77344880.00
20111011	23.13	23.55	21.95	22.35	4280913	99194104.00
20111012	22.28	23.36	21.91	23.18	6691524	155565344.00
20111013	23.09	23.67	22.96	23.46	6337547	150895360.00
20111014	23.46	23.60	23.06	23.28	4341061	102853040.00
20111017	23.43	23.71	23.05	23.33	4335075	103139856.00
20111018	23.13	23.19	22.11	22.18	5455772	124978888.00
20111019	22.19	22.39	21.46	21.51	5298266	117387672.00
20111020	21.48	22.05	21.19	21.66	5803494	127570480.00
20111021	21.61	21.61	20.64	20.66	4659742	99385504.00
20111024	20.72	20.91	19.89	20.83	7897830	165524448.00
20111025	20.86	22.25	20.51	21.83	11970288	261537728.00
20111026	21.51	22.61	21.41	22.04	12397586	278398400.00
20111027	22.06	22.21	21.93	22.06	6936097	155619968.00
20111028	22.41	24.16	22.41	23.61	18541999	440921376.00
20111031	23.41	24.02	23.11	23.75	12209048	293100576.00
20111101	23.31	23.79	23.21	23.40	8238580	196381216.00
20111102	22.74	23.67	22.41	23.50	9922127	231504848.00
20111103	23.52	24.95	23.52	23.90	16689085	410196608.00
20111104	24.21	24.71	23.94	24.17	11264253	277750592.00
20111107	24.10	24.56	23.93	23.95	6472099	159130720.00
20111108	23.96	24.15	23.51	23.54	6923464	167920048.00
20111109	23.81	24.09	23.36	24.00	6105301	147381936.00
20111110	23.64	23.67	23.23	23.24	6846615	163250832.00
20111111	23.35	24.97	23.26	24.72	19851102	488211584.00
20111114	24.80	25.39	24.80	25.13	14343673	365076384.00
20111115	24.91	25.84	24.77	25.20	11387713	293453088.00
20111116	25.21	25.40	23.91	24.16	12163890	303827072.00
20111117	24.21	24.49	23.49	23.75	7488517	182104032.00
20111121	23.08	23.39	22.76	23.37	5382704	126506344.00
20111122	23.08	23.29	22.67	23.09	3971282	92934904.00
20111123	23.20	23.31	22.71	22.73	3768679	87969328.00
20111124	22.51	22.80	22.08	22.39	3931267	89466824.00
20111125	22.41	23.03	22.29	22.47	3371925	77745192.00
20111128	22.51	22.76	22.21	22.41	2844200	65080764.00
20111129	22.71	22.89	22.59	22.87	4347433	100638784.00
20111130	22.86	22.86	21.21	21.51	6179608	137558320.00
20111201	22.59	22.80	22.14	22.21	6999556	160086544.00
