600059 古越龙山 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	9.18	9.43	9.14	9.29	4374557	46419452.00
20111011	9.53	9.55	9.10	9.24	4858521	52135544.00
20111012	9.23	9.68	9.18	9.64	6616962	72506872.00
20111013	9.64	9.90	9.57	9.77	6703313	75543472.00
20111014	9.80	9.83	9.66	9.78	3194309	35832648.00
20111017	9.77	9.90	9.72	9.78	3912593	44236152.00
20111018	9.70	9.78	9.44	9.47	4243424	46861400.00
20111019	9.46	9.64	9.43	9.44	3478675	38066360.00
20111020	9.45	9.49	9.14	9.25	4849397	51705124.00
20111021	9.24	9.31	9.11	9.16	2226107	23477526.00
20111024	9.20	9.52	9.04	9.51	4210233	45080580.00
20111025	9.51	9.77	9.38	9.66	6236218	68936184.00
20111026	9.59	9.80	9.58	9.70	5770269	64649900.00
20111027	9.71	9.87	9.64	9.74	5406357	60873736.00
20111028	9.82	9.98	9.78	9.92	7723160	88023280.00
20111031	9.94	10.05	9.85	9.94	5186514	59533456.00
20111101	9.89	9.97	9.74	9.84	4685700	53317820.00
20111102	9.67	10.33	9.67	10.31	11597742	135015344.00
20111103	10.30	10.57	10.24	10.32	9155697	110664696.00
20111104	10.37	10.44	10.29	10.40	5007561	60305568.00
20111107	10.40	10.44	10.25	10.28	4202428	50545432.00
20111108	10.30	10.37	10.04	10.10	6538946	77581488.00
20111109	10.22	11.00	10.21	10.88	35076266	442295648.00
20111110	10.68	11.09	10.64	10.90	25547960	325628064.00
20111111	10.98	11.02	10.72	10.81	11882594	150270656.00
20111114	10.99	11.17	10.87	11.00	14274931	184220992.00
20111115	11.07	11.08	10.90	10.94	6767305	86791064.00
20111116	10.96	10.99	10.57	10.64	11167037	139443568.00
20111117	10.66	10.83	10.59	10.60	6621603	82631704.00
20111118	10.54	11.07	10.40	11.02	17229435	216198400.00
20111121	11.03	11.03	10.55	10.83	15232655	191504320.00
20111122	10.69	11.03	10.62	10.94	13217976	168222624.00
20111123	11.02	11.32	10.78	11.12	20725678	270212384.00
20111124	10.98	11.20	10.87	10.94	13530425	174705168.00
20111125	10.87	11.06	10.72	10.77	10002807	127180096.00
20111128	10.79	10.98	10.68	10.89	9643245	122065528.00
20111129	10.93	10.95	10.68	10.80	11569210	145791520.00
20111130	10.72	10.78	10.14	10.30	18066839	219241168.00
20111201	10.53	10.64	10.34	10.39	12855196	156810112.00
20111202	10.37	10.59	10.24	10.44	7742304	94056296.00
20111205	10.58	10.62	10.20	10.23	6365709	77217536.00
20111206	10.24	10.30	9.89	10.10	6008426	70261376.00
20111207	10.10	10.38	10.10	10.34	5949746	70773248.00
20111208	10.46	10.70	10.34	10.49	12758868	156068688.00
20111209	10.41	10.54	10.03	10.06	9340677	111709632.00
20111212	10.09	10.10	9.62	9.64	9584927	108273744.00
20111213	9.72	9.94	9.57	9.77	8836645	99547856.00
20111214	9.65	9.79	9.54	9.57	5717017	63452932.00
20111215	9.57	9.80	9.50	9.62	7619564	84917512.00
20111216	9.63	9.93	9.63	9.90	7119459	80267616.00
20111219	9.86	10.06	9.74	10.04	6683043	76195200.00
20111220	9.95	10.14	9.87	9.87	6333380	73098808.00
20111221	9.96	10.03	9.59	9.60	7076807	79737816.00
20111222	9.54	9.56	9.23	9.47	7767003	83674112.00
20111223	9.44	9.66	9.40	9.51	6297147	69091896.00
20111226	9.53	9.70	9.37	9.42	5879009	64683952.00
20111227	9.40	9.40	9.09	9.10	5655756	59461280.00
20111228	9.05	9.07	8.76	8.94	6288656	63700664.00
20111229	8.81	9.03	8.81	9.01	5077993	51845728.00
20111230	9.03	9.21	9.00	9.18	5834101	60990124.00
20120104	9.24	9.34	8.83	8.86	5732325	59199920.00
20120105	8.86	8.93	8.45	8.47	6850043	67747736.00
20120106	8.45	8.61	8.31	8.57	4565047	43522240.00
20120109	8.60	8.86	8.47	8.86	7717701	76123432.00
20120110	8.86	9.22	8.80	9.15	9936154	102569552.00
20120111	9.15	9.18	8.94	9.06	6344056	65590892.00
20120112	9.03	9.20	9.01	9.03	5753782	59679668.00
20120113	9.03	9.09	8.71	8.77	5959641	60029288.00
20120116	8.65	8.74	8.44	8.47	4671652	45534316.00
20120117	8.50	8.95	8.39	8.90	6316136	62378584.00
20120118	8.89	9.04	8.64	8.67	6259570	63124196.00
20120119	8.69	8.90	8.60	8.78	5259245	52397724.00
20120120	8.80	9.09	8.80	9.01	7832941	80324896.00
20120130	8.97	9.17	8.92	9.04	6343075	65499256.00
20120131	9.01	9.10	8.94	9.02	4372802	44885504.00
20120201	9.00	9.09	8.84	8.87	4566466	46574704.00
20120202	8.84	8.95	8.77	8.94	5855064	58904024.00
20120203	8.92	9.07	8.86	9.03	6464553	65961768.00
20120206	9.05	9.07	8.96	9.06	5684499	58543216.00
20120207	9.01	9.01	8.80	8.85	4801256	48491192.00
20120208	8.81	9.15	8.80	9.08	9442744	97195928.00
20120209	9.08	9.31	9.05	9.22	11156249	117292872.00
20120210	9.18	9.29	9.10	9.19	6631546	69703888.00
20120213	9.17	9.40	9.07	9.35	9458144	100475944.00
20120214	9.37	9.40	9.22	9.33	6150782	65725556.00
20120215	9.35	9.41	9.23	9.34	6943843	74209712.00
20120216	9.34	9.45	9.24	9.34	8954452	96029160.00
20120217	9.37	9.40	9.21	9.26	4730912	50291888.00
20120220	9.37	9.44	9.26	9.33	7055209	75852976.00
20120221	9.34	9.74	9.34	9.69	17600271	194399376.00
20120222	9.70	9.77	9.64	9.74	9254640	103424008.00
20120223	9.70	9.77	9.60	9.68	5775197	64454032.00
20120224	9.71	9.92	9.64	9.79	7870716	88987904.00
20120227	9.79	9.99	9.74	9.76	9702654	110449616.00
20120228	9.70	9.80	9.67	9.74	6116155	68543760.00
20120229	9.72	9.82	9.64	9.72	4870184	54696952.00
20120301	9.72	9.91	9.68	9.83	7682624	86993304.00
20120302	9.83	9.97	9.81	9.92	7998412	91311976.00
20120305	9.94	10.02	9.85	9.97	8328562	95649088.00
20120306	9.92	10.14	9.88	9.95	12341019	142835616.00
20120307	9.88	9.90	9.64	9.70	8262197	93222960.00
20120308	9.73	9.93	9.67	9.86	9340198	105623584.00
20120309	9.91	10.30	9.88	10.26	17647973	206968768.00
20120312	10.25	10.46	10.18	10.37	15193420	182097984.00
20120313	10.37	10.47	10.28	10.40	8915604	107674200.00
20120314	10.43	10.76	9.95	10.04	27363685	332731392.00
20120315	10.03	10.37	9.92	10.27	15833424	187141360.00
20120316	10.22	10.90	10.22	10.78	26674891	331152800.00
20120319	10.79	10.90	10.60	10.66	15973371	199347616.00
20120320	10.67	10.76	10.37	10.53	11817748	144955632.00
20120321	10.57	10.64	10.24	10.45	10647578	129125880.00
20120322	10.43	10.54	10.32	10.44	8159929	98990056.00
20120323	10.34	10.42	9.94	10.09	10655871	125429440.00
20120326	10.07	10.53	10.04	10.51	13864342	165724720.00
20120327	10.50	10.61	10.27	10.32	12933056	156888176.00
20120328	10.10	10.16	9.49	9.52	21474841	241435744.00
20120329	9.48	9.64	9.29	9.36	10230431	110817480.00
20120330	9.40	9.47	9.14	9.20	7732284	81885000.00
20120405	9.27	9.85	9.20	9.69	10481285	115064888.00
20120406	9.69	9.88	9.62	9.77	7137499	80072528.00
20120409	9.75	9.76	9.49	9.53	5523437	61228120.00
20120410	9.52	9.72	9.28	9.71	6638851	72037856.00
20120411	9.57	9.83	9.54	9.69	5582110	62339192.00
20120412	9.72	9.90	9.68	9.84	8064309	91248232.00
20120413	9.91	9.91	9.75	9.77	6657206	75358272.00
20120416	9.75	9.90	9.66	9.80	6319440	71591736.00
20120417	9.77	9.84	9.54	9.56	5854408	65127732.00
20120418	9.61	9.74	9.48	9.74	6960943	77165456.00
20120420	9.70	9.83	9.59	9.80	8247785	92404480.00
20120423	9.84	10.18	9.82	10.07	14808186	172551216.00
20120424	9.95	10.37	9.80	10.31	16540651	194260448.00
20120425	10.26	10.40	10.15	10.25	10449024	124531704.00
20120426	10.29	10.43	10.19	10.35	9373392	112400616.00
20120427	10.32	10.69	10.29	10.48	15868751	194995168.00
20120502	10.55	10.59	10.39	10.56	12155808	148236256.00
20120503	10.54	10.79	10.50	10.64	13874786	172885776.00
20120504	10.58	11.09	10.57	10.87	16009190	203580832.00
20120507	10.83	11.18	10.76	11.05	19416052	249943696.00
20120508	11.04	11.07	10.70	10.80	15972964	201807552.00
20120509	10.72	10.88	10.57	10.61	10914522	136291008.00
20120510	10.61	11.04	10.60	10.99	15714250	199814336.00
20120511	10.99	11.24	10.91	11.10	21204057	276574880.00
20120514	11.18	11.20	10.87	10.90	12464867	160282368.00
20120515	10.80	10.98	10.79	10.96	10678019	135729824.00
20120516	11.22	11.49	10.97	11.02	20276407	267027920.00
20120517	11.03	11.98	10.84	11.75	33827945	457502976.00
20120518	11.59	12.24	11.57	11.82	34210064	480276576.00
20120522	12.14	12.89	11.95	12.89	61419499	909503872.00
20120523	12.64	13.94	12.62	13.58	69049997	1091618176.00
20120524	13.50	13.85	13.30	13.60	48400559	782299328.00
20120525	13.50	13.63	13.11	13.27	36333721	576835776.00
20120528	13.15	13.40	12.92	13.25	30369351	476759424.00
20120529	13.17	13.48	12.99	13.24	32324424	511769568.00
20120530	13.11	13.48	13.03	13.32	23338823	369334368.00
20120531	13.24	14.09	13.17	13.42	45801737	748607296.00
20120601	13.33	13.45	13.07	13.20	29680694	467175168.00
20120604	12.90	13.22	12.66	12.70	23842842	366514080.00
20120605	12.76	12.85	12.43	12.55	16010463	239600864.00
20120606	12.54	12.77	12.38	12.56	15376976	229883440.00
20120607	12.77	12.81	12.45	12.60	13195422	197729536.00
20120608	12.69	12.74	12.17	12.29	14762898	216442112.00
20120611	12.26	12.45	12.07	12.44	13191984	191339232.00
20120612	12.37	12.64	12.24	12.49	12430101	183702224.00
20120613	12.53	13.17	12.53	13.12	26618476	407668288.00
20120614	12.97	13.39	12.82	12.86	22798848	355230848.00
20120615	12.91	13.15	12.20	12.37	35362697	526361856.00
20120619	12.41	12.86	12.41	12.70	54271113	810620352.00
20120620	12.53	12.64	11.84	12.00	37797235	542972224.00
20120621	12.04	12.14	11.74	12.09	15644718	220326896.00
20120625	12.09	12.17	11.53	11.56	16860928	234473776.00
20120626	11.54	11.70	11.45	11.67	12185539	165444928.00
20120627	11.67	12.00	11.59	11.86	13765796	191630656.00
20120628	11.84	12.00	11.76	11.85	10201663	142479232.00
20120629	11.87	12.24	11.77	12.12	13925910	198304032.00
20120702	12.20	12.90	12.08	12.61	25374530	376574496.00
20120703	12.54	12.64	12.38	12.57	12434391	183771840.00
20120704	12.57	12.80	12.35	12.78	13404742	199078112.00
20120705	12.76	12.76	12.52	12.58	8866727	132029832.00
20120706	12.68	13.14	12.58	13.11	24122675	370358496.00
20120709	12.98	13.29	12.80	12.82	17115199	264986608.00
20120710	12.60	12.78	12.21	12.24	13058290	194033376.00
20120711	12.14	12.94	11.95	12.89	16684280	243724224.00
20120712	12.76	13.41	12.74	13.07	27292564	426641888.00
20120713	12.92	13.53	12.91	13.37	21623634	341090880.00
20120716	13.34	13.59	13.07	13.09	17529928	277258144.00
