600060 海信电器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	6.77	6.92	6.76	6.83	4536409	56071284.00
20111011	7.08	7.13	6.40	6.60	7392905	90739608.00
20111012	6.55	6.96	6.47	6.90	7065025	87034184.00
20111013	6.85	7.10	6.83	7.01	6802125	85810496.00
20111014	6.98	6.99	6.77	6.89	6364364	79051032.00
20111017	6.92	7.05	6.85	7.01	5721071	71645632.00
20111018	6.96	7.06	6.84	6.86	5622372	70682160.00
20111019	6.92	6.97	6.73	6.76	4998447	61648012.00
20111020	6.72	6.73	6.20	6.24	11396517	134016512.00
20111021	6.55	6.65	6.44	6.47	14953048	177970432.00
20111024	6.51	6.85	6.41	6.81	9010213	109173968.00
20111025	6.80	7.05	6.73	7.00	13347146	166091472.00
20111026	6.93	7.27	6.91	7.13	12451434	159177840.00
20111027	7.14	7.20	7.03	7.08	7697467	98206248.00
20111028	7.21	7.26	7.07	7.18	9523535	122309424.00
20111031	7.14	7.25	7.10	7.20	6846407	88020712.00
20111101	7.12	7.23	7.06	7.09	6556296	83988904.00
20111102	6.94	7.29	6.93	7.27	7703696	98286192.00
20111103	7.27	7.63	7.25	7.48	18203387	242657104.00
20111104	7.52	7.63	7.39	7.59	8550265	114385056.00
20111107	7.55	7.60	7.41	7.44	4782901	63920424.00
20111108	7.44	7.52	7.35	7.37	5250242	69500728.00
20111109	7.39	7.50	7.19	7.43	9526757	124627040.00
20111110	7.27	7.30	7.11	7.11	14777144	190260112.00
20111111	7.18	7.21	7.05	7.12	6428735	82187824.00
20111114	7.17	7.33	7.17	7.31	8200060	106774464.00
20111115	7.29	7.32	7.18	7.25	5168372	66929436.00
20111116	7.27	7.30	7.00	7.12	7897403	101007320.00
20111117	7.10	7.15	6.99	7.04	5731069	72652424.00
20111118	6.97	6.97	6.73	6.75	7600553	93693344.00
20111121	6.80	6.82	6.57	6.69	6601165	79940848.00
20111122	6.60	6.67	6.46	6.65	5847435	69829808.00
20111123	6.65	6.68	6.53	6.57	3470790	41625760.00
20111124	6.50	6.65	6.48	6.61	3315622	39586120.00
20111125	6.59	6.65	6.53	6.59	3453082	41377612.00
20111128	6.60	6.65	6.43	6.47	6239608	74038752.00
20111129	6.54	6.57	6.45	6.57	5305311	62922420.00
20111130	6.55	6.55	6.21	6.31	8751640	101635728.00
20111201	6.55	6.70	6.51	6.54	9519698	114149256.00
20111202	6.47	6.50	6.25	6.31	7522936	87343184.00
20111205	6.31	6.33	6.15	6.15	4047456	46252848.00
20111206	6.17	6.23	6.13	6.18	3121460	35435000.00
20111207	6.19	6.24	6.14	6.19	3253477	37037964.00
20111208	6.19	6.22	5.95	6.09	6396729	71799192.00
20111209	5.98	6.08	5.95	6.03	4184079	46475896.00
20111212	6.00	6.03	5.93	5.95	3213344	35490032.00
20111213	5.91	5.92	5.70	5.78	5657255	61345936.00
20111214	5.73	5.79	5.65	5.68	3457541	36917184.00
20111215	5.63	5.71	5.52	5.63	6398996	67363136.00
20111216	5.61	5.93	5.61	5.91	6258568	67148144.00
20111219	5.85	6.23	5.73	6.12	8487619	93263168.00
20111220	6.07	6.22	6.03	6.04	5028832	56794100.00
20111221	6.13	6.19	6.03	6.08	5907788	66698636.00
20111222	6.03	6.33	5.93	6.23	6421781	72236408.00
20111223	6.20	6.39	6.16	6.31	5997362	69238984.00
20111227	6.20	6.25	6.02	6.15	7209852	81427504.00
20111228	6.11	6.35	6.04	6.33	4692858	53267784.00
