600062 华润双鹤 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	18.37	18.37	17.90	18.02	1175923	22667980.00
20111011	18.45	18.52	17.73	17.87	1715906	33171670.00
20111012	17.82	18.34	17.72	18.29	2729121	52716292.00
20111013	18.24	18.75	18.23	18.50	3274381	64725184.00
20111014	18.52	18.57	17.75	17.77	7759461	148880992.00
20111017	17.92	18.08	17.77	17.99	2273286	43623592.00
20111018	18.00	18.02	17.18	17.23	3301743	61839904.00
20111019	17.21	17.32	16.54	17.00	4034836	72957952.00
20111020	16.76	16.93	16.38	16.74	1663581	29666794.00
20111021	16.82	16.91	15.95	16.14	2932841	51281684.00
20111024	16.17	16.27	15.65	16.16	2275326	39243416.00
20111025	16.22	16.85	16.16	16.58	4531156	80746456.00
20111026	16.70	17.14	16.58	16.97	3753113	67965808.00
20111027	17.01	17.26	16.88	16.95	2444559	44652336.00
20111028	17.07	17.40	16.91	17.30	2982106	54840044.00
20111031	17.50	17.50	16.74	16.82	5099292	92913128.00
20111101	16.76	17.25	16.65	17.19	4378160	80209448.00
20111102	16.97	17.92	16.88	17.85	4973507	92876184.00
20111103	17.84	18.27	17.77	17.86	4530597	87229784.00
20111104	17.88	18.07	17.37	17.96	5911035	111369584.00
20111107	17.92	17.92	17.56	17.61	3270023	61959084.00
20111108	17.65	17.72	17.38	17.57	2529978	47475280.00
20111109	17.55	17.63	17.17	17.47	3844075	71376880.00
20111110	17.27	17.27	16.95	16.95	3733211	68443992.00
20111111	17.16	17.16	16.86	16.90	2272361	41390516.00
20111114	17.06	17.42	16.98	17.38	4914460	90603880.00
20111115	17.40	17.91	17.33	17.90	8766210	165822688.00
20111116	17.99	18.16	17.47	17.63	6888018	131404824.00
20111117	17.62	17.75	17.27	17.59	2720817	50892472.00
20111118	17.38	17.47	16.52	16.67	4352980	78723376.00
20111121	16.67	16.67	15.57	15.90	6907461	118276000.00
20111122	15.70	15.85	15.07	15.68	10253995	170614288.00
20111124	15.19	15.77	15.19	15.64	4962707	83045808.00
20111125	15.54	15.69	15.23	15.52	3322641	55433312.00
20111128	15.61	15.72	15.32	15.50	2529899	42154016.00
20111129	15.63	16.45	15.58	16.41	11322876	197186608.00
20111130	16.42	16.43	15.86	16.10	7600447	132285632.00
20111201	16.59	16.72	16.25	16.39	6489598	115077336.00
20111202	16.27	16.49	15.66	16.45	4916996	84865968.00
20111205	16.34	16.34	15.87	16.03	3145209	54485308.00
20111206	16.06	16.16	15.28	15.48	4417364	74611280.00
20111207	15.45	15.49	15.15	15.38	5866944	97173968.00
20111208	15.28	15.31	14.70	15.01	5464012	88502832.00
20111209	14.83	15.02	14.39	14.92	4319922	68742792.00
20111212	14.87	14.87	14.42	14.44	4065061	64296916.00
20111213	14.40	14.43	13.98	14.20	3787666	58180096.00
20111214	14.21	14.21	14.00	14.12	1891421	29025656.00
20111215	13.89	14.05	13.58	13.66	2347363	35188872.00
20111216	13.65	14.29	13.59	14.20	3011712	45584268.00
20111219	14.13	14.45	13.73	14.37	2270629	34682376.00
20111220	14.38	14.44	14.09	14.11	2214743	34336252.00
20111221	14.32	14.36	13.77	13.83	2682059	40735228.00
20111222	13.73	13.73	13.12	13.47	4119609	60326680.00
20111223	13.62	13.91	13.37	13.79	2362243	35220248.00
20111226	13.58	13.91	13.47	13.79	3227449	48098132.00
20111227	13.70	13.70	13.23	13.60	3033229	44584584.00
20111228	13.44	13.90	13.35	13.87	3134705	46594468.00
20111229	13.78	14.07	13.67	13.98	2585507	38945440.00
20111230	13.90	14.42	13.90	14.37	3431230	52684712.00
20120104	14.37	14.37	13.42	13.47	2113279	32097056.00
20120105	13.41	13.46	12.00	12.03	9916952	134815872.00
20120106	11.78	11.97	11.05	11.45	8698103	109496840.00
20120109	11.37	11.99	11.19	11.96	7180305	92559888.00
20120110	11.88	12.67	11.80	12.63	6275265	85091568.00
20120111	12.65	12.70	12.18	12.31	8398805	115002720.00
20120112	12.31	12.55	12.23	12.41	5429385	73939320.00
20120113	12.44	12.47	11.67	11.89	5716832	75215392.00
20120116	11.63	11.74	11.22	11.27	2318173	29513864.00
20120117	11.32	12.07	11.19	12.02	4945598	64328128.00
20120118	12.03	12.46	11.37	11.69	6473432	85946536.00
20120119	11.58	12.10	11.58	12.05	4496542	59115300.00
20120120	12.13	12.55	11.99	12.49	6257056	84807272.00
20120130	12.55	12.55	12.09	12.25	4025847	54318228.00
20120131	12.27	12.30	12.03	12.26	2040608	27359680.00
20120201	12.27	12.36	12.05	12.12	2554002	34222844.00
20120202	12.12	12.35	12.06	12.31	3109919	41790844.00
20120203	12.28	12.85	12.22	12.71	6669671	92104752.00
20120206	12.72	13.00	12.67	12.92	7310136	102752872.00
20120207	12.86	12.86	12.39	12.49	4600403	63386056.00
20120208	12.47	12.97	12.37	12.90	4986744	69484560.00
20120209	12.90	13.16	12.80	13.02	5400206	76912504.00
20120210	12.97	13.17	12.85	13.02	5818078	83000296.00
20120213	12.92	13.37	12.79	13.22	6826650	98282016.00
20120214	13.24	13.28	13.01	13.13	5087675	72943928.00
20120215	13.10	13.47	13.02	13.43	7390748	106933512.00
20120216	13.37	13.52	13.09	13.28	7148134	103874728.00
20120217	13.30	13.41	13.03	13.18	3677983	53072336.00
20120220	13.30	13.47	13.15	13.15	6378504	92690184.00
20120221	13.14	13.24	12.85	13.23	5262424	75254112.00
20120222	13.24	13.71	13.18	13.67	11966690	176220848.00
20120223	13.71	13.87	13.52	13.76	8530758	127327904.00
20120224	13.78	14.52	13.72	14.34	15306826	236010288.00
20120227	14.37	14.97	14.31	14.52	16212106	257979792.00
20120228	14.46	14.75	14.33	14.58	9481726	149457104.00
20120229	14.59	14.74	14.40	14.52	5211691	82285424.00
20120301	14.45	14.64	14.12	14.28	9078796	141588096.00
20120302	14.27	14.64	14.17	14.62	6192616	96853024.00
20120305	14.68	14.97	14.44	14.48	6658956	105959376.00
20120306	14.43	14.43	13.97	14.10	6754733	103813840.00
20120307	13.95	14.21	13.88	13.98	5077162	77452912.00
20120308	14.12	14.77	14.05	14.73	7379690	115469440.00
20120312	14.95	15.45	14.63	15.43	16814344	274054816.00
20120313	15.06	15.22	14.88	15.14	17381523	283166144.00
20120314	15.27	15.42	14.29	14.39	15923785	258423344.00
20120315	14.37	14.84	13.97	14.47	10688183	167242704.00
20120316	14.55	15.36	14.52	15.18	17955886	290603008.00
20120319	15.20	15.77	15.20	15.75	21501568	361391776.00
20120320	15.76	15.76	15.26	15.28	11346436	188999728.00
20120321	15.37	15.59	15.00	15.51	9195022	152571536.00
20120322	15.42	15.49	15.08	15.16	6299341	103853472.00
20120323	15.07	15.12	14.40	14.64	8049203	128834704.00
20120326	14.60	14.75	14.45	14.67	3987718	63090336.00
20120327	14.73	15.17	14.52	14.67	6409516	103569960.00
20120328	14.66	14.67	13.77	13.85	6787949	103917128.00
20120329	13.77	13.82	12.95	13.21	5693379	83545712.00
20120330	13.19	13.42	12.61	12.82	5594148	79349840.00
20120405	12.88	13.43	12.75	13.35	8746026	125037288.00
20120406	13.27	13.52	13.17	13.35	5258917	76665856.00
20120409	13.26	13.32	12.97	13.00	4386650	63058992.00
20120410	12.96	13.51	12.74	13.49	4267417	61121240.00
20120411	13.32	13.57	13.20	13.51	4149995	60794596.00
20120412	13.52	14.00	13.48	13.95	5687384	85171344.00
20120413	13.96	14.13	13.84	13.98	4797926	72929816.00
20120416	13.85	13.98	13.69	13.87	3609653	54313496.00
20120417	13.87	13.96	13.65	13.84	3560810	53598352.00
20120418	13.94	14.26	13.72	14.25	4698226	71623216.00
20120419	14.26	14.34	13.95	14.10	4174331	64165680.00
20120420	14.06	14.24	13.97	14.17	4466304	68624968.00
20120423	14.16	14.21	13.78	13.92	5402733	82009424.00
20120424	13.86	14.05	13.18	13.54	6004510	88879560.00
20120425	13.52	13.62	13.25	13.54	5634698	82793744.00
20120426	13.61	13.88	13.47	13.62	6397605	95376264.00
20120427	13.58	14.01	13.57	13.89	5731823	86444368.00
20120502	14.37	15.40	14.32	15.40	17591407	284792000.00
20120503	15.59	16.23	15.43	16.04	31225251	537072064.00
20120504	15.92	16.52	15.89	16.27	20461011	356316480.00
20120507	16.20	17.47	16.15	16.98	26786518	482571648.00
20120508	16.97	17.07	16.68	16.95	15999999	288942016.00
20120509	16.69	17.22	16.52	16.62	17248065	310975136.00
20120510	16.47	17.02	16.27	16.43	19444420	347074304.00
20120511	16.47	16.95	16.10	16.57	19321261	344809792.00
20120514	16.58	17.47	16.33	16.77	21451779	389284928.00
20120515	16.49	16.65	16.02	16.34	13300311	232804032.00
20120516	16.32	16.84	16.12	16.40	11967248	212523024.00
20120517	16.27	16.82	16.27	16.38	9868017	175104464.00
20120518	16.18	16.40	15.93	16.15	8419259	146287968.00
20120521	16.10	16.82	15.88	16.77	12695058	225907664.00
20120522	16.82	17.14	16.66	16.77	13810356	250040576.00
20120523	16.72	17.53	16.55	17.42	16199543	295676800.00
20120524	17.35	17.74	17.07	17.13	15209793	283104160.00
20120525	17.14	17.21	16.40	16.45	9088462	162941232.00
20120528	16.32	16.70	15.59	16.68	9448061	164206128.00
20120529	16.55	16.74	16.32	16.67	7909583	140611200.00
20120530	16.63	16.84	16.38	16.44	6996013	124784840.00
20120601	16.48	17.68	16.46	17.54	18129625	334529184.00
20120604	17.22	18.24	17.12	17.56	19757332	376072576.00
20120605	17.49	19.26	17.49	18.61	21440376	422701728.00
20120606	18.62	18.88	18.22	18.58	12655600	249267504.00
20120607	18.65	18.95	18.06	18.08	10229456	201467312.00
20120608	18.18	18.27	17.65	18.11	7436527	143002896.00
20120611	18.25	18.57	18.06	18.39	7621892	149151888.00
20120612	18.24	18.91	18.15	18.18	7664135	151529984.00
20120613	18.17	19.17	18.17	19.06	11269145	225654976.00
20120614	19.06	19.32	18.65	18.88	7915496	159095440.00
20120615	18.79	19.52	18.67	18.80	7526141	152697776.00
20120618	18.71	19.09	18.57	18.98	5327802	107105352.00
20120619	18.87	19.04	18.57	18.72	6291134	125637472.00
20120620	18.79	18.84	17.85	17.88	8667924	168024992.00
20120621	17.79	17.79	17.22	17.44	6858044	128500232.00
20120625	17.47	17.74	16.89	16.99	6031416	112628128.00
20120626	16.97	17.27	16.60	17.10	4864102	88428232.00
20120627	17.10	17.90	17.03	17.58	7484035	140930960.00
20120628	17.75	18.00	17.34	17.40	5056682	95669512.00
20120629	17.45	17.91	17.27	17.85	4935914	93090968.00
20120702	18.07	18.63	17.84	18.42	7416957	144952704.00
20120703	18.41	18.44	17.85	18.12	6247657	121251016.00
20120704	18.12	18.20	16.24	16.38	17634467	319697792.00
20120705	16.37	16.74	16.07	16.40	5895761	104533936.00
20120706	16.57	17.12	16.22	16.97	7036107	126022704.00
20120709	16.87	17.27	16.67	16.67	7121475	129613840.00
20120710	16.55	16.59	16.13	16.15	5633930	99168960.00
20120711	16.07	16.62	15.98	16.58	5376734	94335608.00
20120712	16.49	17.17	16.44	16.83	7709282	140288608.00
20120713	16.95	17.02	16.62	16.73	3315740	59727912.00
20120716	16.96	17.24	16.65	16.76	8965046	163814976.00
20120717	16.57	16.96	16.08	16.91	4055467	72584696.00
20120718	16.96	17.27	16.81	17.26	6583665	120353368.00
20120719	17.31	17.31	17.02	17.13	5579269	102711576.00
20120720	17.25	17.47	16.92	17.06	3571934	64459256.00
20120723	16.85	18.06	16.71	17.84	8799298	162612592.00
20120724	17.79	18.52	17.65	18.38	7140412	135783744.00
20120725	18.38	18.48	18.06	18.24	4361972	83042832.00
20120726	18.25	18.33	17.63	17.73	6259764	117816808.00
20120727	17.65	17.81	17.05	17.49	6063575	110037136.00
20120730	17.40	17.49	16.77	16.90	5330155	94955800.00
20120731	16.93	17.27	16.65	17.22	3069061	54906588.00
20120801	17.20	18.00	16.97	17.83	4682071	86849936.00
20120802	17.80	18.53	17.74	18.13	8199164	156851568.00
20120803	18.13	19.06	18.06	18.99	11297034	221094768.00
20120806	18.95	20.25	18.68	19.88	13429613	274396128.00
20120807	19.84	20.20	19.47	19.69	8152352	168213552.00
20120808	19.65	19.81	19.20	19.41	4421079	89693784.00
20120809	19.39	20.15	19.29	20.05	5779685	120006744.00
20120810	20.15	20.60	19.82	19.95	5037467	106270376.00
20120813	19.87	20.25	19.81	19.93	3513764	73291112.00
20120814	19.97	20.15	19.06	19.47	4390656	89169848.00
20120815	19.49	20.12	19.17	19.83	3208021	66366612.00
20120816	19.68	20.25	19.01	19.12	3521510	71587688.00
20120817	19.12	19.24	18.80	19.14	1810479	35963648.00
20120820	18.81	19.71	18.43	19.63	3608630	72856440.00
20120821	19.58	20.50	19.45	20.14	5493396	114832920.00
20120822	20.14	20.30	19.85	20.16	3862264	80960784.00
20120823	20.22	21.05	19.97	20.02	4146288	88550600.00
20120824	19.75	20.30	19.75	20.04	2334188	48745960.00
20120827	20.05	20.18	19.43	19.94	2719611	56290184.00
20120828	19.84	20.12	19.38	19.75	2092420	43138192.00
20120829	19.51	20.05	19.36	19.84	1893203	39122892.00
20120830	20.04	20.04	18.48	19.52	3794777	76037048.00
20120831	19.26	20.01	19.21	19.94	2058318	42209256.00
20120903	19.86	20.60	19.75	20.37	2403843	50801508.00
20120904	20.36	20.94	20.28	20.59	3196261	68837024.00
20120905	20.49	21.19	20.39	20.73	2325346	50391312.00
20120906	20.63	21.01	20.41	20.58	1310395	28204100.00
20120907	20.70	21.29	20.42	21.12	3354024	73097024.00
20120910	20.97	21.22	20.55	21.07	2087597	45402120.00
20120911	21.03	21.47	20.57	21.25	2748553	60734208.00
20120912	21.25	21.71	20.95	21.27	2738807	61023244.00
20120913	21.23	21.40	21.04	21.22	1558060	34311576.00
20120914	21.26	21.30	20.89	21.09	2126316	46733568.00
20120917	21.00	21.15	20.56	20.82	2179070	47370312.00
20120918	20.93	21.00	20.48	20.81	1350396	29135064.00
20120919	20.97	21.84	20.71	21.70	4380961	97946656.00
20120920	21.65	21.97	21.45	21.51	2243805	50517040.00
20120921	21.50	21.90	21.33	21.73	1708976	38552972.00
20120924	21.75	21.90	21.39	21.83	1119179	25172904.00
20120925	21.85	21.88	21.45	21.67	753279	17014928.00
20120926	21.80	21.80	21.00	21.16	1669740	37128996.00
20120927	21.23	21.83	20.85	21.53	1522197	34000300.00
20120928	21.37	22.10	21.10	21.98	3729520	83600240.00
20121008	21.96	22.76	21.66	22.65	4615227	108015232.00
20121009	22.68	24.20	22.66	23.21	5440646	132437592.00
20121010	23.35	23.74	23.05	23.60	2398777	58313816.00
20121011	23.38	23.97	23.25	23.87	2296207	56501140.00
20121012	23.85	24.07	22.95	23.14	2792633	67707240.00
20121015	23.16	23.73	22.80	23.49	1422122	34376992.00
20121016	23.21	23.83	23.09	23.49	4275793	104154704.00
20121017	23.55	23.55	22.85	23.14	3218072	77168480.00
20121018	23.16	23.45	22.90	23.15	2621556	62892136.00
20121019	23.15	23.17	22.76	23.08	1725803	41146872.00
20121022	23.00	23.60	22.73	23.44	2001689	48303204.00
20121023	23.44	23.45	22.56	22.82	2724903	64595696.00
20121024	22.81	22.84	21.94	22.17	2901202	66994132.00
20121025	22.15	22.15	21.45	21.60	2445956	55220616.00
20121026	21.55	22.12	20.93	22.03	2937972	65443788.00
20121029	21.95	23.03	21.66	23.01	4301401	100313560.00
20121030	22.85	23.40	22.65	22.92	3662825	88037936.00
20121031	22.92	23.45	22.45	23.42	2986856	71345728.00
20121101	23.19	23.85	23.19	23.57	3827996	93787536.00
20121102	23.65	23.65	23.22	23.29	1501292	36273188.00
20121105	23.27	23.37	22.90	23.07	832370	19941570.00
20121106	23.07	23.35	22.30	23.34	1729070	40752828.00
20121107	23.15	23.39	23.00	23.04	844051	20231028.00
20121108	22.90	22.90	22.25	22.37	1259706	29461738.00
20121109	22.09	22.44	21.89	22.01	835132	19188018.00
20121112	21.97	22.59	21.32	21.61	1723936	39015776.00
20121113	21.61	21.65	21.13	21.15	1371185	30288384.00
20121114	21.15	22.10	21.03	22.08	2066564	46426932.00
20121115	21.67	22.38	21.58	21.83	1471522	33743468.00
20121116	21.75	21.83	21.26	21.40	815342	18226380.00
20121119	21.15	21.74	21.15	21.27	1170287	25969292.00
20121120	21.24	21.55	21.24	21.26	730880	16243418.00
20121121	21.31	21.52	21.03	21.48	667499	14771016.00
20121122	21.47	21.48	21.10	21.13	729662	16099599.00
20121123	21.28	21.34	19.85	20.23	4988985	105846872.00
20121126	20.07	20.30	20.04	20.11	1855743	39043936.00
20121127	20.11	20.32	19.51	20.01	1767372	36993312.00
20121128	19.98	20.11	19.28	19.60	2140749	43593700.00
20121129	19.38	19.80	19.38	19.59	1727495	35295496.00
20121130	19.40	19.55	18.90	19.27	3842888	76865040.00
20121203	19.15	19.77	19.05	19.60	2165398	44297024.00
20121204	19.63	20.12	19.58	20.05	1655840	34181184.00
20121205	20.14	20.67	19.55	20.17	3151145	66022568.00
20121206	20.14	20.27	19.07	19.51	4029395	81494536.00
20121207	19.35	19.35	18.75	19.13	8203390	163366208.00
20121210	19.07	19.13	18.22	18.74	9342343	181365680.00
20121211	18.60	19.31	18.43	19.10	6848766	136159040.00
20121212	19.18	19.18	18.92	19.06	2603053	51744300.00
20121213	18.96	19.34	18.66	19.32	4584015	91283392.00
20121214	19.28	19.92	19.12	19.80	6945574	141831824.00
20121217	19.75	19.75	19.26	19.41	6326578	128397096.00
20121218	19.48	19.70	19.24	19.49	3835259	77981608.00
20121219	19.48	19.62	19.22	19.57	2609450	52880740.00
20121220	19.45	19.53	19.07	19.12	4529883	91008120.00
20121221	19.12	19.53	18.76	19.42	4615638	92645376.00
20121224	19.35	21.45	19.30	21.12	8073505	173711296.00
20121225	21.15	21.57	20.82	21.29	5937092	130997304.00
20121226	21.26	21.35	20.90	21.32	3789611	83092416.00
