600063 皖维高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.22	3.24	3.18	3.23	5910868	30642360.00
20111011	3.38	3.43	3.24	3.30	15419205	82882336.00
20111012	3.31	3.63	3.23	3.63	24679321	139863040.00
20111013	3.66	4.00	3.63	3.91	79563403	504331168.00
20111014	3.88	3.97	3.73	3.79	48032674	297906464.00
20111017	3.80	3.89	3.73	3.87	41505520	254518464.00
20111018	3.81	3.88	3.62	3.66	28850236	175020064.00
20111019	3.69	3.72	3.52	3.65	26323674	153768096.00
20111020	3.61	3.66	3.35	3.48	24784595	138681184.00
20111021	3.44	3.59	3.36	3.48	15659158	88042760.00
20111024	3.49	3.59	3.29	3.56	17982670	101252984.00
20111025	3.52	3.79	3.51	3.73	26251127	154804064.00
20111026	3.67	3.77	3.61	3.66	27195109	162237760.00
20111027	3.66	3.72	3.56	3.58	16534334	96659056.00
20111028	3.63	3.73	3.58	3.69	20200361	118428712.00
20111031	3.67	3.71	3.63	3.68	10662605	62899864.00
20111101	3.65	3.66	3.57	3.63	12907386	75163936.00
20111102	3.58	3.62	3.41	3.60	20287807	115193632.00
20111103	3.61	3.87	3.61	3.78	31426423	188845408.00
20111104	3.78	3.83	3.69	3.74	18099493	109318336.00
20111107	3.72	3.79	3.68	3.71	9972097	59721440.00
20111108	3.71	3.74	3.63	3.64	10053399	59398328.00
20111109	3.64	3.68	3.53	3.67	10821248	62971168.00
20111110	3.63	3.63	3.51	3.54	12539710	71925184.00
20111111	3.55	3.57	3.51	3.53	6753275	38474784.00
20111114	3.57	3.61	3.55	3.58	8212846	47477688.00
20111115	3.61	3.63	3.57	3.63	9953049	57707796.00
20111116	3.63	3.69	3.54	3.58	16594162	96591288.00
20111117	3.60	3.69	3.58	3.63	19227298	113142392.00
20111118	3.58	3.59	3.43	3.44	14246808	80737960.00
20111121	3.44	3.51	3.41	3.49	7872240	43848144.00
20111122	3.43	3.45	3.34	3.41	8734726	47794908.00
20111123	3.43	3.43	3.33	3.34	7595437	41229256.00
20111124	3.32	3.33	3.21	3.27	9208330	48444624.00
20111125	3.27	3.31	3.19	3.23	5765938	30215712.00
20111128	3.23	3.26	3.21	3.23	5008247	26040804.00
20111129	3.26	3.34	3.24	3.32	9239853	48927084.00
20111130	3.29	3.31	3.06	3.09	12779951	65030428.00
20111201	3.23	3.26	3.10	3.16	12297442	62978104.00
20111202	3.14	3.16	3.04	3.10	7333665	36757560.00
20111205	3.10	3.11	2.94	2.97	5324426	25937766.00
20111206	2.98	2.99	2.84	2.89	7642486	35727924.00
20111207	2.90	2.91	2.86	2.88	3740520	17415332.00
20111208	2.87	2.93	2.82	2.88	5835805	26999998.00
20111209	2.86	2.89	2.79	2.79	5092381	23239598.00
20111212	2.81	2.83	2.78	2.79	2843550	12885529.00
20111213	2.76	2.78	2.59	2.61	6198892	26728530.00
20111214	2.60	2.67	2.57	2.59	5681728	24029628.00
20111215	2.59	2.59	2.48	2.49	6423665	26012584.00
20111216	2.49	2.59	2.49	2.58	5683409	23287516.00
20111219	2.57	2.58	2.48	2.55	5208059	21252516.00
20111220	2.55	2.62	2.54	2.56	5784032	24068672.00
20111221	2.61	2.61	2.50	2.51	4028133	16701773.00
20111222	2.51	2.51	2.33	2.48	5899815	23114360.00
20111223	2.46	2.57	2.44	2.53	5953675	24250484.00
20111226	2.51	2.56	2.51	2.52	3350746	13688481.00
20111227	2.51	2.51	2.44	2.46	3259943	13035859.00
20111228	2.44	2.50	2.41	2.49	3834398	15163521.00
20111229	2.49	2.50	2.46	2.47	2568992	10319144.00
20111230	2.49	2.52	2.47	2.50	4239998	17150436.00
20120104	2.51	2.54	2.35	2.44	3988585	16052558.00
20120105	2.44	2.44	2.33	2.35	5026477	19244536.00
20120106	2.35	2.38	2.30	2.38	2822520	10656393.00
20120109	2.39	2.51	2.35	2.51	5946313	23533184.00
20120110	2.51	2.64	2.49	2.63	10314397	42967072.00
20120111	2.62	2.63	2.55	2.61	8664235	36295812.00
20120112	2.61	2.71	2.56	2.65	9624124	41331660.00
20120113	2.64	2.65	2.52	2.54	6076498	25192848.00
20120116	2.50	2.52	2.42	2.42	4083716	16287514.00
20120117	2.46	2.61	2.42	2.59	6870737	27999442.00
20120118	2.61	2.69	2.57	2.66	12792622	54276132.00
20120119	2.64	2.71	2.63	2.69	8029264	34632172.00
20120120	2.71	2.73	2.65	2.68	6429484	27817468.00
20120130	2.69	2.69	2.64	2.64	3883542	16660331.00
20120131	2.63	2.65	2.56	2.64	3955994	16664481.00
20120201	2.64	2.66	2.58	2.61	4692952	19833356.00
20120202	2.61	2.65	2.60	2.64	3765109	15978160.00
20120203	2.64	2.74	2.63	2.71	10125346	43966272.00
20120206	2.71	2.74	2.68	2.72	9051915	39605424.00
20120207	2.71	2.71	2.63	2.65	5656094	24246044.00
20120208	2.68	2.72	2.64	2.71	8617863	37392544.00
20120209	2.71	2.76	2.69	2.73	9604949	42313648.00
20120210	2.74	2.98	2.71	2.96	26304978	120729176.00
20120213	2.90	3.01	2.86	2.94	18014444	85336272.00
20120214	2.96	3.00	2.89	2.96	11387815	54005816.00
20120215	2.94	3.00	2.92	3.00	12272528	58866440.00
20120216	3.00	3.03	2.91	2.98	13015530	62534160.00
20120217	2.98	2.99	2.89	2.91	10069435	47461256.00
20120220	2.96	2.98	2.88	2.89	9190251	43343264.00
20120221	2.88	2.92	2.82	2.90	11725464	54198344.00
