600064 南京高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	5.74	5.80	5.62	5.64	1564121	16342076.00
20111011	5.79	5.83	5.55	5.60	2212826	23138068.00
20111012	5.58	6.00	5.52	5.95	4170382	44562228.00
20111013	5.93	5.98	5.84	5.96	2859547	30982384.00
20111014	5.94	6.06	5.84	6.04	2838626	30776204.00
20111017	6.02	6.16	5.94	6.00	2709120	29884920.00
20111018	5.92	5.99	5.80	5.82	2366879	25481508.00
20111019	5.90	5.97	5.82	5.86	1134169	12218647.00
20111020	5.82	5.92	5.58	5.64	1925519	20176672.00
20111021	5.64	5.76	5.60	5.66	1065593	11118623.00
20111024	5.70	5.86	5.58	5.82	1714706	18091692.00
20111025	5.84	6.06	5.79	6.04	2734452	29752768.00
20111026	5.95	6.12	5.95	6.00	4260319	46882496.00
20111027	6.00	6.08	5.94	5.96	3334439	36494848.00
20111028	6.06	6.18	6.03	6.12	4057958	45046016.00
20111031	6.14	6.17	6.04	6.08	2909611	32202130.00
20111101	6.04	6.14	5.99	6.03	2511243	27668220.00
20111102	5.93	6.15	5.88	6.14	3829114	41877260.00
20111103	6.14	6.24	6.12	6.18	5752743	64535780.00
20111104	6.22	6.36	6.18	6.30	5170393	58636112.00
20111107	6.24	6.32	6.12	6.16	3720650	41856152.00
20111108	6.17	6.20	5.98	6.00	3710294	40981040.00
20111109	5.99	6.11	5.99	6.10	1977106	21786972.00
20111110	6.02	6.09	5.95	5.96	2233058	24457990.00
20111111	5.96	6.08	5.93	5.96	1479525	16158355.00
20111114	6.02	6.14	6.00	6.11	3583799	39631532.00
20111115	6.13	6.16	6.08	6.15	2125837	23614732.00
20111116	6.15	6.15	5.91	5.94	2540410	27813284.00
20111117	5.91	6.08	5.91	5.93	1417999	15464234.00
20111118	5.86	5.92	5.61	5.64	2356128	24837698.00
20111121	5.65	5.72	5.63	5.68	1270848	13254297.00
20111122	5.66	5.71	5.59	5.68	978279	10188584.00
20111123	5.68	5.70	5.60	5.61	1016374	10562794.00
20111124	5.60	5.70	5.52	5.66	1212273	12544881.00
20111125	5.64	5.68	5.52	5.55	1241235	12839646.00
20111128	5.61	5.72	5.58	5.64	1408389	14659623.00
20111129	5.68	5.74	5.64	5.73	1497298	15693477.00
