600066 宇通客车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111011	3.07	3.14	2.82	2.87	1747883	34375356.00
20111012	2.88	3.00	2.81	2.99	2420291	47271576.00
20111013	2.95	3.09	2.94	3.01	2328246	46314340.00
20111014	3.01	3.05	2.97	3.01	925460	18309236.00
20111017	3.01	3.13	3.01	3.13	1809457	36491276.00
20111018	3.09	3.09	2.84	2.89	1989810	39096712.00
20111019	2.91	2.95	2.85	2.88	1535531	29798740.00
20111020	2.84	2.85	2.60	2.64	2243376	42082516.00
20111021	2.64	2.79	2.63	2.64	1711824	31985112.00
20111024	2.74	2.80	2.61	2.78	2749750	51752852.00
20111025	2.84	3.06	2.84	3.04	4199116	83158952.00
20111026	3.01	3.34	3.01	3.26	4818144	99492488.00
20111027	3.26	3.41	3.26	3.29	2860721	59868752.00
20111028	3.37	3.42	3.31	3.36	3180804	67037932.00
20111031	3.36	3.42	3.30	3.39	2761931	58273288.00
20111101	3.34	3.46	3.30	3.41	2691439	57055752.00
20111102	3.31	3.47	3.28	3.46	2067717	43792152.00
20111103	3.49	3.71	3.46	3.48	5664655	123400312.00
20111104	3.56	3.60	3.34	3.43	2176729	46650640.00
20111107	3.36	3.53	3.36	3.44	834755	17914064.00
20111108	3.53	3.53	3.26	3.30	2611408	55365792.00
20111109	3.46	3.62	3.37	3.42	5609539	120281712.00
20111110	3.43	3.55	3.29	3.46	3997475	85576328.00
20111111	3.47	3.51	3.40	3.42	1182159	25190788.00
20111114	3.46	3.60	3.46	3.59	3584347	78063768.00
20111115	3.59	3.65	3.55	3.57	2056771	45049268.00
20111116	3.56	3.59	3.37	3.42	1891689	40357952.00
20111117	3.56	3.60	3.47	3.53	4775559	103916920.00
20111118	3.58	3.71	3.52	3.70	10800661	237512240.00
20111121	3.81	4.20	3.73	3.84	15819385	363487232.00
20111122	3.71	3.89	3.65	3.81	6829412	154660496.00
20111123	3.88	3.90	3.59	3.65	3772142	83824200.00
20111124	3.60	3.83	3.48	3.83	3754066	83345584.00
20111125	3.80	3.83	3.66	3.68	2682183	59940012.00
20111128	4.01	4.16	3.86	4.01	12154545	281118816.00
20111129	4.00	4.42	3.99	4.27	11256820	271673760.00
20111130	4.32	4.32	4.06	4.16	8221125	196098368.00
20111201	4.36	4.48	4.20	4.23	8310893	203215824.00
20111202	4.17	4.22	4.01	4.08	3747386	88877608.00
20111205	4.08	4.18	3.89	3.98	3365501	78373992.00
20111206	4.03	4.05	3.79	3.99	3778407	86658128.00
20111207	3.93	4.01	3.92	3.98	1344558	31182184.00
20111208	3.99	4.03	3.79	3.86	2094977	48091264.00
20111209	3.83	3.86	3.77	3.79	2529503	57411152.00
20111212	3.86	4.00	3.73	3.75	3667770	83099912.00
20111213	3.77	3.88	3.75	3.78	3468708	78655792.00
20111214	3.84	3.93	3.72	3.83	3924935	89362392.00
20111215	3.83	3.98	3.77	3.94	4167150	95466336.00
20111216	3.94	4.20	3.90	4.17	5984974	141042224.00
20111219	4.13	4.28	4.04	4.19	3787248	90079880.00
20111220	4.07	4.19	3.95	3.96	3535895	83103560.00
20111221	3.97	4.18	3.96	3.97	3269663	77055728.00
20111222	3.92	4.08	3.91	4.04	3578769	83282400.00
20111223	4.04	4.15	3.99	4.08	3138210	73863384.00
20111226	4.07	4.25	3.97	4.14	3569232	85342880.00
20111227	4.15	4.21	4.04	4.04	2273198	53954008.00
20111228	4.05	4.08	3.66	3.98	3664814	84035944.00
20111229	3.91	4.00	3.73	3.93	3445843	79169704.00
20111230	3.89	4.15	3.89	4.10	5693333	133954656.00
20120104	4.20	4.21	3.87	3.98	3931102	92031320.00
20120105	3.91	4.11	3.89	3.92	5408614	126050080.00
20120106	3.91	3.96	3.63	3.80	3731330	84413888.00
20120109	3.84	4.01	3.70	4.01	4094932	93736400.00
20120110	4.05	4.23	4.00	4.21	5495161	130559744.00
20120111	4.26	4.40	4.22	4.32	6555394	160451008.00
20120112	4.31	4.38	4.17	4.32	3665537	89033872.00
20120113	4.31	4.37	4.13	4.19	2977559	71753496.00
20120116	4.20	4.21	3.97	4.03	2713884	63938184.00
20120117	4.00	4.31	3.95	4.28	2936168	70212976.00
20120118	4.28	4.47	4.15	4.21	3900503	95486696.00
20120119	4.21	4.42	4.21	4.40	3479948	85098536.00
20120120	4.41	4.48	4.28	4.40	3124823	77073936.00
20120130	4.47	4.76	4.34	4.50	5149916	130213416.00
20120131	4.51	4.58	4.37	4.40	3011735	74819240.00
20120201	4.40	4.54	4.28	4.44	3976999	98755624.00
20120202	4.48	4.67	4.45	4.66	4180193	106092272.00
20120203	4.66	4.70	4.56	4.62	3749706	95456128.00
20120206	4.62	4.71	4.57	4.69	4473628	114379264.00
20120207	4.65	4.65	4.41	4.51	3209655	80386872.00
20120208	4.40	4.44	4.13	4.37	12452955	302578400.00
20120209	4.28	4.44	4.26	4.42	8335938	204717616.00
20120210	4.38	4.42	4.30	4.37	8014099	197163440.00
20120221	4.57	4.77	4.46	4.69	10111334	231881296.00
20120222	4.69	4.97	4.61	4.93	8758798	206000784.00
20120223	4.93	4.95	4.76	4.85	5263272	123658672.00
20120224	4.85	5.01	4.77	4.81	8000404	188515216.00
20120227	4.81	5.04	4.68	4.93	17179217	405817632.00
20120228	4.83	5.43	4.80	5.40	26852177	656807040.00
20120229	5.39	5.57	5.28	5.36	13368301	336792160.00
20120301	5.28	5.60	5.24	5.53	12166454	307629600.00
20120302	5.53	5.59	5.42	5.58	8546956	216768784.00
20120305	5.57	5.72	5.19	5.22	13863148	346304096.00
20120306	5.26	5.44	5.04	5.38	10203443	251210784.00
20120307	5.27	5.55	5.24	5.47	7876517	198228128.00
20120308	5.50	5.54	5.33	5.49	6688800	167594240.00
20120309	5.50	5.59	5.43	5.55	7400652	187632368.00
20120312	5.49	5.77	5.32	5.75	10350750	262747856.00
20120313	5.75	5.75	5.53	5.66	5493580	140856960.00
20120314	5.72	5.76	5.20	5.21	14232115	357880224.00
20120315	5.21	5.31	4.97	5.09	9138823	221112864.00
20120316	5.13	5.28	5.06	5.19	5194828	126825008.00
20120319	5.11	5.18	4.94	5.13	5438163	130859400.00
20120320	5.06	5.09	4.93	4.97	4673859	111836352.00
20120321	5.02	5.15	4.96	5.13	4180465	100663968.00
20120322	5.12	5.29	5.07	5.24	3557217	87173504.00
20120323	5.15	5.24	4.97	4.98	4849358	116532440.00
20120326	4.98	5.16	4.95	5.13	2950435	71015136.00
20120327	5.26	5.52	5.16	5.38	9004107	225521456.00
20120328	5.38	5.50	4.98	5.03	6540481	161099744.00
20120329	5.04	5.39	4.99	5.25	5985896	147350288.00
20120330	5.35	5.43	5.02	5.13	7752566	189378080.00
20120405	5.09	5.49	5.02	5.45	6120425	151249632.00
20120406	5.47	5.49	5.28	5.44	5089024	127446968.00
