600067 冠城大通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.61	3.63	3.47	3.51	4117546	27745080.00
20111011	3.59	3.61	3.23	3.31	14152055	92961944.00
20111012	3.29	3.52	3.25	3.48	9483396	62266792.00
20111013	3.51	3.62	3.50	3.54	9231519	62731568.00
20111014	3.55	3.58	3.51	3.57	5277350	35760380.00
20111017	3.57	3.61	3.54	3.54	4774275	32540952.00
20111018	3.51	3.51	3.36	3.38	6348437	41842884.00
20111019	3.40	3.43	3.33	3.34	3628176	23548244.00
20111020	3.33	3.34	3.15	3.21	4925992	30921412.00
20111021	3.21	3.28	3.19	3.20	3840504	24085668.00
20111024	3.21	3.34	3.18	3.33	5092043	32272496.00
20111025	3.33	3.48	3.27	3.45	7051695	45972216.00
20111026	3.40	3.64	3.40	3.63	13762050	93659056.00
20111027	3.73	3.84	3.67	3.74	24337226	173628656.00
20111028	3.84	4.14	3.81	3.91	24200801	180207344.00
20111031	3.88	4.03	3.83	3.96	12920109	95573424.00
20111101	3.91	4.01	3.87	3.91	7090372	52564812.00
20111102	3.84	4.09	3.77	4.07	12024325	89021864.00
20111103	4.06	4.14	3.98	4.01	10281901	78252992.00
20111104	4.03	4.08	3.96	4.08	9704722	73344488.00
20111107	4.06	4.07	3.96	3.96	4051524	30478118.00
20111108	3.96	3.98	3.85	3.86	6207252	45393548.00
20111109	3.89	3.94	3.77	3.93	4880834	35568036.00
20111110	3.89	3.93	3.78	3.80	5379090	38917556.00
20111111	3.81	3.83	3.73	3.80	5137049	36733976.00
20111114	3.84	3.91	3.81	3.91	4147305	30342416.00
20111115	3.89	3.91	3.81	3.88	4169479	30312620.00
20111116	3.87	3.87	3.72	3.74	5741264	41046516.00
20111117	3.74	3.77	3.71	3.72	2639814	18698394.00
20111118	3.66	3.70	3.49	3.54	6692482	45626408.00
20111121	3.48	3.61	3.48	3.61	2818916	19080340.00
20111122	3.55	3.62	3.53	3.60	2180524	14896147.00
20111123	3.61	3.62	3.50	3.53	1651008	11224875.00
20111124	3.52	3.68	3.46	3.63	4247810	29108912.00
20111125	3.61	3.63	3.54	3.55	3648309	24962988.00
20111128	3.55	3.58	3.36	3.39	8822776	58071104.00
20111129	3.42	3.46	3.38	3.45	4423015	29093960.00
20111130	3.43	3.44	3.23	3.28	5789997	37245368.00
20111201	3.41	3.54	3.38	3.41	15759409	104403568.00
20111202	3.43	3.47	3.34	3.44	7007055	45918448.00
20111205	3.45	3.49	3.34	3.39	5669354	37303536.00
20111206	3.37	3.46	3.36	3.44	5945524	39201400.00
20111207	3.44	3.49	3.38	3.43	6725952	44428360.00
20111208	3.43	3.49	3.34	3.45	5784266	38155092.00
20111209	3.41	3.53	3.41	3.48	6442013	43076384.00
20111212	3.43	3.46	3.29	3.32	4484165	29009144.00
20111213	3.29	3.29	3.17	3.18	4798292	29996652.00
20111214	3.17	3.24	3.13	3.17	2202961	13667420.00
20111215	3.16	3.26	3.13	3.21	5823591	36315668.00
20111216	3.18	3.33	3.18	3.33	4043579	25573540.00
20111219	3.31	3.41	3.21	3.39	4755570	30306496.00
20111220	3.36	3.46	3.35	3.38	3942111	25843400.00
20111221	3.40	3.42	3.21	3.23	2944940	18911556.00
20111222	3.19	3.29	3.09	3.21	3425931	21214848.00
20111223	3.23	3.33	3.19	3.24	3479104	22035942.00
20111226	3.23	3.30	3.19	3.23	2621241	16495166.00
20111227	3.22	3.24	3.09	3.13	3369486	20795864.00
20111228	3.11	3.14	3.03	3.13	3539504	21356740.00
20111229	3.10	3.13	3.05	3.07	5524999	33315116.00
20111230	3.09	3.16	3.07	3.11	6727026	40935560.00
20120104	3.17	3.18	3.04	3.04	4852647	29572044.00
20120105	3.03	3.08	2.98	3.01	3664174	21853948.00
20120106	3.01	3.02	2.88	3.00	4232256	24703604.00
20120109	3.00	3.15	2.96	3.14	6565293	39575476.00
20120110	3.14	3.32	3.11	3.31	15153758	94974888.00
20120111	3.29	3.36	3.22	3.24	8281958	52455248.00
20120112	3.23	3.38	3.20	3.29	8831492	56624856.00
20120113	3.28	3.33	3.17	3.27	8377197	53028352.00
20120116	3.24	3.34	3.21	3.28	6293016	40338192.00
20120117	3.27	3.44	3.23	3.44	7920759	51336992.00
20120118	3.44	3.47	3.32	3.33	5638579	36896368.00
20120119	3.33	3.43	3.31	3.39	3516531	22964100.00
20120120	3.38	3.51	3.38	3.50	9457183	63060160.00
20120130	3.59	3.62	3.44	3.45	9489460	64215144.00
20120131	3.62	3.68	3.49	3.56	22039657	150424288.00
20120201	3.56	3.63	3.49	3.51	11546139	78760776.00
20120202	3.53	3.63	3.49	3.63	10638961	72342904.00
20120203	3.62	3.67	3.57	3.65	10704146	73936744.00
20120206	3.64	3.66	3.57	3.61	9834899	67728384.00
20120207	3.59	3.60	3.44	3.49	10306766	69452560.00
