600068 葛洲坝 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	7.16	7.23	7.13	7.15	8601233	69174360.00
20111011	7.32	7.44	7.17	7.29	17613024	143628704.00
20111012	7.25	7.86	7.17	7.79	34527601	290363008.00
20111013	7.86	8.24	7.86	8.06	52248195	469412896.00
20111014	8.02	8.29	7.97	8.13	29570336	266854400.00
20111017	8.13	8.23	7.98	8.05	22764812	204408640.00
20111018	8.00	8.11	7.66	7.71	31709397	278059840.00
20111019	7.68	7.77	7.48	7.52	18171825	153729888.00
20111020	7.44	7.46	7.16	7.23	18555077	150621744.00
20111021	7.29	7.31	7.17	7.20	11444934	92619712.00
20111024	7.23	7.38	7.11	7.38	18783680	152459792.00
20111025	7.36	7.80	7.29	7.78	31631703	268142880.00
20111026	7.64	8.13	7.61	7.93	43714743	385530624.00
20111027	7.92	8.13	7.78	7.85	29118112	256711072.00
20111028	7.98	8.13	7.92	8.09	32612223	290586912.00
20111031	8.04	8.39	7.98	8.34	47231670	429631776.00
20111101	8.26	8.60	8.19	8.31	48505488	449641824.00
20111102	8.10	8.56	8.05	8.47	33579434	306830848.00
20111103	8.63	8.98	8.44	8.45	65166874	627013952.00
20111104	8.50	8.70	8.40	8.68	42186747	398587008.00
20111107	8.63	8.93	8.51	8.53	35489518	341013856.00
20111108	8.57	8.66	8.44	8.49	24410540	230125488.00
20111109	8.55	8.63	8.30	8.53	21583226	201152896.00
20111110	8.43	8.53	8.28	8.29	25882279	238992272.00
20111111	8.31	8.38	8.12	8.25	19269629	176112096.00
20111114	8.38	8.50	8.31	8.43	18533628	172283088.00
20111115	8.41	8.58	8.39	8.49	16835934	157343584.00
20111117	8.22	8.42	8.14	8.18	21882730	199409760.00
20111118	8.13	8.27	7.78	7.81	20208048	179486464.00
20111121	7.83	7.97	7.73	7.93	11352307	98979120.00
20111122	7.82	7.96	7.78	7.91	9023310	78911176.00
20111123	7.91	7.98	7.73	7.75	12073371	105265408.00
20111124	7.64	7.73	7.55	7.66	10826736	92143200.00
20111125	7.65	7.72	7.53	7.62	10157889	86359144.00
20111128	7.67	7.92	7.67	7.78	26017158	225989120.00
20111129	7.89	7.92	7.79	7.86	17820860	155048288.00
20111130	7.83	7.94	7.51	7.58	21669642	186503456.00
20111201	7.84	7.96	7.76	7.82	20712907	181014224.00
20111202	7.77	7.80	7.60	7.67	9171143	78376336.00
20111205	7.70	7.72	7.26	7.32	15525159	128518160.00
20111206	7.31	7.40	7.24	7.33	7902889	64689032.00
20111207	7.38	7.38	7.22	7.28	7229441	59028848.00
20111208	7.30	7.48	7.20	7.34	10998819	90311184.00
20111209	7.27	7.39	7.24	7.32	6971130	56990928.00
20111212	7.33	7.46	7.30	7.32	11144256	91847152.00
20111213	7.33	7.38	6.99	7.02	23494364	189375344.00
20111214	7.01	7.01	6.66	6.73	16111348	122983464.00
20111215	6.71	6.71	6.43	6.44	14677859	108701104.00
20111216	6.45	6.68	6.42	6.65	18148944	134409968.00
20111219	6.65	6.65	6.31	6.53	16197227	118855864.00
20111220	6.53	6.63	6.46	6.49	9538856	70734184.00
20111221	6.55	6.65	6.32	6.37	13138183	97414928.00
20111222	6.40	6.54	6.15	6.43	14720901	106201008.00
20111223	6.46	6.61	6.38	6.58	12146668	89982048.00
20111226	6.50	6.75	6.46	6.66	16823810	126851520.00
20111227	6.64	6.73	6.51	6.54	11679667	87558520.00
20111228	6.53	6.66	6.46	6.65	11788001	87850400.00
20111229	6.65	6.76	6.58	6.75	12330861	93207248.00
20111230	6.76	6.85	6.70	6.83	13613740	104244432.00
20120104	6.88	6.98	6.75	6.79	17620119	136362336.00
20120105	6.68	6.81	6.42	6.44	21584210	161712256.00
20120106	6.46	6.52	6.31	6.47	11394808	83034904.00
20120109	6.53	6.70	6.42	6.69	22452414	166777856.00
20120110	6.73	7.06	6.67	7.01	36265936	281527840.00
20120111	7.02	7.09	6.91	7.00	22637573	178256576.00
20120112	6.99	7.20	6.97	7.02	22642878	180358896.00
20120113	6.97	7.05	6.63	6.71	20953269	160414496.00
20120116	6.65	6.66	6.41	6.43	15963934	118145824.00
20120117	6.36	6.94	6.36	6.93	22590206	171857120.00
