600069 银鸽投资 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	7.66	7.82	7.56	7.64	4325628	33252134.00
20111011	7.89	7.90	7.50	7.60	6012497	46266972.00
20111012	7.59	7.89	7.46	7.88	12061497	93234704.00
20111013	7.88	8.03	7.80	7.95	9555707	75702192.00
20111014	7.87	7.96	7.76	7.87	6781797	53118712.00
20111017	7.96	8.08	7.81	7.98	8436226	67092480.00
20111018	7.99	7.99	7.65	7.66	6348824	49394956.00
20111019	7.67	7.85	7.60	7.70	5164185	39788860.00
20111020	7.71	7.71	7.33	7.41	6576895	49035116.00
20111021	7.38	7.48	7.09	7.18	6423919	46494276.00
20111024	7.00	7.32	7.00	7.28	5429396	39136896.00
20111025	7.28	7.45	7.20	7.43	7216444	53177712.00
20111026	7.38	7.75	7.31	7.53	15684082	118053792.00
20111027	7.53	7.63	7.45	7.54	8350053	62743240.00
20111028	7.61	7.72	7.55	7.65	12870372	98451632.00
20111031	7.60	7.87	7.56	7.70	10851524	83847000.00
20111101	7.64	7.79	7.58	7.72	7792162	59765996.00
20111102	7.53	7.87	7.50	7.82	13015677	100220952.00
20111103	7.82	8.05	7.73	7.87	15196973	119813440.00
20111104	7.91	8.05	7.77	7.93	16042322	126912744.00
20111107	7.95	8.04	7.80	7.95	11887252	94408976.00
20111108	7.94	8.13	7.86	8.00	15889784	127411136.00
20111109	8.09	8.56	8.07	8.29	27404139	228353216.00
20111110	8.11	8.17	7.95	7.98	14725714	118848672.00
20111111	7.96	8.07	7.89	7.91	8102284	64536800.00
20111114	8.00	8.18	7.95	8.12	8700344	70269344.00
20111115	8.08	8.43	8.05	8.31	14339129	118275488.00
20111116	8.28	8.28	7.92	8.01	11399397	92207672.00
20111117	7.98	8.07	7.95	7.96	6514792	52146592.00
20111118	7.90	7.91	7.62	7.63	8015504	62120144.00
20111121	7.68	7.71	7.47	7.63	6028489	45691904.00
20111122	7.52	7.68	7.48	7.67	6961002	52612672.00
20111123	7.80	7.99	7.67	7.68	10152030	79407616.00
20111124	7.60	7.62	7.40	7.56	6321299	47559952.00
20111125	7.51	7.75	7.50	7.52	3897341	29602956.00
20111128	7.53	7.62	7.40	7.52	4540321	34032024.00
20111129	7.60	7.63	7.46	7.62	6587047	49651160.00
20111130	7.63	7.72	7.18	7.28	9898303	74025832.00
20111201	7.48	7.75	7.38	7.55	14109735	107244096.00
20111202	7.55	7.59	7.42	7.57	5812888	43704760.00
20111205	7.70	7.75	7.45	7.55	6787045	51573520.00
20111206	7.50	7.59	7.22	7.58	6572884	48594504.00
20111207	7.57	7.66	7.45	7.58	10377681	78495304.00
20111208	7.57	7.59	7.30	7.57	6527641	48686144.00
20111209	7.42	7.54	7.40	7.49	2876698	21422416.00
20111212	7.50	7.52	7.24	7.26	3762267	27672744.00
20111213	7.23	7.23	6.53	6.53	15471485	103612784.00
20111214	6.43	6.43	6.03	6.11	9821521	60737500.00
20111215	6.07	6.07	5.69	5.76	9501355	55324512.00
20111216	5.81	5.98	5.78	5.98	5673157	33365176.00
20111219	5.97	5.97	5.73	5.90	6317913	37007080.00
20111220	5.83	6.09	5.83	6.00	6956650	41835384.00
20111221	6.06	6.09	5.81	5.82	4726519	28255152.00
20111222	5.76	5.99	5.47	5.95	10252744	58654808.00
20111223	6.48	6.48	6.13	6.21	14588312	91501488.00
20111226	6.20	6.26	6.08	6.11	5908764	36370512.00
20111227	6.05	6.13	5.90	5.91	4602453	27738344.00
20111228	5.88	5.91	5.57	5.88	4980461	28611504.00
20111229	5.85	5.95	5.76	5.91	4208991	24738616.00
20111230	5.92	6.08	5.92	6.06	4056948	24468036.00
20120104	6.10	6.15	5.94	5.95	5570948	33751816.00
20120105	5.95	5.95	5.56	5.56	5642041	32327120.00
20120106	5.55	5.80	5.46	5.77	5246122	29221782.00
20120109	5.78	6.06	5.70	6.03	7984922	47360720.00
20120110	6.04	6.38	5.96	6.33	13315105	82412504.00
20120111	6.28	6.40	6.17	6.29	10123012	63407256.00
20120112	6.20	6.35	6.20	6.23	7392006	46334936.00
