600070 浙江富润 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.41	3.41	3.26	3.32	4237688	41720564.00
20111011	3.37	3.38	3.04	3.08	7220399	70062120.00
20111012	3.03	3.17	2.85	3.12	5741079	52364448.00
20111013	3.06	3.15	3.05	3.14	3244131	30432644.00
20111014	3.12	3.22	3.10	3.18	3897179	37038992.00
20111017	3.17	3.21	3.10	3.12	2675811	25305732.00
20111018	3.11	3.11	2.95	2.97	3404277	31081478.00
20111019	2.97	3.01	2.88	2.88	1936092	17272452.00
20111020	2.90	2.90	2.73	2.76	2539579	21680592.00
20111021	2.76	2.77	2.70	2.73	1060778	8914111.00
20111024	2.73	2.79	2.65	2.78	1847491	15493298.00
20111025	2.77	2.88	2.76	2.86	2020173	17452440.00
20111026	2.86	3.08	2.83	3.07	5540822	49945016.00
20111027	3.12	3.14	2.93	2.98	4484724	41066456.00
20111028	3.01	3.12	2.98	3.10	4346132	39987032.00
20111031	3.16	3.16	3.05	3.09	3069136	28561284.00
20111101	3.06	3.15	3.04	3.09	3750007	35131880.00
20111102	3.01	3.21	2.97	3.19	5584747	52191244.00
20111103	3.17	3.34	3.14	3.28	6740542	65377532.00
20111104	3.27	3.32	3.23	3.27	3493305	34221448.00
20111107	3.25	3.32	3.22	3.29	4626210	45204536.00
20111108	3.40	3.64	3.38	3.43	13679736	141059520.00
20111109	3.36	3.47	3.29	3.47	7340387	73742728.00
20111110	3.38	3.45	3.30	3.31	4305706	43272336.00
20111111	3.29	3.44	3.29	3.34	3615887	36214400.00
20111114	3.36	3.42	3.36	3.40	2788440	28116976.00
20111115	3.42	3.42	3.36	3.38	2715745	27342464.00
20111116	3.38	3.41	3.18	3.21	4491232	43906540.00
20111117	3.19	3.26	3.16	3.19	2154508	20753552.00
20111118	3.16	3.18	3.05	3.06	2282865	21301128.00
20111121	3.01	3.11	3.01	3.11	1283329	11852150.00
20111122	3.06	3.16	3.04	3.14	1627713	15265835.00
20111123	3.16	3.17	3.06	3.06	1533969	14463362.00
20111124	3.04	3.07	2.98	3.02	1330327	12160794.00
20111125	3.03	3.04	2.93	2.97	1087923	9875449.00
20111128	2.99	3.03	2.97	3.01	1179909	10716421.00
20111129	3.05	3.08	3.02	3.07	1329675	12256312.00
20111130	3.07	3.08	2.84	2.86	2151443	19248236.00
20111201	3.01	3.01	2.93	2.96	2150803	19398506.00
20111202	2.95	3.07	2.88	3.04	2594978	23412416.00
20111205	3.03	3.25	2.94	3.19	6561729	61409620.00
20111206	3.12	3.36	3.09	3.30	8464654	81890192.00
20111207	3.29	3.34	3.24	3.31	7721332	75892080.00
20111208	3.31	3.42	3.26	3.32	8322289	82457616.00
20111209	3.28	3.37	3.23	3.29	6632502	64981964.00
20111212	3.29	3.36	3.17	3.17	6328499	61270928.00
20111213	3.09	3.10	2.92	2.99	6200229	56186080.00
20111214	2.93	3.04	2.91	2.98	5259326	47848180.00
20111215	2.97	3.15	2.81	3.01	5594430	50668976.00
20111216	2.97	3.16	2.96	3.14	9255256	84990936.00
20111219	3.09	3.36	3.08	3.33	10825943	104001336.00
20111220	3.29	3.44	3.25	3.30	11068841	109678928.00
20111221	3.30	3.38	3.06	3.14	8993910	86955872.00
20111222	3.08	3.28	2.90	3.06	5619963	51602188.00
20111223	3.02	3.10	2.97	3.01	3335273	30443050.00
20111226	3.00	3.01	2.89	2.90	2884068	25712108.00
20111227	2.89	2.89	2.55	2.55	3996037	33234322.00
20111228	2.52	2.52	2.32	2.38	3439103	25808124.00
20111229	2.41	2.46	2.39	2.39	2168701	16548479.00
20111230	2.41	2.45	2.41	2.45	1646817	12622024.00
20120104	2.47	2.52	2.37	2.38	1423263	10946213.00
20120105	2.35	2.39	2.09	2.12	2117506	15170186.00
20120106	2.09	2.18	2.02	2.17	1840016	12560810.00
20120109	2.14	2.34	2.14	2.33	1894214	13632591.00
20120110	2.33	2.46	2.33	2.46	2491858	18955044.00
20120111	2.46	2.51	2.41	2.49	2608147	20207972.00
20120112	2.46	2.51	2.42	2.46	1750489	13575190.00
20120113	2.48	2.48	2.28	2.30	2071306	15475818.00
20120116	2.29	2.31	2.21	2.22	1162129	8405838.00
20120117	2.23	2.39	2.22	2.38	1531881	11309903.00
20120118	2.40	2.44	2.30	2.32	1797933	13529023.00
20120119	2.44	2.52	2.43	2.45	2824633	21816020.00
20120120	2.42	2.57	2.42	2.53	2092001	16409024.00
20120130	2.53	2.56	2.47	2.52	1788767	14072974.00
20120131	2.52	2.54	2.48	2.52	1154198	9033253.00
20120201	2.48	2.55	2.44	2.46	1485969	11589654.00
20120202	2.45	2.56	2.45	2.55	1666448	13074786.00
20120203	2.55	2.61	2.52	2.59	1966421	15759184.00
20120206	2.60	2.61	2.56	2.59	1525682	12251663.00
20120207	2.58	2.58	2.50	2.51	1425967	11242665.00
20120208	2.51	2.65	2.49	2.64	2304569	18514276.00
20120209	2.63	2.70	2.61	2.64	1721475	14147606.00
20120210	2.62	2.69	2.62	2.65	1532405	12568707.00
20120213	2.61	2.70	2.61	2.67	1290146	10639324.00
20120214	2.67	2.74	2.65	2.71	2170120	18083912.00
20120215	2.72	2.78	2.67	2.76	2086733	17540704.00
20120216	2.74	2.80	2.72	2.80	2580217	21854578.00
20120217	2.79	2.81	2.72	2.76	1420824	12036421.00
20120220	2.80	2.81	2.75	2.76	1484299	12665029.00
20120221	2.76	2.79	2.68	2.77	1546489	13009297.00
20120222	2.77	2.82	2.75	2.81	2357814	20156728.00
20120223	2.81	2.98	2.79	2.91	4328869	38163516.00
20120224	2.91	2.94	2.88	2.92	2789831	24707340.00
20120227	2.90	2.99	2.90	2.94	3093981	27727240.00
20120228	2.93	2.96	2.87	2.91	2481833	21993292.00
20120229	2.92	2.92	2.87	2.90	1494846	13174580.00
20120301	2.87	2.99	2.87	2.98	2549306	22831572.00
20120302	2.98	3.03	2.97	3.00	2392621	21706416.00
20120305	3.01	3.07	2.98	3.01	1925504	17625332.00
20120306	2.99	2.99	2.92	2.97	1342667	12049633.00
20120307	2.91	2.99	2.89	2.91	1378480	12320307.00
20120308	2.95	3.03	2.93	3.01	1680551	15252501.00
20120309	3.01	3.06	2.99	3.04	1825413	16710076.00
20120312	3.06	3.06	3.01	3.04	1520732	13948794.00
20120313	3.04	3.16	3.03	3.15	3014782	28053660.00
20120314	3.24	3.43	3.08	3.14	9922688	97563360.00
20120315	3.09	3.31	3.03	3.25	6692389	63897100.00
20120316	3.22	3.42	3.22	3.39	6506506	65026544.00
20120319	3.40	3.60	3.32	3.60	7632572	77728880.00
20120320	3.52	3.67	3.47	3.57	7630007	80023728.00
20120321	3.59	3.62	3.30	3.48	5563945	56853932.00
20120322	3.46	3.52	3.35	3.47	4020393	40914216.00
20120323	3.44	3.44	3.22	3.29	3199017	31672612.00
