600072 中船科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	20.61	21.01	20.49	20.77	6323243	131511640.00
20111011	21.18	21.50	19.84	20.07	6705621	138979456.00
20111012	19.86	21.08	19.36	20.83	9787904	201985664.00
20111013	20.63	21.09	20.57	21.02	7325889	153268544.00
20111014	21.01	21.04	20.48	20.68	4838919	100333424.00
20111017	20.69	21.43	20.54	21.21	8511413	179910816.00
20111018	20.98	22.48	20.58	21.57	17643539	380664384.00
20111019	21.46	22.20	21.26	21.57	14476285	314733824.00
20111020	21.26	21.26	19.69	19.96	11805761	240020384.00
20111021	19.95	20.18	19.44	19.48	6052687	120161408.00
20111024	19.68	20.90	19.18	20.78	10273768	206650896.00
20111025	20.55	21.18	20.46	20.90	9274521	193290992.00
20111026	20.76	21.14	20.57	20.67	7432725	155315584.00
20111027	20.68	21.29	20.68	20.93	7550995	158900624.00
20111028	21.23	21.28	20.74	21.16	9648579	203597056.00
20111031	21.16	21.83	21.11	21.35	10217876	219707104.00
20111101	21.08	21.68	21.00	21.18	6574109	140263152.00
20111102	20.81	21.34	20.06	21.21	12305567	254140640.00
20111103	21.16	21.83	21.03	21.39	12767633	274494816.00
20111104	21.56	22.84	21.18	22.34	24006701	527458656.00
20111107	22.13	22.13	21.68	21.69	11549656	252955024.00
20111108	21.70	22.48	21.58	21.70	11903873	262767728.00
20111109	21.92	22.18	21.68	22.09	9087478	199705440.00
20111110	21.78	22.06	21.61	21.63	8788641	191835040.00
20111111	21.66	21.85	21.23	21.33	5625634	121118576.00
20111114	21.38	21.96	21.38	21.81	6732370	146492064.00
20111115	21.71	21.95	21.44	21.84	7156460	155375648.00
20111116	21.82	21.82	21.03	21.17	6995250	149789552.00
20111117	21.09	21.56	21.09	21.13	4626630	98586056.00
20111118	20.96	21.37	19.98	21.12	11561681	238621600.00
20111121	20.92	21.00	20.22	20.51	4550479	93643744.00
20111122	20.18	20.37	19.87	20.12	4251437	85507456.00
20111123	20.19	20.33	19.88	19.99	3364167	67744096.00
20111124	19.58	19.97	19.49	19.65	4057562	80080272.00
20111125	19.77	19.79	19.26	19.28	4062344	79377136.00
20111128	19.28	19.45	18.99	19.07	3258877	62723408.00
20111129	19.31	20.98	19.10	20.98	13534778	275828704.00
20111130	21.18	21.34	19.98	20.51	17632870	365599744.00
20111201	21.14	21.88	20.66	21.03	18831874	401173056.00
20111202	20.66	21.48	20.49	20.85	17296930	363363296.00
20111205	20.56	20.78	19.19	19.44	9717258	193017520.00
20111206	19.18	19.84	19.15	19.57	6180869	120415896.00
20111207	19.98	21.37	19.80	20.46	16528484	342290208.00
