600073 上海梅林 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	5.36	5.41	5.30	5.33	783706	7171345.00
20111011	5.41	5.51	5.20	5.28	927812	8551468.00
20111012	5.30	5.43	5.24	5.43	1178157	10861618.00
20111013	5.42	5.56	5.37	5.50	1827771	17246036.00
20111014	5.50	5.60	5.43	5.59	2425862	22950908.00
20111017	5.60	5.60	5.53	5.57	1426598	13645567.00
20111018	5.57	5.89	5.54	5.69	6369064	62426212.00
20111019	5.76	5.83	5.36	5.43	4091262	38943764.00
20111020	5.43	5.59	5.35	5.49	3861572	36294160.00
20111021	5.48	5.50	5.30	5.31	1335498	12365689.00
20111024	5.39	5.54	5.21	5.47	2449784	22692184.00
20111025	5.47	5.72	5.43	5.64	3222860	30971172.00
20111026	5.62	5.77	5.60	5.74	3270195	31921936.00
20111027	5.74	5.81	5.66	5.66	2556159	25104984.00
20111028	5.73	5.80	5.66	5.77	2470285	24332018.00
20111031	5.71	5.82	5.71	5.77	1715191	16942232.00
20111101	5.73	5.88	5.73	5.80	1438525	14275109.00
20111102	5.74	5.82	5.60	5.81	2458497	23996396.00
20111103	5.85	5.95	5.80	5.82	4924603	49489364.00
20111104	5.83	5.89	5.80	5.85	1849777	18470124.00
20111107	5.85	5.94	5.79	5.94	2802333	28275652.00
20111108	5.93	5.98	5.88	5.88	1747020	17676904.00
20111109	5.89	5.97	5.75	5.96	2488140	25030104.00
20111110	5.93	5.93	5.83	5.86	1523091	15338642.00
20111111	5.83	5.88	5.79	5.83	1181516	11809929.00
20111114	5.87	5.97	5.83	5.96	2191219	22173492.00
20111115	5.95	6.02	5.93	5.99	1528275	15632888.00
20111116	5.97	5.99	5.81	5.84	2510459	25261494.00
20111117	5.83	5.89	5.78	5.80	1047537	10436427.00
20111118	5.80	5.82	5.61	5.66	1813465	17654080.00
20111121	5.66	5.71	5.60	5.66	1272172	12307138.00
20111122	5.60	5.66	5.46	5.65	1988754	18938488.00
20111123	5.64	5.66	5.58	5.59	779356	7494242.00
20111124	5.57	5.68	5.51	5.62	1311030	12629676.00
20111125	5.65	5.71	5.63	5.66	1170832	11376680.00
20111128	5.66	5.77	5.63	5.77	1458532	14308699.00
20111129	5.79	5.94	5.76	5.89	2325223	23339136.00
20111130	5.85	5.96	5.64	5.80	3351133	33418688.00
20111201	5.88	6.10	5.86	6.00	5882382	60178380.00
20111202	5.96	6.00	5.87	5.94	1955916	19808750.00
20111205	5.97	6.00	5.51	5.57	3860586	37933748.00
20111206	5.59	5.79	5.41	5.79	3126470	29936528.00
20111207	5.74	5.96	5.74	5.92	4380127	43720100.00
20111208	5.85	5.96	5.71	5.88	7123428	70976160.00
20111209	5.77	5.79	5.50	5.54	3570354	34494704.00
20111212	5.54	5.56	5.23	5.29	2795837	25903064.00
20111213	5.29	5.31	4.96	5.02	2554515	22372480.00
20111214	5.00	5.08	4.71	4.73	1997054	16827834.00
20111215	4.72	4.78	4.62	4.68	1826445	14775962.00
20111216	4.70	4.86	4.65	4.85	1556509	12733189.00
20111219	4.93	5.12	4.83	5.03	3358868	28873128.00
20111220	4.98	5.11	4.94	5.09	2697833	23466922.00
20111221	5.12	5.23	4.97	4.99	2252372	19886642.00
20111222	4.94	4.95	4.70	4.85	1413475	11744563.00
20111223	4.85	4.93	4.82	4.88	1800453	15136734.00
20111226	4.91	4.95	4.85	4.87	906642	7643214.00
20111227	4.85	4.87	4.65	4.65	1155411	9435119.00
20111228	4.65	4.76	4.63	4.73	1181420	9566221.00
20111229	4.79	4.82	4.74	4.76	802227	6599520.00
20111230	4.76	4.93	4.76	4.91	1109708	9269603.00
20120104	4.93	4.96	4.79	4.79	900474	7558048.00
20120105	4.76	4.82	4.62	4.64	1148056	9381340.00
20120106	4.50	4.64	4.16	4.18	6433388	46801120.00
20120109	4.10	4.25	4.02	4.25	4896270	35505932.00
20120110	4.22	4.47	4.21	4.45	4915519	37067928.00
20120111	4.43	4.52	4.41	4.45	2577264	19866100.00
20120112	4.44	4.51	4.39	4.46	1792604	13821950.00
20120113	4.71	4.93	4.70	4.93	16397021	138385504.00
