600075 新疆天业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	7.52	7.67	7.49	7.56	2004035	21565050.00
20111011	7.70	7.81	7.45	7.57	2734613	29675436.00
20111012	7.47	7.82	7.44	7.81	4167651	45601420.00
20111013	7.88	8.04	7.84	7.96	5490017	62048432.00
20111014	7.91	8.02	7.88	7.96	3583344	40487924.00
20111017	8.00	8.07	7.89	7.93	2542879	28653400.00
20111018	7.86	8.00	7.56	7.59	3118245	34314796.00
20111019	7.60	7.69	7.39	7.44	2865730	30763672.00
20111020	7.44	7.44	7.01	7.12	4556105	46186916.00
20111021	7.15	7.15	6.95	6.96	2511931	25130972.00
20111024	6.98	7.16	6.89	7.13	2493898	24966496.00
20111025	7.09	7.34	7.07	7.31	3699173	38029532.00
20111026	7.25	7.46	7.22	7.31	5297206	55333392.00
20111027	7.31	7.52	7.28	7.35	4057523	42694728.00
20111028	7.46	7.57	7.39	7.53	4630880	49144888.00
20111031	7.55	7.61	7.44	7.58	3726501	39837684.00
20111101	7.46	7.69	7.45	7.62	5007556	53890288.00
20111102	7.48	7.68	7.42	7.67	5106751	54775428.00
20111103	8.18	8.38	7.82	7.84	12806367	146964000.00
20111104	7.91	8.29	7.77	8.12	8529214	97101152.00
20111107	8.11	8.46	8.04	8.16	6367930	74144544.00
20111108	8.28	8.28	7.84	7.90	5537279	63029196.00
20111109	7.91	8.20	7.79	8.18	6016885	68480024.00
20111110	8.18	8.30	7.99	8.09	8290309	95970184.00
20111111	8.11	8.38	7.96	8.04	4570782	52702580.00
20111114	8.14	8.22	8.11	8.21	5180194	60173076.00
20111115	8.21	8.29	8.12	8.19	4861483	56495024.00
20111116	8.12	8.19	7.75	8.04	6237891	70410512.00
20111117	7.96	8.01	7.88	7.90	2577726	29056002.00
20111118	7.86	7.98	7.66	7.69	4072929	45165524.00
20111121	7.69	7.88	7.60	7.85	3138638	34474664.00
20111122	7.69	7.82	7.56	7.73	2960642	32247920.00
20111123	7.64	7.92	7.64	7.71	2454662	27116456.00
20111124	7.64	7.78	7.61	7.66	2472041	26933672.00
20111125	7.59	7.73	7.54	7.64	2388063	25889164.00
20111128	7.86	8.25	7.86	8.06	13183257	150501184.00
20111129	8.09	8.12	7.97	8.10	6723477	76813072.00
20111130	8.09	8.21	7.72	7.86	7905827	89521568.00
20111201	8.12	8.24	8.01	8.11	10080844	116410064.00
20111202	8.11	8.23	7.89	7.97	6275374	71906560.00
20111205	7.90	7.91	7.36	7.38	7159737	76583800.00
20111206	7.46	7.50	7.14	7.37	4910559	50930240.00
20111207	7.39	7.41	7.19	7.27	3269215	33871712.00
20111208	7.21	7.74	7.19	7.39	5651092	59441360.00
20111209	7.39	7.44	7.29	7.39	2799870	29279908.00
20111212	7.44	7.59	7.39	7.48	4329487	46016224.00
20111213	7.56	7.56	7.32	7.32	4980809	52556024.00
20111214	7.33	7.33	6.99	7.09	3773479	38445744.00
20111216	6.82	7.19	6.78	7.18	4485819	44322448.00
20111219	7.16	7.16	6.81	7.03	3728309	36857940.00
20111220	6.97	7.09	6.82	6.83	3659831	36130216.00
20111221	6.91	6.99	6.62	6.64	3710640	35933384.00
