600077 宋都股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	3.98	4.03	3.78	3.78	5628187	44213792.00
20111011	3.82	3.84	3.69	3.73	2909275	22559596.00
20111012	3.73	3.84	3.70	3.83	2017962	15792999.00
20111013	3.83	3.93	3.80	3.87	3348349	26610578.00
20111014	3.86	3.91	3.83	3.86	1493961	11920083.00
20111017	3.91	3.91	3.77	3.81	2044914	16103855.00
20111018	3.80	3.83	3.61	3.62	2509502	19151680.00
20111019	3.59	3.67	3.56	3.62	1622228	12050268.00
20111020	3.61	3.62	3.45	3.48	1448197	10590834.00
20111021	3.51	3.66	3.44	3.66	2300523	17064296.00
20111024	3.73	3.77	3.61	3.69	3448091	26245994.00
20111025	3.63	3.88	3.63	3.88	5236907	41268108.00
20111026	3.84	4.03	3.80	3.96	3316363	26889330.00
20111101	4.37	4.37	4.28	4.37	6942527	62273948.00
20111102	4.38	4.61	4.33	4.56	13357506	123665368.00
20111103	4.52	4.52	4.35	4.46	6647915	60824936.00
20111104	4.43	4.51	4.28	4.33	5153246	46256392.00
20111107	4.29	4.45	4.24	4.39	3151793	28384024.00
20111108	4.35	4.44	4.34	4.39	1784046	16056297.00
20111109	4.42	4.53	4.32	4.50	3334984	30202774.00
20111110	4.48	4.67	4.41	4.59	5926624	55702928.00
20111111	4.54	4.76	4.43	4.46	3080528	28795970.00
20111114	4.44	4.50	4.43	4.49	2648624	24259734.00
20111115	4.47	4.55	4.46	4.53	2079054	19261080.00
20111116	4.53	4.62	4.44	4.45	2207363	20585752.00
20111117	4.48	4.57	4.46	4.56	1608315	14875541.00
20111118	4.55	4.60	4.49	4.51	1477169	13752406.00
20111121	4.49	4.56	4.46	4.52	1160651	10701300.00
20111122	4.47	4.73	4.40	4.68	2930854	27751280.00
20111123	4.68	4.83	4.63	4.74	2872440	27930204.00
20111124	4.67	4.94	4.56	4.91	4174431	41217860.00
20111125	4.90	4.96	4.83	4.94	2086312	20939128.00
20111128	4.95	5.08	4.84	5.05	4659702	47296336.00
20111129	5.07	5.14	4.93	5.08	2692966	27857908.00
20111130	5.11	5.18	4.87	5.00	4449944	45623944.00
20111201	5.06	5.13	4.99	5.11	2192938	22779962.00
20111202	5.09	5.18	5.03	5.17	2617784	27317944.00
20111205	5.17	5.23	5.06	5.13	2644705	27759624.00
20111206	5.18	5.28	5.09	5.28	7206452	76530768.00
