600078 澄星股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	10.78	10.97	10.70	10.82	24512821	268740352.00
20111011	11.21	11.53	10.73	11.03	40743411	459783200.00
20111012	10.79	11.79	10.54	11.58	50466849	573976064.00
20111013	11.47	11.71	11.32	11.54	39171263	455699648.00
20111014	11.45	11.88	11.43	11.58	32470801	382077952.00
20111017	11.65	12.08	11.53	11.80	37806265	451818016.00
20111018	11.66	11.80	10.79	10.82	37282423	422921120.00
20111019	10.89	11.07	10.55	10.97	22569313	248006336.00
20111020	10.88	10.88	10.30	10.40	23449464	249998272.00
20111021	10.33	10.43	9.50	9.66	29376548	292827264.00
20111024	9.79	10.10	9.44	10.04	25748317	256118688.00
20111025	9.99	10.50	9.76	10.22	32084567	328608320.00
20111026	10.08	10.55	9.89	10.33	36341178	379309024.00
20111027	10.28	10.48	10.13	10.14	24735494	257687136.00
20111028	10.26	10.45	10.08	10.29	34484923	358515584.00
20111031	10.27	10.45	10.14	10.40	31192273	325296992.00
20111101	10.25	10.49	10.18	10.31	21829714	227636320.00
20111102	10.08	10.22	9.75	10.20	31549874	318531136.00
20111103	10.29	10.62	10.16	10.29	39771688	418782368.00
20111104	10.33	10.62	10.28	10.43	28330619	298841184.00
20111107	10.46	10.99	10.44	10.86	52006387	565428992.00
20111108	10.85	11.43	10.78	11.04	59476029	669455296.00
20111109	11.05	11.09	10.59	10.98	33088971	362289568.00
20111110	10.76	10.84	10.49	10.51	24838054	268276240.00
20111111	10.49	10.63	10.21	10.35	22010329	231379376.00
20111114	10.46	10.63	10.39	10.59	20267871	215760736.00
20111115	10.53	10.60	10.40	10.58	18488552	196234896.00
20111116	10.54	10.85	10.38	10.40	33794957	364577920.00
20111117	10.37	10.54	10.04	10.09	25440385	262058192.00
20111118	10.01	10.01	9.68	9.71	21182641	209929472.00
20111121	9.71	9.83	9.59	9.82	10022648	98456088.00
20111122	9.68	9.76	9.59	9.74	8938121	87657448.00
20111123	9.77	9.82	9.52	9.55	8999143	88021136.00
20111124	9.41	9.47	9.15	9.32	12112404	114088592.00
20111125	9.30	9.43	9.18	9.20	9010012	84485920.00
20111128	9.23	9.32	9.13	9.26	8314848	77691528.00
20111129	9.37	9.53	9.24	9.52	14048190	133733432.00
20111130	9.43	9.50	8.68	8.81	16880710	155461920.00
20111201	9.19	9.26	8.91	8.94	16469250	151318464.00
20111202	8.88	8.89	8.44	8.52	12777565	111848112.00
20111205	8.51	8.52	8.19	8.21	9051849	76527720.00
20111206	8.20	8.32	8.17	8.26	6743187	56425988.00
