600079 人福医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	10.36	10.46	9.82	10.19	1463688	31081794.00
20111011	10.37	10.44	10.04	10.05	1227334	26012452.00
20111012	9.97	10.36	9.84	10.30	1076809	22994956.00
20111013	10.36	10.60	10.26	10.34	2099829	45521904.00
20111014	10.36	10.54	10.20	10.50	1961263	42294164.00
20111017	10.51	10.60	10.39	10.57	1106229	24227576.00
20111018	10.55	10.58	10.38	10.38	723176	15723843.00
20111019	10.37	10.47	10.06	10.13	1340799	28708500.00
20111020	10.10	10.12	9.51	10.01	4377113	89301072.00
20111021	9.97	10.02	9.67	10.02	1616280	33126084.00
20111024	10.07	10.07	9.68	9.97	1631056	33715988.00
20111025	9.85	10.12	9.79	10.11	2358627	49230540.00
20111026	10.11	10.41	10.07	10.41	3220151	68899008.00
20111027	10.41	10.61	10.27	10.31	1871179	40800332.00
20111028	10.42	10.56	10.23	10.45	2079274	44973256.00
20111031	10.47	10.56	10.32	10.38	1507361	32680388.00
20111101	10.39	10.72	10.35	10.46	1497305	32810152.00
20111102	10.27	10.86	10.27	10.81	2627701	57937856.00
20111103	10.81	11.02	10.70	10.78	3058360	69351568.00
20111104	10.92	11.07	10.77	10.83	4507258	102570928.00
20111107	10.75	10.97	10.74	10.75	3100622	69843848.00
20111108	10.75	10.89	10.55	10.65	2562251	56694592.00
20111109	10.48	10.77	10.47	10.65	1834459	40806544.00
20111110	10.62	10.72	10.57	10.69	2258378	49966344.00
20111111	10.67	10.84	10.55	10.70	1907825	42263244.00
20111114	10.77	11.07	10.62	10.96	2134181	48390404.00
20111115	10.97	11.17	10.87	10.90	2906561	66543712.00
20111116	10.99	11.06	10.60	10.71	1236712	27651744.00
20111117	10.71	10.81	10.63	10.76	423516	9437650.00
20111118	10.72	10.77	10.47	10.71	3268585	71913192.00
20111121	10.59	10.69	10.31	10.46	2851703	61815396.00
20111122	10.36	10.40	10.22	10.34	1761884	37864856.00
20111123	10.34	10.37	10.07	10.22	1278968	27295956.00
20111124	10.10	10.40	10.08	10.39	883353	18855674.00
20111125	10.36	10.67	10.30	10.53	1815034	39837044.00
20111128	10.55	10.69	10.41	10.69	1462839	32033688.00
20111129	10.79	10.79	10.59	10.68	866159	19261284.00
20111130	10.69	10.73	10.19	10.38	1848574	39810184.00
20111201	10.67	10.80	10.52	10.79	2280916	50733872.00
20111202	10.78	10.87	10.65	10.78	1775866	39858696.00
20111205	10.75	10.82	10.47	10.57	892421	19639084.00
20111206	10.46	10.80	10.40	10.77	1847823	40702656.00
20111207	10.76	10.82	10.55	10.57	1410134	31244130.00
20111208	10.51	10.56	10.07	10.39	1834999	39622224.00
20111209	10.36	10.37	9.99	10.06	6031718	126669192.00
20111212	9.94	10.11	9.93	10.03	1522344	31811998.00
20111213	9.95	10.07	9.67	9.88	3229537	66081608.00
20111214	9.88	10.00	9.69	9.81	672672	13734088.00
20111215	9.67	9.79	9.59	9.71	1575311	31785792.00
20111216	9.70	9.87	9.59	9.84	1628230	32910592.00
