600081 东风科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	8.31	8.42	8.07	8.11	867151	7781518.00
20111011	8.44	8.52	8.11	8.25	1404922	12686378.00
20111012	8.26	8.64	8.04	8.57	1556848	14256800.00
20111013	8.52	8.74	8.50	8.65	1500503	14035636.00
20111014	8.66	8.70	8.41	8.48	1223176	11323933.00
20111017	8.52	9.40	8.43	9.40	3929826	38426448.00
20111018	9.32	9.62	8.95	9.03	7405182	75134744.00
20111019	9.08	9.23	8.82	8.88	2507157	24247756.00
20111020	8.82	8.82	8.41	8.43	2207035	20419900.00
20111021	8.44	8.60	8.33	8.53	1950594	17928096.00
20111024	8.53	8.73	8.26	8.68	2654476	24645660.00
20111025	8.68	9.02	8.48	8.83	2652144	25247222.00
20111026	8.79	8.95	8.63	8.81	2761428	26399236.00
20111027	8.79	9.02	8.71	8.73	2148396	20612472.00
20111028	8.86	9.09	8.78	8.96	3091266	29968164.00
20111031	9.06	9.06	8.87	8.99	1740464	16839990.00
20111101	8.90	9.23	8.86	9.14	3274827	32191056.00
20111102	8.95	9.15	8.74	9.11	3118959	30195082.00
20111103	9.17	9.36	9.04	9.04	3616879	35996296.00
20111104	9.06	9.41	9.05	9.33	3807081	38042528.00
20111107	9.35	9.45	9.16	9.40	2536482	25412984.00
20111108	9.41	9.41	9.05	9.18	2282677	22684060.00
20111109	9.19	9.34	9.00	9.28	1923447	18979892.00
20111110	9.17	9.19	9.01	9.03	1736026	17060088.00
20111111	9.08	9.28	9.00	9.12	1946037	19281292.00
20111114	9.36	9.57	9.24	9.36	2978267	30012266.00
20111115	9.30	9.60	9.25	9.45	2254752	22822340.00
20111116	9.37	9.47	9.08	9.13	1792329	17851014.00
20111117	9.13	9.17	8.93	9.00	1077219	10550556.00
20111118	8.92	8.96	8.53	8.61	1551368	14690730.00
20111121	8.62	8.78	8.56	8.67	659389	6195742.00
20111122	8.67	8.70	8.54	8.66	577400	5400556.00
20111123	8.67	9.02	8.67	8.83	2036247	19494012.00
20111124	8.75	9.08	8.74	8.97	2054598	19893242.00
20111125	8.95	9.12	8.79	8.85	989221	9517705.00
20111128	8.73	8.84	8.62	8.64	673447	6359655.00
20111129	8.70	8.91	8.66	8.85	1088691	10370826.00
20111130	8.90	8.90	8.27	8.45	1432161	13302931.00
20111201	8.65	8.90	8.46	8.51	1582810	14874037.00
20111202	8.47	8.61	8.33	8.56	1035103	9530956.00
20111205	8.54	8.54	8.29	8.31	802656	7298384.00
20111206	8.31	8.41	8.24	8.37	910766	8255503.00
20111207	8.38	9.07	8.38	8.42	1635608	15104551.00
20111209	8.22	8.31	7.75	7.85	1811261	15771067.00
20111212	7.85	7.86	7.42	7.45	1408561	11691344.00
20111213	7.42	7.42	6.67	6.77	2771133	21139568.00
20111214	6.72	6.98	6.61	6.64	1880841	14093605.00
20111215	6.67	6.68	6.08	6.12	2715512	19096576.00
20111216	6.08	6.37	6.05	6.33	1737473	12091032.00
20111219	6.33	6.33	6.05	6.29	1167737	8104027.00
20111220	6.27	6.41	6.27	6.33	1140378	8084964.00
20111221	6.37	6.48	6.00	6.01	991836	6971268.00
20111222	5.97	5.97	5.59	5.81	1262789	8251050.00
20111223	5.79	6.01	5.79	5.89	856134	5679986.00
20111226	5.90	6.02	5.87	5.91	639349	4266007.00
20111227	5.91	5.91	5.69	5.71	807551	5245080.00
20111228	5.72	5.72	5.48	5.67	794801	5016022.00
20111229	5.60	5.72	5.56	5.70	607273	3884575.00
20111230	5.72	5.87	5.72	5.87	855122	5604134.00
20120104	5.90	5.96	5.64	5.66	688497	4514948.00
20120105	5.58	5.65	5.37	5.37	924201	5785694.00
20120106	5.37	5.40	5.14	5.38	931807	5573363.00
20120109	5.38	5.72	5.29	5.71	1308308	8236910.00
20120110	5.70	6.11	5.65	6.03	1672790	11134787.00
20120111	6.03	6.14	5.96	6.06	2203938	14944587.00
20120112	6.06	6.22	6.02	6.06	1373186	9379778.00
20120113	6.06	6.10	5.68	5.80	1731038	11367113.00
20120116	5.75	5.75	5.46	5.47	749006	4764271.00
20120117	5.45	5.89	5.45	5.86	1105461	7128172.00
20120118	5.92	6.04	5.74	5.76	1138691	7534244.00
20120119	5.75	5.95	5.74	5.90	986964	6522133.00
20120120	5.90	6.05	5.87	6.01	1067523	7175793.00
20120130	6.06	6.10	5.95	5.98	827194	5588195.00
20120131	5.99	6.02	5.89	6.01	531583	3555409.00
20120201	5.95	6.08	5.88	5.90	731500	4891840.00
20120202	5.90	6.04	5.88	6.03	837511	5611539.00
20120203	6.03	6.19	5.99	6.17	1544892	10570247.00
20120206	6.11	6.33	6.11	6.27	1685966	11715971.00
20120207	6.20	6.22	6.03	6.07	1405487	9608673.00
20120208	6.07	6.28	6.03	6.27	1452802	10056380.00
20120209	6.29	6.46	6.23	6.36	1845884	13124891.00
20120210	6.37	6.46	6.31	6.46	1770079	12626383.00
20120213	6.38	6.60	6.35	6.57	1838653	13316145.00
20120214	6.57	6.59	6.45	6.54	1490209	10792537.00
20120215	6.54	6.71	6.44	6.71	2395382	17552200.00
20120216	6.69	6.85	6.64	6.72	2410463	17983648.00
20120217	6.73	7.47	6.62	7.45	5863192	45935440.00
20120220	7.31	7.49	7.18	7.21	5332650	43005896.00
20120221	7.15	7.24	6.89	7.23	3633376	28278648.00
20120222	7.15	7.31	7.08	7.27	3188010	25251960.00
20120223	7.24	7.31	7.12	7.17	2327876	18484052.00
20120224	7.19	7.31	7.08	7.26	2803390	22239140.00
20120227	7.26	7.72	7.26	7.29	4599273	37855716.00
20120228	7.24	7.45	7.12	7.26	2810552	22462332.00
20120229	7.24	7.36	7.10	7.11	1657599	13157052.00
20120301	7.07	7.17	7.03	7.07	1231866	9653170.00
20120302	7.08	7.27	7.07	7.25	1811147	14376793.00
20120305	7.28	7.43	7.28	7.34	2523057	20418468.00
20120306	7.30	7.31	7.09	7.29	2177103	17282468.00
20120307	7.18	7.33	7.14	7.21	1941587	15527734.00
20120308	7.22	7.44	7.22	7.38	2718533	22044850.00
20120309	7.43	7.63	7.43	7.62	3987580	33023216.00
20120312	7.62	7.65	7.45	7.54	1790032	14771980.00
20120313	7.54	7.61	7.47	7.57	1712327	14166679.00
20120314	7.61	7.64	6.95	6.97	3591619	28906748.00
20120315	6.97	7.04	6.59	6.70	2300823	17341308.00
20120316	6.69	6.95	6.69	6.91	1427847	10845205.00
20120319	6.87	7.15	6.87	7.10	1401887	10824577.00
20120320	7.07	7.07	6.87	6.93	1922786	14787029.00
20120321	6.95	7.09	6.78	7.07	1903841	14639170.00
20120322	7.03	7.65	6.99	7.41	4754632	38151356.00
20120323	7.32	7.43	7.05	7.27	2957068	23570604.00
20120326	7.19	7.53	7.07	7.09	1951888	15409841.00
20120327	7.19	7.19	6.84	6.85	1792029	13753734.00
20120328	6.85	6.89	6.52	6.53	1190080	8774009.00
20120329	6.52	6.52	6.08	6.17	1382215	9683166.00
20120330	6.17	6.30	6.10	6.14	757102	5229168.00
20120405	6.21	6.42	6.16	6.41	857551	6066778.00
20120406	6.40	6.54	6.37	6.47	825122	5927777.00
20120409	6.47	7.19	6.34	7.19	4731609	36281880.00
20120410	7.18	7.56	6.98	7.25	8073949	64348848.00
20120411	7.05	7.39	7.05	7.13	4303709	34084996.00
20120412	7.07	7.30	7.07	7.21	3524084	27902566.00
20120413	7.17	7.37	7.05	7.36	4968961	39557160.00
20120416	7.28	7.46	7.19	7.32	3915330	31569906.00
20120417	7.31	7.37	7.05	7.11	2717225	21464218.00
20120418	7.10	7.34	7.09	7.29	2864443	22820264.00
20120419	7.32	8.09	7.29	7.61	9424001	80522592.00
20120423	7.57	7.62	7.33	7.40	3709264	30253020.00
20120424	7.34	7.43	6.93	7.18	3363807	26612298.00
20120425	7.19	7.75	7.19	7.62	5738447	47611616.00
20120426	7.67	7.71	7.52	7.57	3123899	26012316.00
20120427	7.54	7.61	7.39	7.41	1788942	14679453.00
20120502	7.56	7.77	7.35	7.66	3432821	28623736.00
20120503	7.65	8.05	7.60	7.95	5683133	49042720.00
20120504	7.90	8.02	7.72	7.95	3073103	26398244.00
20120507	7.91	7.93	7.77	7.88	2451588	21031704.00
20120508	7.88	7.90	7.65	7.78	3021466	25540584.00
20120509	7.66	7.71	7.52	7.56	1768346	14745897.00
20120510	7.57	7.67	7.47	7.59	1306299	10881495.00
20120511	7.65	7.65	7.50	7.57	1188659	9879016.00
20120514	7.59	7.65	7.32	7.43	1983599	16249694.00
20120515	7.36	7.50	7.29	7.50	1238175	10084786.00
20120516	7.47	7.54	7.28	7.28	1309098	10655031.00
20120517	7.27	7.46	7.27	7.44	1274915	10351741.00
20120518	7.38	7.42	7.09	7.15	1776174	14183203.00
20120521	7.15	7.23	7.03	7.17	774902	6102629.00
20120522	7.19	7.42	7.19	7.41	1271027	10261602.00
20120523	7.40	7.44	7.27	7.39	1041916	8425535.00
20120524	7.37	7.41	7.22	7.25	974618	7869313.00
20120525	7.23	7.26	6.95	6.99	1527279	11884636.00
20120528	6.99	7.22	6.88	7.18	1055587	8200217.00
20120529	7.19	7.45	7.15	7.40	1891643	15331428.00
20120530	7.41	7.45	7.31	7.34	1013142	8211124.00
20120531	7.32	7.42	7.28	7.37	825655	6685603.00
20120601	7.37	7.43	7.28	7.37	997101	8070149.00
20120604	7.27	7.27	6.90	6.91	1898255	14778361.00
20120605	6.91	7.00	6.78	6.80	1024034	7766564.00
20120606	6.89	6.89	6.65	6.68	815269	6110500.00
