600083 博信股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	7.21	7.24	7.10	7.18	712960	5096194.00
20111011	7.30	7.34	7.07	7.16	714002	5137366.00
20111012	7.08	7.34	7.05	7.34	1125568	8178247.00
20111013	7.34	7.48	7.26	7.44	1051208	7806366.00
20111014	7.41	7.47	7.30	7.36	703808	5189850.00
20111017	7.32	7.55	7.32	7.46	897250	6699617.00
20111018	7.48	7.64	7.35	7.40	1825151	13692709.00
20111019	7.33	7.52	7.33	7.40	465051	3446411.00
20111020	7.40	7.44	7.03	7.03	1466862	10427670.00
20111021	7.04	7.08	6.92	6.99	579261	4048981.00
20111024	7.00	7.08	6.68	6.99	1212412	8356859.00
20111025	6.99	7.15	6.98	7.14	1105705	7827629.00
20111026	7.11	7.21	7.00	7.13	878400	6262442.00
20111027	7.17	7.21	7.09	7.14	585193	4175119.00
20111028	7.18	7.25	7.00	7.21	805863	5776255.00
20111031	7.13	7.22	7.10	7.16	970446	6937489.00
20111101	7.16	7.19	7.06	7.15	826247	5895891.00
20111102	7.07	7.20	7.01	7.20	1365604	9706520.00
20111103	7.20	7.34	7.15	7.21	1527530	11059778.00
20111104	7.22	7.36	7.21	7.32	1384042	10057304.00
20111107	7.32	7.42	7.25	7.31	1193132	8743174.00
20111108	7.35	7.35	7.18	7.23	840380	6077593.00
20111109	7.22	7.28	7.16	7.27	1227270	8849364.00
20111110	7.20	7.28	7.10	7.16	1159463	8293781.00
20111111	7.18	7.26	7.10	7.16	918094	6558201.00
20111114	7.18	7.27	7.15	7.26	1251477	9045877.00
20111115	7.29	7.58	7.18	7.51	5857673	43365980.00
20111116	7.47	7.50	7.33	7.37	2075201	15346845.00
20111117	7.40	7.47	7.33	7.39	1017308	7540620.00
20111118	7.39	7.76	7.39	7.59	6736777	51559120.00
20111121	7.51	7.59	7.21	7.21	2881360	20895332.00
20111122	7.05	7.27	6.87	7.25	4153541	29445282.00
20111123	7.23	7.26	7.10	7.10	1121499	8019192.00
20111124	7.06	7.08	6.88	7.04	1465089	10244198.00
20111125	7.03	7.05	6.95	7.04	894320	6251727.00
20111128	7.08	7.08	6.95	6.98	566069	3953424.00
20111129	7.02	7.05	6.98	7.02	574172	4020736.00
20111130	7.02	7.07	6.67	6.71	1494399	10127691.00
20111201	6.86	6.93	6.78	6.79	1134534	7775099.00
20111202	6.84	6.84	6.45	6.45	1721100	11249141.00
20111205	6.46	6.46	6.19	6.27	1049208	6633651.00
20111206	6.28	6.32	5.96	5.96	2045970	12282797.00
20111207	5.95	5.95	5.66	5.66	4713159	26814006.00
20111208	5.64	5.64	5.38	5.48	4832278	26204796.00
20111209	5.40	5.45	5.27	5.30	2013686	10764946.00
20111212	5.26	5.42	5.26	5.34	1353386	7238288.00
20111213	5.29	5.34	5.07	5.07	1691701	8625124.00
20111214	5.07	5.07	4.82	4.82	2657747	12873272.00
20111215	4.63	4.70	4.58	4.58	1751312	8056152.00
20111216	4.40	4.45	4.35	4.40	3205780	14007240.00
20111219	4.40	4.40	4.18	4.33	2915900	12360624.00
20111220	4.31	4.55	4.25	4.54	3432396	15494071.00
20111221	4.52	4.65	4.31	4.31	2754007	12309375.00
20111222	4.20	4.20	4.09	4.09	2789470	11463299.00
20111223	4.01	4.24	4.00	4.13	1456567	6024413.00
20111226	4.13	4.29	4.06	4.20	1047565	4388284.00
20111227	4.19	4.19	4.01	4.08	866016	3532799.00
20111228	4.00	4.10	3.94	4.09	1499443	6023898.00
20111229	4.09	4.22	4.04	4.18	989470	4113140.00
20111230	4.18	4.37	4.14	4.36	2164949	9276049.00
20120104	4.37	4.40	4.25	4.32	1889929	8135855.00
20120105	4.30	4.30	4.10	4.10	1199810	4963367.00
20120106	3.93	4.25	3.93	4.20	2172324	8939146.00
20120109	4.20	4.40	4.10	4.35	2314261	9816731.00
20120110	4.29	4.50	4.25	4.46	3579549	15804366.00
20120111	4.43	4.52	4.40	4.45	1865822	8317438.00
20120112	4.41	4.52	4.40	4.47	1025117	4586609.00
20120113	4.46	4.48	4.25	4.27	1445902	6252351.00
20120116	4.27	4.27	4.10	4.11	485699	2033292.00
20120117	4.08	4.32	4.07	4.32	1587678	6716207.00
