600084 中葡股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	7.15	7.21	7.09	7.10	2094200	14998743.00
20111011	7.29	7.30	7.00	7.10	2516429	17941832.00
20111012	7.09	7.27	6.96	7.22	7212555	51377720.00
20111013	7.22	7.34	7.17	7.25	3935063	28463852.00
20111014	7.25	7.28	7.08	7.17	2822571	20229548.00
20111017	7.20	7.24	7.10	7.14	2289153	16384398.00
20111018	7.12	7.16	6.88	6.90	3516636	24657368.00
20111019	6.92	6.98	6.78	6.80	2322368	15923758.00
20111020	6.78	6.79	6.46	6.56	4830860	31730376.00
20111021	6.50	6.61	6.49	6.51	2317400	15175416.00
20111024	6.55	6.60	6.40	6.60	2669627	17491284.00
20111025	6.60	6.93	6.58	6.93	4519408	30751492.00
20111026	6.93	7.05	6.86	6.91	3671089	25555980.00
20111027	6.92	7.01	6.85	6.92	2027834	14062986.00
20111028	7.00	7.10	6.93	7.08	4490172	31506536.00
20111031	6.95	7.00	6.81	6.93	3925936	27136940.00
20111101	6.89	7.02	6.82	6.93	2321934	16097569.00
20111102	6.84	7.03	6.78	7.01	3492394	24087924.00
20111103	7.04	7.17	7.01	7.10	5976450	42337016.00
20111104	7.14	7.25	7.13	7.25	5209240	37461176.00
20111107	7.25	7.27	7.12	7.22	3582819	25790552.00
20111108	7.22	7.27	7.04	7.06	3914412	27959772.00
20111109	7.08	7.22	7.05	7.19	5339815	38089204.00
20111110	7.07	7.15	6.95	6.96	4279737	30226752.00
20111111	7.01	7.15	7.00	7.03	2051259	14500525.00
20111114	7.03	7.24	7.03	7.19	4034088	28878352.00
20111115	7.18	7.36	7.11	7.29	4280307	31016472.00
20111116	7.29	7.30	7.03	7.06	5429988	38821624.00
20111117	7.05	7.11	7.05	7.10	2881055	20409146.00
20111118	7.05	7.08	6.76	6.79	3677669	25423522.00
20111121	6.80	6.88	6.70	6.82	1973937	13379648.00
20111122	6.73	6.82	6.68	6.78	2707934	18313312.00
20111123	6.78	6.81	6.62	6.66	3324507	22286016.00
20111124	6.59	6.71	6.46	6.66	5796300	38478860.00
20111125	6.60	6.81	6.59	6.65	4197190	28093754.00
20111128	6.67	6.76	6.58	6.73	2593975	17212476.00
20111129	6.75	6.91	6.71	6.86	5015149	34348040.00
20111130	6.86	6.91	6.55	6.68	4721632	31695496.00
20111201	6.88	6.94	6.80	6.86	5507628	37882900.00
20111202	6.87	6.87	6.68	6.70	2695762	18201684.00
20111205	6.70	6.70	6.50	6.51	2293759	15106015.00
20111206	6.51	6.58	6.38	6.50	2415339	15635758.00
20111207	6.50	6.51	6.39	6.41	1927043	12414774.00
20111208	6.40	6.42	6.20	6.35	2518426	15913606.00
20111209	6.25	6.39	6.24	6.27	1706458	10726451.00
20111212	6.30	6.35	6.24	6.28	1192810	7524254.00
20111213	6.22	6.26	5.97	5.97	4162200	25082402.00
20111214	5.91	6.03	5.68	5.82	2597489	15240876.00
20111215	5.83	5.83	5.53	5.57	3817349	21456010.00
20111216	5.59	5.85	5.52	5.85	3405188	19372308.00
20111219	5.76	5.85	5.57	5.80	3844219	22094332.00
20111222	5.79	5.82	5.51	5.71	8510119	47722284.00
20111223	5.67	5.82	5.63	5.69	2501776	14342290.00
20111226	5.69	5.76	5.63	5.67	1993534	11377368.00
20111227	5.67	5.68	5.53	5.55	1583219	8875496.00
20111228	5.57	5.57	5.27	5.32	5210158	27654798.00
20111229	5.30	5.38	5.22	5.25	2314781	12298763.00
20111230	5.27	5.40	5.27	5.33	2680614	14320364.00
20120104	5.37	5.44	5.22	5.25	2905737	15507089.00
20120105	5.21	5.22	4.99	5.06	3434499	17377528.00
20120106	5.03	5.17	4.98	5.15	2076610	10556465.00
20120109	5.15	5.35	5.10	5.34	2595703	13655682.00
20120110	5.34	5.55	5.31	5.49	4125002	22548444.00
20120111	5.50	5.56	5.43	5.53	3393048	18651898.00
20120112	5.50	5.59	5.45	5.48	2379643	13149756.00
20120113	5.47	5.53	5.25	5.29	2906778	15604218.00
20120116	5.28	5.37	5.19	5.25	1823816	9634136.00
20120117	5.28	5.51	5.17	5.50	3054501	16349788.00
20120118	5.52	5.55	5.33	5.37	2023207	11017347.00
20120119	5.38	5.49	5.34	5.48	1945914	10578851.00
20120120	5.50	5.75	5.50	5.75	5062861	28962030.00
20120130	5.74	5.79	5.60	5.70	6772678	38643728.00
20120131	5.68	5.69	5.51	5.64	4328236	24222570.00
20120201	5.65	5.76	5.58	5.63	3658895	20757452.00
20120202	5.64	5.70	5.53	5.69	2589442	14572725.00
20120203	5.65	5.97	5.61	5.85	5197266	30370692.00
20120206	5.84	5.88	5.77	5.83	3414359	19863278.00
20120207	5.82	5.82	5.55	5.65	3532358	19971800.00
20120208	5.63	5.79	5.61	5.77	2870471	16383795.00
20120209	5.72	5.85	5.72	5.78	3106869	18014296.00
20120210	5.76	5.90	5.74	5.89	3784337	22079120.00
20120213	5.87	5.96	5.78	5.92	4992976	29516772.00
20120214	5.92	5.98	5.85	5.95	3093537	18308548.00
20120215	5.93	6.13	5.89	6.09	4422470	26843014.00
20120216	6.10	6.10	5.90	5.98	4589265	27568400.00
20120217	5.99	6.05	5.87	5.93	3198540	19021288.00
20120220	6.01	6.01	5.92	5.94	2552490	15243391.00
20120221	5.95	6.24	5.89	6.24	6913368	42351156.00
20120222	6.10	6.25	6.07	6.18	7852404	48395632.00
20120223	6.15	6.26	6.13	6.19	4941888	30611904.00
20120224	6.20	6.26	6.13	6.20	5656877	35052080.00
20120227	6.20	6.26	6.13	6.14	7579956	47053012.00
20120228	6.13	6.16	5.98	6.02	6603897	40000016.00
20120229	5.98	6.03	5.88	5.90	5796903	34499672.00
20120301	5.88	5.97	5.84	5.92	3236440	19111504.00
20120302	5.93	6.02	5.90	6.02	3082613	18400960.00
20120305	6.09	6.09	5.98	6.02	4406135	26553232.00
20120306	5.99	6.02	5.88	5.89	3633027	21484208.00
20120307	5.89	5.91	5.82	5.83	2634018	15438719.00
20120308	5.87	5.94	5.84	5.93	3029726	17845332.00
20120309	5.90	6.04	5.90	6.04	3571293	21359440.00
20120312	6.04	6.09	5.93	5.99	4053046	24310890.00
20120313	6.00	6.06	5.95	6.06	4374119	26326088.00
20120314	6.07	6.36	6.06	6.32	19534466	121497792.00
20120315	6.26	6.64	6.08	6.64	19719126	128013056.00
20120316	6.80	6.97	6.65	6.90	22585519	155341696.00
20120320	6.84	7.25	6.63	7.23	20896130	146415472.00
20120321	7.10	7.49	6.96	7.03	19838956	142808560.00
20120322	6.93	7.15	6.87	7.00	10894805	76138080.00
20120323	6.98	6.98	6.65	6.75	8845317	60025488.00
20120326	6.72	7.04	6.71	7.02	7747688	53691312.00
20120327	6.97	7.37	6.97	7.19	11771023	85548224.00
