600085 同仁堂 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	12.65	12.81	12.25	12.34	5146492	69300896.00
20111011	12.66	12.80	12.03	12.18	5900379	79335544.00
20111012	11.95	12.92	11.95	12.82	10135793	137912928.00
20111013	12.83	13.33	12.66	13.21	10406957	147720032.00
20111014	13.15	13.30	12.92	13.10	5719300	80698936.00
20111017	13.11	13.40	13.05	13.23	5281383	75451944.00
20111018	13.13	13.13	12.64	12.68	5257027	73177976.00
20111019	12.70	12.91	12.55	12.80	3922186	54115652.00
20111020	12.65	12.73	12.38	12.43	3764864	51041532.00
20111021	12.35	12.82	12.30	12.70	5938358	80771808.00
20111024	12.75	13.10	12.57	13.03	6941933	96891320.00
20111025	13.04	13.56	12.98	13.40	10640497	152548000.00
20111026	13.28	13.77	13.21	13.46	12249482	179147600.00
20111027	13.47	13.65	13.24	13.34	7023188	101764248.00
20111028	13.47	13.68	13.33	13.58	7911088	115177712.00
20111031	13.58	13.91	13.45	13.84	9368489	138629296.00
20111101	13.75	13.90	13.54	13.68	8477789	125120128.00
20111102	13.54	14.01	13.40	13.96	9651218	142447056.00
20111103	13.96	15.19	13.96	14.89	25325217	400267936.00
20111104	14.80	15.40	14.80	15.24	20681982	334309856.00
20111107	15.22	15.45	15.04	15.05	13325067	216375104.00
20111108	15.05	15.15	14.65	14.74	10586845	168276256.00
20111109	14.83	15.23	14.80	15.08	12008113	193409392.00
20111110	14.75	15.55	14.75	15.32	22976679	376434400.00
20111111	15.31	15.51	15.05	15.15	11209498	183157312.00
20111114	15.26	15.61	15.26	15.60	13570599	224598224.00
20111115	15.51	15.94	15.51	15.71	10904767	183300336.00
20111116	15.76	15.89	14.96	15.22	14936580	245329152.00
20111117	15.20	15.37	15.03	15.13	8635467	140275792.00
20111118	15.05	15.05	14.53	14.74	8227523	130094024.00
20111121	14.56	15.00	14.35	14.99	6563602	104217240.00
20111122	14.87	15.15	14.76	15.10	6748616	108556816.00
20111123	15.20	15.40	15.03	15.31	8413277	137039744.00
20111124	15.15	15.48	15.05	15.32	7972581	130313720.00
20111125	15.35	15.42	14.98	15.03	6162328	100017216.00
20111128	15.05	15.13	14.61	14.90	5348058	85165088.00
20111129	14.97	15.49	14.97	15.45	13832006	226821712.00
20111201	15.40	15.80	15.25	15.64	24065171	400608320.00
20111202	15.60	15.60	14.98	15.13	10314313	168372304.00
20111205	15.15	15.23	14.66	14.73	7337768	116826408.00
20111206	14.71	14.87	14.36	14.71	6159523	96693288.00
20111207	14.74	14.84	14.51	14.64	3643389	57311848.00
20111208	14.64	14.92	14.38	14.72	5161862	80976744.00
20111209	14.65	14.82	14.30	14.47	5126588	79836384.00
20111212	14.50	14.55	14.12	14.13	4461659	68577744.00
20111213	13.96	13.96	13.25	13.33	7069805	103247232.00
20111214	13.25	13.48	13.05	13.32	4656093	66836024.00
20111215	13.24	13.48	13.13	13.20	5521165	79083544.00
20111216	13.15	13.60	13.15	13.60	5535129	80079760.00
20111219	13.64	13.87	13.35	13.79	4749477	69554560.00
20111220	13.74	14.15	13.69	13.74	4842245	72495616.00
20111221	13.95	14.05	13.50	13.52	3312126	49148232.00
20111222	13.45	13.77	13.07	13.60	5555973	80407336.00
20111223	13.42	13.78	13.42	13.60	3014881	44267600.00
20111226	13.53	13.70	13.38	13.40	2796832	40702192.00
20111227	13.95	13.95	13.05	13.06	6077280	87773936.00
20111228	12.94	12.94	12.38	12.84	5568313	75958416.00
20111229	12.75	12.95	12.65	12.86	3038713	42264704.00
20111230	13.00	13.14	12.87	12.98	3761434	52810024.00
20120104	13.07	13.25	12.79	12.80	3361787	47216688.00
20120105	12.71	12.71	11.98	12.09	6905683	92412936.00
20120106	12.13	12.29	11.94	12.28	3610067	47531804.00
20120109	12.31	12.82	12.14	12.81	4987748	67859248.00
20120110	12.81	13.30	12.75	13.25	7976148	112933328.00
20120111	13.30	13.54	13.17	13.25	7217904	103892488.00
20120112	13.20	13.39	13.07	13.25	4698845	67137744.00
20120113	13.32	13.32	12.58	12.63	7001706	97441016.00
20120116	12.44	12.63	11.83	11.87	10100779	133095936.00
20120117	11.99	12.66	11.88	12.61	7007033	93605320.00
20120118	12.62	12.74	12.15	12.27	7410423	99771208.00
20120119	12.27	12.54	12.08	12.50	6163182	82651184.00
20120120	12.50	12.99	12.44	12.88	7770753	107749376.00
20120130	13.03	13.04	12.65	12.66	4611425	63767748.00
