600086 东方金钰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	4.91	4.91	4.73	4.81	1593967	22881304.00
20111011	4.96	4.99	4.82	4.93	2786983	40908124.00
20111012	4.90	5.13	4.86	5.10	4425409	67211672.00
20111013	5.11	5.18	5.07	5.17	3175386	48873804.00
20111014	5.15	5.16	5.04	5.06	1900773	28945352.00
20111017	5.06	5.13	4.98	5.00	2171312	32821928.00
20111018	4.90	4.95	4.71	4.72	2873375	41399768.00
20111019	4.75	4.79	4.65	4.73	1794309	25426740.00
20111020	4.72	4.78	4.56	4.59	1917768	26779652.00
20111021	4.58	4.65	4.55	4.64	1397180	19370220.00
20111024	4.70	4.80	4.61	4.75	3018167	42719984.00
20111025	4.77	5.00	4.70	4.93	4005926	58148932.00
20111026	4.92	5.16	4.90	5.08	6230383	94822544.00
20111027	5.07	5.12	4.97	4.99	3526499	53234456.00
20111028	5.08	5.13	5.00	5.10	4812737	73148400.00
20111031	5.07	5.12	5.02	5.09	3167614	48111028.00
20111101	5.04	5.22	5.01	5.16	5638361	87170936.00
20111102	5.07	5.42	5.04	5.40	6595300	103453664.00
20111103	5.46	5.56	5.34	5.36	7370642	120436320.00
20111104	5.44	5.48	5.36	5.47	4587731	74764816.00
20111107	5.42	5.57	5.41	5.46	3733622	61565860.00
20111108	5.47	5.53	5.29	5.32	3702149	60427896.00
20111109	5.33	5.39	5.22	5.38	3605023	57528992.00
20111110	5.27	5.33	5.20	5.20	2330307	36935128.00
20111111	5.20	5.26	5.16	5.21	2170362	33911320.00
20111114	5.24	5.40	5.24	5.38	2909896	46585532.00
20111115	5.37	5.49	5.33	5.46	3513203	57207160.00
20111116	5.46	5.49	5.25	5.29	3599632	57932684.00
20111117	5.31	5.32	5.20	5.23	1682836	26545028.00
20111118	5.17	5.23	5.00	5.06	2427663	37184328.00
20111121	4.96	5.12	4.94	5.09	1498166	22718272.00
20111122	5.03	5.10	4.97	5.07	1685237	25450330.00
20111123	5.07	5.12	5.04	5.06	1658781	25227156.00
20111124	5.03	5.10	4.93	5.05	1664271	24982134.00
20111125	5.03	5.10	4.97	5.04	1873260	28326668.00
20111128	5.06	5.54	5.06	5.54	7275684	118311640.00
20111129	5.71	5.96	5.63	5.78	17327177	299916160.00
20111130	5.73	6.20	5.70	5.89	20346028	364338400.00
20111201	6.07	6.33	6.01	6.20	17432967	323102368.00
20111202	6.14	6.40	5.85	5.91	18469409	341003328.00
20111205	5.84	5.87	5.60	5.74	11229402	192549280.00
20111206	5.72	5.78	5.52	5.77	9638896	163471216.00
20111207	5.70	5.76	5.53	5.65	9106163	154664016.00
20111208	5.60	5.78	5.40	5.74	11662167	196518256.00
20111209	5.62	5.69	5.53	5.53	5486681	92121768.00
20111212	5.53	5.53	5.17	5.22	6644896	106424496.00
20111213	5.09	5.10	4.70	4.72	10247932	148994416.00
20111214	4.66	4.82	4.60	4.74	5777323	81885536.00
20111215	4.64	4.80	4.55	4.69	5772140	80834648.00
20111216	4.68	4.90	4.65	4.90	6206316	88774408.00
20111219	4.88	4.88	4.70	4.83	4474930	64175344.00
20111220	4.77	5.17	4.77	5.03	9360162	140723056.00
20111221	5.05	5.13	4.83	4.83	5467885	81332160.00
20111222	4.73	4.77	4.37	4.71	5087602	70283680.00
20111223	4.70	4.85	4.58	4.84	3824284	54408156.00
20111226	4.78	4.88	4.67	4.70	2524923	36329912.00
20111227	4.66	4.66	4.48	4.48	2881525	39379732.00
20111228	4.43	4.48	4.25	4.35	3487301	45425632.00
20111229	4.25	4.37	4.25	4.27	3281271	42469008.00
20111230	4.32	4.40	4.29	4.33	2298083	29928084.00
20120104	4.39	4.46	4.17	4.22	2340869	30507916.00
20120105	4.15	4.20	3.80	3.80	4749476	56280540.00
20120106	3.72	3.79	3.48	3.75	5872644	63582064.00
20120109	3.70	3.98	3.60	3.94	4447056	50879376.00
20120111	4.20	4.33	4.19	4.33	9096010	117795624.00
20120112	4.46	4.46	4.22	4.36	12017569	156130400.00
20120113	4.33	4.50	4.25	4.38	9946454	130879528.00
20120116	4.27	4.31	3.95	3.95	5623951	69363352.00
20120117	3.90	4.32	3.90	4.31	5826108	72654496.00
20120118	4.30	4.45	4.14	4.19	5587792	72374720.00
20120119	4.14	4.50	4.09	4.42	7088711	92941960.00
20120120	4.46	4.46	4.24	4.37	4793075	62630720.00
20120130	4.46	4.67	4.41	4.42	6766292	91891208.00
20120131	4.37	4.48	4.34	4.43	2887505	38167380.00
20120201	4.43	4.48	4.24	4.29	3541514	46328668.00
20120202	4.33	4.36	4.25	4.36	2609307	33817372.00
20120203	4.36	4.46	4.34	4.41	3519542	46518084.00
20120206	4.38	4.48	4.36	4.41	3750763	49677048.00
20120207	4.37	4.37	4.20	4.27	4073014	52154760.00
20120208	4.25	4.48	4.25	4.48	5907980	78078600.00
20120209	4.47	4.60	4.40	4.53	7352628	99791480.00
20120210	4.60	4.71	4.46	4.53	5709283	78609408.00
20120213	4.47	4.80	4.44	4.75	9971393	139785376.00
20120214	4.70	4.73	4.61	4.66	5275009	73711424.00
20120215	4.61	4.72	4.57	4.70	5247033	73411616.00
20120216	4.72	4.72	4.57	4.63	4388696	61230744.00
20120217	4.62	4.86	4.58	4.83	9972225	142593184.00
20120220	4.87	4.95	4.70	4.79	9039335	130668888.00
20120221	4.75	4.82	4.65	4.80	5669217	80531216.00
20120222	4.83	4.90	4.78	4.85	6228408	90497584.00
20120223	4.85	5.00	4.80	4.98	8856620	130249520.00
20120224	4.95	4.99	4.89	4.98	6934333	102802704.00
20120227	4.98	5.07	4.91	4.93	7569853	113401520.00
20120228	4.90	4.90	4.76	4.80	5214590	75344136.00
20120229	4.80	4.93	4.77	4.81	4390080	63868052.00
20120301	4.70	4.77	4.66	4.72	3739187	53000472.00
20120302	4.72	4.81	4.72	4.81	3885170	55785136.00
20120306	4.79	4.79	4.62	4.75	4236697	59520324.00
20120307	4.68	4.73	4.65	4.67	3011132	42341792.00
20120308	4.65	4.79	4.65	4.75	2864795	40783756.00
20120309	4.75	4.85	4.75	4.82	3351394	48382776.00
20120312	4.89	4.95	4.84	4.92	6342088	93110032.00
20120313	4.90	4.94	4.88	4.93	3950370	58317840.00
20120314	4.97	5.05	4.61	4.67	8264641	121081304.00
20120315	4.68	4.70	4.50	4.61	4509146	62278640.00
20120316	4.63	4.69	4.55	4.67	3155256	43986108.00
20120319	4.67	4.77	4.60	4.76	3674150	51492496.00
20120320	4.76	4.76	4.60	4.62	2824396	39489472.00
20120321	4.67	4.78	4.63	4.67	3829920	53792528.00
20120322	4.68	4.73	4.57	4.62	3888501	54266716.00
20120323	4.58	4.65	4.32	4.33	6762896	89945080.00
20120326	4.34	4.39	4.25	4.26	2161553	27920328.00
20120327	4.29	4.34	4.27	4.29	2450832	31608228.00
20120328	4.29	4.32	4.00	4.03	3611151	44545084.00
20120329	4.04	4.04	3.80	3.83	4339233	50735048.00
20120330	3.84	4.13	3.76	4.10	4271036	50286572.00
20120405	4.00	4.19	3.95	4.15	5162346	63533088.00
20120406	4.10	4.56	4.10	4.56	10241502	136516080.00
20120409	4.61	4.79	4.49	4.70	12054585	168351024.00
20120410	4.67	4.69	4.45	4.66	9444818	129619360.00
20120411	4.58	4.75	4.50	4.71	9745410	135394032.00
20120412	4.67	4.85	4.57	4.84	12229049	172928208.00
20120413	4.84	4.88	4.73	4.79	7372901	105844264.00
20120416	4.70	4.70	4.60	4.61	6682292	93079256.00
20120417	4.62	4.73	4.57	4.60	8095723	113010032.00
20120418	4.55	4.79	4.55	4.76	9735043	137807856.00
20120419	4.75	4.76	4.64	4.68	5692798	80247216.00
20120423	4.72	4.80	4.61	4.63	8220374	116567208.00
20120424	4.59	4.63	4.33	4.50	6721392	90423112.00
20120425	4.47	4.59	4.46	4.55	4399730	60007628.00
20120426	4.56	4.60	4.43	4.44	5385522	72677776.00
20120427	4.43	4.47	4.34	4.36	3793976	49865888.00
20120502	4.37	4.53	4.23	4.45	10147270	133445672.00
20120503	4.40	4.49	4.38	4.46	4153822	55404168.00
20120504	4.45	4.53	4.42	4.50	5726158	77148216.00
20120507	4.49	4.95	4.45	4.95	19095234	275137088.00
20120508	5.12	5.28	5.03	5.23	31521663	489234592.00
20120509	5.13	5.16	5.01	5.04	15608522	237452848.00
20120510	5.04	5.14	4.96	5.00	12707764	191440560.00
20120511	4.97	5.00	4.80	4.86	12708850	186176000.00
20120514	4.90	4.96	4.79	4.87	14913069	217786816.00
20120515	4.81	5.00	4.79	4.99	13767249	203227088.00
20120516	4.97	5.04	4.66	4.71	17761503	256607440.00
20120517	4.68	4.76	4.52	4.72	12014139	167348144.00
20120518	4.68	4.72	4.53	4.55	8105557	112285200.00
20120521	4.55	4.76	4.53	4.69	8874854	124236872.00
20120522	4.71	4.90	4.69	4.86	11459932	165005488.00
20120523	4.78	4.81	4.63	4.73	8712065	123584616.00
20120524	4.69	4.88	4.67	4.84	10574972	152422208.00
20120525	4.80	4.83	4.61	4.63	8982669	126674080.00
20120528	4.55	4.65	4.41	4.63	8661274	117295584.00
20120529	4.60	4.77	4.58	4.73	7845066	110901968.00
20120530	4.71	4.83	4.66	4.83	8370588	119613848.00
20120531	4.79	4.87	4.74	4.75	7313648	105308448.00
20120601	4.73	4.88	4.73	4.80	7017367	101437024.00
20120604	4.84	5.05	4.84	4.90	19790271	293292064.00
20120605	4.84	4.88	4.67	4.73	9544242	135845472.00
20120606	4.73	5.06	4.73	4.96	18805052	278922656.00
20120607	5.01	5.07	4.91	5.04	16531661	247774448.00
20120608	5.00	5.01	4.87	4.94	11309087	167744848.00
20120611	4.92	5.16	4.92	5.09	14657363	223291120.00
20120612	5.05	5.05	4.90	4.96	9310662	138804016.00
20120613	4.97	5.02	4.85	4.99	10122925	150092160.00
20120614	4.95	5.03	4.84	4.85	8436441	124522216.00
20120615	4.84	4.91	4.73	4.79	6879105	99668240.00
20120618	4.80	4.91	4.79	4.89	5048774	73582744.00
20120619	4.88	4.89	4.77	4.78	5607745	81106096.00
20120620	4.78	4.85	4.77	4.78	3273555	47181368.00
20120621	4.75	4.75	4.55	4.58	7748663	107566280.00
20120625	4.52	4.53	4.33	4.34	5419425	71897744.00
20120626	4.33	4.50	4.28	4.44	4454839	58957488.00
20120627	4.46	4.55	4.38	4.45	3547355	47513344.00
20120628	4.45	4.50	4.32	4.34	3115271	41087432.00
20120629	4.27	4.41	4.24	4.39	3344518	43593968.00
20120702	4.43	4.56	4.43	4.50	5065916	68503592.00
20120703	4.54	4.60	4.46	4.53	5486376	74956304.00
20120704	4.57	4.70	4.57	4.59	6214749	86247992.00
20120705	4.55	4.56	4.40	4.45	4286322	57407444.00
20120706	4.49	4.63	4.41	4.60	4221400	57432172.00
20120709	4.56	4.83	4.51	4.68	13093791	185914768.00
20120710	4.66	4.77	4.63	4.72	5070686	71659248.00
20120711	4.71	4.79	4.66	4.79	5252699	74697416.00
20120712	4.78	4.86	4.73	4.83	7125738	102870376.00
20120713	4.83	5.05	4.81	4.97	12031047	178845952.00
20120716	4.95	5.02	4.79	4.80	9311889	136876352.00
20120717	4.76	4.98	4.75	4.97	6938692	101905976.00
20120718	4.95	5.06	4.83	5.03	6937306	103234960.00
20120719	4.99	5.08	4.93	4.97	6784368	102042800.00
20120720	4.96	5.03	4.87	5.02	5987507	88856792.00
20120723	5.00	5.02	4.87	5.00	5505572	81701856.00
20120724	4.94	5.02	4.83	4.95	5045150	74465392.00
20120725	4.90	4.96	4.78	4.78	3717644	54049736.00
20120726	4.79	4.96	4.79	4.90	6727913	99040024.00
20120727	4.90	4.97	4.83	4.95	4578129	67282456.00
20120730	4.96	4.98	4.89	4.92	3299786	48735408.00
20120731	4.90	4.90	4.47	4.57	5465494	76159440.00
20120801	4.50	4.73	4.50	4.68	3406924	47709088.00
20120802	4.68	4.78	4.65	4.77	2757913	39078616.00
20120803	4.75	4.86	4.75	4.85	2466555	35743920.00
20120806	4.85	5.05	4.81	4.99	4266200	63753172.00
20120807	5.00	5.13	4.96	5.03	5428410	82153408.00
20120808	5.00	5.19	4.94	5.14	7549405	115184736.00
20120809	5.13	5.20	5.06	5.18	6352860	97762088.00
20120810	5.15	5.17	5.04	5.11	4372365	66843896.00
20120813	5.08	5.61	5.04	5.38	11780803	190905504.00
20120814	5.34	5.77	5.34	5.68	12734258	211895120.00
20120815	5.63	5.68	5.54	5.56	6331292	106457720.00
20120816	5.55	5.65	5.49	5.59	5166119	86297376.00
20120817	5.60	5.86	5.55	5.70	8574579	146787168.00
20120820	5.63	5.73	5.40	5.67	6192757	103178768.00
20120821	5.63	5.76	5.58	5.64	5736842	97753368.00
20120822	5.63	5.73	5.50	5.62	4525573	75792488.00
20120823	5.60	6.18	5.57	6.14	13745467	244383024.00
20120824	6.10	6.10	5.83	5.89	8110507	144675152.00
20120827	5.78	6.07	5.70	5.71	6520092	115245600.00
20120828	5.67	5.83	5.57	5.73	5279666	90187856.00
20120829	5.70	5.74	5.59	5.68	3497265	59493944.00
20120830	5.65	5.69	5.23	5.57	6340425	104487024.00
20120831	5.50	5.58	5.43	5.45	2624743	43239268.00
20120903	5.55	5.98	5.53	5.91	8768804	152604368.00
20120904	5.87	6.01	5.79	5.85	5877960	103720936.00
20120905	5.83	6.08	5.79	5.92	6818243	122321392.00
20120906	5.93	6.02	5.85	6.00	4729110	84283200.00
20120907	6.07	6.20	5.95	6.05	9770019	177653792.00
20120910	6.19	6.36	6.07	6.09	8110888	150894704.00
20120911	6.03	6.12	5.86	6.00	4230753	76172912.00
20120912	6.07	6.19	5.94	6.03	3640335	66101168.00
