600088 中视传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	12.10	12.73	12.10	12.34	2497858	31615268.00
20111011	13.24	13.44	12.70	12.94	11363818	152317312.00
20111012	12.74	14.26	12.59	14.26	11161660	155548320.00
20111013	14.62	15.71	14.44	15.71	24892128	386844032.00
20111014	16.14	16.24	15.34	15.80	24613586	392317984.00
20111017	15.76	16.21	15.54	15.95	25628785	413331648.00
20111018	15.64	16.14	15.47	15.93	20898846	335653888.00
20111019	15.94	16.04	14.52	14.85	21459284	331608448.00
20111020	14.80	15.14	14.46	14.69	16505795	249268352.00
20111021	14.44	14.85	14.24	14.34	12056294	177480560.00
20111024	14.39	15.80	14.06	15.80	27197299	417225504.00
20111025	15.81	17.24	15.59	16.23	38865018	639167616.00
20111026	15.92	17.65	15.81	16.74	36306104	613131584.00
20111027	16.44	16.71	16.09	16.31	17571265	291673504.00
20111028	16.64	17.72	16.39	16.70	28810091	494944384.00
20111031	16.57	17.39	16.34	17.06	22401953	386287040.00
20111101	16.63	17.14	16.56	16.84	16392996	280212384.00
20111102	16.43	18.55	16.35	18.55	33098239	595469376.00
20111103	18.94	19.04	17.96	18.10	33433931	623045824.00
20111104	17.79	18.43	17.35	17.89	19075718	344779456.00
20111107	17.60	18.04	17.42	18.01	12629173	228238128.00
20111108	18.02	18.15	17.45	17.58	11349708	204871104.00
20111109	17.64	19.01	16.98	18.62	24646010	451571808.00
20111110	17.99	18.42	16.87	17.07	19351281	348364288.00
20111111	17.07	17.94	16.77	17.07	12816069	224947520.00
20111114	17.24	17.58	16.74	17.27	9646383	169317040.00
20111115	17.22	17.68	16.96	17.62	13698437	242414464.00
20111116	17.57	17.57	16.82	17.06	10516099	182895216.00
20111117	17.04	17.25	16.65	16.76	7466608	128268400.00
20111118	16.64	16.94	16.15	16.34	10351090	174104400.00
20111121	16.31	16.59	16.13	16.53	6212419	103384096.00
20111122	16.35	17.00	16.34	16.80	10552970	178670928.00
20111123	16.80	17.00	16.35	16.62	7837147	133031800.00
20111124	16.34	16.94	16.24	16.54	5651102	95174336.00
20111125	16.38	16.83	16.25	16.51	6242640	105066992.00
20111129	16.51	16.54	15.84	16.13	9793438	160380816.00
20111130	16.09	16.09	14.52	14.84	11651592	183223536.00
20111201	15.54	15.59	14.74	14.90	8080919	125574328.00
20111202	14.64	15.72	14.36	15.14	8163363	125071720.00
20111205	14.99	15.41	14.55	14.68	5024298	76938528.00
20111206	14.61	15.61	14.37	15.42	8688712	133519784.00
20111207	15.39	16.09	15.25	15.84	12739572	204326144.00
20111208	15.73	16.73	15.59	16.20	15807553	260242512.00
20111209	16.01	16.09	15.19	15.21	9085416	144025584.00
20111212	15.15	15.43	14.19	14.41	9611126	144287904.00
20111213	14.23	15.13	13.64	14.73	14931415	216938736.00
20111214	14.31	14.84	13.86	13.99	10524254	153142320.00
20111215	13.69	14.35	13.44	13.56	8239516	116680712.00
20111216	13.59	14.20	13.21	14.18	9912593	138947664.00
20111219	13.86	15.62	13.74	15.62	23322457	350986048.00
20111220	15.43	15.72	14.93	14.95	19506616	302774048.00
20111221	15.03	15.57	14.74	14.80	11826801	182445456.00
20111222	14.49	15.25	13.69	14.87	12053775	177575328.00
20111223	14.58	15.42	14.38	14.89	10424172	158416032.00
