600089 特变电工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	8.68	8.71	8.61	8.66	19830785	205554272.00
20111011	8.84	8.90	8.63	8.71	28814999	301785600.00
20111012	8.69	9.01	8.53	8.97	57691057	615115264.00
20111013	8.98	9.03	8.84	8.93	44759440	481225408.00
20111014	8.90	8.99	8.84	8.90	19272999	206428160.00
20111017	8.92	8.95	8.78	8.82	19795505	210313088.00
20111018	8.77	8.77	8.30	8.36	40397964	411376704.00
20111019	8.38	8.49	8.37	8.37	17405190	174135504.00
20111020	8.37	8.37	7.99	8.13	26330974	252693008.00
20111021	8.06	8.17	8.02	8.03	11650357	111190784.00
20111024	8.10	8.18	7.98	8.17	13773504	131857256.00
20111025	8.17	8.33	8.08	8.30	22489202	219595248.00
20111026	8.24	8.39	8.21	8.30	26000479	257052160.00
20111027	8.31	8.37	8.27	8.28	18936824	186686944.00
20111028	8.40	8.45	8.31	8.43	31151406	310690592.00
20111031	8.40	8.49	8.37	8.44	19937926	200226784.00
20111101	8.36	8.47	8.33	8.40	19955681	199519776.00
20111102	8.30	8.50	8.26	8.49	30267099	301442528.00
20111103	8.54	8.93	8.54	8.73	68677087	720095232.00
20111104	8.84	8.93	8.69	8.86	51240428	542980352.00
20111107	8.79	8.94	8.78	8.78	28381533	301248992.00
20111108	8.78	8.81	8.61	8.64	29350589	305762784.00
20111109	8.67	8.77	8.59	8.77	24520433	255543744.00
20111111	8.67	8.73	8.53	8.59	24915983	257672592.00
20111114	8.66	8.78	8.62	8.77	23637104	247233040.00
20111115	8.76	8.96	8.73	8.93	36474201	389535072.00
20111116	8.95	9.03	8.64	8.69	34081699	361870272.00
20111117	8.68	8.74	8.62	8.63	16510104	171490320.00
20111118	8.58	8.60	8.26	8.34	28179605	282166720.00
20111121	8.37	8.42	8.26	8.39	10342066	102614176.00
20111122	8.34	8.39	8.26	8.35	10333498	102383232.00
20111123	8.38	8.42	8.33	8.35	10126921	100909104.00
20111124	8.30	8.39	8.24	8.32	9704862	95759680.00
20111125	8.32	8.34	8.17	8.18	9619278	94366256.00
20111128	8.20	8.27	8.13	8.15	10643125	103221728.00
20111129	8.25	8.29	8.16	8.28	11285671	110059376.00
20111130	8.26	8.28	7.96	7.98	18193404	173259648.00
20111201	8.16	8.25	8.08	8.09	18972908	183259856.00
20111202	8.09	8.11	7.95	7.96	11394193	107460904.00
20111205	8.03	8.03	7.88	7.93	8609114	80370704.00
