600090 同济堂 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	10.04	10.19	9.97	10.07	1805802	18149384.00
20111011	10.32	10.43	9.77	9.94	3083859	31253832.00
20111012	9.85	10.41	9.80	10.32	4655002	47495392.00
20111013	10.32	10.73	10.26	10.68	7320512	76850056.00
20111014	10.58	10.79	10.55	10.71	4496204	47932248.00
20111017	10.70	11.05	10.64	10.98	6367663	69049192.00
20111018	10.98	10.98	10.71	10.96	5625681	60945772.00
20111019	10.89	11.23	10.58	10.72	12626569	137424192.00
20111020	10.53	10.73	10.07	10.25	12385969	126881496.00
20111021	10.12	10.23	9.77	9.78	5810420	57578344.00
20111024	9.78	9.85	9.05	9.73	5165722	49113456.00
20111025	9.72	9.97	9.61	9.94	4808490	47249048.00
20111026	9.80	10.11	9.72	9.91	5287419	52686600.00
20111027	9.93	10.09	9.88	9.91	3472276	34624924.00
20111028	10.03	10.18	9.94	10.15	5226180	52565504.00
20111031	10.17	10.22	10.05	10.20	4501661	45684492.00
20111101	10.10	10.18	10.04	10.12	3851441	38913148.00
20111102	9.97	10.25	9.65	10.24	9858206	97873160.00
20111103	10.20	10.75	10.18	10.46	13069012	136985040.00
20111104	10.41	10.95	10.41	10.71	11871592	127727808.00
20111107	10.68	10.91	10.55	10.62	6579291	70165552.00
20111108	10.65	10.92	10.57	10.72	8874832	95412056.00
20111109	10.73	11.04	10.71	10.92	8945650	97192256.00
20111110	10.76	10.90	10.48	10.49	6694186	71191448.00
20111111	10.52	10.58	10.38	10.49	4314326	45124496.00
20111114	10.56	10.72	10.50	10.71	6829765	72569672.00
20111115	10.68	10.70	10.52	10.62	5611977	59588488.00
20111116	10.59	10.62	10.37	10.48	6852683	71589008.00
20111117	10.69	11.10	10.67	10.87	20484348	223382576.00
20111118	10.60	10.60	9.91	10.10	11382266	116883448.00
20111121	10.00	10.11	9.80	10.00	3832530	37987468.00
20111122	9.85	9.97	9.78	9.90	2902606	28677364.00
20111123	9.96	10.06	9.89	9.97	3235565	32324172.00
20111124	9.88	10.39	9.72	10.29	9264021	94618032.00
20111125	10.20	10.33	9.98	10.00	5354653	54348580.00
20111128	10.10	10.19	9.78	9.84	4293096	42405172.00
20111129	9.98	10.04	9.84	10.03	3964424	39449968.00
20111130	10.00	10.00	9.13	9.43	6414968	61448264.00
20111201	9.75	9.79	9.52	9.54	4790556	46362112.00
20111202	9.54	9.58	9.10	9.20	3624768	33624524.00
20111205	9.18	9.19	8.86	8.88	3599588	32412088.00
20111206	8.90	8.99	8.82	8.96	1710364	15257120.00
20111207	8.96	9.04	8.91	8.99	1525545	13711163.00
20111208	9.00	9.07	8.77	8.93	2192026	19578552.00
20111209	8.90	8.95	8.74	8.75	1910751	16845216.00
20111212	8.70	8.82	8.67	8.69	1434569	12521995.00
20111213	8.65	8.70	8.14	8.15	3223425	26722326.00
20111214	8.28	8.28	7.90	7.91	2123277	17169820.00
20111215	7.80	7.80	7.40	7.45	3367084	25449348.00
20111216	7.56	7.71	7.46	7.70	2334543	17666700.00
20111219	7.72	7.78	7.48	7.75	2504199	19106434.00
20111220	7.70	8.00	7.65	7.84	3439742	27112924.00
20111221	7.89	7.98	7.52	7.56	3038292	23790816.00
20111222	7.45	7.50	7.00	7.29	3270527	23714134.00
20111223	7.27	7.55	7.22	7.41	2557702	19003680.00
20111226	7.36	7.55	7.32	7.40	1846262	13794801.00
20111227	7.40	7.40	7.08	7.10	2028468	14688942.00
20111228	7.07	7.11	6.91	7.10	2229988	15638314.00
20111229	7.10	7.29	7.02	7.19	2064783	14830830.00
20111230	7.23	7.33	7.20	7.29	1882883	13708314.00
20120104	7.40	7.47	7.09	7.10	2307236	16800488.00
20120105	7.06	7.15	6.92	6.93	1639844	11512192.00
20120106	6.82	6.97	6.68	6.92	2246231	15259454.00
