600093 易见股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	5.64	5.69	5.58	5.59	1237235	7013659.00
20111011	5.75	5.79	5.44	5.50	2855394	16116559.00
20111012	5.50	5.74	5.45	5.71	3489716	19824624.00
20111013	5.69	5.81	5.63	5.80	4234000	24591210.00
20111014	5.82	5.82	5.70	5.78	2694836	15624808.00
20111017	5.79	5.83	5.76	5.78	2459443	14346484.00
20111018	5.73	5.96	5.60	5.67	7447397	43770148.00
20111019	5.67	5.81	5.67	5.79	3330898	19283144.00
20111020	5.80	5.80	5.52	5.56	3230853	18209912.00
20111021	5.58	5.80	5.56	5.72	5362153	30805824.00
20111024	5.74	5.93	5.73	5.92	7316828	42940160.00
20111025	5.89	6.11	5.81	6.02	9358424	56588720.00
20111026	5.97	6.27	5.93	6.24	15753884	97395808.00
20111027	6.20	6.30	6.11	6.27	17456370	108884032.00
20111028	6.24	6.71	6.14	6.56	23283683	148360736.00
20111031	6.47	6.60	6.35	6.59	9619005	62493240.00
20111101	6.59	6.73	6.45	6.62	23651333	156318224.00
20111102	6.53	6.60	6.32	6.57	20296784	132732032.00
20111103	6.57	6.93	6.45	6.58	22781634	151579744.00
20111104	6.60	6.81	6.43	6.48	13701512	89814200.00
20111107	6.44	6.55	6.30	6.32	7944434	50804208.00
20111108	6.32	6.43	6.28	6.32	5094788	32565044.00
20111109	6.36	6.41	6.20	6.34	5834692	37010868.00
20111110	6.25	6.31	6.21	6.23	4899366	30832328.00
20111111	6.25	6.39	6.22	6.32	6494716	41361920.00
20111114	6.36	6.43	6.32	6.42	6242087	40150472.00
20111115	6.42	6.44	6.34	6.41	5161278	33184936.00
20111116	6.37	6.43	6.04	6.06	8512723	53132016.00
20111117	6.08	6.11	5.94	5.99	5376014	32577876.00
20111118	5.98	5.98	5.81	5.83	4439948	26327708.00
20111121	5.85	5.94	5.84	5.93	2574271	15252118.00
20111122	5.93	5.93	5.79	5.90	2559652	15090230.00
20111123	5.94	5.97	5.86	5.87	2277534	13561344.00
20111124	5.84	5.89	5.73	5.79	2318492	13551222.00
20111125	5.79	5.86	5.69	5.72	1620994	9427758.00
20111128	5.74	5.90	5.74	5.84	2650669	15573959.00
20111129	5.89	6.00	5.87	5.95	3488419	20846568.00
20111130	5.91	5.95	5.49	5.61	4140548	23738700.00
20111201	5.78	5.84	5.67	5.68	3692298	21379542.00
20111202	5.68	5.69	5.50	5.53	2455766	13754395.00
20111205	5.54	5.54	5.36	5.37	1983226	10857954.00
20111206	5.38	5.42	5.28	5.36	1536129	8269730.00
20111207	5.36	5.43	5.35	5.42	1378610	7493891.00
20111208	5.39	5.52	5.30	5.46	2151405	11725056.00
20111209	5.41	5.45	5.36	5.39	1119321	6089768.00
20111212	5.39	5.44	5.29	5.30	1277250	6913263.00
20111213	5.29	5.29	4.96	4.97	2940749	15040328.00
20111214	4.94	5.07	4.88	4.89	1943167	9746894.00
20111215	4.88	4.89	4.52	4.58	3302644	15509889.00
20111216	4.60	4.77	4.57	4.76	2217221	10416980.00
20111219	4.76	4.77	4.57	4.75	1999496	9430409.00
20111220	4.72	4.81	4.67	4.68	1916618	9184205.00
20111221	4.74	4.79	4.53	4.53	1899735	8932501.00
20111222	4.47	4.52	4.22	4.42	3332857	14664589.00
20111223	4.40	4.51	4.36	4.44	1673249	7509876.00
20111226	4.44	4.58	4.40	4.46	3165293	14359976.00
20111227	4.41	4.47	4.28	4.28	1888732	8351984.00
20111228	4.27	4.34	4.12	4.29	2429336	10344832.00
20111229	4.28	4.36	4.23	4.31	1680988	7319580.00
20111230	4.29	4.42	4.29	4.40	1903526	8414637.00
20120104	4.46	4.46	4.28	4.30	1872680	8293334.00
20120105	4.29	4.29	4.04	4.08	1848918	7804104.00
20120106	4.05	4.09	3.86	4.06	2637418	10578679.00
20120109	4.07	4.33	3.99	4.29	2639974	11203444.00
20120110	4.31	4.50	4.29	4.48	4671277	20942482.00
20120111	4.43	4.53	4.40	4.49	3974514	17871484.00
20120112	4.46	4.56	4.42	4.46	2781152	12591102.00
20120113	4.45	4.50	4.24	4.28	2758837	12132220.00
20120116	4.22	4.32	4.18	4.20	1402964	6028960.00
20120117	4.22	4.46	4.19	4.44	2134384	9378114.00
20120118	4.43	4.53	4.32	4.35	2059851	9220477.00
20120119	4.36	4.52	4.36	4.43	2222755	9972776.00
20120120	4.44	4.55	4.43	4.55	3284473	14973165.00
20120130	4.58	4.63	4.50	4.50	3467527	15927032.00
20120131	4.57	4.64	4.53	4.60	4006970	18530532.00
20120201	4.60	4.80	4.56	4.69	6534656	30996144.00
20120202	4.76	4.98	4.76	4.97	9820747	48081508.00
20120203	4.94	4.97	4.85	4.91	8097050	39969276.00
20120206	4.91	4.92	4.83	4.87	4854120	23805700.00
20120207	4.86	4.89	4.73	4.77	3969924	19252912.00
20120208	4.76	4.88	4.73	4.87	3975289	19309988.00
20120209	4.91	4.91	4.83	4.85	5730075	28107952.00
20120210	4.84	4.93	4.83	4.88	4790153	23567296.00
20120213	4.83	4.91	4.79	4.88	3572372	17498688.00
20120214	4.88	4.91	4.83	4.89	2801527	13754403.00
20120215	4.86	4.97	4.85	4.96	5776794	28699662.00
20120216	4.96	5.09	4.94	5.04	7080493	35814320.00
20120217	5.06	5.08	4.90	4.94	3986440	19969018.00
20120220	5.03	5.03	4.91	4.92	3706741	18562236.00
20120221	4.92	4.98	4.84	4.97	3588737	17772044.00
20120222	4.96	5.04	4.93	5.03	5238607	26415574.00
20120223	5.05	5.13	5.01	5.05	5558416	28338652.00
20120224	5.06	5.10	4.98	5.09	5903155	30060504.00
20120227	5.09	5.20	5.08	5.10	6834168	35467384.00
20120228	5.06	5.31	5.01	5.21	9113900	47241112.00
20120229	5.17	5.21	5.06	5.06	5294274	27307924.00
20120301	5.05	5.10	4.99	5.07	3003729	15322855.00
20120302	5.06	5.15	5.06	5.15	4188784	21634824.00
20120305	5.16	5.23	5.12	5.16	5483825	28585400.00
20120306	5.15	5.16	5.02	5.04	4268972	21787304.00
20120307	4.96	5.08	4.94	4.98	4178389	21132676.00
20120308	5.01	5.08	5.01	5.06	3072724	15629225.00
20120309	5.11	5.20	5.08	5.17	6490423	33718272.00
20120312	5.20	5.28	5.15	5.27	8166213	42977808.00
20120313	5.25	5.80	5.22	5.76	25193322	141226944.00
20120314	5.66	5.66	5.36	5.39	19149031	107620424.00
20120315	5.31	5.60	5.16	5.56	14207871	77850464.00
20120316	5.58	6.04	5.49	5.93	19202130	110979568.00
20120319	5.76	5.92	5.73	5.85	26067217	152022240.00
20120320	5.77	5.77	5.52	5.53	9547318	53846480.00
20120321	5.52	5.60	5.37	5.60	6142298	34151972.00
20120322	5.59	5.59	5.41	5.51	3573150	19834832.00
20120323	5.49	5.53	5.39	5.43	3295968	18069002.00
20120326	5.44	5.47	5.14	5.20	5800611	30910360.00
20120327	5.25	5.26	5.06	5.07	5203321	27035164.00
20120328	5.01	5.08	4.74	4.76	6156144	30078516.00
20120329	4.75	4.75	4.61	4.65	3582054	16914466.00
20120330	4.70	4.83	4.59	4.79	4527499	21424284.00
20120405	4.76	5.01	4.75	4.95	5016886	24583712.00
20120406	4.91	5.00	4.85	4.91	3596396	17899368.00
20120409	4.90	4.93	4.69	4.72	2678198	13094927.00
20120410	4.69	4.87	4.63	4.86	3131291	14992913.00
20120411	4.79	4.90	4.72	4.86	2801268	13647305.00
20120412	4.86	5.01	4.86	4.96	5019200	25022044.00
20120413	4.97	5.10	4.94	5.04	5726144	29072208.00
20120416	5.01	5.27	4.98	5.19	7398863	38451888.00
20120417	5.19	5.20	5.01	5.02	5732817	29398348.00
20120419	5.13	5.17	5.07	5.09	4981875	25720336.00
20120420	5.08	5.16	5.04	5.14	4712228	24278472.00
20120423	5.13	5.14	4.99	5.00	4676870	23837012.00
20120424	4.96	5.04	4.73	4.90	5158528	25426304.00
20120425	4.90	5.04	4.85	5.03	4283574	21477776.00
20120426	5.04	5.20	5.02	5.13	5776318	29720398.00
20120427	5.10	5.14	4.97	5.02	3458250	17569904.00
20120502	5.05	5.14	5.02	5.10	3812571	19510348.00
20120503	5.10	5.10	4.96	5.03	4841026	24465784.00
20120504	5.02	5.10	4.99	5.10	3517795	17918056.00
20120507	5.08	5.08	4.96	5.05	3644782	18420372.00
20120508	5.02	5.08	4.95	5.05	4098692	20734724.00
20120509	5.01	5.01	4.85	4.89	4555193	22601836.00
20120510	4.88	4.93	4.86	4.91	2448836	12074493.00
20120511	4.91	4.95	4.86	4.86	2232247	11030083.00
20120514	4.94	4.94	4.85	4.86	1932876	9515179.00
20120515	4.84	4.88	4.81	4.87	1963731	9599092.00
20120516	4.87	4.92	4.84	4.85	1911715	9408411.00
20120517	4.84	4.92	4.77	4.90	2453164	12008894.00
20120518	4.86	4.89	4.80	4.83	1634822	7968832.00
20120521	4.77	4.84	4.71	4.80	1672710	8061113.00
20120522	4.83	4.86	4.79	4.85	1263448	6144633.00
20120523	4.82	4.85	4.76	4.77	1735395	8379561.00
20120524	4.77	4.80	4.72	4.75	1816420	8724479.00
20120525	4.74	4.77	4.65	4.68	1967946	9307792.00
20120528	4.65	4.72	4.50	4.71	2455327	11435458.00
20120529	4.67	4.81	4.67	4.79	2392230	11488420.00
20120530	4.78	4.82	4.76	4.80	1802673	8704204.00
20120531	4.76	4.83	4.75	4.81	1889851	9142899.00
20120601	4.81	4.83	4.76	4.77	1550918	7491397.00
20120604	4.69	4.70	4.55	4.57	2256647	10507012.00
20120605	4.61	4.61	4.52	4.55	985427	4532208.00
20120607	4.58	4.61	4.52	4.56	2689838	12345389.00
20120608	4.57	4.60	4.51	4.54	1592809	7315384.00
20120611	4.52	4.64	4.51	4.61	1973636	9111475.00
20120612	4.58	4.61	4.52	4.55	1073418	4938551.00
20120613	4.56	4.62	4.53	4.61	1518292	7023393.00
20120614	4.61	4.68	4.58	4.65	2623453	12277260.00
20120615	4.68	4.68	4.59	4.63	1975345	9250551.00
20120626	5.10	5.10	5.10	5.10	5547191	28512562.00
20120627	5.35	5.61	5.27	5.61	36878889	204347936.00
20120628	5.05	5.65	5.05	5.50	20798465	115082832.00
