600094 大名城 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111011	8.96	8.96	7.50	7.58	45185186	364464544.00
20111012	7.20	7.20	7.20	7.20	1224000	8922960.00
20111013	6.84	7.36	6.84	6.92	25039809	176597504.00
20111014	6.70	6.87	6.57	6.58	16975739	114551504.00
20111017	6.63	6.80	6.51	6.61	9551476	64417292.00
20111018	6.56	6.62	6.28	6.28	8319712	53505060.00
20111019	6.14	6.20	5.96	5.97	13026283	79109216.00
20111020	5.88	6.01	5.67	5.67	8005702	46878524.00
20111021	5.76	5.76	5.41	5.50	7138576	40139652.00
20111024	5.53	5.57	5.31	5.54	8661157	48178952.00
20111025	5.52	5.82	5.49	5.74	10064239	58144916.00
20111026	5.67	5.74	5.47	5.60	8764119	50100408.00
20111027	5.58	5.66	5.42	5.45	7744859	43424044.00
20111028	5.49	5.73	5.47	5.73	12367132	70668392.00
20111031	5.74	5.88	5.68	5.82	10648594	62665588.00
20111101	5.78	5.81	5.58	5.67	8312232	48078384.00
20111102	5.53	5.67	5.46	5.64	6672165	37698968.00
20111103	5.65	5.79	5.61	5.63	9150681	52946460.00
20111104	5.67	5.91	5.65	5.83	10181492	59923640.00
20111107	5.78	5.92	5.72	5.76	7490097	44139056.00
20111108	5.68	5.72	5.47	5.47	12396501	69766344.00
20111109	5.46	5.53	5.42	5.51	5055616	28177768.00
20111110	5.45	5.48	5.35	5.37	4840342	26687926.00
20111111	5.31	5.54	5.27	5.50	7751931	42906084.00
20111114	5.51	5.59	5.47	5.58	4894633	27578456.00
20111115	5.56	5.81	5.53	5.78	8618214	50141948.00
20111116	5.76	5.83	5.52	5.55	6186942	35581532.00
20111117	5.51	5.61	5.50	5.55	4181125	23600854.00
20111118	5.54	5.58	5.35	5.38	5204131	28878636.00
20111121	5.40	5.40	5.31	5.38	2307057	12565070.00
20111122	5.33	5.40	5.13	5.27	3559782	19158656.00
20111123	5.28	5.38	5.26	5.29	2103464	11353934.00
20111124	5.23	5.31	5.18	5.28	2613890	13958005.00
20111125	5.29	5.29	5.15	5.18	2446733	12988567.00
20111128	5.17	5.20	5.07	5.11	2373246	12387106.00
20111129	5.15	5.17	5.06	5.13	2756682	14341256.00
20111130	5.11	5.13	4.87	4.87	3000154	15182320.00
20111202	4.91	4.92	4.66	4.78	4811250	23391600.00
20111205	4.75	4.81	4.58	4.58	3491673	16668291.00
20111206	4.58	4.68	4.52	4.61	1864477	8702480.00
20111207	4.62	4.66	4.50	4.54	2949349	13703872.00
20111208	4.51	4.59	4.44	4.50	2061738	9476838.00
20111209	4.48	4.53	4.45	4.46	1446565	6617832.00
20111212	4.47	4.54	4.42	4.43	1872538	8544237.00
20111213	4.43	4.43	4.20	4.20	2583107	11259100.00
20111214	4.13	4.26	3.99	4.03	3088731	12931228.00
20111215	3.98	3.99	3.85	3.87	3203104	12807522.00
20111216	3.87	3.95	3.78	3.95	2756955	10944351.00
20111219	3.90	3.91	3.75	3.89	2558745	10045584.00
20111220	3.85	4.03	3.85	3.95	3841459	15604266.00
20111221	3.98	3.99	3.79	3.79	2663445	10695199.00
20111222	3.77	3.77	3.60	3.65	2976652	11171645.00
20111223	3.65	3.84	3.65	3.84	2335428	9092487.00
20111226	3.88	3.93	3.81	3.83	2692067	10647223.00
20111227	3.81	3.83	3.73	3.74	1478452	5724850.00
20111228	3.72	3.78	3.61	3.75	1944670	7377709.00
20111229	3.71	3.88	3.71	3.86	3129183	12253759.00
20111230	3.84	4.06	3.84	4.06	6750400	27831090.00
20120104	4.27	4.27	4.27	4.27	5600850	24419706.00
20120105	4.29	4.49	4.18	4.43	10288617	45689712.00
20120106	4.31	4.48	4.21	4.44	4499872	20151812.00
20120109	4.45	4.67	4.45	4.67	7419094	34958160.00
20120110	4.66	4.78	4.59	4.76	13728629	65408088.00
20120111	4.70	4.79	4.63	4.70	6823647	32783688.00
20120112	4.70	4.86	4.70	4.77	4889539	23786244.00
20120113	4.79	4.82	4.54	4.76	4674467	22401744.00
20120116	4.66	4.95	4.66	4.82	6930038	34557872.00
20120117	4.77	5.06	4.69	5.02	6940957	34635472.00
20120118	5.01	5.07	4.93	4.98	6053129	30778432.00
20120119	4.90	4.99	4.73	4.73	9588978	46563304.00
20120120	4.68	4.86	4.57	4.74	6190319	29786064.00
20120130	4.76	4.98	4.72	4.98	6965036	35079392.00
20120131	4.99	5.15	4.94	5.07	5975178	30677776.00
20120201	5.03	5.33	5.03	5.33	10071986	54013236.00
20120202	5.31	5.33	5.13	5.29	7063223	37602020.00
20120203	5.27	5.45	5.24	5.32	7080843	38554856.00
20120206	5.37	5.43	5.29	5.38	5460920	29723592.00
20120207	5.33	5.36	5.11	5.15	6257231	32966380.00
20120208	5.15	5.41	5.12	5.41	6163343	33458456.00
20120209	5.55	5.64	5.44	5.47	10184832	57391952.00
20120210	5.41	5.75	5.38	5.75	7430708	42850032.00
