600095 哈高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	6.93	7.13	6.86	6.92	3201329	22477908.00
20111011	7.16	7.16	6.78	6.87	3763660	26557352.00
20111012	6.78	7.29	6.75	7.24	7081169	50662192.00
20111013	7.20	7.33	7.18	7.32	8004793	58832880.00
20111014	7.27	7.38	7.20	7.31	5182916	38187416.00
20111017	7.28	7.88	7.28	7.73	17448640	132894240.00
20111018	7.62	7.80	7.49	7.74	21616986	166014816.00
20111019	7.69	7.78	7.43	7.77	19976244	154247872.00
20111020	7.72	7.88	7.56	7.85	22567509	175773568.00
20111021	7.80	8.60	7.63	7.84	32518656	262914112.00
20111024	7.77	7.83	7.25	7.79	18622349	142809808.00
20111025	7.68	8.01	7.48	7.83	20111833	156625712.00
20111026	7.73	7.76	7.56	7.65	15101855	116916752.00
20111027	7.65	8.11	7.54	8.05	23377667	186575472.00
20111028	8.13	8.28	7.95	8.12	21084725	172683968.00
20111031	8.06	8.15	7.93	8.13	12589047	102005656.00
20111101	8.04	8.27	7.99	8.07	11678024	95728992.00
20111102	7.93	8.12	7.78	8.08	11458363	91791432.00
20111103	8.13	8.28	8.03	8.08	15263665	125259648.00
20111104	8.08	8.13	7.93	8.06	11406614	92441808.00
20111107	8.05	8.11	7.85	7.86	9032174	72625824.00
20111108	7.86	7.97	7.73	7.75	8200116	64954312.00
20111109	7.76	7.91	7.72	7.84	6506481	51263888.00
20111110	7.75	7.78	7.56	7.56	9787393	75526224.00
20111111	7.56	7.68	7.45	7.60	7033461	53627776.00
20111114	7.63	7.78	7.63	7.77	7159040	55735244.00
20111115	7.77	7.83	7.71	7.82	5589298	43825564.00
20111116	7.81	8.00	7.72	7.74	13942846	110556600.00
20111117	7.87	8.19	7.87	7.90	19198402	155112944.00
20111118	7.73	7.78	7.28	7.33	12401523	93966960.00
20111121	7.29	7.36	7.22	7.31	4327252	31788102.00
20111122	7.27	7.29	7.11	7.23	4121932	29933882.00
20111123	7.23	7.29	7.15	7.17	3526071	25697852.00
20111124	7.13	7.13	6.91	7.03	5755794	40762584.00
20111125	7.03	7.14	6.97	7.13	4223332	30015204.00
20111128	7.09	7.18	7.00	7.00	3777807	26994290.00
20111129	7.03	7.16	7.03	7.12	4078178	29227464.00
20111130	7.12	7.12	6.63	6.72	6550677	45275288.00
20111201	6.90	6.98	6.76	6.82	5699650	39834412.00
20111202	6.75	6.90	6.75	6.83	3637726	25117072.00
20111206	6.59	6.77	6.39	6.57	4659044	30775292.00
20111207	6.57	6.66	6.45	6.48	2856195	18859888.00
20111208	6.48	6.57	6.42	6.49	2726937	17880808.00
20111209	6.41	6.52	6.37	6.39	2047474	13315978.00
20111212	6.38	6.48	6.00	6.04	6623875	41112272.00
20111213	6.00	6.02	5.55	5.57	6269902	36311616.00
20111214	5.55	5.70	5.43	5.47	5501047	30999460.00
20111215	5.47	5.47	5.14	5.20	5982892	31915752.00
20111216	5.20	5.35	5.16	5.35	4779632	25424880.00
20111219	5.33	5.36	5.17	5.31	4497857	24003644.00
20111220	5.29	5.42	5.28	5.30	4959665	26854792.00
20111221	5.36	5.38	5.11	5.12	4588618	24537072.00
20111222	5.04	5.08	4.71	4.93	8072502	39801420.00
20111223	4.93	5.06	4.88	4.97	4363970	21989032.00
